1169, 4900 CROMWELL, MEMPHIS, TN, 
1170, 6100 APPLE TREE, MEMPHIS, TN, 
1171, 100 N CLAYBROOK, MEMPHIS, TN, 
1172, 1000 UNION AVE, MEMPHIS, TN, 
1173, 1100 KNEY, MEMPHIS, TN, 
1174, 1600 GETWELL, MEMPHIS, TN, 
1175, 2400 FRAYSER, MEMPHIS, TN, 
1176, 2600 NORTHUMBERLAND, MEMPHIS, TN, 
1177, 3200 KNIGHT LN, MEMPHIS, TN, 
1178, 3400 HARDIN, MEMPHIS, TN, 
1179, 3600 S MENDENHALL RD, MEMPHIS, TN, 
1180, 400 CARRIAGE CT, MEMPHIS, TN, 
1181, 4200 TARRY PARK, MEMPHIS, TN, 
1182, 4800 E SHELBY DR, MEMPHIS, TN, 
1183, 4800 SPOTTSWOOD, MEMPHIS, TN, 
1184, 5400 SUMMER, MEMPHIS, TN, 
1185, MILLBRANCH AND WINCHESTER, MEMPHIS, TN, 
1186, 1000 SEATTLE, MEMPHIS, TN, 
1187, 1200 JACKSON AVE, MEMPHIS, TN, 
1188, 1500 PENDLETON, MEMPHIS, TN, 
1189, 1600 HUGENOT, MEMPHIS, TN, 
1190, 1600 HUMBER, MEMPHIS, TN, 
1191, 1600 OAKWOOD, MEMPHIS, TN, 
1192, 1600 PILLOW, MEMPHIS, TN, 
1193, 2200 E HILLVIEW, MEMPHIS, TN, 
1194, 2300 FRAYSER BLVD, MEMPHIS, TN, 
1195, 2500 LOWELL, MEMPHIS, TN, 
1196, 2600 PARK, MEMPHIS, TN, 
1197, 2700 SUPREME, MEMPHIS, TN, 
1198, 2800 NEW BRUNSWICK, MEMPHIS, TN, 
1199, 3100 S THIRD, MEMPHIS, TN, 
1200, 3700 RIVERDALE, MEMPHIS, TN, 
1201, 4000 AUTUMN RIDGE, MEMPHIS, TN, 
1202, 4200 THE PLACE, MEMPHIS, TN, 
1203, 5100 LAMAR, MEMPHIS, TN, 
1204, 6800 WATERGROVE DR, MEMPHIS, TN, 
1205, LAMAR AND SEMMES, MEMPHIS, TN, 
1206, 100 ILA CT, MEMPHIS, TN, 
1207, 1400 COLONIAL, MEMPHIS, TN, 
1208, 1600 UNION AVE, MEMPHIS, TN, 
1209, 1800 GETWELL RD, MEMPHIS, TN, 
1210, 2800 NORTH GERMANTOWN PKWY, MEMPHIS, TN, 
1211, 3600 RAMILL RD, MEMPHIS, TN, 
1212, 400 POPLAR, MEMPHIS, TN, 
1213, 4500 CEDAR GLENN, MEMPHIS, TN, 
1214, 5100 LAMAR AVE, MEMPHIS, TN, 
1215, 5200 QUINCE RD, MEMPHIS, TN, 
1216, 600 DEERSKIN, MEMPHIS, TN, 
1217, 1200 WHITAKER DR, MEMPHIS, TN, 
1218, 1800 CHANCERY, MEMPHIS, TN, 
1219, 2600 MT MORIAH RD, MEMPHIS, TN, 
1220, 2900 PARK AVE, MEMPHIS, TN, 
1221, 3100 KIMBALL, MEMPHIS, TN, 
1222, 3500 LAMPHIER, MEMPHIS, TN, 
1223, 3900 ELVIS PRESLEY, MEMPHIS, TN, 
1224, 4800 KNIGHT ARNOLD, MEMPHIS, TN, 
1225, 5400 WINCHESTER RD, MEMPHIS, TN, 
1226, 5900 SHELBY OAKS DR, MEMPHIS, TN, 
1227, 1200 SOUTHLAND MALL, MEMPHIS, TN, 
1228, 1400 GILL, MEMPHIS, TN, 
1229, 1500 EFFIE, MEMPHIS, TN, 
1230, 1700 DUKE, MEMPHIS, TN, 
1231, 1700 WINWAY, MEMPHIS, TN, 
1232, 2400 LOWELL, MEMPHIS, TN, 
1233, 2600 PRINCE RUPERT, MEMPHIS, TN, 
1234, 2600 W HILLVIEW DR, MEMPHIS, TN, 
1235, 2700 NORTH GERMANTOWN PKWY, MEMPHIS, TN, 
1236, 2800 GERMANTOWN, MEMPHIS, TN, 
1237, 3000 S THIRD, MEMPHIS, TN, 
1238, 3600 HACKS CROSS RD, MEMPHIS, TN, 
1239, 3800 N ADVANTAGE WAY, MEMPHIS, TN, 
1240, 4000 AMERICAN WAY, MEMPHIS, TN, 
1241, 5900 MT HICKORY, MEMPHIS, TN, 
1242, 6000 KNIGHT ARNOLD RD, MEMPHIS, TN, 
1243, 6500 POPLAR, MEMPHIS, TN, 
1244, 100 S IDLEWILD, MEMPHIS, TN, 
1245, 1300 MISSISSIPPI, MEMPHIS, TN, 
1246, 1400 PERSON AVE, MEMPHIS, TN, 
1247, 1800 POPLAR, MEMPHIS, TN, 
1248, 200 LT GEORGE W LEE, MEMPHIS, TN, 
1249, 2100 WINCHESTER, MEMPHIS, TN, 
1250, 300 INGLE, MEMPHIS, TN, 
1251, 3000 S PERKINS, MEMPHIS, TN, 
1252, 3200 CRUMP, MEMPHIS, TN, 
1253, 3400 EASTPORT CV, MEMPHIS, TN, 
1254, 3400 POPLAR AVE, MEMPHIS, TN, 
1255, 3600 TUTWILER, MEMPHIS, TN, 
1256, 4500 KNIGHT ARNOLD, MEMPHIS, TN, 
1257, 4600 MACON RD, MEMPHIS, TN, 
1258, 5500 MEADOWLAKE DR, MEMPHIS, TN, 
1259, 900 MAURY, MEMPHIS, TN, 
1260, LAMAR AND AIRWAYS, MEMPHIS, TN, 
1261, 1200 SPRINGDALE, MEMPHIS, TN, 
1262, 1500 BRITTON, MEMPHIS, TN, 
1263, 2000 E BROOKS, MEMPHIS, TN, 
1264, 2400 CHELSEA, MEMPHIS, TN, 
1265, 2700 CENTRAL, MEMPHIS, TN, 
1266, 3000 BROAD, MEMPHIS, TN, 
1267, 3100 CYPRESS LAKE DR, MEMPHIS, TN, 
1268, 3300 WHISPERING LN, MEMPHIS, TN, 
1269, 3600 MEDITERRANEAN DR, MEMPHIS, TN, 
1270, 3700 AUSTIN PEAY, MEMPHIS, TN, 
1271, 4800 HORN LAKE, MEMPHIS, TN, 
1272, 5300 SOUTH THIRD, MEMPHIS, TN, 
1273, 5500 SUMMER AVE, MEMPHIS, TN, 
1274, 600 N GERMANTOWN RD, MEMPHIS, TN, 
1275, 900 PORTER, MEMPHIS, TN, 
1276, 1400 RIDGEWAY, MEMPHIS, TN, 
1277, 2400 GOLDEN, MEMPHIS, TN, 
1278, 3000 N WATKINS, MEMPHIS, TN, 
1279, 3100 MILLBRANCH, MEMPHIS, TN, 
1280, 3200 RALEIGH MILLINGTON, MEMPHIS, TN, 
1281, 3300 ELVIS PRESLEY BLVD, MEMPHIS, TN, 
1282, 3300 FORD RD, MEMPHIS, TN, 
1283, 3400 JACKSON, MEMPHIS, TN, 
1284, 3600 MEDITERRANEAN, MEMPHIS, TN, 
1285, 3700 SUMMER AVE, MEMPHIS, TN, 
1286, 500 VANCE, MEMPHIS, TN, 
1287, 5300 SHELBORNE CIR, MEMPHIS, TN, 
