40275, 1300 WESLEY BLVD, MEMPHIS, TN, 
40276, 1300 WEYMOUTH ST, MEMPHIS, TN, 
40277, 1300 WHITESTATION, MEMPHIS, TN, 
40278, 1300 WHITTEN, MEMPHIS, TN, 
40279, 1300 WILL SCARLET RD, MEMPHIS, TN, 
40280, 1300 WILLIAMS, MEMPHIS, TN, 
40281, 1300 WILLIE MITCHELL ST, MEMPHIS, TN, 
40282, 1300 WOODBURY RD, MEMPHIS, TN, 
40283, 1400 ABERNATHY AVE, MEMPHIS, TN, 
40284, 1400 ARMAND, MEMPHIS, TN, 
40285, 1400 BARKSDALE, MEMPHIS, TN, 
40286, 1400 BLUEBERRY, MEMPHIS, TN, 
40287, 1400 CATALINA, MEMPHIS, TN, 
40288, 1400 CATHERINE, MEMPHIS, TN, 
40289, 1400 CLEMENTINE #6, MEMPHIS, TN, 
40290, 1400 CLEMENTINE 10, MEMPHIS, TN, 
40291, 1400 CLEMETINE RD, MEMPHIS, TN, 
40292, 1400 COKER ST, MEMPHIS, TN, 
40293, 1400 DORIS ST, MEMPHIS, TN, 
40294, 1400 DOVEFLIGHT LN, MEMPHIS, TN, 
40295, 1400 DURANGO, MEMPHIS, TN, 
40296, 1400 E BARRON CIRCLE, MEMPHIS, TN, 
40297, 1400 E BROOKS RD, MEMPHIS, TN, 
40298, 1400 E CRESTWOOD, MEMPHIS, TN, 
40299, 1400 E PERSON ST, MEMPHIS, TN, 
40300, 1400 EAST ALCY, MEMPHIS, TN, 
40301, 1400 EAST ISLAND PLACE, MEMPHIS, TN, 
40302, 1400 EASTMORLAND, MEMPHIS, TN, 
40303, 1400 EDITH, MEMPHIS, TN, 
40304, 1400 ELM VIEW LN, MEMPHIS, TN, 
40305, 1400 ELOISE ST, MEMPHIS, TN, 
40306, 1400 EPERSON, MEMPHIS, TN, 
40307, 1400 FURGESON, MEMPHIS, TN, 
40308, 1400 GERMANTOWN RD, MEMPHIS, TN, 
40309, 1400 GRAND OPERA, MEMPHIS, TN, 
40310, 1400 GREER ST, MEMPHIS, TN, 
40311, 1400 HARTFORD PL, MEMPHIS, TN, 
40312, 1400 HAYES, MEMPHIS, TN, 
40313, 1400 HAYWOOD ST, MEMPHIS, TN, 
40314, 1400 HEISTAN PL, MEMPHIS, TN, 
40315, 1400 HEISTAN PLACE, MEMPHIS, TN, 
40316, 1400 HOLCOMB LN, MEMPHIS, TN, 
40317, 1400 HYPE PARK, MEMPHIS, TN, 
40318, 1400 IVY RD, MEMPHIS, TN, 
40319, 1400 JACKSON ST, MEMPHIS, TN, 
40320, 1400 KERR ST, MEMPHIS, TN, 
40321, 1400 KIMBLE CV, MEMPHIS, TN, 
40322, 1400 KIRBY PKWY, MEMPHIS, TN, 
40323, 1400 KIRBY RD, MEMPHIS, TN, 
40324, 1400 LEFLORE PL, MEMPHIS, TN, 
40325, 1400 LOUISIANA ST, MEMPHIS, TN, 
40326, 1400 MAIN ST, MEMPHIS, TN, 
40327, 1400 MARY JANE ST, MEMPHIS, TN, 
40328, 1400 MICHIGAN AVE, MEMPHIS, TN, 
40329, 1400 MILL CREEK CV, MEMPHIS, TN, 
40330, 1400 N 2ND, MEMPHIS, TN, 
40331, 1400 N BELLEVUE BLVD, MEMPHIS, TN, 
40332, 1400 N GERMANTOWN RD, MEMPHIS, TN, 
40333, 1400 NIESE ST, MEMPHIS, TN, 
40334, 1400 NORTH FARONIA, MEMPHIS, TN, 
40335, 1400 NORTH, MEMPHIS, TN, 
40336, 1400 OLD HICKORY RD, MEMPHIS, TN, 
40337, 1400 PEACH ST, MEMPHIS, TN, 
40338, 1400 PHILLIPS RD, MEMPHIS, TN, 
40339, 1400 PHILLIPS, MEMPHIS, TN, 
40340, 1400 PIGEON PERCH LN, MEMPHIS, TN, 
40341, 1400 PIGEON PIRCH LN, MEMPHIS, TN, 
40342, 1400 QUAIL BROOK, MEMPHIS, TN, 
40343, 1400 QUAILRIDGE LN, MEMPHIS, TN, 
40344, 1400 RESERVE, MEMPHIS, TN, 
40345, 1400 RIVERBRIDGE CIRCLE, MEMPHIS, TN, 
40346, 1400 RIVERSIDE BLVD, MEMPHIS, TN, 
40347, 1400 ROLLING OAKS DR, MEMPHIS, TN, 
40348, 1400 ROLLING OAKS, MEMPHIS, TN, 
40349, 1400 RUTLAND RD, MEMPHIS, TN, 
40350, 1400 S BELLEVUE AVE, MEMPHIS, TN, 
40351, 1400 S GREER ST, MEMPHIS, TN, 
40352, 1400 S PRESCOTT ST, MEMPHIS, TN, 
40353, 1400 SAMPLE ST, MEMPHIS, TN, 
40354, 1400 SEA ISLE, MEMPHIS, TN, 
40355, 1400 SMITH AVE, MEMPHIS, TN, 
40356, 1400 SO WELLINGTON ST, MEMPHIS, TN, 
40357, 1400 SONNET CV, MEMPHIS, TN, 
40358, 1400 SOUTH WILLETT, MEMPHIS, TN, 
40359, 1400 STACEY, MEMPHIS, TN, 
40360, 1400 SUMMER BROOK, MEMPHIS, TN, 
40361, 1400 SYCAMORE BND, MEMPHIS, TN, 
40362, 1400 TERRANCE, MEMPHIS, TN, 
40363, 1400 TITUS RD, MEMPHIS, TN, 
40364, 1400 TOMCO CV, MEMPHIS, TN, 
40365, 1400 TUTWILLER, MEMPHIS, TN, 
40366, 1400 WELL STATION, MEMPHIS, TN, 
40367, 1400 WELLS STA, MEMPHIS, TN, 
40368, 1400 WEST BARRON CIRCLE, MEMPHIS, TN, 
40369, 1400 WEST MASSEY, MEMPHIS, TN, 
40370, 1400 WHEATON, MEMPHIS, TN, 
40371, 1400 WHITE STATION RD, MEMPHIS, TN, 
40372, 1400 WHITING, MEMPHIS, TN, 
40373, 1400 WILLIAMS FIELD, MEMPHIS, TN, 
40374, 1400 WINCHESTER PL, MEMPHIS, TN, 
40375, 1400 WOODBINE, MEMPHIS, TN, 
40376, 1400 YORKSHIRE DR, MEMPHIS, TN, 
40377, 1500 1ST NORTHSIDE DR, MEMPHIS, TN, 
40378, 1500 AUSTIN ST, MEMPHIS, TN, 
40379, 1500 BALTIMORE ST, MEMPHIS, TN, 
40380, 1500 BARKSDALE ST, MEMPHIS, TN, 
40381, 1500 BARKSDALE, MEMPHIS, TN, 
40382, 1500 BARTON ST, MEMPHIS, TN, 
40383, 1500 BRETT, MEMPHIS, TN, 
40384, 1500 BRIARCREST 3, MEMPHIS, TN, 
40385, 1500 BRIARCREST RD, MEMPHIS, TN, 
40386, 1500 BRIARCREST ST, MEMPHIS, TN, 
40387, 1500 BRYANT, MEMPHIS, TN, 
40388, 1500 CARNEGIE ST, MEMPHIS, TN, 
40389, 1500 CARNIGIE, MEMPHIS, TN, 
40390, 1500 COURT AVENUE, MEMPHIS, TN, 
40391, 1500 DEPASS ST, MEMPHIS, TN, 
40392, 1500 DORRIS, MEMPHIS, TN, 
40393, 1500 DUKE ST, MEMPHIS, TN, 
40394, 1500 DUNMOOR ST, MEMPHIS, TN, 
40395, 1500 DUNNHAVEN, MEMPHIS, TN, 
40396, 1500 E WINCHESTER, MEMPHIS, TN, 
40397, 1500 EASON ST, MEMPHIS, TN, 
40398, 1500 EAST ALCY, MEMPHIS, TN, 
40399, 1500 EBROOKS, MEMPHIS, TN, 
40400, 1500 ELVIS PRESLEY ST, MEMPHIS, TN, 
40401, 1500 ETHEL, MEMPHIS, TN, 
40402, 1500 FIELDS, MEMPHIS, TN, 
40403, 1500 FIRST NORTHSIDE, MEMPHIS, TN, 
40404, 1500 FLORDIA, MEMPHIS, TN, 
40405, 1500 FLORIDA AVE, MEMPHIS, TN, 
40406, 1500 FRAYSER BL, MEMPHIS, TN, 
40407, 1500 GALVESTON RD, MEMPHIS, TN, 
40408, 1500 GENESIS ST, MEMPHIS, TN, 
40409, 1500 GILL ST, MEMPHIS, TN, 
40410, 1500 GLEASON AVE, MEMPHIS, TN, 
40411, 1500 GREEN TREE VALLEY CT, MEMPHIS, TN, 
40412, 1500 GREENDALE ST, MEMPHIS, TN, 
40413, 1500 GREENLAND RD, MEMPHIS, TN, 
40414, 1500 GREENTREE VALLEY DR, MEMPHIS, TN, 
40415, 1500 HAPPY TRAILS, MEMPHIS, TN, 
40416, 1500 HAWKCREST CV N, MEMPHIS, TN, 
40417, 1500 HAYNE, MEMPHIS, TN, 
40418, 1500 HERNANDO RD, MEMPHIS, TN, 
40419, 1500 HOLLIDAY ST, MEMPHIS, TN, 
40420, 1500 HOLMES, MEMPHIS, TN, 
40421, 1500 HOPEWELL, MEMPHIS, TN, 
40422, 1500 ISLAND DR, MEMPHIS, TN, 
40423, 1500 ISLAND PL E, MEMPHIS, TN, 
40424, 1500 JEANINE, MEMPHIS, TN, 
40425, 1500 JEANNIE, MEMPHIS, TN, 
40426, 1500 KILLDEER CV, MEMPHIS, TN, 
40427, 1500 KIRBY, MEMPHIS, TN, 
40428, 1500 LANCASTER DR, MEMPHIS, TN, 
40429, 1500 LANCASTER, MEMPHIS, TN, 
40430, 1500 LESLIE, MEMPHIS, TN, 
40431, 1500 LIVEWELL, MEMPHIS, TN, 
40432, 1500 LYNNDALE, MEMPHIS, TN, 
40433, 1500 MALLORY AVE, MEMPHIS, TN, 
40434, 1500 MCNEIL ST, MEMPHIS, TN, 
40435, 1500 MENAGER RD, MEMPHIS, TN, 
40436, 1500 MILL VIEW DR, MEMPHIS, TN, 
40437, 1500 MILLER ST, MEMPHIS, TN, 
40438, 1500 N BELLEVUE BLVD, MEMPHIS, TN, 
40439, 1500 N GERMANTOWN RD, MEMPHIS, TN, 
40440, 1500 N HOLMES, MEMPHIS, TN, 
40441, 1500 N MCNEIL ST, MEMPHIS, TN, 
40442, 1500 NATIONAL AVE, MEMPHIS, TN, 
40443, 1500 OAK MANOR CT, MEMPHIS, TN, 
40444, 1500 OAK MANOR DR, MEMPHIS, TN, 
40445, 1500 OAK RIDGE DR, MEMPHIS, TN, 
40446, 1500 OAKLAWN LN, MEMPHIS, TN, 
40447, 1500 PENNSYLVANIA ST, MEMPHIS, TN, 
40448, 1500 PENNSYLVANIA, MEMPHIS, TN, 
40449, 1500 POPLAR AVENUE, MEMPHIS, TN, 
