38355, 6600 ELMORE RIDGE, MEMPHIS, TN, 
38356, 6600 IMPERIAL OAKS DR, MEMPHIS, TN, 
38357, 6600 KIRBY MEADOWS CV, MEMPHIS, TN, 
38358, 6600 LOST OAKS DR, MEMPHIS, TN, 
38359, 6600 MASSEY LN, MEMPHIS, TN, 
38360, 6600 MEADOW BEND DR, MEMPHIS, TN, 
38361, 6600 MILLCREEK RD, MEMPHIS, TN, 
38362, 6600 MILLCREEK, MEMPHIS, TN, 
38363, 6600 MORIAH RUN, MEMPHIS, TN, 
38364, 6600 N COUNTRY OAK CIR, MEMPHIS, TN, 
38365, 6600 N COUNTRY OAK, MEMPHIS, TN, 
38366, 6600 NORTH COUNTRY OAK CIRCLE, MEMPHIS, TN, 
38367, 6600 PIDGEON HALL, MEMPHIS, TN, 
38368, 6600 PINE TOP CIR S, MEMPHIS, TN, 
38369, 6600 PINE TOP CIRCLE S, MEMPHIS, TN, 
38370, 6600 PINE TOP CIRCLE SOUTH, MEMPHIS, TN, 
38371, 6600 SAGINAW RD, MEMPHIS, TN, 
38372, 6600 SULGRAVE DR, MEMPHIS, TN, 
38373, 6600 W CHARDONNAY CV, MEMPHIS, TN, 
38374, 6600 WEST CENTURY ARBOR PLACE, MEMPHIS, TN, 
38375, 6600, MEMPHIS, TN, 
38376, 6700 BEAVER LODGE, MEMPHIS, TN, 
38377, 6700 CEDAR BROOK, MEMPHIS, TN, 
38378, 6700 CENTURY ARBOR PL EAST, MEMPHIS, TN, 
38379, 6700 CENTURY ARBOR PLACE E, MEMPHIS, TN, 
38380, 6700 COTTINGHAM, MEMPHIS, TN, 
38381, 6700 E CENTURY ARBOR, MEMPHIS, TN, 
38382, 6700 E QUAILBROOK, MEMPHIS, TN, 
38383, 6700 E SHELBY DRIVE, MEMPHIS, TN, 
38384, 6700 EAST QUAILBROOK CV, MEMPHIS, TN, 
38385, 6700 GAZEBO, MEMPHIS, TN, 
38386, 6700 GREEN BARK DR, MEMPHIS, TN, 
38387, 6700 IMPERIAL OAK DR, MEMPHIS, TN, 
38388, 6700 KAMALI AVE, MEMPHIS, TN, 
38389, 6700 KIRBY PKWY, MEMPHIS, TN, 
38390, 6700 LENOX PARK, MEMPHIS, TN, 
38391, 6700 LONDON, MEMPHIS, TN, 
38392, 6700 MONTICELLO DR, MEMPHIS, TN, 
38393, 6700 POPLAR PIKE, MEMPHIS, TN, 
38394, 6700 STOUT RD, MEMPHIS, TN, 
38395, 6700 WHISPERING OAKS, MEMPHIS, TN, 
38396, 6700 WOOD MEADOW CV, MEMPHIS, TN, 
38397, 6800 BROWNBARK CV, MEMPHIS, TN, 
38398, 6800 CALEDON CV, MEMPHIS, TN, 
38399, 6800 E RAINES RD, MEMPHIS, TN, 
38400, 6800 E RAINES, MEMPHIS, TN, 
38401, 6800 FOSSIL CREEK RD, MEMPHIS, TN, 
38402, 6800 HUNTERS TRAIL, MEMPHIS, TN, 
38403, 6800 KIRBY LAWNS, MEMPHIS, TN, 
38404, 6800 KIRBY TRACE CV, MEMPHIS, TN, 
38405, 6800 LANDING WAY N, MEMPHIS, TN, 
38406, 6800 LENNOX CENTER DR, MEMPHIS, TN, 
38407, 6800 LENOX CENTER DR, MEMPHIS, TN, 
38408, 6800 MEADOW OAK PLACE, MEMPHIS, TN, 
38409, 6800 MILLERS POND CIRCLE, MEMPHIS, TN, 
38410, 6800 N LANDINGWAY, MEMPHIS, TN, 
38411, 6800 N REGENCY PARK CIR, MEMPHIS, TN, 
38412, 6800 RALEIGH LA GRANGE, MEMPHIS, TN, 
38413, 6800 WATERGROVE DRIVE, MEMPHIS, TN, 
38414, 6800 WOLF RIVER BLVD, MEMPHIS, TN, 
38415, 6900 CTNEY LN, MEMPHIS, TN, 
38416, 6900 E RAINES, MEMPHIS, TN, 
38417, 6900 FOX HEDGE DR, MEMPHIS, TN, 
38418, 6900 GREEN IVY DR, MEMPHIS, TN, 
38419, 6900 INNSBROOK, MEMPHIS, TN, 
38420, 6900 MIST HOLLOW, MEMPHIS, TN, 
38421, 6900 ROBIN PERCH CV, MEMPHIS, TN, 
38422, 6900 SMOKEY LN, MEMPHIS, TN, 
38423, 6900 STORNAWAY, MEMPHIS, TN, 
38424, 6900 STOUT, MEMPHIS, TN, 
38425, 6900 TALISMAN CV, MEMPHIS, TN, 
38426, 6900 TOBIN DR, MEMPHIS, TN, 
38427, 700 BELVEDERE, MEMPHIS, TN, 
38428, 700 BETHEL ST, MEMPHIS, TN, 
38429, 700 BUCK ST, MEMPHIS, TN, 
38430, 700 BUCK, MEMPHIS, TN, 
38431, 700 CEDAR BRAKE, MEMPHIS, TN, 
38432, 700 CLIFFORD AVE, MEMPHIS, TN, 
38433, 700 COLONIAL ST, MEMPHIS, TN, 
38434, 700 COMPRESS, MEMPHIS, TN, 
38435, 700 E BODLEY AVE, MEMPHIS, TN, 
38436, 700 E H CRUMP, MEMPHIS, TN, 
38437, 700 E PARKWAY SOUTH, MEMPHIS, TN, 
38438, 700 E PKWY SOUTH, MEMPHIS, TN, 
38439, 700 E PONTOTOC AVE, MEMPHIS, TN, 
38440, 700 EAST GEORGIA AVE, MEMPHIS, TN, 
38441, 700 EAST MCLEMORE AVE, MEMPHIS, TN, 
38442, 700 EAST RAINES, MEMPHIS, TN, 
38443, 700 EXCHANGE ST, MEMPHIS, TN, 
38444, 700 FOURTH, MEMPHIS, TN, 
38445, 700 GALLOWAY, MEMPHIS, TN, 
38446, 700 GLANKLER ST, MEMPHIS, TN, 
38447, 700 GOODLETT, MEMPHIS, TN, 
38448, 700 GOODMAN ST, MEMPHIS, TN, 
38449, 700 GOODWYN ST, MEMPHIS, TN, 
38450, 700 GRANADA, MEMPHIS, TN, 
38451, 700 HAWTHORNE ST, MEMPHIS, TN, 
38452, 700 HOBBS DR, MEMPHIS, TN, 
38453, 700 HOLLYWOOD, MEMPHIS, TN, 
38454, 700 IDLEWILD, MEMPHIS, TN, 
38455, 700 LINDEN, MEMPHIS, TN, 
38456, 700 LYNNCREST, MEMPHIS, TN, 
38457, 700 MARBLE AVE, MEMPHIS, TN, 
38458, 700 MARSHALL ST, MEMPHIS, TN, 
38459, 700 MC CONNELL ST, MEMPHIS, TN, 
38460, 700 MC DAVITT PL, MEMPHIS, TN, 
38461, 700 MCLEMORE AVE, MEMPHIS, TN, 
38462, 700 MELTON AVE, MEMPHIS, TN, 
38463, 700 MIDDLE DR, MEMPHIS, TN, 
38464, 700 MINOR RD, MEMPHIS, TN, 
38465, 700 MISSISSPPI, MEMPHIS, TN, 
38466, 700 MONROE EXTENDED, MEMPHIS, TN, 
38467, 700 MT MORIAH RD, MEMPHIS, TN, 
38468, 700 N 3RD, MEMPHIS, TN, 
38469, 700 N ERICSON RD, MEMPHIS, TN, 
38470, 700 N PKWY, MEMPHIS, TN, 
