147385, COVINGTON PIKE AND SUMMER AVE, MEMPHIS, TN, 
147386, COVINGTON PIKE AND TOWNCENTER, MEMPHIS, TN, 
147387, COVINGTON PIKE AND WYNDANCE, MEMPHIS, TN, 
147388, COVINGTON PIKE AND YALE AVE, MEMPHIS, TN, 
147389, COVINGTON PIKE AND, MEMPHIS, TN, 
147390, COVINGTON PIKE COVINGTON WAY, MEMPHIS, TN, 
147391, COVINGTON PIKE CRAIGMONT, MEMPHIS, TN, 
147392, COVINGTON PIKE EXIT RAMP FROM E AND B I40, MEMPHIS, TN, 
147393, COVINGTON PIKE EXT AND I-240, MEMPHIS, TN, 
147394, COVINGTON PIKE I 240, MEMPHIS, TN, 
147395, COVINGTON PIKE I 40, MEMPHIS, TN, 
147396, COVINGTON PIKE NEA STAGE, MEMPHIS, TN, 
147397, COVINGTON PIKE NORTH OF I-40, MEMPHIS, TN, 
147398, COVINGTON PIKE RD AND I 40, MEMPHIS, TN, 
147399, COVINGTON PIKE RD AND PLEASANT VIEW, MEMPHIS, TN, 
147400, COVINGTON PIKE-STAGE, MEMPHIS, TN, 
147401, COVINGTON PIKE-YALE, MEMPHIS, TN, 
147402, COVINGTON PIKE/STAGE RD, MEMPHIS, TN, 
147403, COVINGTON PKE AND STAGE, MEMPHIS, TN, 
147404, COVINGTON PLKE AND RAL-LARANGE, MEMPHIS, TN, 
147405, COVINGTON TREE, MEMPHIS, TN, 
147406, COVINGTONPIKE AND ELMORE, MEMPHIS, TN, 
147407, COVINGTONPIKE AND YALE, MEMPHIS, TN, 
147408, COVINHTON PIKE AND I-40, MEMPHIS, TN, 
147409, COVINTON PIKE AND 1 240, MEMPHIS, TN, 
147410, COVINTON PIKE AND ENGLISHE TOWN, MEMPHIS, TN, 
147411, COVINTON PIKE AND YALE, MEMPHIS, TN, 
147412, COWDEN AND COOPER, MEMPHIS, TN, 
147413, COWDEN AND MCLEAN, MEMPHIS, TN, 
147414, COWDEN AND S MCLEAN, MEMPHIS, TN, 
147415, COWETA AND BREEDLOVE, MEMPHIS, TN, 
147416, COX AND HARBERT, MEMPHIS, TN, 
147417, COX AND OLIVER, MEMPHIS, TN, 
147418, COX AND UNION, MEMPHIS, TN, 
147419, COX AND WALKER AVE, MEMPHIS, TN, 
147420, COX AND WALKER, MEMPHIS, TN, 
