50237, 4000 BARBRAVILLE, MEMPHIS, TN, 
50238, 4000 BARRON, MEMPHIS, TN, 
50239, 4000 BARTON RD, MEMPHIS, TN, 
50240, 4000 BAY WIND DR, MEMPHIS, TN, 
50241, 4000 BEAVER CREEK DR, MEMPHIS, TN, 
50242, 4000 BEECHDALE CV, MEMPHIS, TN, 
50243, 4000 BIRCH LEAF, MEMPHIS, TN, 
50244, 4000 BIRCH RUN, MEMPHIS, TN, 
50245, 4000 BIRCHFORK, MEMPHIS, TN, 
50246, 4000 BLACK WING, MEMPHIS, TN, 
50247, 4000 BOWMAR, MEMPHIS, TN, 
50248, 4000 CALLAHAN ST, MEMPHIS, TN, 
50249, 4000 CAMELOT #4, MEMPHIS, TN, 
50250, 4000 CAMELOT AVE, MEMPHIS, TN, 
50251, 4000 CAMELOT RD, MEMPHIS, TN, 
50252, 4000 CENTRAL AVE, MEMPHIS, TN, 
50253, 4000 CHELSEA AVE EXTD, MEMPHIS, TN, 
50254, 4000 CHELSEA AVE EXTENDED, MEMPHIS, TN, 
50255, 4000 CHELSEAHILL, MEMPHIS, TN, 
50256, 4000 CHESAPEAKE WAY, MEMPHIS, TN, 
50257, 4000 CHRISTIN GDNS E, MEMPHIS, TN, 
50258, 4000 CHRISTINE GARDEN W, MEMPHIS, TN, 
50259, 4000 CHRISTINE GARDENS RD, MEMPHIS, TN, 
50260, 4000 CLARKE RD, MEMPHIS, TN, 
50261, 4000 CLEARPOOL CIR, MEMPHIS, TN, 
50262, 4000 COMMANCHE ST, MEMPHIS, TN, 
50263, 4000 DAGAN ST, MEMPHIS, TN, 
50264, 4000 DAGEN, MEMPHIS, TN, 
50265, 4000 DENIM WOOD DR, MEMPHIS, TN, 
50266, 4000 DENVER DR, MEMPHIS, TN, 
50267, 4000 EAST RAINES, MEMPHIS, TN, 
50268, 4000 EDENBURG DR, MEMPHIS, TN, 
50269, 4000 EGYPT-CENTRAL, MEMPHIS, TN, 
50270, 4000 ELVIS PRESELY, MEMPHIS, TN, 
50271, 4000 FAWN VALLEY, MEMPHIS, TN, 
50272, 4000 FERN VALLEY DR, MEMPHIS, TN, 
50273, 4000 FRAYSER-RALEIGH RD, MEMPHIS, TN, 
50274, 4000 FRIENDLY WAY, MEMPHIS, TN, 
50275, 4000 GERALDUS ST, MEMPHIS, TN, 
50276, 4000 GERMAN LEAF CV, MEMPHIS, TN, 
50277, 4000 GERMANSHIRE, MEMPHIS, TN, 
50278, 4000 GIVEN AVE, MEMPHIS, TN, 
50279, 4000 GLENDALE DR, MEMPHIS, TN, 
50280, 4000 GLENDALE, MEMPHIS, TN, 
50281, 4000 GRACELAND DRIVE, MEMPHIS, TN, 
50282, 4000 GRAHAMDALE CR, MEMPHIS, TN, 
50283, 4000 GREENRIVER, MEMPHIS, TN, 
50284, 4000 HAWKINSMILL, MEMPHIS, TN, 
50285, 4000 HEDGEROW CV, MEMPHIS, TN, 
50286, 4000 HEMMINGWAY, MEMPHIS, TN, 
50287, 4000 HOLMES, MEMPHIS, TN, 
50288, 4000 JACKSON AVENUE, MEMPHIS, TN, 
50289, 4000 KINGSBURY AVE, MEMPHIS, TN, 
50290, 4000 KINGSBURY ST, MEMPHIS, TN, 
50291, 4000 LEWEIR ST, MEMPHIS, TN, 
50292, 4000 LILIAN CV, MEMPHIS, TN, 
50293, 4000 LONGNECK, MEMPHIS, TN, 
50294, 4000 MARTHA CV, MEMPHIS, TN, 
50295, 4000 MARYLEE DR, MEMPHIS, TN, 
50296, 4000 MCCAIN RD, MEMPHIS, TN, 
50297, 4000 MERRYWIND RD, MEMPHIS, TN, 
50298, 4000 MILLBRANCH RD, MEMPHIS, TN, 
50299, 4000 MTN TERRACE, MEMPHIS, TN, 
50300, 4000 N ROSSILAND, MEMPHIS, TN, 
50301, 4000 N TREZVANT, MEMPHIS, TN, 
50302, 4000 NEELY RD, MEMPHIS, TN, 
50303, 4000 NEW COVINGTON PIKE(METHODIST NORTH HOSPITAL), MEMPHIS, TN, 
50304, 4000 NEW COVINGTONPIKE, MEMPHIS, TN, 
50305, 4000 NORTH ROSSILAND CIRCLE, MEMPHIS, TN, 
50306, 4000 OAKSHIRE DR, MEMPHIS, TN, 
