29272, 1200 N MC NEIL ST, MEMPHIS, TN, 
29273, 1200 PALMETTO AVE, MEMPHIS, TN, 
29274, 1200 PANAMA ST, MEMPHIS, TN, 
29275, 1200 PARKLAND RD, MEMPHIS, TN, 
29276, 1200 PARKROSE RD, MEMPHIS, TN, 
29277, 1200 S REMBERT ST, MEMPHIS, TN, 
29278, 1200 SOUTH FOURTH, MEMPHIS, TN, 
29279, 1200 SOUTH MAIN, MEMPHIS, TN, 
29280, 1200 VERNON, MEMPHIS, TN, 
29281, 1200 W RAINES, MEMPHIS, TN, 
29282, 1200 WELLS STATION RD, MEMPHIS, TN, 
29283, 1200 WHITMORE, MEMPHIS, TN, 
29284, 1200 WILLSCARLET, MEMPHIS, TN, 
29285, 1200 WINFIELD RD, MEMPHIS, TN, 
29286, 1200 WINGFIELD, MEMPHIS, TN, 
29287, 1200 WITAKER, MEMPHIS, TN, 
29288, 12100 HWY 64, MEMPHIS, TN, 
29289, 1300 ALCY RD, MEMPHIS, TN, 
29290, 1300 ASHLEY HURST, MEMPHIS, TN, 
29291, 1300 AUBRA ST, MEMPHIS, TN, 
29292, 1300 BARBOUR ST, MEMPHIS, TN, 
29293, 1300 BEAUREGARD AVE, MEMPHIS, TN, 
29294, 1300 BEAVER TRAIL DR, MEMPHIS, TN, 
29295, 1300 CAROLYN, MEMPHIS, TN, 
29296, 1300 CORPORATE, MEMPHIS, TN, 
29297, 1300 CUMMING, MEMPHIS, TN, 
29298, 1300 DOLAN DR, MEMPHIS, TN, 
29299, 1300 DOROTHY PLACE, MEMPHIS, TN, 
29300, 1300 DRR ST, MEMPHIS, TN, 
29301, 1300 E BROOKS RD, MEMPHIS, TN, 
29302, 1300 EAST MCLEMORE, MEMPHIS, TN, 
29303, 1300 EAST PKWY SOUTH, MEMPHIS, TN, 
29304, 1300 ELLISTON RD, MEMPHIS, TN, 
29305, 1300 FOXCROFT ST, MEMPHIS, TN, 
29306, 1300 GOODBAR AVE, MEMPHIS, TN, 
29307, 1300 GOODBAR, MEMPHIS, TN, 
29308, 1300 HEISTAN PLACE, MEMPHIS, TN, 
29309, 1300 ISLAND PL E, MEMPHIS, TN, 
29310, 1300 ISLE BAY, MEMPHIS, TN, 
29311, 1300 KEATING ST, MEMPHIS, TN, 
29312, 1300 MAPLE BROOK, MEMPHIS, TN, 
29313, 1300 MCNEIL, MEMPHIS, TN, 
29314, 1300 MONROE, MEMPHIS, TN, 
29315, 1300 N SEVENTH ST, MEMPHIS, TN, 
29316, 1300 NORTH HOLLYWOOD ST, MEMPHIS, TN, 
29317, 1300 PIDGEON PERCH LN, MEMPHIS, TN, 
29318, 1300 POPPEN CV, MEMPHIS, TN, 
29319, 1300 PRESCOTT ST, MEMPHIS, TN, 
29320, 1300 PRIMACY PARKWAY, MEMPHIS, TN, 
29321, 1300 QUAIL RIDGE LN, MEMPHIS, TN, 
29322, 1300 QUEENSBURY, MEMPHIS, TN, 
29323, 1300 RUSSWOOD ST, MEMPHIS, TN, 
29324, 1300 S WHITESTATION, MEMPHIS, TN, 
29325, 1300 SAUNDERS, MEMPHIS, TN, 
29326, 1300 SOUTH PRESCOTT, MEMPHIS, TN, 
29327, 1300 SUNVALLEY CV, MEMPHIS, TN, 
29328, 1300 THOMAS AVE, MEMPHIS, TN, 
29329, 1300 THRUSHCROSS CV, MEMPHIS, TN, 
29330, 1300 VERA CRUZ, MEMPHIS, TN, 
29331, 1300 W BARRON CIR, MEMPHIS, TN, 
29332, 1300 W CRESTWOOD DR, MEMPHIS, TN, 
29333, 1300 WARFORD, MEMPHIS, TN, 
29334, 1300 WATKINS, MEMPHIS, TN, 
29335, 1300 WILBEC RD, MEMPHIS, TN, 
29336, 1300 WILLIE MITCHELL BLVD, MEMPHIS, TN, 
29337, 1300 WINFIELD AVE, MEMPHIS, TN, 
29338, 1300 YORKSHIRE CV, MEMPHIS, TN, 
29339, 1400 ASHLEYHURST LN, MEMPHIS, TN, 
29340, 1400 AUTUMN AVE, MEMPHIS, TN, 
29341, 1400 BEAUREGARD, MEMPHIS, TN, 
29342, 1400 BEAVER TRAIL, MEMPHIS, TN, 
29343, 1400 BELLVUE, MEMPHIS, TN, 
29344, 1400 BUSBY AVE, MEMPHIS, TN, 
29345, 1400 CEDAR RUN CV, MEMPHIS, TN, 
29346, 1400 CLEMENTINE 11, MEMPHIS, TN, 
29347, 1400 CLYDE, MEMPHIS, TN, 
29348, 1400 E MASSEY, MEMPHIS, TN, 
29349, 1400 EAST MALLORY, MEMPHIS, TN, 
29350, 1400 ELKWOOD ST, MEMPHIS, TN, 
29351, 1400 HICKORY RIDGE CV, MEMPHIS, TN, 
29352, 1400 ISLAND PLACE EAST, MEMPHIS, TN, 
29353, 1400 ISLAND SHORE, MEMPHIS, TN, 
29354, 1400 IVY, MEMPHIS, TN, 
29355, 1400 MARECHALNEIL ST, MEMPHIS, TN, 
29356, 1400 MULLINS STATION RD, MEMPHIS, TN, 
29357, 1400 N DECATUR ST, MEMPHIS, TN, 
29358, 1400 N DECATUR, MEMPHIS, TN, 
29359, 1400 N MERTON ST, MEMPHIS, TN, 
29360, 1400 NORTH BELLEVUE, MEMPHIS, TN, 
29361, 1400 NORTH DR, MEMPHIS, TN, 
29362, 1400 NORTH LEXINGTON CIRCLE, MEMPHIS, TN, 
29363, 1400 ORGIL, MEMPHIS, TN, 
29364, 1400 PARTEE CV, MEMPHIS, TN, 
29365, 1400 PHILADELPHIA, MEMPHIS, TN, 
