18170, 2100 LEICHESTER, MEMPHIS, TN, 
18171, 2100 PENNEL RD, MEMPHIS, TN, 
18172, 2100 REDBUD, MEMPHIS, TN, 
18173, 2100 SLATE RD, MEMPHIS, TN, 
18174, 2100 WARREN ST, MEMPHIS, TN, 
18175, 2200 DEERCREST LN, MEMPHIS, TN, 
18176, 2200 HILLVIEW, MEMPHIS, TN, 
18177, 2200 MANGUM, MEMPHIS, TN, 
18178, 2200 MORNING VISTA, MEMPHIS, TN, 
18179, 2200 N GERMANTOWN, MEMPHIS, TN, 
18180, 2200 PTARMIGAN TRAIL, MEMPHIS, TN, 
18181, 2200 SEVEN OAKS DR, MEMPHIS, TN, 
18182, 2200 WOODFIELD PARK DR, MEMPHIS, TN, 
18183, 2200, MEMPHIS, TN, 
18184, 2300 BENTON, MEMPHIS, TN, 
18185, 2300 CLARKSDALE AVE, MEMPHIS, TN, 
18186, 2300 LITTLEMORE, MEMPHIS, TN, 
18187, 2300 VERSE CV, MEMPHIS, TN, 
18188, 2400 BLUE, MEMPHIS, TN, 
18189, 2400 CELESTE DR, MEMPHIS, TN, 
18190, 2400 CITICO DR, MEMPHIS, TN, 
18191, 2400 CLEARPARK DR, MEMPHIS, TN, 
18192, 2400 EASTWOOD AVE, MEMPHIS, TN, 
18193, 2400 ELDRIDGE AVE, MEMPHIS, TN, 
18194, 2400 HEARD, MEMPHIS, TN, 
18195, 2400 LYNNFIELD, MEMPHIS, TN, 
18196, 2400 MARBLE AVE, MEMPHIS, TN, 
18197, 2400 MORNING VISTA, MEMPHIS, TN, 
18198, 2400 RIDGEWAY RD, MEMPHIS, TN, 
18199, 2400 SILVER CV, MEMPHIS, TN, 
18200, 2400 SOUTH PKWY EAST, MEMPHIS, TN, 
18201, 2500 ALCY MANOR, MEMPHIS, TN, 
18202, 2500 COUNTRY TRAIL DR, MEMPHIS, TN, 
18203, 2500 DERBYSHIRE, MEMPHIS, TN, 
18204, 2500 E WELLONS, MEMPHIS, TN, 
18205, 2500 HALE AVE, MEMPHIS, TN, 
18206, 2500 LOCKMEADE, MEMPHIS, TN, 
18207, 2500 NORTHUMBERLAND LN, MEMPHIS, TN, 
18208, 2500 PATE, MEMPHIS, TN, 
18209, 2500 PRINCETON AVE, MEMPHIS, TN, 
18210, 2500 SMITHRIDGE, MEMPHIS, TN, 
18211, 2600 FRAYSER BOULEVARD, MEMPHIS, TN, 
18212, 2600 GOOD WILL LN, MEMPHIS, TN, 
18213, 2600 HAWKINS MILL RD, MEMPHIS, TN, 
18214, 2600 PLUM CREEK DR, MEMPHIS, TN, 
18215, 2600 SOUTHERN, MEMPHIS, TN, 
18216, 2700 AMERICAN WAY, MEMPHIS, TN, 
18217, 2700 FAXON, MEMPHIS, TN, 
18218, 2700 HARVARD, MEMPHIS, TN, 
18219, 2700 KIRBY-WHITTEN, MEMPHIS, TN, 
18220, 2700 NGERMANTOWN PKWY, MEMPHIS, TN, 
18221, 2700 NIGHTINGALE DR, MEMPHIS, TN, 
18222, 2700 S MENDENHALL RD, MEMPHIS, TN, 
18223, 2700 TAGEN CV, MEMPHIS, TN, 
18224, 2700 TREEMONT DR, MEMPHIS, TN, 
18225, 2700 WALNUT RD, MEMPHIS, TN, 
18226, 2700 WHITNEY, MEMPHIS, TN, 
18227, 2800 BATTLE CREEK, MEMPHIS, TN, 
18228, 2800 BEVERLY HILL, MEMPHIS, TN, 
18229, 2800 BREWER, MEMPHIS, TN, 
18230, 2800 CHISWOOD, MEMPHIS, TN, 
18231, 2800 HARMON WOOD, MEMPHIS, TN, 
18232, 2800 HICKORY VILLA DR, MEMPHIS, TN, 
18233, 2800 NIX CV, MEMPHIS, TN, 
18234, 2800 PROFIT, MEMPHIS, TN, 
18235, 2800 RAMBLING BROOK DR, MEMPHIS, TN, 
18236, 2800 SOUTHMEADE, MEMPHIS, TN, 
18237, 2800 TREASURE ISLAND WEST, MEMPHIS, TN, 
18238, 2800 VAN LEER DR, MEMPHIS, TN, 
18239, 2900 APPLING RD, MEMPHIS, TN, 
18240, 2900 CLARKE, MEMPHIS, TN, 
18241, 2900 CLEARBROOK ST, MEMPHIS, TN, 
18242, 2900 FARGO, MEMPHIS, TN, 
18243, 2900 GOODLETT, MEMPHIS, TN, 
18244, 2900 LETREC, MEMPHIS, TN, 
18245, 2900 N REDBUD CIR, MEMPHIS, TN, 
18246, 2900 SHADY OAK AVE, MEMPHIS, TN, 
18247, 2900 TREVA DR, MEMPHIS, TN, 
18248, 2900 WASHINGTON SQUARE, MEMPHIS, TN, 
18249, 2900 WESTMEADE, MEMPHIS, TN, 
18250, 2900, MEMPHIS, TN, 
18251, 300 ANGELUS ST, MEMPHIS, TN, 
18252, 300 APPLETON, MEMPHIS, TN, 
18253, 300 BRUSHWOOD CV, MEMPHIS, TN, 
18254, 300 BURWOOD DR, MEMPHIS, TN, 
18255, 300 E MC LEMORE AVE, MEMPHIS, TN, 
18256, 300 E REDOAK, MEMPHIS, TN, 
18257, 300 E TRIGG AVE, MEMPHIS, TN, 
18258, 300 G E PATTERSON, MEMPHIS, TN, 
18259, 300 GRACEWOOD ST, MEMPHIS, TN, 
18260, 300 HENRY ST, MEMPHIS, TN, 
18261, 300 MONROE, MEMPHIS, TN, 
18262, 300 N DUNLAP ST, MEMPHIS, TN, 
18263, 300 N HIGHLAND ST, MEMPHIS, TN, 
18264, 300 NORTH MAIN ST, MEMPHIS, TN, 
18265, 300 S FOURTH, MEMPHIS, TN, 
18266, 300 S SOMERVILLE ST, MEMPHIS, TN, 
18267, 300 S SOMERVILLE, MEMPHIS, TN, 
18268, 300 SOUTH LAUDERDALE, MEMPHIS, TN, 
18269, 300 SOUTH SUSSEX LN, MEMPHIS, TN, 
18270, 300 SUSSEX LN, MEMPHIS, TN, 
18271, 300 VANCE, MEMPHIS, TN, 
18272, 300 W NORWOOD AVE, MEMPHIS, TN, 
18273, 300 W UTAH, MEMPHIS, TN, 
18274, 300 WEST RED OAKS, MEMPHIS, TN, 
18275, 3000 BIRCHFIELD DR, MEMPHIS, TN, 
18276, 3000 CAMDEN, MEMPHIS, TN, 
18277, 3000 CAPRI ST, MEMPHIS, TN, 
18278, 3000 CLEARBROOK ST, MEMPHIS, TN, 
18279, 3000 CROLEY DR, MEMPHIS, TN, 
18280, 3000 DIRECTORS ROW, MEMPHIS, TN, 
18281, 3000 DOUGLASS, MEMPHIS, TN, 
18282, 3000 EAST ST, MEMPHIS, TN, 
18283, 3000 GOODLETT RD, MEMPHIS, TN, 
18284, 3000 HOSKINS RD, MEMPHIS, TN, 
18285, 3000 HUNTINGTON TRAIL, MEMPHIS, TN, 
18286, 3000 MILL BRANCH RD, MEMPHIS, TN, 
18287, 3000 RANDY, MEMPHIS, TN, 
18288, 3000 SCOTLAND, MEMPHIS, TN, 
18289, 3000 SOUTHERN, MEMPHIS, TN, 
18290, 3000 WALKER, MEMPHIS, TN, 
18291, 3100 BELLBROOK, MEMPHIS, TN, 
18292, 3100 BENJESTOWN RD, MEMPHIS, TN, 
18293, 3100 CARVEL, MEMPHIS, TN, 
18294, 3100 COLLIER, MEMPHIS, TN, 
18295, 3100 CROLEY DR, MEMPHIS, TN, 
18296, 3100 DICKMANN, MEMPHIS, TN, 
18297, 3100 DOTHAN ST, MEMPHIS, TN, 
18298, 3100 FERRELL PARK CV, MEMPHIS, TN, 
18299, 3100 FLEETBROOK DR, MEMPHIS, TN, 
18300, 3100 LINDA, MEMPHIS, TN, 
18301, 3100 MOUNTAIN TERRACE, MEMPHIS, TN, 
18302, 3100 PACIFIC, MEMPHIS, TN, 
18303, 3100 PRINCETON AVE, MEMPHIS, TN, 
18304, 3100 RANGE LINE, MEMPHIS, TN, 
18305, 3100 SCHEIBLER, MEMPHIS, TN, 
18306, 3100 SKY WAY DR, MEMPHIS, TN, 
18307, 3100 SKYCASTLE CV, MEMPHIS, TN, 
18308, 3100 WAVERLY, MEMPHIS, TN, 
18309, 3200 CASTLEMAN ST, MEMPHIS, TN, 
18310, 3200 DUKE ELLINGTON AVE, MEMPHIS, TN, 
18311, 3200 ESTES ST, MEMPHIS, TN, 
18312, 3200 FLEETBROOK, MEMPHIS, TN, 
18313, 3200 HARCOURT WAY, MEMPHIS, TN, 
18314, 3200 JOSIBPET LN, MEMPHIS, TN, 
18315, 3200 KENNETH, MEMPHIS, TN, 
18316, 3200 KNIGHTSBRIDGE CIR, MEMPHIS, TN, 
18317, 3200 MILLINGTON, MEMPHIS, TN, 
18318, 3200 RADFORD RD, MEMPHIS, TN, 
18319, 3200 SEMINOLE, MEMPHIS, TN, 
18320, 3200 SOUTH MENDENHALL RD, MEMPHIS, TN, 
18321, 3300 ABBOTTSFORD AVE, MEMPHIS, TN, 
18322, 3300 ADAIR, MEMPHIS, TN, 
18323, 3300 DANVILLE CR, MEMPHIS, TN, 
18324, 3300 DAWN DR, MEMPHIS, TN, 
18325, 3300 DUNSFORD WAY, MEMPHIS, TN, 
18326, 3300 E ROSITA CIRCLE, MEMPHIS, TN, 
18327, 3300 EAST SHIRLEY CIRCLE, MEMPHIS, TN, 
18328, 3300 FOX HOLLOW, MEMPHIS, TN, 
18329, 3300 HENDRICKS, MEMPHIS, TN, 
18330, 3300 JEAN DR, MEMPHIS, TN, 
18331, 3300 KIRBY, MEMPHIS, TN, 
18332, 3300 LAKEVIEW, MEMPHIS, TN, 
18333, 3300 LEMANS LN, MEMPHIS, TN, 
18334, 3300 NAVAJO LN, MEMPHIS, TN, 
18335, 3300 OLD HORN LAKE RD, MEMPHIS, TN, 
18336, 3300 SHERRYCREST DR, MEMPHIS, TN, 
18337, 3300 TEAKROCK, MEMPHIS, TN, 
18338, 3300 UNIVERSITY ST, MEMPHIS, TN, 
18339, 3300 WEST DANVILLE, MEMPHIS, TN, 
18340, 3300 WESTELLE, MEMPHIS, TN, 
18341, 3300 WHITNEY AVE, MEMPHIS, TN, 
18342, 3400 BROCKCREST, MEMPHIS, TN, 
18343, 3400 BROOKMEADE, MEMPHIS, TN, 
18344, 3400 CLARKE RD, MEMPHIS, TN, 
18345, 3400 COMMERCIAL PKWY, MEMPHIS, TN, 
18346, 3400 E BRIARPARK DR, MEMPHIS, TN, 
18347, 3400 EASTPORT, MEMPHIS, TN, 
