19225, 1800 NORTH GERMANTOWN, MEMPHIS, TN, 
19226, 1800 PERKINS, MEMPHIS, TN, 
19227, 1800 RAINES, MEMPHIS, TN, 
19228, 1800 RANDOLPH, MEMPHIS, TN, 
19229, 1800 S TREZEVANT ST, MEMPHIS, TN, 
19230, 1800 SUTTON DR, MEMPHIS, TN, 
19231, 1800 VICTORIA RD, MEMPHIS, TN, 
19232, 1800 WINCHESTER ST, MEMPHIS, TN, 
19233, 1900 1ST CV, MEMPHIS, TN, 
19234, 1900 AUTUMN, MEMPHIS, TN, 
19235, 1900 DUPONT AVE, MEMPHIS, TN, 
19236, 1900 EZELL ST, MEMPHIS, TN, 
19237, 1900 FARRINGTON ST, MEMPHIS, TN, 
19238, 1900 KENT, MEMPHIS, TN, 
19239, 1900 LYNWOOD, MEMPHIS, TN, 
19240, 1900 MEADOWHILL, MEMPHIS, TN, 
19241, 1900 MONTICELLO, MEMPHIS, TN, 
19242, 1900 PEABODY AVE, MEMPHIS, TN, 
19243, 1900 POPLAR CREST CV, MEMPHIS, TN, 
19244, 1900 SWIFT ST, MEMPHIS, TN, 
19245, 1900 THE ELMS, MEMPHIS, TN, 
19246, 1900 WALKER AVE, MEMPHIS, TN, 
19247, 200 ADAMS AVE, MEMPHIS, TN, 
19248, 200 AVALON, MEMPHIS, TN, 
19249, 200 BELLINGHAM LN, MEMPHIS, TN, 
19250, 200 E BUTLER AVE, MEMPHIS, TN, 
19251, 200 E PKWY N, MEMPHIS, TN, 
19252, 200 ERICSON, MEMPHIS, TN, 
19253, 200 GASTON, MEMPHIS, TN, 
19254, 200 HARBOR TOWN SQUARE, MEMPHIS, TN, 
19255, 200 N AVALON AVE, MEMPHIS, TN, 
19256, 200 N BARKSDALE, MEMPHIS, TN, 
19257, 200 N BELLEVUE BLVD, MEMPHIS, TN, 
19258, 200 N RIVERSIDE DR, MEMPHIS, TN, 
19259, 200 NORTH PAULINE, MEMPHIS, TN, 
19260, 200 S HOLLYWOOD, MEMPHIS, TN, 
19261, 200 SILVER AGE, MEMPHIS, TN, 
19262, 200 SOUTH PKWY WEST, MEMPHIS, TN, 
19263, 200 TIMBER CREEK, MEMPHIS, TN, 
19264, 200 W GAGE, MEMPHIS, TN, 
19265, 200 W MITCHELL RD, MEMPHIS, TN, 
19266, 200 WIND BREEZE, MEMPHIS, TN, 
19267, 2000 BALL, MEMPHIS, TN, 
19268, 2000 BOHEMIA DR, MEMPHIS, TN, 
19269, 2000 DAVIS CIR, MEMPHIS, TN, 
19270, 2000 DEARING, MEMPHIS, TN, 
19271, 2000 ELDORADO, MEMPHIS, TN, 
19272, 2000 ELZEY, MEMPHIS, TN, 
19273, 2000 HARTLAND ST, MEMPHIS, TN, 
19274, 2000 KINGSLEY, MEMPHIS, TN, 
19275, 2000 MARTIN CIR, MEMPHIS, TN, 
19276, 2000 OLIVE BARK, MEMPHIS, TN, 
19277, 2000 PHILSAR AVE, MEMPHIS, TN, 
19278, 2000 PROSPECT ST, MEMPHIS, TN, 
19279, 2000 RILE ST, MEMPHIS, TN, 
19280, 2000 SO THIRD, MEMPHIS, TN, 
19281, 2000 SYCAMORE VIEW RD, MEMPHIS, TN, 
19282, 2000 THOMAS RD, MEMPHIS, TN, 
19283, 2000 TIMOTHY CV, MEMPHIS, TN, 
19284, 2100 ALTA VISTA, MEMPHIS, TN, 
19285, 2100 CABANA CIRCLE, MEMPHIS, TN, 
19286, 2100 EAST ALCY RD, MEMPHIS, TN, 
19287, 2100 EAST BROOKS RD, MEMPHIS, TN, 
19288, 2100 FLETCHER CREEK DR, MEMPHIS, TN, 
19289, 2100 HEDMAN, MEMPHIS, TN, 
19290, 2100 IMOGENE ST, MEMPHIS, TN, 
19291, 2100 IMOGENE, MEMPHIS, TN, 
19292, 2100 JAN DR, MEMPHIS, TN, 
19293, 2100 KINGSLEY, MEMPHIS, TN, 
19294, 2100 LEICHESTER LN, MEMPHIS, TN, 
19295, 2100 LIVEWELL, MEMPHIS, TN, 
19296, 2100 MONA, MEMPHIS, TN, 
19297, 2100 NORTH CABANA, MEMPHIS, TN, 
19298, 2100 PEACOCK RIDGE, MEMPHIS, TN, 
19299, 2100 QUINN, MEMPHIS, TN, 
19300, 2100 RIVERSIDE, MEMPHIS, TN, 
19301, 2100 ST JAMES DR, MEMPHIS, TN, 
19302, 2100 WASKOM DR, MEMPHIS, TN, 
19303, 2100, MEMPHIS, TN, 
19304, 2200 ALCY RD, MEMPHIS, TN, 
19305, 2200 BUSINESS CENTER DR, MEMPHIS, TN, 
19306, 2200 CORNING AVE, MEMPHIS, TN, 
19307, 2200 DURBY CV, MEMPHIS, TN, 
19308, 2200 E HILLVIEW DR, MEMPHIS, TN, 
19309, 2200 E MCLEMORE, MEMPHIS, TN, 
19310, 2200 E SHELBY, MEMPHIS, TN, 
19311, 2200 EAST HILLVIEW CV, MEMPHIS, TN, 
19312, 2200 EVENINGVIEW, MEMPHIS, TN, 
19313, 2200 GAYLE AVE, MEMPHIS, TN, 
19314, 2200 HAWKINS MILL, MEMPHIS, TN, 
19315, 2200 HENRY CIRCLE, MEMPHIS, TN, 
19316, 2200 LEYTON AVE, MEMPHIS, TN, 
19317, 2200 LISA, MEMPHIS, TN, 
