65212, 4000 RIVERGROVE RD, MEMPHIS, TN, 
65213, 4000 ROLLING GREEN DR, MEMPHIS, TN, 
65214, 4000 ROYAL OAK, MEMPHIS, TN, 
65215, 4000 RUNWAY, MEMPHIS, TN, 
65216, 4000 S ADVANTAGE WAY, MEMPHIS, TN, 
65217, 4000 S ADVANTANGE WAY, MEMPHIS, TN, 
65218, 4000 S GALLOWAY DR, MEMPHIS, TN, 
65219, 4000 S GERMANSHIRE, MEMPHIS, TN, 
65220, 4000 S KINGSBURY, MEMPHIS, TN, 
65221, 4000 S PERKINS CUT OFF RD, MEMPHIS, TN, 
65222, 4000 S ROILSSLAND, MEMPHIS, TN, 
65223, 4000 S ROSALIND CIR, MEMPHIS, TN, 
65224, 4000 S ROSSILAND CIRCLE, MEMPHIS, TN, 
65225, 4000 S WESLEY FOREST CIR, MEMPHIS, TN, 
65226, 4000 SCHOOLFIELD ST, MEMPHIS, TN, 
65227, 4000 SEDEWICK RD, MEMPHIS, TN, 
65228, 4000 SEDGWICK AVE, MEMPHIS, TN, 
65229, 4000 SEDGWICK DR, MEMPHIS, TN, 
65230, 4000 SEDGWICK ST, MEMPHIS, TN, 
65231, 4000 SHIRLEY, MEMPHIS, TN, 
65232, 4000 SIGNAL, MEMPHIS, TN, 
65233, 4000 SILVER LEAF DR, MEMPHIS, TN, 
65234, 4000 SKYLARK, MEMPHIS, TN, 
65235, 4000 SOAPSTONE ST, MEMPHIS, TN, 
65236, 4000 SOUTH LAWN, MEMPHIS, TN, 
65237, 4000 SOUTH PERKINS, MEMPHIS, TN, 
65238, 4000 SPIEGEL DR, MEMPHIS, TN, 
65239, 4000 SPRING FIELD RD, MEMPHIS, TN, 
65240, 4000 SPRINGFIELD DR, MEMPHIS, TN, 
65241, 4000 SPUMANTE DR, MEMPHIS, TN, 
65242, 4000 STAGE RD, MEMPHIS, TN, 
65243, 4000 STAURT, MEMPHIS, TN, 
65244, 4000 STEEL, MEMPHIS, TN, 
