4173, 2200 W RIVERTRACE, MEMPHIS, TN, 
4174, 2200 WABASH, MEMPHIS, TN, 
4175, 2400 DOUGLASS AVE, MEMPHIS, TN, 
4176, 2600 THACKERY, MEMPHIS, TN, 
4177, 2700 PARK, MEMPHIS, TN, 
4178, 2900 CARNES, MEMPHIS, TN, 
4179, 2900 MORNING GLOW, MEMPHIS, TN, 
4180, 300 RADAR, MEMPHIS, TN, 
4181, 3000 CLEARBROOK, MEMPHIS, TN, 
4182, 3000 ELVIS PRESLEY, MEMPHIS, TN, 
4183, 3200 BOONE, MEMPHIS, TN, 
4184, 3200 HOSKINS, MEMPHIS, TN, 
4185, 3200 WHISPERING LN, MEMPHIS, TN, 
4186, 3300 ALTA, MEMPHIS, TN, 
4187, 3300 CHOCTAW, MEMPHIS, TN, 
4188, 3300 S MENDENHALL RD, MEMPHIS, TN, 
4189, 3500 BRUTONWOOD CV, MEMPHIS, TN, 
4190, 3500 CASTLEMAN ST, MEMPHIS, TN, 
4191, 3600 METROPOLITAN LN, MEMPHIS, TN, 
4192, 3600 ROYAL ARMS CT, MEMPHIS, TN, 
4193, 3700 BARRON AVE, MEMPHIS, TN, 
4194, 3700 FAIRMONT, MEMPHIS, TN, 
4195, 3700 HILLBROOK RD, MEMPHIS, TN, 
4196, 3700 MILLBRANCH RD, MEMPHIS, TN, 
4197, 3700 NAYLOR, MEMPHIS, TN, 
4198, 3800 NORTH ADVANTAGE WAY, MEMPHIS, TN, 
4199, 3900 MENDENHALL, MEMPHIS, TN, 
4200, 3900 VERNON, MEMPHIS, TN, 
4201, 4100 ARGONNE, MEMPHIS, TN, 
4202, 4100 RHODES, MEMPHIS, TN, 
4203, 4100 SOUTHLAWN, MEMPHIS, TN, 
4204, 4200 LAMAR, MEMPHIS, TN, 
4205, 4200 S THIRD ST, MEMPHIS, TN, 
4206, 4300 MILLBRANCH, MEMPHIS, TN, 
4207, 4400 FIREROCK CIR, MEMPHIS, TN, 
4208, 4400 GETWELL, MEMPHIS, TN, 
4209, 4400 WILLOW PARK CV, MEMPHIS, TN, 
4210, 4500 POWELL AVE, MEMPHIS, TN, 
4211, 4500 SUMNERS WELLS, MEMPHIS, TN, 
4212, 4500 WINCHESTER RD, MEMPHIS, TN, 
