155160, I240 WB INTERSTATE AND AIRWAYS RD, MEMPHIS, TN, 
155161, I240 WEST AND CRUMP BLVD, MEMPHIS, TN, 
155162, I240 WEST AND PERKINS, MEMPHIS, TN, 
155163, I240 WEST RD, MEMPHIS, TN, 
155164, I240 WESTBOUND EAST OF GETWELL, MEMPHIS, TN, 
155165, I240-GETWELL, MEMPHIS, TN, 
155166, I240, MEMPHIS, TN, 
155167, I240/GETWELL, MEMPHIS, TN, 
155168, I240/PERKINS, MEMPHIS, TN, 
155169, I240/WATKINS, MEMPHIS, TN, 
155170, I240AND WALNUT GROVE, MEMPHIS, TN, 
155171, I240E AND 385, MEMPHIS, TN, 
155172, I240E AND MILBRANCH, MEMPHIS, TN, 
155173, I240E AND MILLBRANCH, MEMPHIS, TN, 
155174, I240E AND WATKINS EXIT, MEMPHIS, TN, 
155175, I240EB AND MILLBRANCH RD, MEMPHIS, TN, 
155176, I240HWY AND MILLBRANCH RD, MEMPHIS, TN, 
155177, I240M AND MADISON, MEMPHIS, TN, 
155178, I240N AND I40W, MEMPHIS, TN, 
155179, I240N AND LAMAR, MEMPHIS, TN, 
155180, I240N AND UNION, MEMPHIS, TN, 
155181, I240S AND NORRIS RD, MEMPHIS, TN, 
155182, I240W AND AIRWAYS, MEMPHIS, TN, 
155183, I240W AND I55 SOUTH, MEMPHIS, TN, 
155184, I240W AND LAMAR, MEMPHIS, TN, 
155185, I240W AND MILLBRANCH EXIT, MEMPHIS, TN, 
155186, I240W AND MILLBRANCH, MEMPHIS, TN, 
155187, I240W EXIT RAMP AND COVINGTON PIKE, MEMPHIS, TN, 
155188, I240WB AND LAMAR, MEMPHIS, TN, 
155189, I240WB AND PERKINS, MEMPHIS, TN, 
155190, I240WEST AND PARKWAY, MEMPHIS, TN, 
155191, I2460 PATE RD, MEMPHIS, TN, 
155192, I3789 BELLEAU ST, MEMPHIS, TN, 
155193, I385 AND BILL MORRIS PKWY, MEMPHIS, TN, 
155194, I385 AND HACKS CROSS, MEMPHIS, TN, 
155195, I385 AND KIRBY PKWY, MEMPHIS, TN, 
155196, I385 AND KIRBY, MEMPHIS, TN, 
155197, I385 AND RIDGEWAY AND KIRBY, MEMPHIS, TN, 
155198, I385 BILL MORRIS PKWY, MEMPHIS, TN, 
155199, I385 EAST OF MT MORIAH, MEMPHIS, TN, 
155200, I385 EASTBOUND AND RIVERDALE RD, MEMPHIS, TN, 
155201, I385 EXIT RAMP AND RIDGEWAY S AND B, MEMPHIS, TN, 
155202, I385/RIDGEWAY, MEMPHIS, TN, 
155203, I385E AND HICKORY HILL, MEMPHIS, TN, 
155204, I40 & CHELSEA, MEMPHIS, TN, 
155205, I40 & WARFORD STREET, MEMPHIS, TN, 
155206, I40 AND 1 ON 1 CONNECT, MEMPHIS, TN, 
155207, I40 AND 101 CONNECTOR, MEMPHIS, TN, 
155208, I40 AND 240, MEMPHIS, TN, 
155209, I40 AND 385, MEMPHIS, TN, 
155210, I40 AND 51 EXIT, MEMPHIS, TN, 
155211, I40 AND AIRLINE, MEMPHIS, TN, 
155212, I40 AND APPLING RD OFFRAMP, MEMPHIS, TN, 
155213, I40 AND BILL NORRIS, MEMPHIS, TN, 
155214, I40 AND CHELSEA AVE, MEMPHIS, TN, 
155215, I40 AND COVINGTON, MEMPHIS, TN, 
155216, I40 AND DANNY THOMAS EXIT, MEMPHIS, TN, 
155217, I40 AND E OF WATKINS, MEMPHIS, TN, 
155218, I40 AND GERMANTOWN PKWY N, MEMPHIS, TN, 
155219, I40 AND GERMANTOWN PKWY, MEMPHIS, TN, 
155220, I40 AND GERMANTOWN, MEMPHIS, TN, 
155221, I40 AND GETWELL, MEMPHIS, TN, 
155222, I40 AND GRAHAM, MEMPHIS, TN, 
155223, I40 AND HIGHLAND, MEMPHIS, TN, 
155224, I40 AND HWY 64, MEMPHIS, TN, 
155225, I40 AND JACKSON EXIT, MEMPHIS, TN, 
155226, I40 AND JEFFERSON AVE, MEMPHIS, TN, 
155227, I40 AND LAMAR, MEMPHIS, TN, 
155228, I40 AND MCLEAN, MEMPHIS, TN, 
155229, I40 AND MILE MARKER 13, MEMPHIS, TN, 
155230, I40 AND MILLINGTON, MEMPHIS, TN, 
155231, I40 AND MOUNT MORIAH, MEMPHIS, TN, 
155232, I40 AND N HOLLYWOOD, MEMPHIS, TN, 
155233, I40 AND N MCLEAN, MEMPHIS, TN, 
155234, I40 AND NORRIS, MEMPHIS, TN, 
155235, I40 AND NORTH MCLEAN, MEMPHIS, TN, 
155236, I40 AND RIVERSIDE DR, MEMPHIS, TN, 
155237, I40 AND SAM COOPER BLVD, MEMPHIS, TN, 
155238, I40 AND SYCAMORE VIEE, MEMPHIS, TN, 
155239, I40 AND SYCAMORE VIEW W AND B, MEMPHIS, TN, 
155240, I40 AND SYCAMORE VIEW-MARKER13, MEMPHIS, TN, 
155241, I40 AND UNION, MEMPHIS, TN, 
