12154, 1100 N MCLEAN, MEMPHIS, TN, 
12155, 1100 S COOPER ST, MEMPHIS, TN, 
12156, 1100 S ORLEANS ST, MEMPHIS, TN, 
12157, 1100 SANDRA, MEMPHIS, TN, 
12158, 1100 STRATFORD, MEMPHIS, TN, 
12159, 1100 TREADWELL ST, MEMPHIS, TN, 
12160, 1100 WARING CV, MEMPHIS, TN, 
12161, 1100 WESTERN PARK, MEMPHIS, TN, 
12162, 1200 AIRWAYS, MEMPHIS, TN, 
12163, 1200 EFFIE, MEMPHIS, TN, 
12164, 1200 HOLLYWOOD, MEMPHIS, TN, 
12165, 1200 KANSAS, MEMPHIS, TN, 
12166, 1200 LATHAM ST, MEMPHIS, TN, 
12167, 1200 MCNEIL, MEMPHIS, TN, 
12168, 1200 TRIGG, MEMPHIS, TN, 
12169, 1300 DANNY THOMAS, MEMPHIS, TN, 
12170, 1300 EFFIE RD, MEMPHIS, TN, 
12171, 1300 ELKWOOD, MEMPHIS, TN, 
12172, 1300 FOXCROFT, MEMPHIS, TN, 
12173, 1300 HEATHCLIFF, MEMPHIS, TN, 
12174, 1300 MARIA ST, MEMPHIS, TN, 
12175, 1300 MARY JANE, MEMPHIS, TN, 
12176, 1300 MERRYCREST, MEMPHIS, TN, 
12177, 1300 N WATKINS, MEMPHIS, TN, 
12178, 1300 NEWARK, MEMPHIS, TN, 
12179, 1300 PHILLIPS PLACE, MEMPHIS, TN, 
12180, 1300 ROYAL OAKS CV, MEMPHIS, TN, 
12181, 1300 RYANWOOD, MEMPHIS, TN, 
12182, 1300 S HIGHLAND, MEMPHIS, TN, 
12183, 1300 S ORLEANS ST, MEMPHIS, TN, 
12184, 1300 SMITH AVE, MEMPHIS, TN, 
12185, 1300 SOUTH BELLEVUE, MEMPHIS, TN, 
12186, 1300 SOUTHLAND, MEMPHIS, TN, 
12187, 1300 TURKEY RUN, MEMPHIS, TN, 
12188, 1400 GATEWAY, MEMPHIS, TN, 
12189, 1400 HOMER, MEMPHIS, TN, 
12190, 1400 KEATING, MEMPHIS, TN, 
12191, 1400 LABRADOR LN, MEMPHIS, TN, 
12192, 1400 LEHR, MEMPHIS, TN, 
12193, 1400 N MERTON, MEMPHIS, TN, 
12194, 1400 PRESCOTT, MEMPHIS, TN, 
12195, 1400, MEMPHIS, TN, 
12196, 1500 BAJA DR, MEMPHIS, TN, 
12197, 1500 FOX ST, MEMPHIS, TN, 
12198, 1500 GOODBAR, MEMPHIS, TN, 
12199, 1500 LUVERNE, MEMPHIS, TN, 
12200, 1500 MARJORIE, MEMPHIS, TN, 
12201, 1500 OLD HICKORY, MEMPHIS, TN, 
12202, 1500 SARDIS, MEMPHIS, TN, 
12203, 1500 TITUS RD, MEMPHIS, TN, 
12204, 1600 ARKANSAS ST, MEMPHIS, TN, 
12205, 1600 BAJA DR, MEMPHIS, TN, 
12206, 1600 BRITTON ST, MEMPHIS, TN, 
12207, 1600 DAVIS ST, MEMPHIS, TN, 
12208, 1600 DUKE RD, MEMPHIS, TN, 
12209, 1600 E MALLORY, MEMPHIS, TN, 
12210, 1600 HAVANNA, MEMPHIS, TN, 
12211, 1600 LANARK CT, MEMPHIS, TN, 
12212, 1600 MARIANNA ST, MEMPHIS, TN, 
12213, 1600 MARY JANE, MEMPHIS, TN, 
12214, 1600 MENAGER, MEMPHIS, TN, 
12215, 1600 NORRIS, MEMPHIS, TN, 
12216, 1600 PEPPERWOOD, MEMPHIS, TN, 
12217, 1600 PILLOW ST, MEMPHIS, TN, 
12218, 1600 ROLLING HILLS, MEMPHIS, TN, 
12219, 1700 CENTURY CENTER, MEMPHIS, TN, 
12220, 1700 COLEBROOK, MEMPHIS, TN, 
12221, 1700 COMBS, MEMPHIS, TN, 
12222, 1700 DENA, MEMPHIS, TN, 
12223, 1700 FRAYSER BLVD, MEMPHIS, TN, 
12224, 1700 LATHAM ST, MEMPHIS, TN, 
12225, 1700 LOOKOUT, MEMPHIS, TN, 
12226, 1700 ORIOLE, MEMPHIS, TN, 
12227, 1700 POPE ST, MEMPHIS, TN, 
12228, 1700 RAYBURN ST, MEMPHIS, TN, 
12229, 1700 ROBIN HOOD LN, MEMPHIS, TN, 
12230, 1700 S ORLEANS ST, MEMPHIS, TN, 
12231, 1700 VANCE, MEMPHIS, TN, 
12232, 1700 VESEY, MEMPHIS, TN, 
12233, 1700 VINTON, MEMPHIS, TN, 
12234, 1700 WAVERLY AVE, MEMPHIS, TN, 
12235, 1800 BARTLETT, MEMPHIS, TN, 
12236, 1800 BROWN AVE, MEMPHIS, TN, 
12237, 1800 CHELSEA, MEMPHIS, TN, 
12238, 1800 EAST HOLMES, MEMPHIS, TN, 
12239, 1800 FOSTER AVE, MEMPHIS, TN, 
12240, 1800 FOX HUNT LN, MEMPHIS, TN, 
12241, 1800 HOOD, MEMPHIS, TN, 
12242, 1800 MORYLE, MEMPHIS, TN, 
12243, 1800 PEABODY, MEMPHIS, TN, 
12244, 1800 PRESCOTT RD, MEMPHIS, TN, 
12245, 1800 RIVERSIDE, MEMPHIS, TN, 
12246, 1800 STEVEWAY, MEMPHIS, TN, 
12247, 1800 WELLINGTON, MEMPHIS, TN, 
12248, 1800 WILLOW WOOD, MEMPHIS, TN, 
12249, 1900 COVENTRY DR, MEMPHIS, TN, 
12250, 1900 HARBOR AVE, MEMPHIS, TN, 
12251, 1900 LYNDALE, MEMPHIS, TN, 
12252, 1900 POPLAR PINES, MEMPHIS, TN, 
12253, 1900 RUGBY PLACE, MEMPHIS, TN, 
12254, 1900 SYCAMORE VIEW, MEMPHIS, TN, 
12255, 1900 VICTORIA RD, MEMPHIS, TN, 
12256, 1900 WOODBURN, MEMPHIS, TN, 
12257, 200 E BISCAYNE RD, MEMPHIS, TN, 
12258, 200 EAST FRANK, MEMPHIS, TN, 
12259, 200 MARNE, MEMPHIS, TN, 
12260, 200 N BELVEDERE ST, MEMPHIS, TN, 
12261, 200 NORTH BELLEVUE, MEMPHIS, TN, 
12262, 200 SULLIVAN, MEMPHIS, TN, 
12263, 200 W RED OAK DR, MEMPHIS, TN, 
12264, 2000 CASTALIA ST, MEMPHIS, TN, 
12265, 2000 CORPORATE AVE, MEMPHIS, TN, 
12266, 2000 EZELL RD, MEMPHIS, TN, 
12267, 2000 HOBBITS ROOST, MEMPHIS, TN, 
12268, 2000 KENDALE, MEMPHIS, TN, 
12269, 2000 SOUTHERN, MEMPHIS, TN, 
12270, 2000 THIRD, MEMPHIS, TN, 
12271, 2000 VANDERHORN, MEMPHIS, TN, 
12272, 2100 AMBERGATE, MEMPHIS, TN, 
12273, 2100 COLLIER, MEMPHIS, TN, 
12274, 2100 EAST ALCY, MEMPHIS, TN, 
12275, 2100 HERNANDO, MEMPHIS, TN, 
12276, 2100 JAN, MEMPHIS, TN, 
12277, 2100 LEE CV, MEMPHIS, TN, 
12278, 2100 LINDEN, MEMPHIS, TN, 
12279, 2100 MONROE, MEMPHIS, TN, 
12280, 2100 SHELBY, MEMPHIS, TN, 
12281, 2100 THOMAS RD, MEMPHIS, TN, 
12282, 2200 ELVIS PRESLEY BLVD, MEMPHIS, TN, 
12283, 2200 EVELYN AVE, MEMPHIS, TN, 
12284, 2200 FRISCO, MEMPHIS, TN, 
12285, 2200 GERMANTOWN PKWY, MEMPHIS, TN, 
12286, 2200 HUBERT, MEMPHIS, TN, 
12287, 2200 JEFFERSON, MEMPHIS, TN, 
12288, 2200 LATHAM, MEMPHIS, TN, 
12289, 2200 LIGON, MEMPHIS, TN, 
12290, 2200 WESTCHESTER CR, MEMPHIS, TN, 
12291, 2300 BALL RD, MEMPHIS, TN, 
12292, 2300 MEADOWGLADE LN, MEMPHIS, TN, 
12293, 2300 PERRY, MEMPHIS, TN, 
12294, 2300 SANDERS, MEMPHIS, TN, 
12295, 2300 SHELBY DR, MEMPHIS, TN, 
12296, 2400 ENTERPRISE, MEMPHIS, TN, 
12297, 2400 NUNNELEE, MEMPHIS, TN, 
12298, 2500 ELVIS PRESLEY BOULEVARD, MEMPHIS, TN, 
12299, 2500 KIMBARK WOODS CV, MEMPHIS, TN, 
12300, 2500 STATEN AVE, MEMPHIS, TN, 
12301, 2600 DOUGLASS AVE, MEMPHIS, TN, 
12302, 2600 ST ELMO AVE, MEMPHIS, TN, 
12303, 2700 DROMEDARY DR, MEMPHIS, TN, 
12304, 2700 KENDALL LN, MEMPHIS, TN, 
12305, 2700 MELISSA DR, MEMPHIS, TN, 
12306, 2800 CLARKE, MEMPHIS, TN, 
12307, 2800 DOUGLASS, MEMPHIS, TN, 
12308, 2800 JAMES, MEMPHIS, TN, 
12309, 2800 MEADOW LAKE DR, MEMPHIS, TN, 
12310, 2800 WHITTEN, MEMPHIS, TN, 
12311, 2800 WOODLAWN TERRACE, MEMPHIS, TN, 
12312, 2900 BEECHMONT, MEMPHIS, TN, 
12313, 2900 CLARKE RD, MEMPHIS, TN, 
12314, 2900 DOUGLASS AVE, MEMPHIS, TN, 
12315, 2900 EXECUTIVE, MEMPHIS, TN, 
12316, 2900 FLORA AVE, MEMPHIS, TN, 
12317, 2900 KNIGHTWAY RD, MEMPHIS, TN, 
12318, 2900 MOUNTAIN TERRACE, MEMPHIS, TN, 
12319, 2900 N HOUSTON LEVEE RD, MEMPHIS, TN, 
12320, 2900 OLD AUSTIN PEAY HIGHWAY, MEMPHIS, TN, 
12321, 2900 SHADYVISTA, MEMPHIS, TN, 
12322, 2900 YALE AVE, MEMPHIS, TN, 
12323, 300 DANNY THOMAS PLACE, MEMPHIS, TN, 
12324, 300 E FAIRWAY, MEMPHIS, TN, 
12325, 300 E JOHNSON CIRCLE, MEMPHIS, TN, 
12326, 300 E RAINES, MEMPHIS, TN, 
12327, 300 E SHELBY DR, MEMPHIS, TN, 
12328, 300 NORTH HIGHLAND, MEMPHIS, TN, 
12329, 300 OLMSTEAD, MEMPHIS, TN, 
12330, 300 S WALNUT BEND, MEMPHIS, TN, 
12331, 300 W LEVI, MEMPHIS, TN, 
12332, 300 W WALDORF AVE, MEMPHIS, TN, 
12333, 300 WEST DISON, MEMPHIS, TN, 
12334, 3000 BEDE, MEMPHIS, TN, 
12335, 3000 CHARLESTOWNE PL, MEMPHIS, TN, 
12336, 3000 CORDELL, MEMPHIS, TN, 
12337, 3000 GULF CV, MEMPHIS, TN, 
12338, 3000 MANNDALE, MEMPHIS, TN, 
12339, 3000 MEADOWBROOK, MEMPHIS, TN, 
12340, 3100 BROAD AVE, MEMPHIS, TN, 
12341, 3100 CRUMP, MEMPHIS, TN, 
12342, 3100 KNIGHTWAY RD, MEMPHIS, TN, 
12343, 3100 MORNINGSIDE ST, MEMPHIS, TN, 
12344, 3100 NORTHGATE, MEMPHIS, TN, 
12345, 3100 S EDGEWARE, MEMPHIS, TN, 
12346, 3200 ARBOR PLACE S, MEMPHIS, TN, 
12347, 3200 BELL TOWER, MEMPHIS, TN, 
12348, 3200 BENJESTOWN RD, MEMPHIS, TN, 
12349, 3200 DEBBY, MEMPHIS, TN, 
