5158, 3400 WILLIAM TELL, MEMPHIS, TN, 
5159, 3500 BRIAR PARK LOOP, MEMPHIS, TN, 
5160, 3500 SOUTHLAND, MEMPHIS, TN, 
5161, 3500 WINCHESTER PARK, MEMPHIS, TN, 
5162, 3600 SOUTHLAND, MEMPHIS, TN, 
5163, 3700 EGLESFIELD, MEMPHIS, TN, 
5164, 3700 MOZELLE, MEMPHIS, TN, 
5165, 3700 OAK HOLLOW, MEMPHIS, TN, 
5166, 3700 PLEASANT HOLLOW, MEMPHIS, TN, 
5167, 3700 TOWNES AVE, MEMPHIS, TN, 
5168, 3800 GRAVES, MEMPHIS, TN, 
5169, 3800 WHITE BIRCH, MEMPHIS, TN, 
5170, 400 HERNANDO, MEMPHIS, TN, 
5171, 400 MILL AVE, MEMPHIS, TN, 
5172, 4000 BEAVER CREEK, MEMPHIS, TN, 
5173, 4100 ARROWHEAD, MEMPHIS, TN, 
5174, 4100 TUTWILER, MEMPHIS, TN, 
5175, 4200 KAREN CV, MEMPHIS, TN, 
5176, 4200 KOSTKA, MEMPHIS, TN, 
5177, 4200 REED, MEMPHIS, TN, 
5178, 4200 TARRY WOOD DR, MEMPHIS, TN, 
5179, 4200 WALES AVE, MEMPHIS, TN, 
5180, 4300 ALPS, MEMPHIS, TN, 
5181, 4300 BEACON HILLS, MEMPHIS, TN, 
5182, 4300 SUNNYSLOPE, MEMPHIS, TN, 
5183, 4400 ANDORRA CT, MEMPHIS, TN, 
5184, 4400 RYAN, MEMPHIS, TN, 
5185, 4500 CRUMP RD, MEMPHIS, TN, 
5186, 4600 HODGE RD, MEMPHIS, TN, 
5187, 4700 SPOTTSWOOD, MEMPHIS, TN, 
5188, 4700 SUGAR CREEK, MEMPHIS, TN, 
5189, 4900 BONTURA DR, MEMPHIS, TN, 
5190, 4900 SOUTHWORTH CT, MEMPHIS, TN, 
5191, 500 LACLEDE, MEMPHIS, TN, 
5192, 500 N BUTLER WOODS CV, MEMPHIS, TN, 
5193, 5400 S MEADOWLAKE DR, MEMPHIS, TN, 
5194, 5500 MEADOWLAKE, MEMPHIS, TN, 
5195, 5600 CREPE MYRTLE, MEMPHIS, TN, 
5196, 5900 SCOTTSDALE, MEMPHIS, TN, 
5197, 5900 WALNUT GROVE, MEMPHIS, TN, 
5198, 600 HEMSLEY, MEMPHIS, TN, 
5199, 6000 HAZARD CV, MEMPHIS, TN, 
5200, 6000 N LITTLEBROOK CIR, MEMPHIS, TN, 
5201, 6400 SHELBY VIEW, MEMPHIS, TN, 
5202, 6500 KIRBY TREES DR, MEMPHIS, TN, 
5203, 6600 ASPENBROOK LN, MEMPHIS, TN, 
5204, 6600 KNIGHT ARNOLD RD, MEMPHIS, TN, 
5205, 700 ASPIRE LN, MEMPHIS, TN, 
5206, 700 BONWOOD, MEMPHIS, TN, 
5207, 700 E DAVANT, MEMPHIS, TN, 
5208, 700 LOONEY AVE, MEMPHIS, TN, 
5209, 700 MARECHALNEIL, MEMPHIS, TN, 
5210, 700 NORTH GERMANTOWN PKWY, MEMPHIS, TN, 
5211, 800 BROWER, MEMPHIS, TN, 
5212, 800 ELLSWORTH, MEMPHIS, TN, 
5213, 800 LN, MEMPHIS, TN, 
5214, 800 SAFFARANS, MEMPHIS, TN, 
5215, 8000 TENNIS CT, MEMPHIS, TN, 
5216, 900 CROCKETT ST, MEMPHIS, TN, 
5217, 900 LEACREST, MEMPHIS, TN, 
5218, 900 MARIA, MEMPHIS, TN, 
5219, 900 S HIGHLAND ST, MEMPHIS, TN, 
5220, GOODLETT AND WINCHESTER, MEMPHIS, TN, 
5221, KANSAS AND FAY, MEMPHIS, TN, 
5222, MCLEMORE AND MISSISSIPPI, MEMPHIS, TN, 
5223, OAKWOOD AND HEARD, MEMPHIS, TN, 
5224, PENDLETON AND LAMAR, MEMPHIS, TN, 
5225, SAM COOPER AND PERKINS, MEMPHIS, TN, 
5226, STEVE AND PRESCOTT, MEMPHIS, TN, 
5227, 100 N SECOND ST, MEMPHIS, TN, 
5228, 1000 FORREST, MEMPHIS, TN, 
5229, 1000 LEWIS, MEMPHIS, TN, 
5230, 1000 NABORS WAY, MEMPHIS, TN, 
5231, 1000 S MCLEAN, MEMPHIS, TN, 
5232, 1000 VOLLINTINE, MEMPHIS, TN, 
5233, 1100 ECHLES, MEMPHIS, TN, 
5234, 1100 WOODBURY, MEMPHIS, TN, 
5235, 1200 PALMETTO, MEMPHIS, TN, 
5236, 1200 RUSSWOOD, MEMPHIS, TN, 
5237, 1200 S BARKSDALE, MEMPHIS, TN, 
5238, 1400 ENGLEWOOD, MEMPHIS, TN, 
5239, 1400 MCREE, MEMPHIS, TN, 
