23160, 1200 WARFORD ST, MEMPHIS, TN, 
23161, 1200 WELLSVILLE RD, MEMPHIS, TN, 
23162, 1200 WHITING, MEMPHIS, TN, 
23163, 1200 WHITKER, MEMPHIS, TN, 
23164, 1200 WILMORE, MEMPHIS, TN, 
23165, 12400 HIGHWAY 64, MEMPHIS, TN, 
23166, 1300 BARBOUR, MEMPHIS, TN, 
23167, 1300 DEER TRAIL, MEMPHIS, TN, 
23168, 1300 DYER PL, MEMPHIS, TN, 
23169, 1300 E CRESTWOOD, MEMPHIS, TN, 
23170, 1300 E PARKWAY S, MEMPHIS, TN, 
23171, 1300 ELVIS PRESLEY, MEMPHIS, TN, 
23172, 1300 GET WELL RD, MEMPHIS, TN, 
23173, 1300 GHERALD ST, MEMPHIS, TN, 
23174, 1300 HARBOR, MEMPHIS, TN, 
23175, 1300 HICKORY RIDGE DR, MEMPHIS, TN, 
23176, 1300 LABRADOR, MEMPHIS, TN, 
23177, 1300 LOUISIANA, MEMPHIS, TN, 
23178, 1300 MARKSMAN ST, MEMPHIS, TN, 
23179, 1300 MILL CREEK CV, MEMPHIS, TN, 
23180, 1300 N GERMANTOWN PKY, MEMPHIS, TN, 
23181, 1300 N PRIMACY PKWY, MEMPHIS, TN, 
23182, 1300 NGERMANTOWN PKWY, MEMPHIS, TN, 
23183, 1300 RAYMOND ST, MEMPHIS, TN, 
23184, 1300 SALEM ST, MEMPHIS, TN, 
23185, 1300 SOUTH PKWY EAST, MEMPHIS, TN, 
23186, 1300 SOUTHBROOK MALL, MEMPHIS, TN, 
23187, 1300 WALKER AVE, MEMPHIS, TN, 
23188, 1300 WHIPPORWILL CV, MEMPHIS, TN, 
23189, 1300 YORKSHIRE DR, MEMPHIS, TN, 
23190, 1400 ASTE ST, MEMPHIS, TN, 
23191, 1400 BUSBY CV, MEMPHIS, TN, 
23192, 1400 CAROL DR, MEMPHIS, TN, 
23193, 1400 CAROLYN DR, MEMPHIS, TN, 
23194, 1400 DOGWOOD DR, MEMPHIS, TN, 
23195, 1400 DOVE ST, MEMPHIS, TN, 
23196, 1400 EAST PERSON AVE, MEMPHIS, TN, 
23197, 1400 ELOISE RD, MEMPHIS, TN, 
23198, 1400 ESSEX DR, MEMPHIS, TN, 
23199, 1400 FARONIA, MEMPHIS, TN, 
23200, 1400 GERMANTOWN, MEMPHIS, TN, 
23201, 1400 GREEN TREE VALLEY, MEMPHIS, TN, 
23202, 1400 GREENDALE AVE, MEMPHIS, TN, 
23203, 1400 GREER, MEMPHIS, TN, 
23204, 1400 HAMILTON, MEMPHIS, TN, 
23205, 1400 HARBOR AVE, MEMPHIS, TN, 
23206, 1400 HARTFORD, MEMPHIS, TN, 
23207, 1400 HAYNE, MEMPHIS, TN, 
23208, 1400 HUMBER ST, MEMPHIS, TN, 
23209, 1400 JEANNINE, MEMPHIS, TN, 
23210, 1400 LAMBERT ST, MEMPHIS, TN, 
23211, 1400 LAUDEEN DR, MEMPHIS, TN, 
23212, 1400 MARY GENE, MEMPHIS, TN, 
23213, 1400 MARYGENE DR, MEMPHIS, TN, 
23214, 1400 MCLEMORE, MEMPHIS, TN, 
23215, 1400 MERTON, MEMPHIS, TN, 
23216, 1400 MOSS BROOK LN, MEMPHIS, TN, 
23217, 1400 NORTH GRAHAM, MEMPHIS, TN, 
23218, 1400 OAKWOOD DR, MEMPHIS, TN, 
23219, 1400 PIDGEON PERCH LN, MEMPHIS, TN, 
23220, 1400 ROYAL OAKS DR, MEMPHIS, TN, 
23221, 1400 S FARONIA SQUARE, MEMPHIS, TN, 
23222, 1400 SHELBY, MEMPHIS, TN, 
23223, 1400 SOUTH COOPER, MEMPHIS, TN, 
23224, 1400 VALSE, MEMPHIS, TN, 
23225, 1400 WATERTOWN LN, MEMPHIS, TN, 
23226, 1400 WELLS STATION RD, MEMPHIS, TN, 
23227, 1400 WILLIAM FIELDS, MEMPHIS, TN, 
23228, 1400 WINFIELD AVE, MEMPHIS, TN, 
23229, 1500 BAGGET DR, MEMPHIS, TN, 
23230, 1500 BREEDLOVE ST, MEMPHIS, TN, 
23231, 1500 BRIER CREST LN, MEMPHIS, TN, 
23232, 1500 COMPTON, MEMPHIS, TN, 
23233, 1500 E HOLMES RD, MEMPHIS, TN, 
23234, 1500 EASTMORELAND AVE, MEMPHIS, TN, 
23235, 1500 FELIX AVE, MEMPHIS, TN, 
23236, 1500 GILL AVE, MEMPHIS, TN, 
23237, 1500 HARRISON ST, MEMPHIS, TN, 
23238, 1500 KINILWOOD, MEMPHIS, TN, 
23239, 1500 KNEY ST, MEMPHIS, TN, 
