14189, 3900 EAGLE NEST TRAIL, MEMPHIS, TN, 
14190, 3900 GRACELAND, MEMPHIS, TN, 
14191, 3900 NEELY RD, MEMPHIS, TN, 
14192, 400 COLLINS, MEMPHIS, TN, 
14193, 400 DREGER, MEMPHIS, TN, 
14194, 400 HOLLYWOOD, MEMPHIS, TN, 
14195, 400 LEMA PL, MEMPHIS, TN, 
14196, 400 RIVERSIDE DR, MEMPHIS, TN, 
14197, 400 S PARKWAY E, MEMPHIS, TN, 
14198, 400 S SOMERVILLE, MEMPHIS, TN, 
14199, 400 W ESSEX, MEMPHIS, TN, 
14200, 4000 BIRCH RUN CV, MEMPHIS, TN, 
14201, 4000 CARTER, MEMPHIS, TN, 
14202, 4000 CHELSEA HILLS, MEMPHIS, TN, 
14203, 4000 DAGAN, MEMPHIS, TN, 
14204, 4000 KIMBALL AVE, MEMPHIS, TN, 
14205, 4000 KINGSBURY, MEMPHIS, TN, 
14206, 4000 LUCERNE DR, MEMPHIS, TN, 
14207, 4000 OLD GETWELL, MEMPHIS, TN, 
14208, 4000 OTTER, MEMPHIS, TN, 
14209, 4000 PATTE ANN, MEMPHIS, TN, 
14210, 4000 PILOT, MEMPHIS, TN, 
14211, 4000 RENWAL, MEMPHIS, TN, 
14212, 4000 SOUTH THIRD, MEMPHIS, TN, 
14213, 4000 VICTOR, MEMPHIS, TN, 
14214, 4100 ARGONNE ST, MEMPHIS, TN, 
14215, 4100 AUSTIN PEAY HIGHWAY, MEMPHIS, TN, 
14216, 4100 BATTLEFIELD DR, MEMPHIS, TN, 
14217, 4100 BEAVER CREEK RD, MEMPHIS, TN, 
14218, 4100 BISHOPS BRIDGE, MEMPHIS, TN, 
14219, 4100 LEECH RD, MEMPHIS, TN, 
14220, 4100 LEHI DR, MEMPHIS, TN, 
14221, 4100 MICKEY DR, MEMPHIS, TN, 
14222, 4100 NAYLOR, MEMPHIS, TN, 
14223, 4100 NEW GETWELL, MEMPHIS, TN, 
14224, 4100 SPECK DR, MEMPHIS, TN, 
14225, 4100 TREVATHAN CIRCLE, MEMPHIS, TN, 
14226, 4200 ALICE ANN DR, MEMPHIS, TN, 
14227, 4200 AUX ARMS DR, MEMPHIS, TN, 
14228, 4200 BAYLISS AVE, MEMPHIS, TN, 
14229, 4200 CLYDESDALE, MEMPHIS, TN, 
14230, 4200 ELLISTON RD, MEMPHIS, TN, 
14231, 4200 HALLVIEW, MEMPHIS, TN, 
14232, 4200 LACONIA, MEMPHIS, TN, 
14233, 4200 PECAN MILL LN, MEMPHIS, TN, 
14234, 4200 RAINWATER CV, MEMPHIS, TN, 
14235, 4200 RAWDON, MEMPHIS, TN, 
14236, 4200 WEAVER RD, MEMPHIS, TN, 
14237, 4300 CARY HILL, MEMPHIS, TN, 
14238, 4300 E WIND DR, MEMPHIS, TN, 
14239, 4300 ELMRIDGE, MEMPHIS, TN, 
14240, 4300 FALCON, MEMPHIS, TN, 
14241, 4300 FREDERICKS AVE, MEMPHIS, TN, 
14242, 4300 GRACELAND RD, MEMPHIS, TN, 
14243, 4300 MIDDLESEX, MEMPHIS, TN, 
14244, 4300 OAKCREST, MEMPHIS, TN, 
14245, 4300 OXBOW CV, MEMPHIS, TN, 
14246, 4300 PILOT, MEMPHIS, TN, 
14247, 4300 PINE HOLLOW DR, MEMPHIS, TN, 
14248, 4300 RALEIGH LAGRANGE, MEMPHIS, TN, 
14249, 4300 TONAWANDA, MEMPHIS, TN, 
14250, 4300 VANN AVE, MEMPHIS, TN, 
14251, 4300 WANATAH, MEMPHIS, TN, 
14252, 4300 YALE, MEMPHIS, TN, 
14253, 4400 BARR AVE, MEMPHIS, TN, 
14254, 4400 DEERLAND ST, MEMPHIS, TN, 
14255, 4400 MISTY MORNING DR, MEMPHIS, TN, 
14256, 4400 NEELY RD, MEMPHIS, TN, 
14257, 4400 RUTH DR, MEMPHIS, TN, 
14258, 4400 S MENDENHALL RD, MEMPHIS, TN, 
14259, 4400 SIDNEY, MEMPHIS, TN, 
14260, 4400 THISTLEWAY DR, MEMPHIS, TN, 
14261, 4500 AUBURN, MEMPHIS, TN, 
14262, 4500 CEDAR GLEN DR, MEMPHIS, TN, 
14263, 4500 FORREST VALLEY, MEMPHIS, TN, 
14264, 4500 HIGHWAY 61, MEMPHIS, TN, 
14265, 4500 MORGANTOWN CV, MEMPHIS, TN, 
14266, 4500 SUMNERS WELL, MEMPHIS, TN, 
14267, 4500 TULANE RD, MEMPHIS, TN, 
14268, 4500 WATERMILL, MEMPHIS, TN, 
14269, 4500 WESTBURY, MEMPHIS, TN, 
14270, 4600 APPLEGATE RD, MEMPHIS, TN, 
14271, 4600 ART CV, MEMPHIS, TN, 
14272, 4600 KNIGHT ARNOLD, MEMPHIS, TN, 
14273, 4600 LAWRENCE RD, MEMPHIS, TN, 
14274, 4600 MARIGOLD LN, MEMPHIS, TN, 
14275, 4600 PARKWOOD, MEMPHIS, TN, 
14276, 4600 SUNNYSLOPE DR, MEMPHIS, TN, 
14277, 4600 TCHULAHOMA, MEMPHIS, TN, 
14278, 4600 TROUT VALLEY DR, MEMPHIS, TN, 
14279, 4700 BLANDFORD DR, MEMPHIS, TN, 
14280, 4700 MACON RD, MEMPHIS, TN, 
14281, 4700 NEWTON, MEMPHIS, TN, 
14282, 4700 OWEN, MEMPHIS, TN, 
14283, 4700 SONOMA CV, MEMPHIS, TN, 
14284, 4700 WHITEFOX, MEMPHIS, TN, 
14285, 4800 BRADFORD DR, MEMPHIS, TN, 
14286, 4800 CLOISTER CV, MEMPHIS, TN, 
14287, 4800 DIANNE, MEMPHIS, TN, 
14288, 4800 EAST SHELBY DR, MEMPHIS, TN, 
14289, 4800 ELEVENTH, MEMPHIS, TN, 
14290, 4800 HODGE RD, MEMPHIS, TN, 
14291, 4800 JUDY LYNN, MEMPHIS, TN, 
14292, 4800 LEONARD RD, MEMPHIS, TN, 
14293, 4800 MCCRORY, MEMPHIS, TN, 
14294, 4800 MICKEY DR, MEMPHIS, TN, 
14295, 4800 OLDS AVE, MEMPHIS, TN, 
14296, 4800 SCOTTSDALE AVE, MEMPHIS, TN, 
14297, 4800 STONEY HILL DR, MEMPHIS, TN, 
14298, 4900 BARKSHIRE, MEMPHIS, TN, 
14299, 4900 BOEINGSHIRE, MEMPHIS, TN, 
14300, 4900 BOWEN, MEMPHIS, TN, 
14301, 4900 FARMWOOD, MEMPHIS, TN, 
14302, 4900 MOCKINGBIRD LN, MEMPHIS, TN, 
14303, 4900 NEWTON, MEMPHIS, TN, 
14304, 4900 ROCKY KNOB, MEMPHIS, TN, 
14305, 4900 STURBRIDGE, MEMPHIS, TN, 
14306, 4900 WALNUT GROVE, MEMPHIS, TN, 
14307, 500 BONNELL AVE, MEMPHIS, TN, 
14308, 500 CHARTER AVE, MEMPHIS, TN, 
14309, 500 CLEABORN, MEMPHIS, TN, 
14310, 500 COSSITT PL, MEMPHIS, TN, 
14311, 500 COSSITT PLACE, MEMPHIS, TN, 
14312, 500 E BODLEY, MEMPHIS, TN, 
14313, 500 E BROOKS, MEMPHIS, TN, 
14314, 500 JACK CARLEY CAUSEWAY, MEMPHIS, TN, 
14315, 500 LINDEN, MEMPHIS, TN, 
14316, 500 NORWOOD, MEMPHIS, TN, 
14317, 500 POPE, MEMPHIS, TN, 
14318, 500 S FENWICK, MEMPHIS, TN, 
14319, 500 STATE ST, MEMPHIS, TN, 
14320, 500 SULLIVAN DR, MEMPHIS, TN, 
14321, 5000 FARMWOOD, MEMPHIS, TN, 
14322, 5000 FOXHALL DR, MEMPHIS, TN, 
14323, 5000 GADWALL, MEMPHIS, TN, 
14324, 5000 HIDDEN WOODS CV, MEMPHIS, TN, 
14325, 5000 HUMMINGBIRD LN, MEMPHIS, TN, 
14326, 5000 JUDY LYNN AVE, MEMPHIS, TN, 
14327, 5000 PRINCETON, MEMPHIS, TN, 
14328, 5000 SIMSBURY, MEMPHIS, TN, 
14329, 5000 TEAL AVE, MEMPHIS, TN, 
14330, 5100 BLACK RD, MEMPHIS, TN, 
14331, 5100 BOWERS, MEMPHIS, TN, 
14332, 5100 CHURCHILL CV, MEMPHIS, TN, 
14333, 5100 DEE RD, MEMPHIS, TN, 
14334, 5100 HOLLY RIDGE, MEMPHIS, TN, 
14335, 5100 OAK MEADOW, MEMPHIS, TN, 
14336, 5100 S THIRD, MEMPHIS, TN, 
14337, 5100 SCOTTSDALE AVE, MEMPHIS, TN, 
14338, 5200 BANBURY, MEMPHIS, TN, 
14339, 5200 CANTON, MEMPHIS, TN, 
14340, 5200 EDENSHIRE, MEMPHIS, TN, 
14341, 5200 HIGHWAY 61, MEMPHIS, TN, 
14342, 5200 LONG BRANCH, MEMPHIS, TN, 
14343, 5200 LONGACRE, MEMPHIS, TN, 
14344, 5200 LONGBRANCH, MEMPHIS, TN, 
14345, 5200 TULANE RD, MEMPHIS, TN, 
14346, 5300 CRESSER, MEMPHIS, TN, 
14347, 5300 DUNNELLON, MEMPHIS, TN, 
14348, 5300 JORDAN, MEMPHIS, TN, 
14349, 5300 MENDENHALL PARK PL, MEMPHIS, TN, 
14350, 5300 MT MORIAH VIEW, MEMPHIS, TN, 
14351, 5300 OAK MEADOW, MEMPHIS, TN, 
14352, 5300 SANTA MONICA DR, MEMPHIS, TN, 
14353, 5400 AIRWAYS, MEMPHIS, TN, 
14354, 5400 E HOLMES RD, MEMPHIS, TN, 
14355, 5400 HORSESHOE TRAILS, MEMPHIS, TN, 
14356, 5400 LAURIE LN, MEMPHIS, TN, 
14357, 5400 SANTA BARBARA, MEMPHIS, TN, 
14358, 5500 FLEETWAY, MEMPHIS, TN, 
14359, 5500 HERITAGE AVE, MEMPHIS, TN, 
14360, 5500 RAPPAHANNOCK, MEMPHIS, TN, 
14361, 5700 GARDEN GAP DR, MEMPHIS, TN, 
14362, 5700 UNIVERSAL, MEMPHIS, TN, 
14363, 5800 ASHRIDGE PLACE, MEMPHIS, TN, 
14364, 5800 DEER RIDGE, MEMPHIS, TN, 
14365, 600 BEALE, MEMPHIS, TN, 
14366, 600 EAST MCLEMORE, MEMPHIS, TN, 
14367, 600 GEORGE, MEMPHIS, TN, 
14368, 600 HONDURAS, MEMPHIS, TN, 
14369, 600 LACLEDE, MEMPHIS, TN, 
14370, 600 MOHAWK, MEMPHIS, TN, 
14371, 600 MONTEAGLE DR, MEMPHIS, TN, 
14372, 600 N MENDENHALL RD, MEMPHIS, TN, 
14373, 600 RIVERGATE, MEMPHIS, TN, 
14374, 600 ROSEWOOD, MEMPHIS, TN, 
14375, 600 S COOPER ST, MEMPHIS, TN, 
14376, 600 SOUTH BELLEVUE, MEMPHIS, TN, 
14377, 600 WOOD ARBOR, MEMPHIS, TN, 
14378, 6000 E RAINES, MEMPHIS, TN, 
14379, 6000 FREEPORT, MEMPHIS, TN, 
14380, 6000 N LITTLEBROOK CIRCLE, MEMPHIS, TN, 
14381, 6000 RAINES RD, MEMPHIS, TN, 
14382, 6000 S LITTLE BROOK CIRCLE, MEMPHIS, TN, 
14383, 6100 HARVEST MOON CV, MEMPHIS, TN, 
14384, 6200 BERRYPICK LN, MEMPHIS, TN, 
14385, 6200 PARK, MEMPHIS, TN, 
14386, 6200 RAINTREE DR, MEMPHIS, TN, 
14387, 6200 SCARLET LEAF, MEMPHIS, TN, 
14388, 6300 QUINCE, MEMPHIS, TN, 
14389, 6400 LAKE VIEW TRL, MEMPHIS, TN, 
14390, 6600 BALLENTRACE CT, MEMPHIS, TN, 
14391, 6600 BIRCH HOLLOW DR, MEMPHIS, TN, 
14392, 6600 COUNTRY OAKS CIR, MEMPHIS, TN, 
14393, 6600 HART CV, MEMPHIS, TN, 
14394, 6600 MACON RD, MEMPHIS, TN, 
14395, 6600 MALLARD NEST CV, MEMPHIS, TN, 
14396, 6700 KIRBY CENTER CV, MEMPHIS, TN, 
14397, 6800 BIRCH RUN, MEMPHIS, TN, 
14398, 6800 KIRBY LAWN CV, MEMPHIS, TN, 
14399, 6800 WHITTEN PL, MEMPHIS, TN, 
14400, 6900 AMERSHAM DR, MEMPHIS, TN, 
14401, 6900 GILFORD DR, MEMPHIS, TN, 
14402, 6900 HILLSHIRE, MEMPHIS, TN, 
14403, 6900 KIRBY ARMS DR, MEMPHIS, TN, 
14404, 6900 RIDGELAKE DR, MEMPHIS, TN, 
14405, 6900 ROCKBROOK, MEMPHIS, TN, 
14406, 6900 ROCKINGHAM DR, MEMPHIS, TN, 
14407, 6900 SNYDER RD, MEMPHIS, TN, 
14408, 700 ALICE AVE, MEMPHIS, TN, 
14409, 700 EAST GAGE, MEMPHIS, TN, 
14410, 700 HASTINGS, MEMPHIS, TN, 
14411, 700 MERTON, MEMPHIS, TN, 
14412, 700 N PERKINS RD, MEMPHIS, TN, 
14413, 700 S CAMILLA ST, MEMPHIS, TN, 
14414, 700 VANDALIA, MEMPHIS, TN, 
14415, 700 WOODLAWN ST, MEMPHIS, TN, 
14416, 7000 DANEMAN, MEMPHIS, TN, 
14417, 7000 E SHELBY, MEMPHIS, TN, 
14418, 7000 SNYDER RD, MEMPHIS, TN, 
14419, 7100 ROCKINGHAM, MEMPHIS, TN, 
14420, 7200 BUTTERFLY DR, MEMPHIS, TN, 
14421, 7200 OLD NORTH, MEMPHIS, TN, 
14422, 7300 COUNTRYSIDE, MEMPHIS, TN, 
14423, 7300 STAGE RD, MEMPHIS, TN, 
14424, 7400 ISHERWOOD RD, MEMPHIS, TN, 
14425, 7500 DONCASTER, MEMPHIS, TN, 
14426, 7700 SPARTA DR, MEMPHIS, TN, 
14427, 7900 AUTUMN GLADE LN, MEMPHIS, TN, 
14428, 7900 CRESCENT HILL, MEMPHIS, TN, 
14429, 800 BAYSIDE CV, MEMPHIS, TN, 
14430, 800 CARSON ST, MEMPHIS, TN, 
14431, 800 CASTLE, MEMPHIS, TN, 
14432, 800 EAST ST, MEMPHIS, TN, 
14433, 800 HALE, MEMPHIS, TN, 
14434, 800 JEFFERSON, MEMPHIS, TN, 
14435, 800 KENT ST, MEMPHIS, TN, 
14436, 800 LITTY CT, MEMPHIS, TN, 
14437, 800 MADISON AVE, MEMPHIS, TN, 
14438, 800 MARECHALNEIL ST, MEMPHIS, TN, 
14439, 800 MT MORIAH RD, MEMPHIS, TN, 
14440, 800 N AUBURNDALE, MEMPHIS, TN, 
14441, 800 N BINGHAM, MEMPHIS, TN, 
14442, 800 N MANASSAS ST, MEMPHIS, TN, 
14443, 800 N MCLEAN, MEMPHIS, TN, 
14444, 800 N MONTGOMERY ST, MEMPHIS, TN, 
14445, 800 ROZELLE, MEMPHIS, TN, 
14446, 800 S LAUDERDALE ST, MEMPHIS, TN, 
14447, 800 S MAIN ST, MEMPHIS, TN, 
14448, 800 S MENDENHALL, MEMPHIS, TN, 
14449, 800 SILVER SANDS, MEMPHIS, TN, 
14450, 8000 ASHLEE FARM RD, MEMPHIS, TN, 
14451, 8000 GRIFFIN LN, MEMPHIS, TN, 
14452, 8000 HORIZON CENTER BLVD, MEMPHIS, TN, 
14453, 8100 HAVERSHAM WAY, MEMPHIS, TN, 
14454, 8200 ROCKCREEK, MEMPHIS, TN, 
14455, 900 BARTON, MEMPHIS, TN, 
14456, 900 CROSSOVER LN, MEMPHIS, TN, 
14457, 900 E PKWY S, MEMPHIS, TN, 
14458, 900 ESTRIDGE, MEMPHIS, TN, 
14459, 900 HOMER ST, MEMPHIS, TN, 
14460, 900 JULIET AVE, MEMPHIS, TN, 
14461, 900 LOEB, MEMPHIS, TN, 
14462, 900 N BARKSDALE, MEMPHIS, TN, 
14463, 900 N HOLLYWOOD, MEMPHIS, TN, 
14464, 900 PAWNEE AVE, MEMPHIS, TN, 
14465, 900 RIDGELAKE, MEMPHIS, TN, 
14466, 900 S FOURTH, MEMPHIS, TN, 
14467, 900 SAFFARANS, MEMPHIS, TN, 
14468, 900 SOUTH COOPER, MEMPHIS, TN, 
14469, 900 WESTERN PARK DR, MEMPHIS, TN, 
14470, 9000 ROWLEY CV, MEMPHIS, TN, 
14471, 9300 GROVE MANOR DR, MEMPHIS, TN, 
14472, 9300 SHADY MORNING LN, MEMPHIS, TN, 
14473, 9800 HIGHWAY 64, MEMPHIS, TN, 
14474, AMERICAN WAY AND CLEARBROOK, MEMPHIS, TN, 
14475, AUSTIN PEAY AND STAGE, MEMPHIS, TN, 
14476, BEALE AND LAUDERDALE, MEMPHIS, TN, 
14477, BEALE AND WAGNER, MEMPHIS, TN, 
14478, BELZ AND FLORIDA, MEMPHIS, TN, 
14479, CHELSEA AND DANNY THOMAS, MEMPHIS, TN, 
14480, CLIFTON AND OVERTON CROSSING, MEMPHIS, TN, 
14481, DECATUR AND JACKSON, MEMPHIS, TN, 
14482, DEXTER AND HOLLYWOOD, MEMPHIS, TN, 
14483, EGYPT CENTRAL AND KERWIN, MEMPHIS, TN, 
14484, FOURTH AND MONROE, MEMPHIS, TN, 
14485, FOURTH AND WALKER, MEMPHIS, TN, 
14486, FRONT AND POPLAR, MEMPHIS, TN, 
