45154, KIRBY PKWY AND E RAINES, MEMPHIS, TN, 
45155, KIRBY PKWY AND FREELARK, MEMPHIS, TN, 
45156, KIRBY PKWY AND OAK CREEK CV, MEMPHIS, TN, 
45157, KNIGHT ARNOLD AND FOX GATE, MEMPHIS, TN, 
45158, KNIGHT ARNOLD AND HICKORY HILL RD, MEMPHIS, TN, 
45159, KNIGHT ARNOLD AND KIRBY PARKWAY, MEMPHIS, TN, 
45160, KNIGHT ARNOLD AND KNIGHTSBRIDGE, MEMPHIS, TN, 
45161, KNIGHT ARNOLD AND RANDY, MEMPHIS, TN, 
45162, KNIGHT ARNOLD AND SHEFFIELD, MEMPHIS, TN, 
45163, KNIGHT ARNOLD RD AND DANVILLE RD, MEMPHIS, TN, 
45164, KNIGHT ARNOLD RD AND HICKORY HILL RD, MEMPHIS, TN, 
45165, KNIGHT RD AND WOODDALE AVE, MEMPHIS, TN, 
45166, KNIGHTARNOLD AND HICKORY HILL, MEMPHIS, TN, 
45167, KRUGER AND NATIONAL, MEMPHIS, TN, 
45168, KYLE AND EUCLID, MEMPHIS, TN, 
45169, KYLE AND WAVERLY, MEMPHIS, TN, 
45170, LABELLE AND DWIGHT, MEMPHIS, TN, 
45171, LABELLE AND KENNER, MEMPHIS, TN, 
45172, LABELLE ST AND LAMAR AVE, MEMPHIS, TN, 
45173, LADUE AND FRAYSER, MEMPHIS, TN, 
45174, LAKE GROVE AND CHELSEA, MEMPHIS, TN, 
45175, LAKEVIEW AND WINCHESTER, MEMPHIS, TN, 
45176, LAMAR AND CLEARPOOL CIR, MEMPHIS, TN, 
45177, LAMAR AND CONCORDE, MEMPHIS, TN, 
45178, LAMAR AND DAVIDSON, MEMPHIS, TN, 
45179, LAMAR AND LAMAR CIRCLE, MEMPHIS, TN, 
45180, LAMAR AND PLEASANT HILL, MEMPHIS, TN, 
45181, LAMAR AND SHULTZ, MEMPHIS, TN, 
45182, LAMAR AND SIMS, MEMPHIS, TN, 
45183, LAMAR AVE AND FULLER RD, MEMPHIS, TN, 
45184, LAMAR AVE AND GETWELL RD, MEMPHIS, TN, 
45185, LAMAR AVE AND KIMBALL, MEMPHIS, TN, 
45186, LAMAR AVE AND PEARSON RD, MEMPHIS, TN, 
45187, LAMAR AVE AND PENDLETON ST, MEMPHIS, TN, 
45188, LAMAR AVE AND PENDLETON, MEMPHIS, TN, 
45189, LAMAR AVE AND SHELBY DR, MEMPHIS, TN, 
45190, LAMAR AVE AND WILLETT ST, MEMPHIS, TN, 
45191, LAMBERT AND MATTHEWS, MEMPHIS, TN, 
45192, LAMPHIER AND HUDSON, MEMPHIS, TN, 
45193, LAPALOMA AND DUNN, MEMPHIS, TN, 
45194, LARKIN AND CLAYBROOK, MEMPHIS, TN, 
45195, LAROSE AND HAMILTON, MEMPHIS, TN, 
45196, LASALLE AND COOPER, MEMPHIS, TN, 
45197, LATHAM AND ALSTON, MEMPHIS, TN, 
45198, LATHAM AND E MCLEMORE, MEMPHIS, TN, 
45199, LATHAM AND S PKWY E, MEMPHIS, TN, 
45200, LAUDERDALE AND CAMBRIDGE, MEMPHIS, TN, 
45201, LAUDERDALE AND DAVANT, MEMPHIS, TN, 
45202, LAUDERDALE AND JENNETTE, MEMPHIS, TN, 
45203, LAUDERDALE AND LINDEN, MEMPHIS, TN, 
45204, LAUDERDALE AND PONTOTOC, MEMPHIS, TN, 
45205, LEATH AND KEEL, MEMPHIS, TN, 
45206, LEROY AND GRAHAM, MEMPHIS, TN, 
45207, LESTER AND SUMMER, MEMPHIS, TN, 
45208, LEVI AND MONTEAGLE, MEMPHIS, TN, 
45209, LEVI AND OAKSHIRE, MEMPHIS, TN, 
45210, LEWIS AND VOLLINTINE, MEMPHIS, TN, 
45211, LINDEN AND DRIVER, MEMPHIS, TN, 
45212, LINDEN AND ORLEANS, MEMPHIS, TN, 
45213, LINDEN AND PINE, MEMPHIS, TN, 
45214, LIPFORD AND FAXON, MEMPHIS, TN, 
45215, LISA AND UNIVERSITY, MEMPHIS, TN, 
45216, LOCUST AND OMAR ROBINSON, MEMPHIS, TN, 
45217, LONGCREST AND HILL, MEMPHIS, TN, 
45218, LONGFELLOW AND ELLIOT, MEMPHIS, TN, 
45219, LOWELL AND COOPER, MEMPHIS, TN, 
45220, LOWELL AND LABELLE, MEMPHIS, TN, 
45221, LUCY AND SARDIS, MEMPHIS, TN, 
45222, LYNDALE AND HUDSON, MEMPHIS, TN, 
45223, MACON AND GERMANTOWN, MEMPHIS, TN, 
45224, MACON AND MARIA ST, MEMPHIS, TN, 
45225, MACON AND PALLWOOD, MEMPHIS, TN, 
45226, MACON AND WINGFIELD, MEMPHIS, TN, 
45227, MACON RD AND HOMER ST, MEMPHIS, TN, 
45228, MACON RD AND PEACHTREE ST, MEMPHIS, TN, 
45229, MACON RD AND SYCAMORE VIEW, MEMPHIS, TN, 
45230, MACON RD, MEMPHIS, TN, 
45231, MADISON AND COX, MEMPHIS, TN, 
45232, MADISON AND EAST PKWY, MEMPHIS, TN, 
45233, MADISON AND HUMES, MEMPHIS, TN, 
45234, MADISON AND LAUDERDALE, MEMPHIS, TN, 
45235, MADISON AND N ORLEANS, MEMPHIS, TN, 
45236, MADISON AVE AND CLEVELAND ST, MEMPHIS, TN, 
45237, MADISON AVE AND MAIN ST, MEMPHIS, TN, 
45238, MADISON AVE AND WILLETT ST, MEMPHIS, TN, 
45239, MAIN AND ASHBY, MEMPHIS, TN, 
45240, MAIN AND BUTLER, MEMPHIS, TN, 
45241, MAIN AND GE PATTERSON, MEMPHIS, TN, 
45242, MAIN AND PEABODY PLACE, MEMPHIS, TN, 
45243, MAIN AND SHADYAC, MEMPHIS, TN, 
45244, MAIN AND TRIGG, MEMPHIS, TN, 
45245, MAIN ST AND BEALE ST, MEMPHIS, TN, 
45246, MALLORY AND BENTON, MEMPHIS, TN, 
45247, MALLORY AND DEARING, MEMPHIS, TN, 
45248, MALLORY AND SHELBY, MEMPHIS, TN, 
45249, MALLORY AND WELLINGTON, MEMPHIS, TN, 
45250, MANASSAS AND BETHEL, MEMPHIS, TN, 
45251, MANASSAS AND ORPHANAGE, MEMPHIS, TN, 
45252, MANASSAS ST AND POPLAR AVE, MEMPHIS, TN, 
45253, MAPLE TREE AND CLARKE, MEMPHIS, TN, 
45254, MAPLEWOOD AND PERES, MEMPHIS, TN, 
45255, MARECHALNEIL AND CARNES, MEMPHIS, TN, 
45256, MARECHALNEIL AND PARK, MEMPHIS, TN, 
