54227, HORNLAKE AND HONDURAS, MEMPHIS, TN, 
54228, HORNLAKE AND I55, MEMPHIS, TN, 
54229, HORNLAKE AND RAINES, MEMPHIS, TN, 
54230, HOSKINS AND SEMMES, MEMPHIS, TN, 
54231, HOWARD AND FRANKIE LN, MEMPHIS, TN, 
54232, HUBBARD AND TREZEVANT, MEMPHIS, TN, 
54233, HUBERT AND MCLEAN, MEMPHIS, TN, 
54234, HUDGINS AND GOODHAVEN, MEMPHIS, TN, 
54235, HUDGINS RD AND E HOLMES RD, MEMPHIS, TN, 
54236, HUDSON AND MANHATTAN, MEMPHIS, TN, 
54237, HUDSON AND PERSHING, MEMPHIS, TN, 
54238, HUDSON ST AND COLEMAN AVE, MEMPHIS, TN, 
54239, HUDSON ST AND LAMPHER, MEMPHIS, TN, 
54240, HUGENOT AND BARRON, MEMPHIS, TN, 
54241, HUGENOT AND BROWNING, MEMPHIS, TN, 
54242, HULING AND FRONT ST, MEMPHIS, TN, 
54243, HUMBER AND S PKWY, MEMPHIS, TN, 
54244, HUMPHREYS AND HUMPHREYS CENTER, MEMPHIS, TN, 
54245, HUMPHREYS AND KIRBY, MEMPHIS, TN, 
54246, HUNGERFORD AND OUTLAND, MEMPHIS, TN, 
54247, HURON AND TULLY, MEMPHIS, TN, 
54248, HWY 385 AND RIDGEWAY, MEMPHIS, TN, 
54249, HWY 51 AND WATKINS, MEMPHIS, TN, 
54250, HWY 64 AND APPLING, MEMPHIS, TN, 
54251, HWY 64 AND GERMANTOWN, MEMPHIS, TN, 
54252, HWY64 AND ROCKCREEK, MEMPHIS, TN, 
54253, HYACINTH AND HYACINTH CV, MEMPHIS, TN, 
54254, HYDE PARK/HEARD, MEMPHIS, TN, 
54255, I 240 AND HOLLYWOOD, MEMPHIS, TN, 
54256, I 240 AND JACKSON AVE, MEMPHIS, TN, 
54257, I 240 AND MADISON, MEMPHIS, TN, 
54258, I 240 AND S PKWY E, MEMPHIS, TN, 
54259, I 240 AND UNION, MEMPHIS, TN, 
54260, I 240 AND WARFORD, MEMPHIS, TN, 
54261, I 385 AND KIRBY, MEMPHIS, TN, 
54262, I 385 AND WINCHESTER, MEMPHIS, TN, 
54263, I 40 AND APPLING RD, MEMPHIS, TN, 
54264, I 40 AND MCLEAN, MEMPHIS, TN, 
54265, I 40 AND NORRIS, MEMPHIS, TN, 
54266, I 40 AND SUMMER AVE, MEMPHIS, TN, 
