16219, 1900 GLORY CIRCLE, MEMPHIS, TN, 
16220, 1900 HARTLAND ST, MEMPHIS, TN, 
16221, 1900 KENDALE AVE, MEMPHIS, TN, 
16222, 1900 LANIER LN, MEMPHIS, TN, 
16223, 1900 S PERKINS RD, MEMPHIS, TN, 
16224, 1900 SHAWNEE, MEMPHIS, TN, 
16225, 1900 SUTTON, MEMPHIS, TN, 
16226, 1900 W WOLFCHASE CIR, MEMPHIS, TN, 
16227, 200 E GAGE AVE, MEMPHIS, TN, 
16228, 200 E TRIGG, MEMPHIS, TN, 
16229, 200 G E PATTERSON, MEMPHIS, TN, 
16230, 200 HONDURAS, MEMPHIS, TN, 
16231, 200 JOUBERT AVE, MEMPHIS, TN, 
16232, 200 LINDEN, MEMPHIS, TN, 
16233, 200 LUCY, MEMPHIS, TN, 
16234, 200 MONTGOMERY, MEMPHIS, TN, 
16235, 200 N BINGHAM ST, MEMPHIS, TN, 
16236, 200 N CLAYBROOK ST, MEMPHIS, TN, 
16237, 200 N MAIN STREET, MEMPHIS, TN, 
16238, 200 N SECOND ST, MEMPHIS, TN, 
16239, 200 NORWOOD, MEMPHIS, TN, 
16240, 200 PALISADE, MEMPHIS, TN, 
16241, 200 PEABODY AVE, MEMPHIS, TN, 
16242, 200 S REESE, MEMPHIS, TN, 
16243, 200 S WALNUT BEND, MEMPHIS, TN, 
16244, 200 S WESLEY OAKS CIR, MEMPHIS, TN, 
16245, 200 SOUTH PKWY, MEMPHIS, TN, 
16246, 200 SOUTH SECOND ST, MEMPHIS, TN, 
16247, 200 ST AGNES DR, MEMPHIS, TN, 
16248, 200 VANCE AVE, MEMPHIS, TN, 
16249, 200 WESLEY FORREST DR, MEMPHIS, TN, 
16250, 2000 ARGOSY DR, MEMPHIS, TN, 
16251, 2000 AUBURN TREE CV, MEMPHIS, TN, 
16252, 2000 CARBONDALE, MEMPHIS, TN, 
16253, 2000 JACKSON AVE, MEMPHIS, TN, 
16254, 2000 LYNNBROOK, MEMPHIS, TN, 
16255, 2000 NELLIE, MEMPHIS, TN, 
16256, 2000 PINEDALE AVE, MEMPHIS, TN, 
16257, 2000 S BARKSDALE, MEMPHIS, TN, 
16258, 2000 SPARKS, MEMPHIS, TN, 
16259, 2000 TACOMA, MEMPHIS, TN, 
16260, 2000 TAHITI, MEMPHIS, TN, 
16261, 2000 TULSA AVE, MEMPHIS, TN, 
16262, 2000 WALKER AVE, MEMPHIS, TN, 
16263, 2000 WILLOWWOOD, MEMPHIS, TN, 
16264, 2100 CHARLESTON, MEMPHIS, TN, 
