8216, 4100 COTTONWOOD, MEMPHIS, TN, 
8217, 4100 HOBSON, MEMPHIS, TN, 
8218, 4100 MT TERRACE, MEMPHIS, TN, 
8219, 4100 OVERTON CROSSING, MEMPHIS, TN, 
8220, 4100 RIO LOBO, MEMPHIS, TN, 
8221, 4200 DRUID HILL, MEMPHIS, TN, 
8222, 4200 JAMES, MEMPHIS, TN, 
8223, 4200 MACON RD, MEMPHIS, TN, 
8224, 4200 NEELY RD, MEMPHIS, TN, 
8225, 4200 PINE HOLLOW DR, MEMPHIS, TN, 
8226, 4200 SILVERLEAF, MEMPHIS, TN, 
8227, 4200 TRUDY, MEMPHIS, TN, 
8228, 4300 COTTONWOOD RD, MEMPHIS, TN, 
8229, 4300 E WIND, MEMPHIS, TN, 
8230, 4300 GLADSTONE, MEMPHIS, TN, 
8231, 4300 PLUM VALLEY CV, MEMPHIS, TN, 
8232, 4400 E MALLORY, MEMPHIS, TN, 
8233, 4400 GAILWOOD, MEMPHIS, TN, 
8234, 4500 QUINCE, MEMPHIS, TN, 
8235, 4600 APPLEVILLE ST, MEMPHIS, TN, 
8236, 4600 GIVEN, MEMPHIS, TN, 
8237, 4600 ROSS RD, MEMPHIS, TN, 
8238, 4600 SONOMA CV, MEMPHIS, TN, 
8239, 4600 TULANE, MEMPHIS, TN, 
8240, 4700 MILL STREAM, MEMPHIS, TN, 
8241, 4700 WOODDALE, MEMPHIS, TN, 
8242, 4800 BLUFFWOOD CV, MEMPHIS, TN, 
8243, 4800 FAIRLEY RD, MEMPHIS, TN, 
8244, 4800 GETWELL RD, MEMPHIS, TN, 
8245, 4800 HUNGERFORD, MEMPHIS, TN, 
8246, 4800 MARCEL, MEMPHIS, TN, 
8247, 4900 DIANNE, MEMPHIS, TN, 
8248, 4900 SHULMAN CV, MEMPHIS, TN, 
8249, 500 E RAINES RD, MEMPHIS, TN, 
8250, 500 N HOLLYWOOD, MEMPHIS, TN, 
8251, 500 S LAUDERDALE, MEMPHIS, TN, 
8252, 5100 LOCHINVAR, MEMPHIS, TN, 
8253, 5100 OLD SUMMER RD, MEMPHIS, TN, 
8254, 5200 BRUSHWOOD, MEMPHIS, TN, 
8255, 5400 FLOWERING PEACH, MEMPHIS, TN, 
8256, 5400 LOCKHART, MEMPHIS, TN, 
8257, 5700 DISTRIBUTION DR, MEMPHIS, TN, 
8258, 5700 ELVIS PRESLEY, MEMPHIS, TN, 
8259, 5700 MYERS RD, MEMPHIS, TN, 
8260, 5900 BENADINE PLACE, MEMPHIS, TN, 
8261, 600 E DISON, MEMPHIS, TN, 
8262, 600 HOWARD, MEMPHIS, TN, 
8263, 600 LONGVIEW, MEMPHIS, TN, 
8264, 600 MCKINLEY, MEMPHIS, TN, 
8265, 600 S PKWY, MEMPHIS, TN, 
8266, 600 SOUTH PKWY, MEMPHIS, TN, 
8267, 6000 SHELBY DR, MEMPHIS, TN, 
8268, 6100 MOUNT MORIAH RD, MEMPHIS, TN, 
8269, 6100 N LITTLEBROOK CIR, MEMPHIS, TN, 
8270, 6100 SCARLET LEAF DR, MEMPHIS, TN, 
8271, 6300 HALEY, MEMPHIS, TN, 
8272, 6400 LIMEWOOD, MEMPHIS, TN, 
8273, 6500 WHISPERING LN SOUTH, MEMPHIS, TN, 
8274, 6600 MOUNT MORIAH, MEMPHIS, TN, 
8275, 6600 RED BIRCH, MEMPHIS, TN, 
8276, 6700 RED BIRCH DR, MEMPHIS, TN, 
8277, 700 ALSTON, MEMPHIS, TN, 
8278, 700 BRAKEBILL, MEMPHIS, TN, 
8279, 700 COMO, MEMPHIS, TN, 
8280, 700 DEERSKIN DR, MEMPHIS, TN, 
8281, 700 DISON, MEMPHIS, TN, 
8282, 700 EVA ST, MEMPHIS, TN, 
8283, 700 HILLCREST ST, MEMPHIS, TN, 
8284, 700 LAUDERDALE, MEMPHIS, TN, 
8285, 700 RIVERSIDE, MEMPHIS, TN, 
8286, 800 DAVID ST, MEMPHIS, TN, 
8287, 800 E E H CRUMP BLVD, MEMPHIS, TN, 
8288, 800 E PERSON, MEMPHIS, TN, 
8289, 800 LYDGATE, MEMPHIS, TN, 
8290, 800 N MAIN, MEMPHIS, TN, 
8291, 800 SCOTT, MEMPHIS, TN, 
8292, 800 WALKER AVE, MEMPHIS, TN, 
8293, 8100 TRINITY MILLS, MEMPHIS, TN, 
8294, 8200 ROCKCREEK PLACE, MEMPHIS, TN, 
8295, 8300 DEXTER, MEMPHIS, TN, 
8296, 8300 STURBRIDGE, MEMPHIS, TN, 
8297, 900 ADAMS AVE, MEMPHIS, TN, 
8298, 900 BELLEVUE, MEMPHIS, TN, 
8299, 900 BROWNLEE RD, MEMPHIS, TN, 
8300, 900 MT MORIAH, MEMPHIS, TN, 
8301, 900 WHITE CLOVER LN, MEMPHIS, TN, 
8302, 9100 FULTON LN, MEMPHIS, TN, 
8303, AUSTIN PEAY AND COVINGTON PIKE, MEMPHIS, TN, 
8304, CASTALIA AND CARVER, MEMPHIS, TN, 
8305, CHUCK AND GOODLETT, MEMPHIS, TN, 
8306, CLEARBROOK AND WINCHESTER, MEMPHIS, TN, 
8307, COTTONWOOD AND PERKINS, MEMPHIS, TN, 
8308, FOURTH AND ADAMS, MEMPHIS, TN, 
8309, FRAYSER AND UNIVERSITY, MEMPHIS, TN, 
8310, HERNANDO AND VANCE, MEMPHIS, TN, 
8311, HOLLYWOOD AND DEXTER, MEMPHIS, TN, 
8312, I240 AND PERKINS, MEMPHIS, TN, 
8313, JAMES AND WARFORD, MEMPHIS, TN, 
8314, LAMAR AND PEARSON, MEMPHIS, TN, 
8315, MIMOSA AND TILLMAN, MEMPHIS, TN, 
8316, MISSISSIPPI AND WALKER, MEMPHIS, TN, 
8317, POPE AND PERSHING, MEMPHIS, TN, 
8318, SHELBY DR AND LAMAR, MEMPHIS, TN, 
8319, THIRD AND LINDEN, MEMPHIS, TN, 
8320, VANCE AND HERNANDO, MEMPHIS, TN, 
8321, 100 EAST DEMPSTER, MEMPHIS, TN, 
8322, 100 HUMPHREYS CENTER DR, MEMPHIS, TN, 
8323, 100 S TUCKER, MEMPHIS, TN, 
8324, 100 SOUTH IDLEWILD, MEMPHIS, TN, 
8325, 100 W HULING, MEMPHIS, TN, 
8326, 100 WEST OLIVE, MEMPHIS, TN, 
8327, 1000 BLUEBIRD, MEMPHIS, TN, 
8328, 1000 BONNIE, MEMPHIS, TN, 
8329, 1000 COLGATE, MEMPHIS, TN, 
8330, 1000 CRUMP, MEMPHIS, TN, 
8331, 1000 JW WILLIAMS, MEMPHIS, TN, 
8332, 1000 LOONEY, MEMPHIS, TN, 
8333, 1000 MOSBY AVE, MEMPHIS, TN, 
8334, 1000 NORTH WATKINS, MEMPHIS, TN, 
8335, 1000 S SHADY GROVE RD, MEMPHIS, TN, 
8336, 10000 BARGE DR, MEMPHIS, TN, 
8337, 1100 CRAFT, MEMPHIS, TN, 
8338, 1100 EAST CABANA, MEMPHIS, TN, 
8339, 1100 FORREST AVE, MEMPHIS, TN, 
8340, 1100 GREER, MEMPHIS, TN, 
8341, 1100 HAMILTON, MEMPHIS, TN, 
8342, 1100 RIDGELAKE BLVD, MEMPHIS, TN, 
8343, 1100 S THIRD ST, MEMPHIS, TN, 
8344, 1100 S WELLINGTON, MEMPHIS, TN, 
8345, 1200 AZALIA ST, MEMPHIS, TN, 
8346, 1200 BROWNLEE, MEMPHIS, TN, 
8347, 1200 DOVECREST, MEMPHIS, TN, 
8348, 1200 ELDER, MEMPHIS, TN, 
8349, 1200 N WATKINS, MEMPHIS, TN, 
8350, 1200 PARKROSE, MEMPHIS, TN, 
8351, 1200 ROBINHOOD LN, MEMPHIS, TN, 
8352, 1300 FAXON AVE, MEMPHIS, TN, 
8353, 1300 ROBINHOOD LN, MEMPHIS, TN, 
8354, 1300 TIMBERBROOK, MEMPHIS, TN, 
8355, 1400 BRIARWOOD, MEMPHIS, TN, 
8356, 1400 DOVE, MEMPHIS, TN, 
8357, 1400 FARROW, MEMPHIS, TN, 
8358, 1400 RESERVE DR, MEMPHIS, TN, 
8359, 1400 SUMMERBROOK, MEMPHIS, TN, 
8360, 1500 BAJA, MEMPHIS, TN, 
8361, 1500 BRYAN ST, MEMPHIS, TN, 
8362, 1500 FOX, MEMPHIS, TN, 
8363, 1500 JAMES, MEMPHIS, TN, 
8364, 1500 LEFLORE PL, MEMPHIS, TN, 
8365, 1500 N MERTON, MEMPHIS, TN, 
8366, 1500 SHADOWLAWN, MEMPHIS, TN, 
8367, 1500 SHADY BIRCH RD, MEMPHIS, TN, 
8368, 1500 STEVENSON, MEMPHIS, TN, 
8369, 1600 BARTON ST, MEMPHIS, TN, 
8370, 1600 DEWEESE, MEMPHIS, TN, 
8371, 1600 E HOLMES RD, MEMPHIS, TN, 
8372, 1600 MARY DR, MEMPHIS, TN, 
8373, 1600 PKWY VIEW, MEMPHIS, TN, 
8374, 1600 S COOPER, MEMPHIS, TN, 
8375, 1700 CENTRAL, MEMPHIS, TN, 
8376, 1700 CHERRY, MEMPHIS, TN, 
8377, 1700 CRIDER, MEMPHIS, TN, 
8378, 1700 FLORIDA, MEMPHIS, TN, 
8379, 1700 PIPING ROCK DR, MEMPHIS, TN, 
8380, 1800 E RAINES RD, MEMPHIS, TN, 
8381, 1800 GLENVIEW, MEMPHIS, TN, 
8382, 1800 LAWRENCE, MEMPHIS, TN, 
8383, 1800 NEW GATE, MEMPHIS, TN, 
8384, 1800 THOMAS, MEMPHIS, TN, 
8385, 1900 BLAIR HUNT DR, MEMPHIS, TN, 
8386, 1900 CINCINNATI, MEMPHIS, TN, 
8387, 1900 S 3RD, MEMPHIS, TN, 
8388, 200 ALEXANDER, MEMPHIS, TN, 
8389, 200 PLAINVIEW, MEMPHIS, TN, 
8390, 200 S PKWY W, MEMPHIS, TN, 
8391, 200 SOUTH MAIN, MEMPHIS, TN, 
8392, 200 TEMPLE, MEMPHIS, TN, 
8393, 2000 E PERSON, MEMPHIS, TN, 
8394, 2000 LENOX CT, MEMPHIS, TN, 
8395, 2000 N GLENHOME DR, MEMPHIS, TN, 
8396, 2000 PARNASSUS, MEMPHIS, TN, 
8397, 2000 RAINES, MEMPHIS, TN, 
8398, 2000 TAMMWOOD, MEMPHIS, TN, 
8399, 2000 THE ELMS, MEMPHIS, TN, 
8400, 2000 WINCHESTER RD, MEMPHIS, TN, 
8401, 2200 DUBLIN, MEMPHIS, TN, 
8402, 2200 KENTUCKY, MEMPHIS, TN, 
8403, 2300 NELSON, MEMPHIS, TN, 
8404, 2300 YOUNG AVE, MEMPHIS, TN, 
8405, 2400 ELVIS PRESLEY BLVD, MEMPHIS, TN, 
8406, 2500 BRIDGEPORT, MEMPHIS, TN, 
8407, 2500 TORI, MEMPHIS, TN, 
8408, 2600 FILMORE, MEMPHIS, TN, 
8409, 2600 TUTWILER AVE, MEMPHIS, TN, 
8410, 2700 E BARBARA CIR, MEMPHIS, TN, 
8411, 2700 PERKINS, MEMPHIS, TN, 
8412, 2800 AMSDEN, MEMPHIS, TN, 
8413, 2800 WARFORD ST, MEMPHIS, TN, 
8414, 2900 LAKE PARK RD, MEMPHIS, TN, 
8415, 2900 TREEMONT CV, MEMPHIS, TN, 
8416, 300 FIELDS, MEMPHIS, TN, 
8417, 300 N BELLEVUE BLVD, MEMPHIS, TN, 
8418, 300 N CLEVELAND AVE, MEMPHIS, TN, 
8419, 300 RADAR RD, MEMPHIS, TN, 
8420, 300 RENO, MEMPHIS, TN, 
8421, 300 W ESSEX, MEMPHIS, TN, 
8422, 300 W NORWOOD, MEMPHIS, TN, 
8423, 3000 BIRCHDALE, MEMPHIS, TN, 
8424, 3000 EAGLE DR, MEMPHIS, TN, 
8425, 3000 INVERGARRY, MEMPHIS, TN, 
8426, 3000 LAKERUN CIRCLE, MEMPHIS, TN, 
8427, 3000 MILLBRANCH RD, MEMPHIS, TN, 
8428, 3000 YALE AVE, MEMPHIS, TN, 
8429, 3100 EAST POINTE CV, MEMPHIS, TN, 
8430, 3100 GREENBRANCH, MEMPHIS, TN, 
8431, 3100 GUERNSEY AVE, MEMPHIS, TN, 
8432, 3100 KETTLECREEK, MEMPHIS, TN, 
8433, 3100 S GOODLETT, MEMPHIS, TN, 
8434, 3100 S MENDENHALL, MEMPHIS, TN, 
8435, 3200 CHANDLER, MEMPHIS, TN, 
8436, 3200 MACKHAM, MEMPHIS, TN, 
8437, 3200 STEELE MANOR DR, MEMPHIS, TN, 
8438, 3300 ABBOTTSFORD, MEMPHIS, TN, 
8439, 3300 ADEN ST, MEMPHIS, TN, 
8440, 3300 COLEMAN RD, MEMPHIS, TN, 
8441, 3300 DANVILLE CIRCLE, MEMPHIS, TN, 
8442, 3300 KIMBALL, MEMPHIS, TN, 
8443, 3300 MILLINGTON RD, MEMPHIS, TN, 
8444, 3300 WEST DANVILLE CIRCLE, MEMPHIS, TN, 
8445, 3400 AUSTIN PEAY HIGHWAY, MEMPHIS, TN, 
8446, 3400 BENBOW DR, MEMPHIS, TN, 
8447, 3400 ELK POINT, MEMPHIS, TN, 
