91261, 1900 PARNUSSUS, MEMPHIS, TN, 
91262, 1900 PATRICK ST, MEMPHIS, TN, 
91263, 1900 PATTON, MEMPHIS, TN, 
91264, 1900 PEABODY PLACE, MEMPHIS, TN, 
91265, 1900 PEABODY ST, MEMPHIS, TN, 
91266, 1900 PECKER DR, MEMPHIS, TN, 
91267, 1900 PENDELTON #4, MEMPHIS, TN, 
91268, 1900 PENDELTON PLACE, MEMPHIS, TN, 
91269, 1900 PENDELTON ST, MEMPHIS, TN, 
91270, 1900 PENDLERON, MEMPHIS, TN, 
91271, 1900 PENDLETON # 1, MEMPHIS, TN, 
91272, 1900 PENDLETON #4 RD, MEMPHIS, TN, 
91273, 1900 PENDLETON 2, MEMPHIS, TN, 
91274, 1900 PENDLETON 3, MEMPHIS, TN, 
91275, 1900 PENDLETON APT 3, MEMPHIS, TN, 
91276, 1900 PENDLETON APT1, MEMPHIS, TN, 
91277, 1900 PENDLETON PLACE APT 3, MEMPHIS, TN, 
91278, 1900 PENELL, MEMPHIS, TN, 
91279, 1900 PENNSYLVANIA APT D, MEMPHIS, TN, 
91280, 1900 PENNSYLVANIA APT E, MEMPHIS, TN, 
91281, 1900 PENNSYLVANIA APT G, MEMPHIS, TN, 
91282, 1900 PENNSYLVANIA ST, MEMPHIS, TN, 
91283, 1900 PENNSYLVANNIA, MEMPHIS, TN, 
91284, 1900 PENNYSYLVANIA, MEMPHIS, TN, 
91285, 1900 PHEASANT ACRE LANE WEST RD, MEMPHIS, TN, 
91286, 1900 PHEASANT ACRE LN, MEMPHIS, TN, 
91287, 1900 PHEASANT ACRES LN W, MEMPHIS, TN, 
91288, 1900 PHEASANT ACRES LN, MEMPHIS, TN, 
91289, 1900 PHEASANT ACRES W, MEMPHIS, TN, 
91290, 1900 PHEASANT ACRES, MEMPHIS, TN, 
91291, 1900 PHILSDALE, MEMPHIS, TN, 
91292, 1900 PINEDALE DR, MEMPHIS, TN, 
91293, 1900 PINEDALE REAR APT, MEMPHIS, TN, 
91294, 1900 PINEDALE ST, MEMPHIS, TN, 
91295, 1900 PKWY TERR, MEMPHIS, TN, 
91296, 1900 PKWY TERRECE, MEMPHIS, TN, 
91297, 1900 PLEASANT VIEW, MEMPHIS, TN, 
91298, 1900 POLAR PINES DR, MEMPHIS, TN, 
91299, 1900 POLPLAR, MEMPHIS, TN, 
91300, 1900 POMNA, MEMPHIS, TN, 
91301, 1900 POMONA RD, MEMPHIS, TN, 
91302, 1900 POOLAR PINES, MEMPHIS, TN, 
91303, 1900 POPLAR AVE AND MCCLEAN BLVD, MEMPHIS, TN, 
91304, 1900 POPLAR CREEK CV, MEMPHIS, TN, 
91305, 1900 POPLAR PINES 102, MEMPHIS, TN, 
91306, 1900 POPLAR PINES 103, MEMPHIS, TN, 
91307, 1900 POPLAR PINES PL, MEMPHIS, TN, 
91308, 1900 POPLAR PNES, MEMPHIS, TN, 
91309, 1900 POPLARCREST, MEMPHIS, TN, 
91310, 1900 PRESTON ST, MEMPHIS, TN, 
91311, 1900 PROSPECT ,SOUTHSIDE MIDDLE, MEMPHIS, TN, 
91312, 1900 PROSPECT RD, MEMPHIS, TN, 
91313, 1900 PROSTECT, MEMPHIS, TN, 
91314, 1900 PURYEAR, MEMPHIS, TN, 
91315, 1900 PYRAMID ST, MEMPHIS, TN, 
91316, 1900 QAUIL VALLEY CV, MEMPHIS, TN, 
91317, 1900 QUAIL PARK CR ST, MEMPHIS, TN, 
91318, 1900 QUAIL PARK CR, MEMPHIS, TN, 
91319, 1900 QUAIL PARK RD, MEMPHIS, TN, 
91320, 1900 QUAIL PARK, MEMPHIS, TN, 
91321, 1900 QUINN, MEMPHIS, TN, 
91322, 1900 RAINBOW CIRCLE, MEMPHIS, TN, 
91323, 1900 RAINBOW SOUTH, MEMPHIS, TN, 
91324, 1900 RANDOLPH PLACE 3, MEMPHIS, TN, 
91325, 1900 REGISTRY LN, MEMPHIS, TN, 
91326, 1900 RICHMOND AVE, MEMPHIS, TN, 
91327, 1900 RICHMOND RD, MEMPHIS, TN, 
91328, 1900 RIDGEWAY, MEMPHIS, TN, 
91329, 1900 RILE AVE, MEMPHIS, TN, 
91330, 1900 RILES, MEMPHIS, TN, 
91331, 1900 RIVERSIDE BL ST, MEMPHIS, TN, 
91332, 1900 RIVERSIDE BOULEVARD, MEMPHIS, TN, 
91333, 1900 ROCKCREEK PKWY, MEMPHIS, TN, 
91334, 1900 ROSEWOOD, MEMPHIS, TN, 
91335, 1900 ROZZELE, MEMPHIS, TN, 
91336, 1900 ROZZELLE, MEMPHIS, TN, 
91337, 1900 RUGBY RD, MEMPHIS, TN, 
91338, 1900 RUGBY ST, MEMPHIS, TN, 
91339, 1900 RUGDY PL, MEMPHIS, TN, 
91340, 1900 RUGSBY, MEMPHIS, TN, 
91341, 1900 S 3 ST, MEMPHIS, TN, 
91342, 1900 S 3RD AT, MEMPHIS, TN, 
91343, 1900 S 3RD UNIT 14, MEMPHIS, TN, 
91344, 1900 S BROOKS RD, MEMPHIS, TN, 
91345, 1900 S DEXTER CHASE CL, MEMPHIS, TN, 
91346, 1900 S DEXTER CHASE DR, MEMPHIS, TN, 
91347, 1900 S DEXTER TRACE CIRCLE, MEMPHIS, TN, 
91348, 1900 S DEXTERCHASE CIR, MEMPHIS, TN, 
91349, 1900 S KANSAS ST, MEMPHIS, TN, 
91350, 1900 S LATHAM, MEMPHIS, TN, 
91351, 1900 S LAUDERDALE AVE, MEMPHIS, TN, 
91352, 1900 S LAUDERDALE RD, MEMPHIS, TN, 
91353, 1900 S MCLEAN, MEMPHIS, TN, 
91354, 1900 S OLEANS, MEMPHIS, TN, 
91355, 1900 S ORLEANS RD, MEMPHIS, TN, 
91356, 1900 S PARKWAY EAST BLVD, MEMPHIS, TN, 
91357, 1900 S PARKWAY EAST ST, MEMPHIS, TN, 
91358, 1900 S PERKINS ST, MEMPHIS, TN, 
91359, 1900 S PRESCOTT RD, MEMPHIS, TN, 
91360, 1900 S SUTTON DR, MEMPHIS, TN, 
91361, 1900 S SUTTON RD, MEMPHIS, TN, 
91362, 1900 S TGIRD ST, MEMPHIS, TN, 
