15177, BEALE ST AND MAIN ST, MEMPHIS, TN, 
15178, BOYLE AND CASTALIA, MEMPHIS, TN, 
15179, CASTLEMAN AND SCOTTSDALE, MEMPHIS, TN, 
15180, CHELSEA AND BRITTON, MEMPHIS, TN, 
15181, CHELSEA AND MANASSAS, MEMPHIS, TN, 
15182, CHELSEA AND WOODLAWN, MEMPHIS, TN, 
15183, CLAYBROOK AND WASHINGTON, MEMPHIS, TN, 
15184, CLEVELAND AND COURT, MEMPHIS, TN, 
15185, CLEVELAND AND MADISON, MEMPHIS, TN, 
15186, COTTONWOOD AND MENDENHALL, MEMPHIS, TN, 
15187, COVINGTON PIKE AND STAGE RD, MEMPHIS, TN, 
15188, DANNY THOMAS AND ALABAMA, MEMPHIS, TN, 
15189, DEMOCRAT AND AIRWAYS, MEMPHIS, TN, 
15190, ELVIS PRESLEY AND GILL, MEMPHIS, TN, 
15191, EXCHANGE AND FOURTH, MEMPHIS, TN, 
15192, FLORIDA AND SOUTH PKWY, MEMPHIS, TN, 
15193, FRAYSER AND DAWN, MEMPHIS, TN, 
15194, GETWELL AND NEW WILLOW, MEMPHIS, TN, 
15195, GETWELL AND SHELBY DR, MEMPHIS, TN, 
15196, GOODLETT AND COTTONWOOD, MEMPHIS, TN, 
15197, HIGHLAND AND JAMES, MEMPHIS, TN, 
15198, HIGHLAND AND POPLAR, MEMPHIS, TN, 
15199, HOMER AND MACON, MEMPHIS, TN, 
15200, I-240 AND S PKWY, MEMPHIS, TN, 
15201, I40 AND WATKINS, MEMPHIS, TN, 
15202, LAMAR AND TREZEVANT, MEMPHIS, TN, 
15203, LAUDERDALE AND MISSISSIPPI, MEMPHIS, TN, 
15204, MACON AND VAUGHN, MEMPHIS, TN, 
15205, MAURY AND VOLLINTINE, MEMPHIS, TN, 
15206, MITCHELL AND SAX, MEMPHIS, TN, 
15207, NEELY AND RAINES, MEMPHIS, TN, 
15208, OUTLAND AND CROMWELL, MEMPHIS, TN, 
15209, POPE AND CHELSEA, MEMPHIS, TN, 
15210, POPLAR AND COLONIAL, MEMPHIS, TN, 
15211, POPLAR AND FOURTH, MEMPHIS, TN, 
15212, POPLAR AND MCLEAN, MEMPHIS, TN, 
15213, PRESCOTT AND LAMAR, MEMPHIS, TN, 
15214, RAINES AND HORN LAKE, MEMPHIS, TN, 
15215, RAINES AND PACE, MEMPHIS, TN, 
15216, S PKWY AND LAMAR, MEMPHIS, TN, 
15217, S PKWY AND LATHAM, MEMPHIS, TN, 
15218, SHELBY AND BOEINGSHIRE, MEMPHIS, TN, 
15219, SHELBY DR AND I-55, MEMPHIS, TN, 
15220, SOUTH PKWY AND FLORIDA, MEMPHIS, TN, 
15221, SPOTTSWOOD AND HIGHLAND, MEMPHIS, TN, 
15222, SPRINGDALE AND HOWELL, MEMPHIS, TN, 
15223, ST ELMO AND OVERTON CROSSING, MEMPHIS, TN, 
15224, ST ELMO AND RANGELINE, MEMPHIS, TN, 
15225, STEELE AND FRAYSER, MEMPHIS, TN, 
15226, TCHULAHOMA AND SHELBY DR, MEMPHIS, TN, 
15227, TILLMAN CV AND TILLMAN, MEMPHIS, TN, 
15228, TUNICA AND HUNTER, MEMPHIS, TN, 
15229, UNION AND MAIN, MEMPHIS, TN, 
15230, UNIVERSITY AND HUNTER, MEMPHIS, TN, 
15231, WINCHESTER AND FONTAINE, MEMPHIS, TN, 
15232, WINCHESTER RD AND RIDGEWAY RD, MEMPHIS, TN, 
15233, 100 DIANA ST, MEMPHIS, TN, 
15234, 100 E BISCAYNE RD, MEMPHIS, TN, 
15235, 100 E FERNWOOD AVE, MEMPHIS, TN, 
15236, 100 EDSEL, MEMPHIS, TN, 
15237, 100 HUMPHREY CENTER, MEMPHIS, TN, 
15238, 100 N EVERGREEN ST, MEMPHIS, TN, 
15239, 100 N FOURTH ST, MEMPHIS, TN, 
15240, 100 N HOLMES ST, MEMPHIS, TN, 
15241, 100 NORTH EVERGREEN, MEMPHIS, TN, 
15242, 100 NORTH SOMERVILLE, MEMPHIS, TN, 
15243, 100 NORTH TUCKER, MEMPHIS, TN, 
15244, 100 S BELVEDERE, MEMPHIS, TN, 
15245, 100 WEST NORWOOD, MEMPHIS, TN, 
15246, 1000 BIGGS ST, MEMPHIS, TN, 
15247, 1000 BROOKS RD, MEMPHIS, TN, 
15248, 1000 DECATUR ST, MEMPHIS, TN, 
15249, 1000 DILLWORTH ST, MEMPHIS, TN, 
15250, 1000 DOVECREST, MEMPHIS, TN, 
15251, 1000 DUNLAP CV, MEMPHIS, TN, 
15252, 1000 E RAINES RD, MEMPHIS, TN, 
15253, 1000 KIRKLAND, MEMPHIS, TN, 
15254, 1000 LATHAM ST, MEMPHIS, TN, 
15255, 1000 LINWOOD RD, MEMPHIS, TN, 
15256, 1000 MCNEIL, MEMPHIS, TN, 
15257, 1000 N BELLEVUE, MEMPHIS, TN, 
15258, 1000 N MONTGOMERY ST, MEMPHIS, TN, 
15259, 1000 PEGGY JO, MEMPHIS, TN, 
15260, 1000 RESTBROOK AVE, MEMPHIS, TN, 
15261, 1000 ROCKPOINT DR, MEMPHIS, TN, 
15262, 1000 S PARKWAY E, MEMPHIS, TN, 
15263, 1000 TAMPA, MEMPHIS, TN, 
15264, 1000 TRIGG, MEMPHIS, TN, 
15265, 1100 AVALON, MEMPHIS, TN, 
15266, 1100 CRESTHAVEN RD, MEMPHIS, TN, 
15267, 1100 E CABANA CR, MEMPHIS, TN, 
15268, 1100 E H CRUMP, MEMPHIS, TN, 
