157116, KYLE ST AND LAMAR AVE, MEMPHIS, TN, 
157117, KYLE ST AND PERSON AVE, MEMPHIS, TN, 
157118, KYLE ST AND SOUTHERN AVE, MEMPHIS, TN, 
157119, KYLE ST AND VESEY, MEMPHIS, TN, 
157120, KYLE ST AND WALKER AVE, MEMPHIS, TN, 
157121, KYLE ST S AND OF SOUTHERN AVE, MEMPHIS, TN, 
157122, KYLE WAVERLY, MEMPHIS, TN, 
157123, KYLES AND SOUTH PKWY, MEMPHIS, TN, 
157124, L AND N AND TAYNER, MEMPHIS, TN, 
157125, L AND N AVE AND ELLINGTON ST, MEMPHIS, TN, 
157126, L N AND BROOKINS, MEMPHIS, TN, 
157127, L N AND ORR, MEMPHIS, TN, 
157128, L009 WALTHAL CR, MEMPHIS, TN, 
157129, L1400 ELVIS PRESLEY, MEMPHIS, TN, 
157130, L1805 TITUS, MEMPHIS, TN, 
157131, L240 AND SOUTH PKWY, MEMPHIS, TN, 
157132, L3840 LAKEHURST, MEMPHIS, TN, 
157133, L4416 FOREST VALLEY, MEMPHIS, TN, 
157134, L7700 POLO GROUNDS DR, MEMPHIS, TN, 
157135, L9025 US-64, MEMPHIS, TN, 
157136, LA BELLE AVE AND DWIGHT ST, MEMPHIS, TN, 
157137, LA SALLE AND COOPER, MEMPHIS, TN, 
157138, LABELL AND DWIGHT, MEMPHIS, TN, 
157139, LABELL AND FRISCO, MEMPHIS, TN, 
157140, LABELLA AND KENNER, MEMPHIS, TN, 
157141, LABELLE AND BURNES, MEMPHIS, TN, 
157142, LABELLE AND DURBY CIR, MEMPHIS, TN, 
157143, LABELLE AND JOLSTON, MEMPHIS, TN, 
157144, LABELLE AND LOWELL AVE, MEMPHIS, TN, 
157145, LABELLE AVE AND ARLINGTON ST, MEMPHIS, TN, 
157146, LABELLE AVE AND DUNN, MEMPHIS, TN, 
157147, LABELLE ST AND DURBY CIRCLE, MEMPHIS, TN, 
157148, LABELLE ST AND HENLEY DR, MEMPHIS, TN, 
157149, LABONTE AND KNOB, MEMPHIS, TN, 
157150, LABONTE AND WELLON, MEMPHIS, TN, 
157151, LABONTE DR, MEMPHIS, TN, 
157152, LABRADOR AND NANDINA, MEMPHIS, TN, 
157153, LACEWING TRACE AND FOXTRACE, MEMPHIS, TN, 
157154, LACEWOOD AND CHINA BERRY, MEMPHIS, TN, 
157155, LACEWOOD AND CHINABERRY, MEMPHIS, TN, 
157156, LACEWOOD AND RAINTREE, MEMPHIS, TN, 
157157, LACEWOOD DR AND CHINABERRY DR, MEMPHIS, TN, 
157158, LACEWOOD RD AND CHINABERRY RD, MEMPHIS, TN, 
157159, LACLEDE AND 4TH, MEMPHIS, TN, 
157160, LACLEDE AND JEANETTE, MEMPHIS, TN, 
157161, LACLEDE AND JENNETTE PL, MEMPHIS, TN, 
157162, LACONIA AND EAGLE RIVER, MEMPHIS, TN, 
157163, LACONIA AND GETWELL, MEMPHIS, TN, 
157164, LACONIA DR AND WALLOON DR, MEMPHIS, TN, 
157165, LACONIA LN AND ANSNOW LN, MEMPHIS, TN, 
157166, LADBROOK & BISHOP BRIDGE, MEMPHIS, TN, 
157167, LADBROOK AND ELM PARK, MEMPHIS, TN, 
157168, LADERDALE AND WALKER, MEMPHIS, TN, 
157169, LADUE AND ALPENA, MEMPHIS, TN, 
157170, LADUE AND DAUGHIN, MEMPHIS, TN, 
157171, LADUE AND DAUPHIN, MEMPHIS, TN, 
157172, LADUE AND NIX, MEMPHIS, TN, 
157173, LADUE AND NORTHMEADE, MEMPHIS, TN, 
157174, LADUE AND ORMAN, MEMPHIS, TN, 
157175, LADUE AND WILLIAM TELL, MEMPHIS, TN, 
157176, LADUE CORAL, MEMPHIS, TN, 
157177, LADUE MEGREGOR, MEMPHIS, TN, 
157178, LADUE ST AND FRAYSER BLVD, MEMPHIS, TN, 
157179, LADUE ST AND MCGREGOR ST, MEMPHIS, TN, 
157180, LAFARGE AND AUX ARMS, MEMPHIS, TN, 
157181, LAFAYETT AND CENTRAL, MEMPHIS, TN, 
157182, LAFAYETTE AND COWDEN, MEMPHIS, TN, 
157183, LAFAYETTE AND POPLAR, MEMPHIS, TN, 
157184, LAGRANGE AND BARRETT PL, MEMPHIS, TN, 
157185, LAGRANGE AND BARRETT, MEMPHIS, TN, 
157186, LAGRANGE AND BREEDLOVE, MEMPHIS, TN, 
157187, LAGRANGE AVE AND BARRETT PL, MEMPHIS, TN, 
157188, LAGRANGE/HASTINGS, MEMPHIS, TN, 
157189, LAIRD AND GLENWICK, MEMPHIS, TN, 
157190, LAKE ARBOR AND RIDGEWAY, MEMPHIS, TN, 
