6168, 3700 ELVIS PRESLEY BLVD, MEMPHIS, TN, 
6169, 3700 MCDUFF, MEMPHIS, TN, 
6170, 3800 MACON, MEMPHIS, TN, 
6171, 3800 NORRISWOOD, MEMPHIS, TN, 
6172, 3800 OVERTON CROSSING, MEMPHIS, TN, 
6173, 3800 SOUTH ADVANTAGE WAY, MEMPHIS, TN, 
6174, 400 E GEORGIA, MEMPHIS, TN, 
6175, 400 N MCNEIL, MEMPHIS, TN, 
6176, 4000 RHODES AVE, MEMPHIS, TN, 
6177, 4100 SOAPSTONE DR, MEMPHIS, TN, 
6178, 4200 ARROWOOD, MEMPHIS, TN, 
6179, 4200 AUX ARMS, MEMPHIS, TN, 
6180, 4200 CRAIN, MEMPHIS, TN, 
6181, 4200 E HOLMES, MEMPHIS, TN, 
6182, 4200 FIZER, MEMPHIS, TN, 
6183, 4200 KINGS GLADE, MEMPHIS, TN, 
6184, 4200 SOUTHERN AVE, MEMPHIS, TN, 
6185, 4200 STARWOOD DR, MEMPHIS, TN, 
6186, 4300 CHERRYDALE, MEMPHIS, TN, 
6187, 4300 TRUMAN, MEMPHIS, TN, 
6188, 4400 LORAL CV, MEMPHIS, TN, 
6189, 4400 RIDGESTONE DR, MEMPHIS, TN, 
6190, 4500 DEERLAND, MEMPHIS, TN, 
6191, 4500 SUMNERS WELLS RD, MEMPHIS, TN, 
6192, 4500 TCHULAHOMA, MEMPHIS, TN, 
6193, 4500 WATER TREE, MEMPHIS, TN, 
6194, 4500 WILLOW, MEMPHIS, TN, 
6195, 4500 YALE RD, MEMPHIS, TN, 
6196, 4600 NEELY RD, MEMPHIS, TN, 
6197, 4600 WATER TREE, MEMPHIS, TN, 
6198, 4700 BERTA RD, MEMPHIS, TN, 
6199, 4700 YOSEMITE, MEMPHIS, TN, 
6200, 4800 CHEVRON, MEMPHIS, TN, 
6201, 4800 TURCO DR, MEMPHIS, TN, 
6202, 4900 DURBIN, MEMPHIS, TN, 
6203, 4900 ELMORE, MEMPHIS, TN, 
6204, 500 E H CRUMP BLVD, MEMPHIS, TN, 
6205, 500 FERNWOOD, MEMPHIS, TN, 
6206, 500 MULBERRY, MEMPHIS, TN, 
6207, 5100 BRYNDALE, MEMPHIS, TN, 
6208, 5300 SHELBORNE, MEMPHIS, TN, 
6209, 5400 SCOTTSDALE, MEMPHIS, TN, 
6210, 5400 SPUTNIK, MEMPHIS, TN, 
6211, 5600 ELMHURST, MEMPHIS, TN, 
6212, 5900 E SHELBY DR, MEMPHIS, TN, 
6213, 600 DEERSKIN DR, MEMPHIS, TN, 
6214, 600 MALLORY, MEMPHIS, TN, 
6215, 600 PONTOTOC, MEMPHIS, TN, 
6216, 6200 E SHELBY DR, MEMPHIS, TN, 
6217, 6200 EYRIE, MEMPHIS, TN, 
6218, 6200 RIDGEWAY, MEMPHIS, TN, 
6219, 6200 SUDBURY LN, MEMPHIS, TN, 
6220, 700 FIRESTONE, MEMPHIS, TN, 
6221, 700 N DUNLAP, MEMPHIS, TN, 
6222, 700 N HIGHLAND ST, MEMPHIS, TN, 
6223, 700 STEPHENS PLACE, MEMPHIS, TN, 
6224, 700 TULANE CV, MEMPHIS, TN, 
6225, 700 WHITESIDE CV, MEMPHIS, TN, 
6226, 7000 COUNTRY MANOR, MEMPHIS, TN, 
6227, 7700 POLO GROUND, MEMPHIS, TN, 
6228, 800 ALASKA, MEMPHIS, TN, 
6229, 800 N MENDENHALL, MEMPHIS, TN, 
6230, 800 WALKER, MEMPHIS, TN, 
6231, 800 WHITE STATION, MEMPHIS, TN, 
6232, 900 DALLAS, MEMPHIS, TN, 
6233, 900 E RAINES, MEMPHIS, TN, 
6234, 900 LEDBETTER, MEMPHIS, TN, 
6235, 9900 HWY 64, MEMPHIS, TN, 
6236, CHELSEA AND WARFORD, MEMPHIS, TN, 
6237, ELDRIDGE AND SPRINGDALE, MEMPHIS, TN, 
6238, FRONT AND MONROE, MEMPHIS, TN, 
6239, I40 AND SYCAMORE VIEW, MEMPHIS, TN, 
6240, KIRBY AND QUINCE, MEMPHIS, TN, 
6241, MIMOSA AND CARPENTER, MEMPHIS, TN, 
6242, MISSISSIPPI AND MCLEMORE, MEMPHIS, TN, 
6243, SUMMER AND BALTIC, MEMPHIS, TN, 
6244, SUMMER AND HOLLYWOOD, MEMPHIS, TN, 
6245, THOMAS AND MARSH, MEMPHIS, TN, 
6246, WATKINS AND FRAYSER, MEMPHIS, TN, 
6247, 100 INGLE, MEMPHIS, TN, 
6248, 100 N CENTURY, MEMPHIS, TN, 
6249, 100 S PKWY, MEMPHIS, TN, 
6250, 100 SULLIVAN, MEMPHIS, TN, 
6251, 1000 CRESTON, MEMPHIS, TN, 
6252, 1000 DILLWORTH, MEMPHIS, TN, 
6253, 1000 INMAN, MEMPHIS, TN, 
6254, 1000 MT VERNON, MEMPHIS, TN, 
6255, 1000 PARKHAVEN, MEMPHIS, TN, 
6256, 1000 SOUTH PKWY, MEMPHIS, TN, 
6257, 1000 THOMAS, MEMPHIS, TN, 
6258, 1100 BROWNLEE, MEMPHIS, TN, 
6259, 1100 DUNLAP, MEMPHIS, TN, 
6260, 1100 N EVERGREEN, MEMPHIS, TN, 
6261, 1100 PALERMO, MEMPHIS, TN, 
6262, 1100 TILLMAN ST, MEMPHIS, TN, 
6263, 1200 KYLE, MEMPHIS, TN, 
6264, 1200 MADISON, MEMPHIS, TN, 
6265, 1200 N GERMANTOWN, MEMPHIS, TN, 
6266, 1200 OVERTON PARK, MEMPHIS, TN, 
6267, 1300 HAMILTON, MEMPHIS, TN, 
6268, 1300 MAPLEBROOK, MEMPHIS, TN, 
6269, 1300 MARBLE AVE, MEMPHIS, TN, 
6270, 1300 THEODORE, MEMPHIS, TN, 
6271, 1300 WEINER, MEMPHIS, TN, 
6272, 1400 HUMBER, MEMPHIS, TN, 
6273, 1400 MOSSBROOK, MEMPHIS, TN, 
6274, 1400 N BELLEVUE, MEMPHIS, TN, 
6275, 1500 CENTRAL AVE, MEMPHIS, TN, 
6276, 1500 ELLISTON, MEMPHIS, TN, 
6277, 1500 HARRISON, MEMPHIS, TN, 
6278, 1500 MCLEMORE, MEMPHIS, TN, 
6279, 1500 POOLSIDE, MEMPHIS, TN, 
6280, 1500 S TREZEVANT, MEMPHIS, TN, 
6281, 1500 SUNSET, MEMPHIS, TN, 
6282, 1500 WANDA ST, MEMPHIS, TN, 
6283, 1500 WELLINGTON, MEMPHIS, TN, 
6284, 1500 WELLS STATION RD, MEMPHIS, TN, 
6285, 1600 HAMILTON ST, MEMPHIS, TN, 
6286, 1600 HOPE ST, MEMPHIS, TN, 
6287, 1600 LELAND, MEMPHIS, TN, 
6288, 1600 MINK, MEMPHIS, TN, 
6289, 1600 SOUTHERN, MEMPHIS, TN, 
6290, 1700 BAINE, MEMPHIS, TN, 
6291, 1700 BONNIE LN, MEMPHIS, TN, 
6292, 1700 CASTALIA, MEMPHIS, TN, 
6293, 1700 CHERRY RD, MEMPHIS, TN, 
6294, 1700 E BROOKS RD, MEMPHIS, TN, 
6295, 1700 E RAINES RD, MEMPHIS, TN, 
6296, 1700 HARRISON, MEMPHIS, TN, 
6297, 1700 ROLLING HILLS, MEMPHIS, TN, 
6298, 1700 SEMMES, MEMPHIS, TN, 
6299, 1700 SHELBY DR, MEMPHIS, TN, 
6300, 1700 VILLA, MEMPHIS, TN, 
6301, 1700 WAVERLY, MEMPHIS, TN, 
6302, 1700 WELLS STATION RD, MEMPHIS, TN, 
6303, 1800 ALCY, MEMPHIS, TN, 
6304, 1800 GOODHAVEN, MEMPHIS, TN, 
6305, 200 CEDAR, MEMPHIS, TN, 
6306, 200 N BELVEDERE BLVD, MEMPHIS, TN, 
6307, 200 ST AGNES, MEMPHIS, TN, 
6308, 2000 GOODHAVEN, MEMPHIS, TN, 
6309, 2100 E BROOKS RD, MEMPHIS, TN, 
6310, 2100 SOUTHERN AVE, MEMPHIS, TN, 
6311, 2200 BALL, MEMPHIS, TN, 
6312, 2200 E RIVERTRACE DR, MEMPHIS, TN, 
6313, 2200 ELVIS PRESLEY, MEMPHIS, TN, 
6314, 2200 MEADOW GLADE, MEMPHIS, TN, 
6315, 2200 THEDA, MEMPHIS, TN, 
6316, 2300 CORRY RD, MEMPHIS, TN, 
6317, 2300 STEPHANIE, MEMPHIS, TN, 
6318, 2300 WINDING PATH, MEMPHIS, TN, 
6319, 2400 MCGOWAN, MEMPHIS, TN, 
6320, 2400 TWAIN AVE, MEMPHIS, TN, 
6321, 2400 ZANONE, MEMPHIS, TN, 
6322, 2500 GOLDEN, MEMPHIS, TN, 
6323, 2500 HAISCH, MEMPHIS, TN, 
6324, 2500 HALE, MEMPHIS, TN, 
6325, 2500 HUBBARD, MEMPHIS, TN, 
6326, 2700 HAWKINS MILL, MEMPHIS, TN, 
6327, 2700 SOUTHERN, MEMPHIS, TN, 
6328, 2800 FRISCO, MEMPHIS, TN, 
6329, 2800 JOLSON, MEMPHIS, TN, 
6330, 2900 FAXON, MEMPHIS, TN, 
6331, 300 ADOLPHUS, MEMPHIS, TN, 
6332, 300 ELDER, MEMPHIS, TN, 
6333, 300 GLEN PARK DR, MEMPHIS, TN, 
6334, 300 HENRY AVE, MEMPHIS, TN, 
6335, 300 S HIGHLAND ST, MEMPHIS, TN, 
6336, 300 S LAUDERDALE, MEMPHIS, TN, 
6337, 3000 TREEMONT CV, MEMPHIS, TN, 
6338, 3100 ARBOR PLACE NORTH, MEMPHIS, TN, 
6339, 3100 BRISDANE, MEMPHIS, TN, 
6340, 3100 CHURCHILL, MEMPHIS, TN, 
6341, 3100 ROBBIEDON, MEMPHIS, TN, 
6342, 3200 GIVEN AVE, MEMPHIS, TN, 
6343, 3200 MADELINE CIRCLE, MEMPHIS, TN, 
6344, 3300 CRAIG, MEMPHIS, TN, 
6345, 3300 W DANVILLE CIRCLE, MEMPHIS, TN, 
6346, 3300 WATERSIDE DR, MEMPHIS, TN, 
6347, 3400 EGYPT CENTRAL, MEMPHIS, TN, 
6348, 3400 FRAYSER MANOR, MEMPHIS, TN, 
6349, 3400 GUERNSEY AVE, MEMPHIS, TN, 
6350, 3400 HICKORY HILL RD, MEMPHIS, TN, 
6351, 3400 SHARPE, MEMPHIS, TN, 
6352, 3400 VINEYARD HAVEN, MEMPHIS, TN, 
6353, 3500 AUSTINWOOD DR, MEMPHIS, TN, 
6354, 3500 BOWEN AVE, MEMPHIS, TN, 
6355, 3500 N WATKINS ST, MEMPHIS, TN, 
6356, 3500 WINCHEST CT, MEMPHIS, TN, 
6357, 3600 ARNOLD, MEMPHIS, TN, 
6358, 3700 POWELL, MEMPHIS, TN, 
6359, 3700 SPOTTSWOOD AVE, MEMPHIS, TN, 
6360, 3700 WINSTON, MEMPHIS, TN, 
6361, 3800 EGLESFIELD, MEMPHIS, TN, 
6362, 3800 IRONWOOD, MEMPHIS, TN, 
6363, 3900 SPOTTSWOOD, MEMPHIS, TN, 
6364, 400 N HOLLYWOOD, MEMPHIS, TN, 
6365, 400 N HOLMES, MEMPHIS, TN, 
6366, 400 RED OAK, MEMPHIS, TN, 
6367, 400 W ILLINOIS AVE, MEMPHIS, TN, 
6368, 4000 DEER CREEK, MEMPHIS, TN, 
6369, 4000 MARTINDALE, MEMPHIS, TN, 
6370, 4000 SCHOOLFIELD, MEMPHIS, TN, 
6371, 4000 WALES AVE, MEMPHIS, TN, 
6372, 4100 RHODES AVE, MEMPHIS, TN, 
6373, 4200 AIRWAYS BLVD, MEMPHIS, TN, 
6374, 4200 BARR AVE, MEMPHIS, TN, 
6375, 4200 WOODBRANCH CT, MEMPHIS, TN, 
6376, 4300 DEERLAND, MEMPHIS, TN, 
6377, 4300 WESTOVER AVE, MEMPHIS, TN, 
6378, 4400 ALMO, MEMPHIS, TN, 
6379, 4400 CASTLE HEIGHTS, MEMPHIS, TN, 
6380, 4400 MCCORKLE, MEMPHIS, TN, 
6381, 4500 SMITH RIDGE CV, MEMPHIS, TN, 
6382, 4500 SUNVALLEY, MEMPHIS, TN, 
6383, 4500 YALE, MEMPHIS, TN, 
6384, 4600 BOYCE, MEMPHIS, TN, 
6385, 4600 HICKORY BRANCH, MEMPHIS, TN, 
6386, 4600 WATER MILL, MEMPHIS, TN, 
6387, 4700 SANDY PARK, MEMPHIS, TN, 
6388, 4800 COTTONWOOD, MEMPHIS, TN, 
6389, 4800 OWEN, MEMPHIS, TN, 
6390, 4800 SPOTTSWOOD AVE, MEMPHIS, TN, 
6391, 4900 BERRYDALE, MEMPHIS, TN, 
6392, 4900 BRENTDALE, MEMPHIS, TN, 
6393, 4900 CHUMBLER, MEMPHIS, TN, 
6394, 500 E MCLEMORE, MEMPHIS, TN, 
6395, 500 STONEWALL, MEMPHIS, TN, 
6396, 500 SULLIVAN, MEMPHIS, TN, 
6397, 500 VANCE PARK PLACE, MEMPHIS, TN, 
6398, 5000 OWEN, MEMPHIS, TN, 
6399, 5100 APPLEVILLE, MEMPHIS, TN, 
6400, 5200 APPLEVILLE, MEMPHIS, TN, 
6401, 5200 SCOTTDALE, MEMPHIS, TN, 
6402, 5500 FLOWERING PEACH DR, MEMPHIS, TN, 
6403, 5500 N MEADOWLAKE DR, MEMPHIS, TN, 
