20167, LINDEN AND MAIN, MEMPHIS, TN, 
20168, LOLA AND PENDLETON, MEMPHIS, TN, 
20169, MACON AND GARDEN, MEMPHIS, TN, 
20170, MACON AND HIGHLAND, MEMPHIS, TN, 
20171, MADISON AND BELLEVUE, MEMPHIS, TN, 
20172, MALLORY AND LATHAM, MEMPHIS, TN, 
20173, MCLEMORE AND MELROSE, MEMPHIS, TN, 
20174, MENDENHALL RD AND WINCHESTER RD, MEMPHIS, TN, 
20175, MILL BRANCH AND WINCHESTER, MEMPHIS, TN, 
20176, MILLBRANCH AND HESTER, MEMPHIS, TN, 
20177, MONTGOMERY AND KEEL, MEMPHIS, TN, 
20178, MT MORIAH AND KIRBY, MEMPHIS, TN, 
20179, MT MORIAH AND PICKERING, MEMPHIS, TN, 
20180, MT MORIAH, MEMPHIS, TN, 
20181, MULBERRY AND VANCE, MEMPHIS, TN, 
20182, MYERS AND HICKORY HILL, MEMPHIS, TN, 
20183, N HIGHLAND RD AND JAMES RD, MEMPHIS, TN, 
20184, NATIONAL AND FAXON, MEMPHIS, TN, 
20185, NATIONAL AND MAYFLOWER, MEMPHIS, TN, 
20186, NICHOLAS AND LIFE, MEMPHIS, TN, 
20187, ORLEANS AND ADAMS, MEMPHIS, TN, 
20188, ORLEANS AND WASHINGTON, MEMPHIS, TN, 
20189, PARK AND GOODWYN, MEMPHIS, TN, 
20190, PARK AND HANLEY, MEMPHIS, TN, 
20191, PARK AVE AND AIRWAYS BLVD, MEMPHIS, TN, 
20192, PATTERSON AND SOUTHERN, MEMPHIS, TN, 
20193, PERKINS AND ALOHA, MEMPHIS, TN, 
20194, POPLAR AND EVERGREEN, MEMPHIS, TN, 
20195, POPLAR AND MONTGOMERY, MEMPHIS, TN, 
20196, POPLAR AND PRESCOTT, MEMPHIS, TN, 
20197, POPLAR AND S HIGHLAND, MEMPHIS, TN, 
20198, POPLAR AND WATKINS, MEMPHIS, TN, 
20199, PRESCOTT AND KIMBALL, MEMPHIS, TN, 
20200, PRESTON AND ESSEX, MEMPHIS, TN, 
20201, RAINES AND HODGE, MEMPHIS, TN, 
20202, RAINES AND ROSS, MEMPHIS, TN, 
20203, RALEIGH LAGRANGE AND BARTLETT, MEMPHIS, TN, 
20204, RALEIGH LAGRANGE AND HOOVER, MEMPHIS, TN, 
20205, RALEIGH LAGRANGE AND PENNINGTON GAP, MEMPHIS, TN, 
20206, RALEIGH LAGRANGE AND WILFONG, MEMPHIS, TN, 
20207, RANGE LINE AND FRAYSER, MEMPHIS, TN, 
20208, RANGELINE AND BETHLEHEM, MEMPHIS, TN, 
20209, RAYMOND AND PARK, MEMPHIS, TN, 
20210, S PKWY AND MISSISSIPPI, MEMPHIS, TN, 
20211, S PKWY AND WILLETT, MEMPHIS, TN, 
20212, S THIRD AND FAIRWAY, MEMPHIS, TN, 
20213, SECOND AND GEORGE W LEE, MEMPHIS, TN, 
20214, SECOND AND VANCE, MEMPHIS, TN, 
20215, SHELBY AND FARONIA, MEMPHIS, TN, 
20216, SHELBY AND LAMAR, MEMPHIS, TN, 
20217, SHELBY DR AND PLEASANT HILL, MEMPHIS, TN, 
20218, SHELBY DR AND TULANE RD, MEMPHIS, TN, 
20219, SOUTH PKWY AND MISSISSIPPI, MEMPHIS, TN, 
20220, SPRINGDALE AND MARBLE, MEMPHIS, TN, 
20221, ST ELMO AND RALEIGH MILLINGTON, MEMPHIS, TN, 
20222, STEELE AND WHITNEY, MEMPHIS, TN, 
20223, SUMMER AND CARPENTER, MEMPHIS, TN, 
20224, SUMMER AND OLD SUMMER, MEMPHIS, TN, 
20225, THIRD AND COURT, MEMPHIS, TN, 
20226, THIRD AND HORNLAKE, MEMPHIS, TN, 
20227, THIRD AND WALKER, MEMPHIS, TN, 
20228, TILLMAN AND MCADOO, MEMPHIS, TN, 
20229, TILLMAN AND SUMMER, MEMPHIS, TN, 
20230, TILLMAN AND WAYNOKA, MEMPHIS, TN, 
20231, TURLEY AND PONTOTOC, MEMPHIS, TN, 
20232, UNION AND FRONT, MEMPHIS, TN, 
20233, UNION AND KIMBROUGH, MEMPHIS, TN, 
20234, UNION AND MYRTLE, MEMPHIS, TN, 
20235, VANCE AND MAIN, MEMPHIS, TN, 
20236, VANDALE AND HOLLYWOOD, MEMPHIS, TN, 
20237, VOLLINTINE AND RANDLE, MEMPHIS, TN, 
20238, WAGNER AND BEALE, MEMPHIS, TN, 
20239, WASHINGTON AND MANASSAS, MEMPHIS, TN, 
20240, WATKINS AND DABBS, MEMPHIS, TN, 
20241, WATKINS AND I-40, MEMPHIS, TN, 
20242, WATKINS AND I40, MEMPHIS, TN, 
20243, WATKINS AND PINEDALE, MEMPHIS, TN, 
20244, WELLS STATION AND REED, MEMPHIS, TN, 
20245, WINCHESTER AND AIR PARK, MEMPHIS, TN, 
20246, WINCHESTER AND KNIGHT RD, MEMPHIS, TN, 
20247, WINCHESTER RD AND TCHULAHOMA RD, MEMPHIS, TN, 
20248, WOODDALE AND KNIGHT, MEMPHIS, TN, 
20249, YALE AND SCHEIBLER, MEMPHIS, TN, 
20250, 100 BEALE, MEMPHIS, TN, 
20251, 100 DUNLAP, MEMPHIS, TN, 
20252, 100 E DAVANT AVE, MEMPHIS, TN, 
20253, 100 EAST DAVANT, MEMPHIS, TN, 
20254, 100 EAST FERNWOOD, MEMPHIS, TN, 
20255, 100 LYNNFIELD, MEMPHIS, TN, 
20256, 100 N HIGHLAND, MEMPHIS, TN, 
20257, 100 N MENDENHALL RD, MEMPHIS, TN, 
20258, 100 N SOMMERVILLE, MEMPHIS, TN, 
20259, 100 NORTH BELVEDERE BOULEVARD, MEMPHIS, TN, 
20260, 100 NORTH WILLETT, MEMPHIS, TN, 
20261, 100 RIVERVIEW DR WEST, MEMPHIS, TN, 
20262, 100 S AUBURNDALE, MEMPHIS, TN, 
20263, 100 S CENTURY, MEMPHIS, TN, 
20264, 100 S HUMES ST, MEMPHIS, TN, 
20265, 100 S PARKWAY EAST ST, MEMPHIS, TN, 
20266, 100 S WALNUT BEND, MEMPHIS, TN, 
20267, 100 TILLMAN, MEMPHIS, TN, 
20268, 100 W BYFIELD DR, MEMPHIS, TN, 
20269, 100 W NORWOOD AVE, MEMPHIS, TN, 
20270, 100 WEST WALDORF, MEMPHIS, TN, 
20271, 1000 BARKSDALE, MEMPHIS, TN, 
