83237, 1200 WARING RD, MEMPHIS, TN, 
83238, 1200 WARING, MEMPHIS, TN, 
83239, 1200 WAVERLY AVE, MEMPHIS, TN, 
83240, 1200 WAVERLY, MEMPHIS, TN, 
83241, 1200 WEAKLY AVE, MEMPHIS, TN, 
83242, 1200 WEAKLY, MEMPHIS, TN, 
83243, 1200 WEATON, MEMPHIS, TN, 
83244, 1200 WEINER ST, MEMPHIS, TN, 
83245, 1200 WELL STA, MEMPHIS, TN, 
83246, 1200 WELL STATIONS, MEMPHIS, TN, 
83247, 1200 WELLINGTON ST, MEMPHIS, TN, 
83248, 1200 WELLS STA RD, MEMPHIS, TN, 
83249, 1200 WELLSTATION, MEMPHIS, TN, 
83250, 1200 WEST CORTONA CIRCLE, MEMPHIS, TN, 
83251, 1200 WEST CREST WOOD, MEMPHIS, TN, 
83252, 1200 WEST CRESTWOOD DR, MEMPHIS, TN, 
83253, 1200 WEST CRESTWOOD, MEMPHIS, TN, 
83254, 1200 WEST HOLMES RD, MEMPHIS, TN, 
83255, 1200 WEST HOLMES, MEMPHIS, TN, 
83256, 1200 WEST LEXINGTON, MEMPHIS, TN, 
83257, 1200 WEST NORMAN, MEMPHIS, TN, 
83258, 1200 WESTERN PARK DRIVE, MEMPHIS, TN, 
83259, 1200 WESTERN PARKWAY, MEMPHIS, TN, 
83260, 1200 WESTERNPARK, MEMPHIS, TN, 
83261, 1200 WESTERPARK, MEMPHIS, TN, 
83262, 1200 WHEATLEY, MEMPHIS, TN, 
83263, 1200 WHITAKER #205, MEMPHIS, TN, 
83264, 1200 WHITAKER #308, MEMPHIS, TN, 
83265, 1200 WHITAKER #4, MEMPHIS, TN, 
83266, 1200 WHITAKER 102, MEMPHIS, TN, 
83267, 1200 WHITAKER 104, MEMPHIS, TN, 
83268, 1200 WHITAKER 2, MEMPHIS, TN, 
83269, 1200 WHITAKER 201, MEMPHIS, TN, 
83270, 1200 WHITAKER 204, MEMPHIS, TN, 
83271, 1200 WHITAKER 208, MEMPHIS, TN, 
83272, 1200 WHITAKER 210, MEMPHIS, TN, 
83273, 1200 WHITAKER 212, MEMPHIS, TN, 
83274, 1200 WHITAKER 302, MEMPHIS, TN, 
83275, 1200 WHITAKER APT 201, MEMPHIS, TN, 
83276, 1200 WHITAKER AVE, MEMPHIS, TN, 
83277, 1200 WHITAKER DR AND, MEMPHIS, TN, 
83278, 1200 WHITAKER PL, MEMPHIS, TN, 
83279, 1200 WHITAKER ST, MEMPHIS, TN, 
83280, 1200 WHITE STA RD, MEMPHIS, TN, 
83281, 1200 WHITEHAVEN LN, MEMPHIS, TN, 
83282, 1200 WHITESTATION, MEMPHIS, TN, 
83283, 1200 WHITFIELD, MEMPHIS, TN, 
83284, 1200 WHITHER, MEMPHIS, TN, 
83285, 1200 WHITKNER, MEMPHIS, TN, 
83286, 1200 WHITMORE ST, MEMPHIS, TN, 
83287, 1200 WIBEC, MEMPHIS, TN, 
83288, 1200 WICKER, MEMPHIS, TN, 
83289, 1200 WIENER RD, MEMPHIS, TN, 
83290, 1200 WIL SCARLET RD, MEMPHIS, TN, 
83291, 1200 WILDLEAF, MEMPHIS, TN, 
83292, 1200 WILL SCARLET CR ST, MEMPHIS, TN, 
83293, 1200 WILL SCARLETT RD, MEMPHIS, TN, 
83294, 1200 WILLIE B MITCHEL, MEMPHIS, TN, 
83295, 1200 WILLIE MITCHEL BLVD, MEMPHIS, TN, 
83296, 1200 WILLOUGHBY AVE, MEMPHIS, TN, 
83297, 1200 WILLOUGHBY ST, MEMPHIS, TN, 
83298, 1200 WILLS SCARLET RD, MEMPHIS, TN, 
83299, 1200 WILSCARLET, MEMPHIS, TN, 
83300, 1200 WILSON #1, MEMPHIS, TN, 
83301, 1200 WILSON #3, MEMPHIS, TN, 
83302, 1200 WILSON 1, MEMPHIS, TN, 
83303, 1200 WILSON APT4, MEMPHIS, TN, 
83304, 1200 WILSON, APT 3, MEMPHIS, TN, 
83305, 1200 WINCHESTER 106, MEMPHIS, TN, 
83306, 1200 WINCHESTER SUITE 108, MEMPHIS, TN, 
83307, 1200 WINDFIELD, MEMPHIS, TN, 
83308, 1200 WINFIELD DR, MEMPHIS, TN, 
83309, 1200 WINFIELD ST, MEMPHIS, TN, 
83310, 1200 WINGFIELD RD, MEMPHIS, TN, 
83311, 1200 WITMORE AVE, MEMPHIS, TN, 
83312, 1200 WOODVIEW, MEMPHIS, TN, 
83313, 1200 WPERKINS, MEMPHIS, TN, 
83314, 1200 WRAINES, MEMPHIS, TN, 
83315, 1200 WRIGHT AVE, MEMPHIS, TN, 
83316, 1200 YORKSHIRE DR, MEMPHIS, TN, 
83317, 1200 YOUNG, MEMPHIS, TN, 
83318, 12000 COVINGTON PIKE, MEMPHIS, TN, 
83319, 1200BLK OF JACKSON AVE, MEMPHIS, TN, 
83320, 1200BLK OVERTON PARK, MEMPHIS, TN, 
83321, 1200EAS SHELBY DR, MEMPHIS, TN, 
83322, 1200ESHELBY DR, MEMPHIS, TN, 
83323, 1201GETWELL, MEMPHIS, TN, 
83324, 1204E WINCHESTER, MEMPHIS, TN, 
83325, 1205:AZALIA ST, MEMPHIS, TN, 
83326, 1207MIDDLE, MEMPHIS, TN, 
83327, 12100 HWY64, MEMPHIS, TN, 
83328, 12100 STAGE RD, MEMPHIS, TN, 
83329, 12100 U S 64, MEMPHIS, TN, 
83330, 12100 US 64, MEMPHIS, TN, 
83331, 12100 VOLLINTINE AVE, MEMPHIS, TN, 
83332, 1211CANFIELD, MEMPHIS, TN, 
83333, 1212E SHELBY, MEMPHIS, TN, 
83334, 1212UNIVERSITY, MEMPHIS, TN, 
83335, 1213SPRINGDALE, MEMPHIS, TN, 
83336, 1217GETWELL, MEMPHIS, TN, 
83337, 1218 AND 1220 ETHEL, MEMPHIS, TN, 
83338, 1218N SEVENTH, MEMPHIS, TN, 
83339, 1218WINCHESTER, MEMPHIS, TN, 
83340, 12200 HIDDEN TRAIL, MEMPHIS, TN, 
83341, 12200 HWY64, MEMPHIS, TN, 
83342, 1225MEDA, MEMPHIS, TN, 
83343, 1227AZALIA ST, MEMPHIS, TN, 
83344, 122HARBOR VILLAGE DR, MEMPHIS, TN, 
83345, 1232THRUSH CROSS CV, MEMPHIS, TN, 
83346, 1234 AND 1236 WILSON, MEMPHIS, TN, 
83347, 1234FINLEY, MEMPHIS, TN, 
83348, 1236PRIMACY PKWY, MEMPHIS, TN, 
83349, 1237D THOMAS, MEMPHIS, TN, 
83350, 1238MAYWOOD, MEMPHIS, TN, 
83351, 1239, MARECHANEIL, MEMPHIS, TN, 
83352, 1239GETWELL, MEMPHIS, TN, 
