11223, 1800 LAUDERDALE, MEMPHIS, TN, 
11224, 1800 NORTH GERMANTOWN PKWY, MEMPHIS, TN, 
11225, 1800 SOUTH PRESCOTT, MEMPHIS, TN, 
11226, 1800 STATE, MEMPHIS, TN, 
11227, 1900 BROOKS, MEMPHIS, TN, 
11228, 1900 CAPRI, MEMPHIS, TN, 
11229, 1900 CORNELIA LN, MEMPHIS, TN, 
11230, 1900 CRUMP, MEMPHIS, TN, 
11231, 1900 HIDDEN WATER DR, MEMPHIS, TN, 
11232, 1900 JEFFERSON, MEMPHIS, TN, 
11233, 1900 LAMAR, MEMPHIS, TN, 
11234, 1900 MCKELLAR LAKE DR, MEMPHIS, TN, 
11235, 1900 MYRNA, MEMPHIS, TN, 
11236, 1900 NEDRA, MEMPHIS, TN, 
11237, 1900 NEW GATE DR, MEMPHIS, TN, 
11238, 1900 THIRD, MEMPHIS, TN, 
11239, 1900 VALLEY BLVD, MEMPHIS, TN, 
11240, 200 CHAMPA, MEMPHIS, TN, 
11241, 200 E MCKELLAR, MEMPHIS, TN, 
11242, 200 E RED OAK DR, MEMPHIS, TN, 
11243, 200 GE PATTERSON, MEMPHIS, TN, 
11244, 200 MAJUBA AVE, MEMPHIS, TN, 
11245, 200 NORTH DANNY THOMAS, MEMPHIS, TN, 
11246, 200 PRETORIA, MEMPHIS, TN, 
11247, 200 ROWE, MEMPHIS, TN, 
11248, 200 SCOTT, MEMPHIS, TN, 
11249, 200 VANCE, MEMPHIS, TN, 
11250, 200 WAGNER PL, MEMPHIS, TN, 
11251, 2000 EAST RAINES RD, MEMPHIS, TN, 
11252, 2000 EDWARD, MEMPHIS, TN, 
11253, 2000 KILARNEY, MEMPHIS, TN, 
11254, 2000 N GLENHOME, MEMPHIS, TN, 
11255, 2000 OLIVER AVE, MEMPHIS, TN, 
11256, 2000 SEA ISLE, MEMPHIS, TN, 
11257, 2000 SIPES AVE, MEMPHIS, TN, 
11258, 2100 BRIGHTON RD, MEMPHIS, TN, 
11259, 2100 CENTRAL, MEMPHIS, TN, 
11260, 2100 DAWSON, MEMPHIS, TN, 
11261, 2100 LAUREN LN, MEMPHIS, TN, 
11262, 2100 PENNINGTON GAP, MEMPHIS, TN, 
11263, 2100 SHARON LN, MEMPHIS, TN, 
11264, 2200 ALAMEDA, MEMPHIS, TN, 
11265, 2200 CORNING, MEMPHIS, TN, 
11266, 2200 HARBERT, MEMPHIS, TN, 
