120150, 4213ARBOR CT, MEMPHIS, TN, 
120151, 4215MILLBRANCH RD, MEMPHIS, TN, 
120152, 4217ANN ARBOR CT, MEMPHIS, TN, 
120153, 421HODGES, MEMPHIS, TN, 
120154, 421N BUTLER WOODS CV, MEMPHIS, TN, 
120155, 42200 TOWNHALL LN, MEMPHIS, TN, 
120156, 4242JONES RD, MEMPHIS, TN, 
120157, 4246 AND 4248 JONES RD, MEMPHIS, TN, 
120158, 4246PARKFOREST, MEMPHIS, TN, 
120159, 4251WINCHESTER, MEMPHIS, TN, 
120160, 4254 AND 4256 JONES, MEMPHIS, TN, 
120161, 425W PEEBLES, MEMPHIS, TN, 
120162, 4261GRACELAND DR, MEMPHIS, TN, 
120163, 4272WINCHESTER, MEMPHIS, TN, 
120164, 4288INDIANBEND, MEMPHIS, TN, 
120165, 4291REED, MEMPHIS, TN, 
120166, 4291WATTS, MEMPHIS, TN, 
120167, 42LL WINDEMERE RD, MEMPHIS, TN, 
120168, 430-440 MONROE, MEMPHIS, TN, 
120169, 4300 0LD RALEIGH LAGRANGE, MEMPHIS, TN, 
120170, 4300 1ST NORTHSIDE DR, MEMPHIS, TN, 
120171, 4300 3RD, MEMPHIS, TN, 
120172, 4300 51 HWY N, MEMPHIS, TN, 
120173, 4300 AAROW, MEMPHIS, TN, 
120174, 4300 AIR PARK CV, MEMPHIS, TN, 
120175, 4300 AIR PARK, MEMPHIS, TN, 
120176, 4300 AIR TRAN RD, MEMPHIS, TN, 
120177, 4300 AIR TRANS DR, MEMPHIS, TN, 
120178, 4300 ALAMO, MEMPHIS, TN, 
120179, 4300 ALICE AN DR, MEMPHIS, TN, 
120180, 4300 ALICE ANM DR, MEMPHIS, TN, 
120181, 4300 ALICE ANN AVE, MEMPHIS, TN, 
120182, 4300 ALICE ANN CV, MEMPHIS, TN, 
120183, 4300 ALICE ANN DR 1, MEMPHIS, TN, 
120184, 4300 ALICE ANN DR-PARKING LOT, MEMPHIS, TN, 
120185, 4300 ALICE ANN-PARKING LOT, MEMPHIS, TN, 
120186, 4300 ALICE ANNA DR, MEMPHIS, TN, 
120187, 4300 ALICE RD, MEMPHIS, TN, 
120188, 4300 ALICE ST, MEMPHIS, TN, 
120189, 4300 ALICE-ANN, MEMPHIS, TN, 
120190, 4300 ALICEAN DR, MEMPHIS, TN, 
120191, 4300 ALICEANN, MEMPHIS, TN, 
120192, 4300 ALLENCREST, MEMPHIS, TN, 
120193, 4300 ALLICE ANN, MEMPHIS, TN, 
120194, 4300 ALLIXE ANN DR, MEMPHIS, TN, 
120195, 4300 ALOLA, MEMPHIS, TN, 
120196, 4300 ALPA, MEMPHIS, TN, 
120197, 4300 ALPS ST, MEMPHIS, TN, 
120198, 4300 ALRIDGE, MEMPHIS, TN, 
120199, 4300 AMANDA CIRCLE NORTH, MEMPHIS, TN, 
120200, 4300 AMANDA CIRCLE S, MEMPHIS, TN, 
120201, 4300 AMANDA, MEMPHIS, TN, 
120202, 4300 AMBER, MEMPHIS, TN, 
120203, 4300 AMBROSE ST, MEMPHIS, TN, 
120204, 4300 AMERCAN WAY, MEMPHIS, TN, 
120205, 4300 AMERIACAN WAY, MEMPHIS, TN, 
120206, 4300 AMERICAN RAY, MEMPHIS, TN, 
120207, 4300 AMERICAN WA ROOM 134, MEMPHIS, TN, 
120208, 4300 AMERICAN WAY #225, MEMPHIS, TN, 
120209, 4300 AMERICAN WAY #231, MEMPHIS, TN, 
120210, 4300 AMERICAN WAY #320, MEMPHIS, TN, 
120211, 4300 AMERICAN WAY #327 RD, MEMPHIS, TN, 
120212, 4300 AMERICAN WAY 215, MEMPHIS, TN, 
120213, 4300 AMERICAN WAY 321, MEMPHIS, TN, 
120214, 4300 AMERICAN WAY DR, MEMPHIS, TN, 
120215, 4300 AMERICAN WAY RM 135, MEMPHIS, TN, 
120216, 4300 AMERICAN WAY RM 317, MEMPHIS, TN, 
120217, 4300 AMERICAN WAY RM 342, MEMPHIS, TN, 
120218, 4300 AMERICAN WAY ROOM 124, MEMPHIS, TN, 
120219, 4300 AMERICAN WAY ROOM 130, MEMPHIS, TN, 
120220, 4300 AMERICAN WAY ROOM 222, MEMPHIS, TN, 
120221, 4300 AMERICAN WAY SUITE #7, MEMPHIS, TN, 
120222, 4300 AMERICAN WAY SUITE 2, MEMPHIS, TN, 
120223, 4300 AMERICAN WAY SUITE 3, MEMPHIS, TN, 
120224, 4300 AMERICANWAY 223, MEMPHIS, TN, 
120225, 4300 AMERICANWAY AVE, MEMPHIS, TN, 
120226, 4300 AMERICANWAY BLVD, MEMPHIS, TN, 
120227, 4300 ANBOR CT, MEMPHIS, TN, 
120228, 4300 ANN ARABOR CV, MEMPHIS, TN, 
120229, 4300 ANN ARBOHOR, MEMPHIS, TN, 
120230, 4300 ANN ARBOR CT 6, MEMPHIS, TN, 
120231, 4300 ANN ARBOR CT#6, MEMPHIS, TN, 
120232, 4300 ANN ARBOR CV APT 1, MEMPHIS, TN, 
120233, 4300 ANN ARBOR LAKE, MEMPHIS, TN, 
120234, 4300 ANN ARBOUR, MEMPHIS, TN, 
120235, 4300 ANNA DR, MEMPHIS, TN, 
120236, 4300 APPIAN DR, MEMPHIS, TN, 
120237, 4300 APPIAN, MEMPHIS, TN, 
120238, 4300 ARBOR CIR, MEMPHIS, TN, 
120239, 4300 ARBOR COUR, MEMPHIS, TN, 
120240, 4300 ARBOR CREEK, MEMPHIS, TN, 
