2450, 400 MODDER, MEMPHIS, TN, 
2451, 4100 DRUID HILL, MEMPHIS, TN, 
2452, 4100 PONCA, MEMPHIS, TN, 
2453, 6000 MACON CV, MEMPHIS, TN, 
2454, 6100 BLACKWING, MEMPHIS, TN, 
2455, 800 LEATH, MEMPHIS, TN, 
2456, 900 MISSISSIPPI BLVD, MEMPHIS, TN, 
2457, 100 MADISON, MEMPHIS, TN, 
2458, 100 UNION, MEMPHIS, TN, 
2459, 1000 PORTER, MEMPHIS, TN, 
2460, 1000 RIDGELAKE BLVD, MEMPHIS, TN, 
2461, 1100 MEDA, MEMPHIS, TN, 
2462, 1200 BILTMORE, MEMPHIS, TN, 
2463, 1300 EAST RAINES, MEMPHIS, TN, 
2464, 1400 HEMLOCK, MEMPHIS, TN, 
2465, 1400 N HOLLYWOOD, MEMPHIS, TN, 
2466, 1400 SARDIS, MEMPHIS, TN, 
2467, 1500 MONROE, MEMPHIS, TN, 
2468, 1600 CT, MEMPHIS, TN, 
2469, 1600 MCLEMORE, MEMPHIS, TN, 
2470, 1800 MORLYE ST, MEMPHIS, TN, 
2471, 1900 S ORLEANS, MEMPHIS, TN, 
2472, 2000 LAUDERDALE, MEMPHIS, TN, 
2473, 2100 BENFORD, MEMPHIS, TN, 
2474, 2200 E ALCY, MEMPHIS, TN, 
2475, 2200 E RAINES, MEMPHIS, TN, 
2476, 2300 FRAYSER, MEMPHIS, TN, 
2477, 2400 STATEN, MEMPHIS, TN, 
2478, 2600 SUMMER AVE, MEMPHIS, TN, 
2479, 2900 OVERTON CROSSING, MEMPHIS, TN, 
2480, 3000 HICKORY HILL RD, MEMPHIS, TN, 
2481, 3000 LAKE PARK, MEMPHIS, TN, 
2482, 3200 BOXDALE, MEMPHIS, TN, 
2483, 3200 GUERNSEY, MEMPHIS, TN, 
2484, 3400 BOWEN, MEMPHIS, TN, 
2485, 3400 BUCHANAN, MEMPHIS, TN, 
2486, 3500 SHARPE AVE, MEMPHIS, TN, 
2487, 3600 CAZASSA, MEMPHIS, TN, 
2488, 3600 LOWBRANCH, MEMPHIS, TN, 
2489, 3600 MACON, MEMPHIS, TN, 
2490, 3700 WINDERMERE, MEMPHIS, TN, 
2491, 4000 BALD EAGLE DR, MEMPHIS, TN, 
2492, 4100 EAGLE RIVER RD, MEMPHIS, TN, 
2493, 4200 GETWELL RD, MEMPHIS, TN, 
2494, 4200 KNIGHT ARNOLD, MEMPHIS, TN, 
2495, 4400 SHEFFIELD AVE, MEMPHIS, TN, 
2496, 4700 SUMMERLANE, MEMPHIS, TN, 
2497, 500 NORTH MAIN, MEMPHIS, TN, 
2498, 5000 PARK AVE, MEMPHIS, TN, 
2499, 5100 SANDERLIN AVE, MEMPHIS, TN, 
