146135, CHARLESTOWN PL AND NEW LONDON PL, MEMPHIS, TN, 
146136, CHARLESWOOD AVE AND WARING RD, MEMPHIS, TN, 
146137, CHARLEY HILL AND BERRYHILL, MEMPHIS, TN, 
146138, CHARLIE VERGOS RENDEZVOUS ALLEY, MEMPHIS, TN, 
146139, CHARLOTTE AND MITCHELL, MEMPHIS, TN, 
146140, CHARLSTOWNE AND MT MORIAH EXT, MEMPHIS, TN, 
146141, CHARTER AND 12TH, MEMPHIS, TN, 
146142, CHARTER AND 8TH, MEMPHIS, TN, 
146143, CHARTER AND ELEVENTH, MEMPHIS, TN, 
146144, CHARTER AND FORD RD, MEMPHIS, TN, 
146145, CHARTER AND FOURTH RD, MEMPHIS, TN, 
146146, CHARTER AND FOURTH ST, MEMPHIS, TN, 
146147, CHARTER AND HEWLETT, MEMPHIS, TN, 
146148, CHARTER OAK AND DOUBLE TREE, MEMPHIS, TN, 
146149, CHARTER ST AND HORN LAKE, MEMPHIS, TN, 
146150, CHARTRES AND ESPLANADE, MEMPHIS, TN, 
146151, CHATEAU RHODES CIRCLE, MEMPHIS, TN, 
146152, CHATFIELD DR AND BRUINS DR, MEMPHIS, TN, 
146153, CHATHAM LN, MEMPHIS, TN, 
146154, CHATHAM VILLAGE, MEMPHIS, TN, 
146155, CHATTERING AND LISA, MEMPHIS, TN, 
146156, CHATTERING LN AND MT TERRACE, MEMPHIS, TN, 
146157, CHATUM AND COUNTRY SQUIRE, MEMPHIS, TN, 
146158, CHATWOOD AND PLEASANT CV, MEMPHIS, TN, 
146159, CHATWOOD AND ROSSILAND CIRCLE, MEMPHIS, TN, 
146160, CHATWOOD AND TUTWILER, MEMPHIS, TN, 
146161, CHEALSE AND DANNY THOMA, MEMPHIS, TN, 
146162, CHEALSE AND N HOLLYWOOD, MEMPHIS, TN, 
146163, CHEALSE AND SEVENTH ST, MEMPHIS, TN, 
146164, CHEALSEA AND BREEDLOVE, MEMPHIS, TN, 
146165, CHEALSEA AND DUNLAP, MEMPHIS, TN, 
146166, CHEALSEA AND I-240, MEMPHIS, TN, 
146167, CHEALSEA AND PEARCE, MEMPHIS, TN, 
