3248, 2300 COVINGTON PIKE, MEMPHIS, TN, 
3249, 2300 JACKSON, MEMPHIS, TN, 
3250, 2300 ZANONE, MEMPHIS, TN, 
3251, 2500 RUBY OAKS DR, MEMPHIS, TN, 
3252, 2600 TRICIA, MEMPHIS, TN, 
3253, 2800 MARLENE, MEMPHIS, TN, 
3254, 2800 MCGREGOR, MEMPHIS, TN, 
3255, 3000 CAPRI, MEMPHIS, TN, 
3256, 3100 CRYSTAL, MEMPHIS, TN, 
3257, 3100 MEADOWS LN, MEMPHIS, TN, 
3258, 3100 SINCLAIR, MEMPHIS, TN, 
3259, 3200 SUNRISE, MEMPHIS, TN, 
3260, 3300 MILLBRANCH RD, MEMPHIS, TN, 
3261, 3300 SOUTH THIRD, MEMPHIS, TN, 
3262, 3400 HENRY, MEMPHIS, TN, 
3263, 3400 KEYSTONE, MEMPHIS, TN, 
3264, 3400 ROCKWOOD, MEMPHIS, TN, 
3265, 3400 SHELBY DR, MEMPHIS, TN, 
3266, 3500 BRADCREST, MEMPHIS, TN, 
3267, 3500 CARNES AVE, MEMPHIS, TN, 
3268, 3500 CLOUDLAND, MEMPHIS, TN, 
3269, 3600 DAGGETT, MEMPHIS, TN, 
3270, 3600 KRUGER, MEMPHIS, TN, 
3271, 3600 SHARPE, MEMPHIS, TN, 
3272, 3600 WESTLINE DR, MEMPHIS, TN, 
3273, 3600 WINGOOD CIRCLE, MEMPHIS, TN, 
3274, 3700 GIVEN, MEMPHIS, TN, 
3275, 3700 MASON, MEMPHIS, TN, 
3276, 3700 PHILSDALE, MEMPHIS, TN, 
3277, 3700 SUZANNE, MEMPHIS, TN, 
3278, 3800 BROMPTON, MEMPHIS, TN, 
3279, 3900 S ADVANTAGE WAY DR, MEMPHIS, TN, 
3280, 4000 CHIPPEWA, MEMPHIS, TN, 
3281, 4100 MAUMEE, MEMPHIS, TN, 
3282, 4200 BARR, MEMPHIS, TN, 
3283, 4200 BAYLISS, MEMPHIS, TN, 
3284, 4200 HICKORY HILL RD, MEMPHIS, TN, 
3285, 4300 GETWELL RD, MEMPHIS, TN, 
3286, 4400 KNIGHT ARNOLD RD, MEMPHIS, TN, 
3287, 4400 RIDGESTONE, MEMPHIS, TN, 
3288, 4700 DELUTH, MEMPHIS, TN, 
3289, 4800 STOCKBRIDGE CT, MEMPHIS, TN, 
3290, 5500 WINCHESTER RD, MEMPHIS, TN, 
3291, 5700 BEACON PARK, MEMPHIS, TN, 
3292, 5700 ENCINO CV, MEMPHIS, TN, 
3293, 5900 BENADINE, MEMPHIS, TN, 
3294, 6000 RIDGELAND, MEMPHIS, TN, 
3295, 700 MCCONNELL, MEMPHIS, TN, 
3296, 700 N MENDENHALL, MEMPHIS, TN, 
3297, 700 S MENDENHALL, MEMPHIS, TN, 
3298, 800 MCLEMORE, MEMPHIS, TN, 
3299, 800 N PKWY, MEMPHIS, TN, 
3300, 8200 VARNAVAS, MEMPHIS, TN, 
3301, 900 CRESTON, MEMPHIS, TN, 
3302, HICKORY HILL AND MT MORIAH, MEMPHIS, TN, 
3303, UNKNOWN, MEMPHIS, TN, 
3304, 100 E BISCAYNE, MEMPHIS, TN, 
3305, 100 S PKWY E, MEMPHIS, TN, 
3306, 1000 N WATKINS ST, MEMPHIS, TN, 
3307, 1100 BRADLEY, MEMPHIS, TN, 
3308, 1100 GREENWOOD, MEMPHIS, TN, 
3309, 1100 S BELLEVUE, MEMPHIS, TN, 
3310, 1300 HARBERT AVE, MEMPHIS, TN, 
3311, 1400 KERR, MEMPHIS, TN, 
3312, 1600 ALCY, MEMPHIS, TN, 
3313, 1600 ELY, MEMPHIS, TN, 
3314, 1700 SILVER, MEMPHIS, TN, 
3315, 1900 MARJORIE, MEMPHIS, TN, 
3316, 200 LT GEORGE W LEE AVE, MEMPHIS, TN, 
3317, 2000 E BROOKS RD, MEMPHIS, TN, 
3318, 2200 CHELSEA, MEMPHIS, TN, 
3319, 2200 PARKHURST, MEMPHIS, TN, 
3320, 2200 PUEBLO, MEMPHIS, TN, 
3321, 2600 OXFORD, MEMPHIS, TN, 
3322, 2600 PARK AVE, MEMPHIS, TN, 
3323, 2700 DWIGHT, MEMPHIS, TN, 
3324, 2700 WOODCLIFF DR, MEMPHIS, TN, 
3325, 2900 ARLINGTON, MEMPHIS, TN, 
3326, 2900 BROAD, MEMPHIS, TN, 
3327, 300 HAWTHORNE, MEMPHIS, TN, 
3328, 300 KIRK, MEMPHIS, TN, 
3329, 300 N MCNEIL, MEMPHIS, TN, 
3330, 300 S DANNY THOMAS BLVD, MEMPHIS, TN, 
3331, 300 W DISON, MEMPHIS, TN, 
3332, 3100 CYPRESS LAKE, MEMPHIS, TN, 
3333, 3100 MORNINGVIEW DR, MEMPHIS, TN, 
3334, 3100 SPOTTSWOOD, MEMPHIS, TN, 
3335, 3200 MENDENHALL RD, MEMPHIS, TN, 
3336, 3200 N WATKINS, MEMPHIS, TN, 
3337, 3200 SIMMENTAL HILL, MEMPHIS, TN, 
3338, 3400 FORD RD, MEMPHIS, TN, 
3339, 3400 PARK AVE, MEMPHIS, TN, 
3340, 3400 S 3RD ST, MEMPHIS, TN, 
3341, 3400 SUNNYFIELD CV, MEMPHIS, TN, 
3342, 3500 BRIARPARK DR, MEMPHIS, TN, 
3343, 3500 HALLBROOK, MEMPHIS, TN, 
3344, 3500 HENDRICKS, MEMPHIS, TN, 
3345, 3500 S PERKINS, MEMPHIS, TN, 
3346, 3500 ZOYSIA, MEMPHIS, TN, 
3347, 3600 GREENSIDE DR, MEMPHIS, TN, 
3348, 3700 WILSHIRE, MEMPHIS, TN, 
3349, 3800 ARGONNE, MEMPHIS, TN, 
3350, 3900 MILLBRANCH, MEMPHIS, TN, 
3351, 400 GLENCOE, MEMPHIS, TN, 
3352, 400 HEWLETT, MEMPHIS, TN, 
3353, 400 N WATKINS, MEMPHIS, TN, 
3354, 4100 ST PIERRE BLVD, MEMPHIS, TN, 
3355, 4200 OVERTON CROSSING, MEMPHIS, TN, 
3356, 4200 WEBBWAY, MEMPHIS, TN, 
3357, 4500 RANGELINE, MEMPHIS, TN, 
3358, 4700 COTTONWOOD, MEMPHIS, TN, 
3359, 500 E H CRUMP, MEMPHIS, TN, 
3360, 5000 ELMORE RD, MEMPHIS, TN, 
3361, 5000 HIDDEN LAKE, MEMPHIS, TN, 
3362, 5000 SHAYNE LN, MEMPHIS, TN, 
3363, 5100 MCKELLAR WOODS DR, MEMPHIS, TN, 
3364, 5200 PICKETT CV, MEMPHIS, TN, 
