51155, 4900 LORAINE, MEMPHIS, TN, 
51156, 4900 MARLIN AVE, MEMPHIS, TN, 
51157, 4900 MCCRORY AVE, MEMPHIS, TN, 
51158, 4900 NEW GATE, MEMPHIS, TN, 
51159, 4900 OLD SUMMER RD, MEMPHIS, TN, 
51160, 4900 OWEN AVE, MEMPHIS, TN, 
51161, 4900 PEBBLE WOOD CV, MEMPHIS, TN, 
51162, 4900 QUINTELL RD, MEMPHIS, TN, 
51163, 4900 RIVERDALE RD, MEMPHIS, TN, 
51164, 4900 ROLLING FIELDS DR, MEMPHIS, TN, 
51165, 4900 S HIGHWAY 61, MEMPHIS, TN, 
51166, 4900 S WINCHESTER SQUARE, MEMPHIS, TN, 
51167, 4900 SHAYNE CV, MEMPHIS, TN, 
51168, 4900 SHAYNE LN CV, MEMPHIS, TN, 
51169, 4900 SHIFRI AVE, MEMPHIS, TN, 
51170, 4900 SOUTH THIRD, MEMPHIS, TN, 
51171, 4900 SOUTHAVEN, MEMPHIS, TN, 
51172, 4900 SOUTHERN, MEMPHIS, TN, 
51173, 4900 SUMMERLANE RD, MEMPHIS, TN, 
51174, 4900 TEAL RD, MEMPHIS, TN, 
51175, 4900 TUGGLE RD, MEMPHIS, TN, 
51176, 4900 WATER FOWL, MEMPHIS, TN, 
51177, 4900 WEAVER, MEMPHIS, TN, 
51178, 4900 WINCHESTER N SQ, MEMPHIS, TN, 
51179, 4900 WOODALE AVE, MEMPHIS, TN, 
51180, 4900 WOODALE, MEMPHIS, TN, 
51181, 4900, MEMPHIS, TN, 
51182, 4TH AND MCLEMORE, MEMPHIS, TN, 
51183, 4TH ST AND GAYOSO AVE, MEMPHIS, TN, 
51184, 4TH ST AND MADISON, MEMPHIS, TN, 
51185, 500 ALLISON CV, MEMPHIS, TN, 
51186, 500 ALSTON AVE, MEMPHIS, TN, 
51187, 500 ANSLEY PARK CV, MEMPHIS, TN, 
51188, 500 BEAL, MEMPHIS, TN, 
51189, 500 BLACKHAWK, MEMPHIS, TN, 
51190, 500 BONNEL, MEMPHIS, TN, 
51191, 500 BRAD CLIFF CV, MEMPHIS, TN, 
51192, 500 BRADWOOD DR, MEMPHIS, TN, 
51193, 500 BROOK RIDGE, MEMPHIS, TN, 
51194, 500 BUTLER WOOD CV, MEMPHIS, TN, 
51195, 500 BUTLERWOOD CV, MEMPHIS, TN, 
51196, 500 CAIRN CV, MEMPHIS, TN, 
51197, 500 CECILIA, MEMPHIS, TN, 
51198, 500 CHALMERS, MEMPHIS, TN, 
51199, 500 CLEABORNE ST, MEMPHIS, TN, 
51200, 500 CLEABORNE, MEMPHIS, TN, 
51201, 500 CLEARBORN ST, MEMPHIS, TN, 
51202, 500 COSSIT PLACE, MEMPHIS, TN, 
51203, 500 CRUMP AVE, MEMPHIS, TN, 
51204, 500 CUMBERLAND ST, MEMPHIS, TN, 
51205, 500 DEERSKIN RD, MEMPHIS, TN, 
51206, 500 DIRKS CAIRN CV, MEMPHIS, TN, 
51207, 500 DUNLAP ST, MEMPHIS, TN, 
51208, 500 E BUTLER ST, MEMPHIS, TN, 
51209, 500 E CRUMP BLVD, MEMPHIS, TN, 
51210, 500 E E H CRUMP BL AVE, MEMPHIS, TN, 
51211, 500 E ERWIN DR, MEMPHIS, TN, 
51212, 500 E HOLMES RD, MEMPHIS, TN, 
51213, 500 E PONTOTOC, MEMPHIS, TN, 
51214, 500 E SWAN RIDGE CR, MEMPHIS, TN, 
51215, 500 EAST NORWOOD AVE, MEMPHIS, TN, 
51216, 500 EAST OLIVE AVE, MEMPHIS, TN, 
51217, 500 EDITH ST, MEMPHIS, TN, 
51218, 500 ELDER RD, MEMPHIS, TN, 
51219, 500 ELSWORTH, MEMPHIS, TN, 
51220, 500 ELWOOD, MEMPHIS, TN, 
51221, 500 ENQUIRER, MEMPHIS, TN, 
51222, 500 FAIRFIELD CIRCLE, MEMPHIS, TN, 
51223, 500 FENWICK RD, MEMPHIS, TN, 
51224, 500 FLEDA RD, MEMPHIS, TN, 
51225, 500 FOOT PARK PL, MEMPHIS, TN, 
51226, 500 FOUNTAIN CREST CV, MEMPHIS, TN, 
51227, 500 FRIARS POINT LN, MEMPHIS, TN, 
51228, 500 GAGE, MEMPHIS, TN, 
51229, 500 GAINESVILLE RD, MEMPHIS, TN, 
51230, 500 GARLAND AVE, MEMPHIS, TN, 
51231, 500 GERMANTOWN PARKWAY, MEMPHIS, TN, 
51232, 500 GLEN ARBOR CR, MEMPHIS, TN, 
51233, 500 GRAHAMWOOD, MEMPHIS, TN, 
51234, 500 GRANDVIEW, MEMPHIS, TN, 
51235, 500 HARBOR, MEMPHIS, TN, 
51236, 500 HODGES CV, MEMPHIS, TN, 
