55327, S MAIN AND HULING, MEMPHIS, TN, 
55328, S MAIN AND NETTLETON, MEMPHIS, TN, 
55329, S MENDENHALL AND E RAINES, MEMPHIS, TN, 
55330, S MENDENHALL AND FOX PLAZA, MEMPHIS, TN, 
55331, S PARKWAY AND GAITHER, MEMPHIS, TN, 
55332, S PARKWAY AND KERR, MEMPHIS, TN, 
55333, S PARKWAY AND LAMAR, MEMPHIS, TN, 
55334, S PARKWAY AND MISSISSIPPI, MEMPHIS, TN, 
55335, S PARKWAY AND TAYLOR, MEMPHIS, TN, 
55336, S PARKWAY E AND MISSISSIPPI BLVD, MEMPHIS, TN, 
55337, S PERKINS AND COTTONWOOD RD, MEMPHIS, TN, 
55338, S PERKINS AND E MALLORY, MEMPHIS, TN, 
55339, S PERKINS, MEMPHIS, TN, 
55340, S PKWY AND ASTE, MEMPHIS, TN, 
55341, S PKWY AND BARTON, MEMPHIS, TN, 
55342, S PKWY AND MAIN, MEMPHIS, TN, 
55343, S PKWY AND S BARKSDALE, MEMPHIS, TN, 
55344, S PKWY AND SARDIS, MEMPHIS, TN, 
55345, S PKWY AND SHADOWLAWN, MEMPHIS, TN, 
55346, S PKWY AND WELLINGTON, MEMPHIS, TN, 
55347, S PKWY E AND BELLEVUE, MEMPHIS, TN, 
55348, S PKWY E AND CASTALIA, MEMPHIS, TN, 
55349, S PKWY E AND ELVIS PRESLEY BLVD, MEMPHIS, TN, 
55350, S PKWY, MEMPHIS, TN, 
55351, S SECOND AND LT GEORGE W LEE, MEMPHIS, TN, 
55352, S SECOND ST AND UNION AVE, MEMPHIS, TN, 
55353, S THIRD AND BUILDERS WAY, MEMPHIS, TN, 
55354, S THIRD AND CRUMP, MEMPHIS, TN, 
55355, S THIRD AND E H CRUMP, MEMPHIS, TN, 
55356, S THIRD AND E MCLEMORE, MEMPHIS, TN, 
55357, S THIRD AND EASTMAN, MEMPHIS, TN, 
55358, S THIRD AND GAYOSO, MEMPHIS, TN, 
55359, S THIRD AND HORNLAKE, MEMPHIS, TN, 
55360, S THIRD AND S PKWY E, MEMPHIS, TN, 
55361, S THIRD AND SOUTH PKWY, MEMPHIS, TN, 
55362, S THIRD AND WALKER, MEMPHIS, TN, 
55363, S THIRD ST AND BELZ, MEMPHIS, TN, 
55364, S THIRD ST AND WALKER AVE, MEMPHIS, TN, 
55365, S TREZEVANT ST AND LOWELL AVE, MEMPHIS, TN, 
55366, S WILLETT AND S PKWY E, MEMPHIS, TN, 
55367, S WILLETT AND UNION, MEMPHIS, TN, 
55368, S YATES AND GWYNNE, MEMPHIS, TN, 
55369, S. PARKWAY AND DRIVER, MEMPHIS, TN, 
55370, SAGEWOOD AND FARMWOOD, MEMPHIS, TN, 
