78160, 0 ORLEANS AND GEORGIA AVE, MEMPHIS, TN, 
78161, 0 PARK AND GRAHAM STREET RD, MEMPHIS, TN, 
78162, 0 PARK AVE AND GREER ST, MEMPHIS, TN, 
78163, 0 PENDLETON AND DEADRICK ST, MEMPHIS, TN, 
78164, 0 PERKINS AND 00 RAINES RD, MEMPHIS, TN, 
78165, 0 PERKINS RD AND NORMANDY AVE, MEMPHIS, TN, 
78166, 0 PERSHING AND SCOTT ST, MEMPHIS, TN, 
78167, 0 PONTOTOC AND BB KING ST, MEMPHIS, TN, 
78168, 0 POPLAR AND TILLMAN AVE, MEMPHIS, TN, 
78169, 0 POPLAR AVE AND BELLEVUE ST, MEMPHIS, TN, 
78170, 0 POPLAR AVE AND CHERRY RD, MEMPHIS, TN, 
78171, 0 PORTLAND AVE AND WOODLAWN TERRACE ST, MEMPHIS, TN, 
78172, 0 PURPLE LEAF LANE AND CORAL SHELL LANE, MEMPHIS, TN, 
78173, 0 RAINES AND 0 KIRBY PKWY, MEMPHIS, TN, 
78174, 0 RALEIGH LAGRANGE RD AND PARKVIEW ST, MEMPHIS, TN, 
78175, 0 RANGELINE AVENUE AND WHITNEY RD, MEMPHIS, TN, 
78176, 0 S COOPER ST AND GOFF AVE, MEMPHIS, TN, 
78177, 0 S COURT AVENUE AND SECOND STREET, MEMPHIS, TN, 
78178, 0 S FRONT ST AND BEALE ST, MEMPHIS, TN, 
78179, 0 S FRONT ST AND NETTLETON AVE, MEMPHIS, TN, 
78180, 0 S MENDENHALL AND LAKE DR, MEMPHIS, TN, 
78181, 0 S MENDENHALL RD AND SCOTTSDALE AVE, MEMPHIS, TN, 
78182, 0 SAM COOPER AND 0 HIGHLAND AVE, MEMPHIS, TN, 
78183, 0 SAM COOPER BOULEVARD, MEMPHIS, TN, 
78184, 0 SARATOGA AVE AND 0 AIRWAYS BLVD, MEMPHIS, TN, 
78185, 0 SARATOGA RD AND 1300 BLOCK OF AIRWAYS BLVD, MEMPHIS, TN, 
78186, 0 SECOND ST AND LT GEORGE W LEE BLVD, MEMPHIS, TN, 
78187, 0 SECOND ST AND MLK AVE, MEMPHIS, TN, 
78188, 0 SECOND ST AND PEABODY PL, MEMPHIS, TN, 
78189, 0 SEVENTH ST AND CHELSEA AVE, MEMPHIS, TN, 
78190, 0 SHELBY OAKS DR AND SYCAMORE VIEW RD, MEMPHIS, TN, 
78191, 0 SPRINGDALE AND HOWELL ST, MEMPHIS, TN, 
78192, 0 STAGE RD AND I-40 OVERPASS, MEMPHIS, TN, 
78193, 0 STAGE RD AND ROCKCREEK PKWY, MEMPHIS, TN, 
78194, 0 STAGE ROAD AND KATE BOND ROAD, MEMPHIS, TN, 
78195, 0 SUMMER AVE MENDENHALL RD, MEMPHIS, TN, 
78196, 0 SUMMER RD AND WHITE STATION RD, MEMPHIS, TN, 
78197, 0 SUPREME, MEMPHIS, TN, 
78198, 0 SYCAMORE VIEW AND MACON RD, MEMPHIS, TN, 
78199, 0 SYCAMORE VIEW AND PENNINGTON GAP RD, MEMPHIS, TN, 
78200, 0 SYCAMORE VIEW AND PLEASANT VIEW RD, MEMPHIS, TN, 
78201, 0 SYCAMORE VIEW AND SUMMER AVE, MEMPHIS, TN, 
78202, 0 SYCAMORE VIEW RD AND 0 SHELBY OAKS RD, MEMPHIS, TN, 
78203, 0 SYCAMORE VIEW RD AND FOREST HILLS DR, MEMPHIS, TN, 
78204, 0 SYCAMORE VIEW RD, MEMPHIS, TN, 
78205, 0 TIMBER TRAIL AND KIRBY PKWY, MEMPHIS, TN, 
78206, 0 TIMBER TRAIL AND KIRBY RD, MEMPHIS, TN, 
78207, 0 TRINITY DR AND TIMBER CREEK DR, MEMPHIS, TN, 
78208, 0 UNKNOWN ST, MEMPHIS, TN, 
78209, 0 VANCE AVE AND HERNANDO ST, MEMPHIS, TN, 
78210, 0 VANCE AVE AND S LAUDERDALE ST, MEMPHIS, TN, 
78211, 0 VOLLINTINE AND OLYMPIC ST, MEMPHIS, TN, 
78212, 0 WAGNER AVE, MEMPHIS, TN, 
78213, 0 WALES AVE AND JACKSON AVE, MEMPHIS, TN, 
78214, 0 WALNUT GROVE RD AND 0 FARM RD, MEMPHIS, TN, 
78215, 0 WALNUT GROVE RD, MEMPHIS, TN, 
78216, 0 WHITTEN RD AND RALEIGH LAGRANGE RD, MEMPHIS, TN, 
78217, 0 WILLETT AND EASTMORELAND AVE, MEMPHIS, TN, 
78218, 0 WINCHESTER AND GERMANTOWN RD, MEMPHIS, TN, 
78219, 0 WINCHESTER AND HICKORY HILL, MEMPHIS, TN, 
78220, 0 WINCHESTER AVE AND GRACELAND RD, MEMPHIS, TN, 
78221, 0 WINCHESTER RD AND KIRBY PKWY, MEMPHIS, TN, 
78222, 0 WINCHESTER ROAD AND CLARKE ROAD, MEMPHIS, TN, 
78223, 0 WINCHESTER/BISHOPS BRIDGE, MEMPHIS, TN, 
78224, 0 WOODCLIFF AND LEAFY HOLLOW DR, MEMPHIS, TN, 
78225, 0NE PLACE AND BROOKS, MEMPHIS, TN, 
78226, 0RLEANS, MEMPHIS, TN, 
78227, 0SYCAMORE VIEW RD AND SHELBY OAKS DR, MEMPHIS, TN, 
78228, 0VERTON PARK, MEMPHIS, TN, 
78229, 1 AND 4 OF MILE NORTH OF 2891 LAKEVIEW, MEMPHIS, TN, 
78230, 1-240 AND CHELSEA AVE, MEMPHIS, TN, 
78231, 1-240 AND ELVIS PRESLEY, MEMPHIS, TN, 
78232, 1-240 AND NORRIS, MEMPHIS, TN, 
78233, 1-240 AND UNION, MEMPHIS, TN, 
78234, 1-240 AND WALNUT GROVE, MEMPHIS, TN, 
78235, 1-240 BETWEEN MILBRANCH AND LAMAR, MEMPHIS, TN, 
78236, 1-240 E HIGHWAY AND PERKINS, MEMPHIS, TN, 
78237, 1-240 EAST AND PERKINS RD, MEMPHIS, TN, 
78238, 1-240 RD, MEMPHIS, TN, 
78239, 1-240 W AND B FROM LAMAR, MEMPHIS, TN, 
78240, 1-240 WATKINS INTERSTATE, MEMPHIS, TN, 
78241, 1-240, MEMPHIS, TN, 
78242, 1-40 AND WATKINS ST, MEMPHIS, TN, 
78243, 1-40 E AND B AND SAM COOPER, MEMPHIS, TN, 
78244, 1-40 E AND B BETWEEN JACKSON AVE AND COVINGTON PIKE, MEMPHIS, TN, 
78245, 1-55 AND BROOKS, MEMPHIS, TN, 
78246, 1-55 AND RAINES, MEMPHIS, TN, 
78247, 100 # EAST DESOTO AVE, MEMPHIS, TN, 
78248, 100 0 HICKORY RIDGE MALL, MEMPHIS, TN, 
78249, 100 0 PRESTON AND PERSON, MEMPHIS, TN, 
78250, 100 0 WINCHESTER, MEMPHIS, TN, 
78251, 100 01 AUSTINPEAY, MEMPHIS, TN, 
78252, 100 01 EAST CABANA CIRCLE, MEMPHIS, TN, 
78253, 100 02 KETCHUM, MEMPHIS, TN, 
78254, 100 06 REPUBLIC DR, MEMPHIS, TN, 
78255, 100 08 ORCHID RD, MEMPHIS, TN, 
78256, 100 1WATER LILLY TRAIL, MEMPHIS, TN, 
78257, 100 2 GAGE, MEMPHIS, TN, 
78258, 100 240/MILLBRANCH, MEMPHIS, TN, 
