307, 2000 COVINGTON PIKE, MEMPHIS, TN, 
308, 2800 GETWELL RD, MEMPHIS, TN, 
309, 1100 N WATKINS, MEMPHIS, TN, 
310, 2300 N GERMANTOWN PKWY, MEMPHIS, TN, 
311, 600 S PERKINS, MEMPHIS, TN, 
312, 1500 ELVIS PRESLEY, MEMPHIS, TN, 
313, 3100 S PERKINS, MEMPHIS, TN, 
314, 4100 TARRY PARK, MEMPHIS, TN, 
315, 6300 WINCHESTER RD, MEMPHIS, TN, 
316, 8000 WINCHESTER RD, MEMPHIS, TN, 
317, 1200 UNION, MEMPHIS, TN, 
318, 3300 SUMMER AVE, MEMPHIS, TN, 
319, 6100 SHELBY OAKS, MEMPHIS, TN, 
320, 3300 ELVIS PRESLEY, MEMPHIS, TN, 
321, 3800 JACKSON, MEMPHIS, TN, 
322, 5400 SUMMER AVE, MEMPHIS, TN, 
323, 3200 SHARPE, MEMPHIS, TN, 
324, 4400 SHEFFIELD, MEMPHIS, TN, 
325, 5400 ELVIS PRESLEY, MEMPHIS, TN, 
326, 6700 WINCHESTER, MEMPHIS, TN, 
327, 1500 BRIERCREST, MEMPHIS, TN, 
328, 3700 HILLBROOK, MEMPHIS, TN, 
329, 4800 NEELY RD, MEMPHIS, TN, 
330, 5000 LAMAR AVE, MEMPHIS, TN, 
331, 3500 COVINGTON PIKE, MEMPHIS, TN, 
332, 500 N MAIN, MEMPHIS, TN, 
333, 2100 UNION, MEMPHIS, TN, 
334, 2900 OLD AUSTIN PEAY, MEMPHIS, TN, 
335, 3600 TALL OAKS CIR, MEMPHIS, TN, 
336, 4400 SUMMER, MEMPHIS, TN, 
337, 4600 SUMMER, MEMPHIS, TN, 
338, 700 W MITCHELL, MEMPHIS, TN, 
339, 1400 E PERSON, MEMPHIS, TN, 
340, 6600 WINCHESTER RD, MEMPHIS, TN, 
341, 2500 CHELSEA, MEMPHIS, TN, 
342, 4000 ELVIS PRESLEY BLVD, MEMPHIS, TN, 
343, 700 MISSISSIPPI, MEMPHIS, TN, 
344, 300 CHANNEL 3 DR, MEMPHIS, TN, 
345, 3800 E SHELBY DR, MEMPHIS, TN, 
346, 4800 NEELY, MEMPHIS, TN, 
347, 2000 EZELL, MEMPHIS, TN, 
348, 2100 RIDGEWAY RD, MEMPHIS, TN, 
349, 2000 BONNIE DR, MEMPHIS, TN, 
350, 3600 SUMMER, MEMPHIS, TN, 
351, 4700 KNIGHT ARNOLD RD, MEMPHIS, TN, 
352, 4800 TULANE, MEMPHIS, TN, 
353, 2800 S PERKINS RD, MEMPHIS, TN, 
354, 3600 BELLBRANCH, MEMPHIS, TN, 
355, 1200 EAST SHELBY DR, MEMPHIS, TN, 
