13166, 8200 COUNTRY VILLAGE, MEMPHIS, TN, 
13167, 900 BRAMBLEWOOD, MEMPHIS, TN, 
13168, 900 BROWER ST, MEMPHIS, TN, 
13169, 900 DAVID, MEMPHIS, TN, 
13170, 900 DEMPSTER, MEMPHIS, TN, 
13171, 900 FIELDS, MEMPHIS, TN, 
13172, 900 GOODWYN ST, MEMPHIS, TN, 
13173, 900 HALE, MEMPHIS, TN, 
13174, 900 N WILLET, MEMPHIS, TN, 
13175, 900 PAWNEE, MEMPHIS, TN, 
13176, 900 S GRAHAM, MEMPHIS, TN, 
13177, 900 SHERIDAN, MEMPHIS, TN, 
13178, 900 VANCE AVE, MEMPHIS, TN, 
13179, 900 WATKINS, MEMPHIS, TN, 
13180, 900 WHITE STATION, MEMPHIS, TN, 
13181, 9200 HIGHWAY 64, MEMPHIS, TN, 
13182, AIRWAYS AND BOYLE, MEMPHIS, TN, 
13183, AIRWAYS AND SHELBY DR, MEMPHIS, TN, 
13184, BARRON AND AUBRA, MEMPHIS, TN, 
13185, BAYLISS AND GRAHAM, MEMPHIS, TN, 
13186, BEALE AND RIVERSIDE, MEMPHIS, TN, 
13187, BEALE ST, MEMPHIS, TN, 
13188, BOSTON AND SPOTTSWOOD, MEMPHIS, TN, 
13189, BROOKS AND AIRWAYS, MEMPHIS, TN, 
13190, CHELSEA AND DECATUR, MEMPHIS, TN, 
13191, COURT AND WATKINS, MEMPHIS, TN, 
13192, COVINGTON PIKE AND AUSTIN PEAY, MEMPHIS, TN, 
13193, DEADRICK AND DAVID, MEMPHIS, TN, 
13194, DEADRICK AND MARIANNA, MEMPHIS, TN, 
13195, DUNN AND AIRWAYS, MEMPHIS, TN, 
13196, ELVIS PRESLEY AND ELLISTON, MEMPHIS, TN, 
13197, GERMANTOWN AND TRINITY, MEMPHIS, TN, 
13198, GETWELL AND I240, MEMPHIS, TN, 
13199, HUNTER AND EVERGREEN, MEMPHIS, TN, 
13200, I40 AND HOLLYWOOD, MEMPHIS, TN, 
13201, I40 AND WHITTEN, MEMPHIS, TN, 
13202, JEFFERSON AND PAULINE, MEMPHIS, TN, 
13203, KERR AND MISSISSIPPI, MEMPHIS, TN, 
13204, KIMBALL AND SEMMES, MEMPHIS, TN, 
13205, LAMAR AND DEADRICK, MEMPHIS, TN, 
13206, LOONEY AND MANASSAS, MEMPHIS, TN, 
13207, MADISON AND CLAYBROOK, MEMPHIS, TN, 
13208, MAIN AND JEFFERSON, MEMPHIS, TN, 
13209, MAIN AND MADISON, MEMPHIS, TN, 
13210, MALLORY AND CHERRY, MEMPHIS, TN, 
13211, MERTON AND TUTWILER, MEMPHIS, TN, 
13212, NATIONAL AND SUMMER, MEMPHIS, TN, 
13213, NORRIS AND ELVIS PRESLEY, MEMPHIS, TN, 
13214, PENDLETON AND SEMMES, MEMPHIS, TN, 
13215, RAINES AND KIRBY, MEMPHIS, TN, 
13216, RALEIGH MILLINGTON AND ST ELMO, MEMPHIS, TN, 
13217, RIVERSIDE AND JEFFERSON, MEMPHIS, TN, 
13218, S PKWY AND BELLEVUE, MEMPHIS, TN, 
13219, SHELBY DR AND FARONIA, MEMPHIS, TN, 
13220, SHELBY DR AND NEELY, MEMPHIS, TN, 
13221, SILVERAGE AND FARRINGTON, MEMPHIS, TN, 
13222, SUMMER AND STRATFORD, MEMPHIS, TN, 
13223, TILLMAN AND BROAD, MEMPHIS, TN, 
13224, VILLAGE GROVE AND RIDGEWAY, MEMPHIS, TN, 
13225, VOLLINTINE AND OLYMPIC, MEMPHIS, TN, 
13226, WALKER AND NEPTUNE, MEMPHIS, TN, 
13227, 100 EASTMAN, MEMPHIS, TN, 
13228, 100 N BELLEVUE BLVD, MEMPHIS, TN, 
13229, 100 N COOPER ST, MEMPHIS, TN, 
13230, 100 N GREER, MEMPHIS, TN, 
13231, 100 N THIRD ST, MEMPHIS, TN, 
13232, 100 OTSEGO, MEMPHIS, TN, 
13233, 100 PEABODY, MEMPHIS, TN, 
13234, 100 S COX, MEMPHIS, TN, 
13235, 100 SHERWOOD AVE, MEMPHIS, TN, 
13236, 1000 DRIVER ST, MEMPHIS, TN, 
13237, 1000 E HOLMES, MEMPHIS, TN, 
13238, 1000 FIELDS, MEMPHIS, TN, 
13239, 1000 GREENWOOD, MEMPHIS, TN, 
13240, 1000 N GRAHAM, MEMPHIS, TN, 
13241, 1000 N HOLMES ST, MEMPHIS, TN, 
13242, 1000 OLYMPIC ST, MEMPHIS, TN, 
13243, 1000 PATTERSON CV, MEMPHIS, TN, 
13244, 1000 RAYNER ST, MEMPHIS, TN, 
13245, 1000 SEMMES ST, MEMPHIS, TN, 
13246, 1000 SUMPTER, MEMPHIS, TN, 
13247, 1000 WARING, MEMPHIS, TN, 
13248, 1000 WATER LILY TRAIL, MEMPHIS, TN, 
13249, 10100 CAMERON RIDGE TRAIL, MEMPHIS, TN, 
13250, 1100 ALCY, MEMPHIS, TN, 
13251, 1100 AYERS ST, MEMPHIS, TN, 
13252, 1100 DAWES, MEMPHIS, TN, 
13253, 1100 E TRIGG, MEMPHIS, TN, 
13254, 1100 ISABELLE ST, MEMPHIS, TN, 
13255, 1100 MARECHALNEIL, MEMPHIS, TN, 
13256, 1100 N BELVEDERE, MEMPHIS, TN, 
13257, 1100 N CLAYBROOK ST, MEMPHIS, TN, 
13258, 1100 NATCHEZ POINT, MEMPHIS, TN, 
13259, 1100 ORLEANS, MEMPHIS, TN, 
13260, 1100 SEVENTH, MEMPHIS, TN, 
13261, 1100 SPEED ST, MEMPHIS, TN, 
13262, 1100 W WALTHAL, MEMPHIS, TN, 
13263, 1100 WRENWOOD ST, MEMPHIS, TN, 
13264, 1200 ATLANTIC, MEMPHIS, TN, 
13265, 1200 BELVEDERE, MEMPHIS, TN, 
13266, 1200 BEVERLY, MEMPHIS, TN, 
13267, 1200 COLONIAL, MEMPHIS, TN, 
13268, 1200 DATTEL, MEMPHIS, TN, 
13269, 1200 FLORIDA ST, MEMPHIS, TN, 
13270, 1200 GIBBONS, MEMPHIS, TN, 
13271, 1200 KERR AVE, MEMPHIS, TN, 
13272, 1200 LAMAR, MEMPHIS, TN, 
13273, 1200 SALEM ST, MEMPHIS, TN, 
13274, 1200 SO BELLEVUE, MEMPHIS, TN, 
13275, 1200 TUNSTALL ST, MEMPHIS, TN, 
13276, 1200 UNIVERSITY ST, MEMPHIS, TN, 
13277, 1300 BRADY HOLLOW, MEMPHIS, TN, 
