26180, 5900 BAIRD, MEMPHIS, TN, 
26181, 5900 MACINNESS, MEMPHIS, TN, 
26182, 5900 MYERS RD, MEMPHIS, TN, 
26183, 5900 RIDGEWAY CTR PKWY, MEMPHIS, TN, 
26184, 5900 ROXBURY DR, MEMPHIS, TN, 
26185, 5900 ROXBURY, MEMPHIS, TN, 
26186, 5900 WALNUT GROVE RD, MEMPHIS, TN, 
26187, 600 E BODLEY, MEMPHIS, TN, 
26188, 600 EAST DISON, MEMPHIS, TN, 
26189, 600 EAST HOLMES, MEMPHIS, TN, 
26190, 600 EAST RAINES, MEMPHIS, TN, 
26191, 600 ELMWOOD PARK ST, MEMPHIS, TN, 
26192, 600 ELMWOOD PARK, MEMPHIS, TN, 
26193, 600 GERMANTOWN RD, MEMPHIS, TN, 
26194, 600 JEANNE DR, MEMPHIS, TN, 
26195, 600 LEONORA, MEMPHIS, TN, 
26196, 600 LINDEN, MEMPHIS, TN, 
26197, 600 LUNDEE PLACE, MEMPHIS, TN, 
26198, 600 MALCOMB ST, MEMPHIS, TN, 
26199, 600 MCDERMITT RD, MEMPHIS, TN, 
26200, 600 MINERAL, MEMPHIS, TN, 
26201, 600 N 3RD, MEMPHIS, TN, 
26202, 600 N GERNANTOWN PKWY, MEMPHIS, TN, 
26203, 600 OAK COURT, MEMPHIS, TN, 
26204, 600 PARKDALE DR, MEMPHIS, TN, 
26205, 600 PEABODY SQUARE, MEMPHIS, TN, 
26206, 600 PHELAN, MEMPHIS, TN, 
26207, 600 PLUM AVE, MEMPHIS, TN, 
26208, 600 PONOTOC, MEMPHIS, TN, 
26209, 600 REESE, MEMPHIS, TN, 
26210, 600 S BUNTYN ST, MEMPHIS, TN, 
26211, 600 S CAMILLA ST, MEMPHIS, TN, 
26212, 600 S FRONT, MEMPHIS, TN, 
26213, 600 SECRETARIAT CT, MEMPHIS, TN, 
26214, 600 SIMPSON AVE, MEMPHIS, TN, 
26215, 600 SOUTH THIRD, MEMPHIS, TN, 
26216, 600 STEPHENS, MEMPHIS, TN, 
26217, 600 UPTOWN ST, MEMPHIS, TN, 
26218, 600 UPTOWN VILLAGE CR, MEMPHIS, TN, 
26219, 6000 E POINT CV, MEMPHIS, TN, 
26220, 6000 FOSTER WOOD SQUARE, MEMPHIS, TN, 
26221, 6000 FOSTERWOOD SQUARE, MEMPHIS, TN, 
26222, 6000 FOX LAIR AVE, MEMPHIS, TN, 
26223, 6000 GROSVENOR AVE, MEMPHIS, TN, 
26224, 6000 LITTLE BROOK CIRCLE SOUTH, MEMPHIS, TN, 
26225, 6000 LITTLEBROOK CIR S, MEMPHIS, TN, 
26226, 6000 MACINNESS DR, MEMPHIS, TN, 
26227, 6000 MT MORIAH EX, MEMPHIS, TN, 
26228, 6000 RAINES, MEMPHIS, TN, 
26229, 6000 ROSEWIND CIR, MEMPHIS, TN, 
26230, 6000 ROSEWIND CIRCLE, MEMPHIS, TN, 
26231, 6000 SOUTH LITTLE BROOK CIRCLE, MEMPHIS, TN, 
26232, 6000 SPRINGBRANCH CV, MEMPHIS, TN, 
26233, 6000 SUMMER RIDGE, MEMPHIS, TN, 
26234, 6000 W ROSEWIND CIR, MEMPHIS, TN, 
26235, 6000 WINDMEADOW, MEMPHIS, TN, 
26236, 6100 E PRIMACY PKWY, MEMPHIS, TN, 
26237, 6100 EAST POINTE DR, MEMPHIS, TN, 
26238, 6100 ELK GROVE RD, MEMPHIS, TN, 
26239, 6100 GASCONY, MEMPHIS, TN, 
26240, 6100 MT MORIAH RD EXT, MEMPHIS, TN, 
26241, 6100 RAVENOAK, MEMPHIS, TN, 
26242, 6100 RESOURCES, MEMPHIS, TN, 
26243, 6100 SUMMER TRCE, MEMPHIS, TN, 
26244, 6200 CRANBERRY PARK, MEMPHIS, TN, 
26245, 6200 DISCOVER, MEMPHIS, TN, 
26246, 6200 GRAY OAK AVE, MEMPHIS, TN, 
26247, 6200 MISSION RIDGE DR, MEMPHIS, TN, 
26248, 6200 RIDGEWAY RD, MEMPHIS, TN, 
26249, 6300 BERRYPICK, MEMPHIS, TN, 
26250, 6300 EAST SHELBY DR, MEMPHIS, TN, 
26251, 6300 FRIENDSHIP CV, MEMPHIS, TN, 
26252, 6300 HUMPHREYS CENTER, MEMPHIS, TN, 
26253, 6300 KINGSCREST LN, MEMPHIS, TN, 
26254, 6300 MERIMAC DR, MEMPHIS, TN, 
26255, 6300 VILLAGE PARK DR, MEMPHIS, TN, 
26256, 6400 BRIGHTWOOD, MEMPHIS, TN, 
26257, 6400 GILLHAM, MEMPHIS, TN, 
26258, 6400 HUMPHREYS, MEMPHIS, TN, 
26259, 6400 MESSICK, MEMPHIS, TN, 
26260, 6400 THISTLE DOWN, MEMPHIS, TN, 
26261, 6400 UNCLE REMIS, MEMPHIS, TN, 
26262, 6400 UNCLE REMUS DR, MEMPHIS, TN, 
26263, 6500 CHALGROVE, MEMPHIS, TN, 
26264, 6500 E SUMMER CREEK, MEMPHIS, TN, 
26265, 6500 GOLDEN PARK DR, MEMPHIS, TN, 
26266, 6500 HIGHWAY 72, MEMPHIS, TN, 
26267, 6500 KIRBY GATE BLVD, MEMPHIS, TN, 
26268, 6500 KNIGHT ARNOLD RD, MEMPHIS, TN, 
26269, 6500 N COUNTRY OAKS CIR, MEMPHIS, TN, 
26270, 6500 QUAIL HOLLOW RD, MEMPHIS, TN, 
26271, 6500 STRATHSPEY, MEMPHIS, TN, 
26272, 6600 COUNTRY OAKS CIRCLE, MEMPHIS, TN, 
26273, 6600 ELKGATE, MEMPHIS, TN, 
26274, 6600 ELMORE RD, MEMPHIS, TN, 
26275, 6600 ELMORE RIDGE LN, MEMPHIS, TN, 
26276, 6600 IVY MEADOWS DR, MEMPHIS, TN, 
26277, 6600 IVY MEADOWS, MEMPHIS, TN, 
26278, 6600 N COUNTRY OAK CIRCLE, MEMPHIS, TN, 
26279, 6600 SOUTH COUNTRY OAKS CIRCLE, MEMPHIS, TN, 
26280, 6600 SOUTH COUNTRY OAKS, MEMPHIS, TN, 
26281, 6700 BOYLSTON DR, MEMPHIS, TN, 
26282, 6700 CHESAPEAKE, MEMPHIS, TN, 
26283, 6700 CRYSTAL HILL DR, MEMPHIS, TN, 
26284, 6700 ELMORE RD, MEMPHIS, TN, 
26285, 6700 ELMORE, MEMPHIS, TN, 
26286, 6700 KNIGHT ARNOLD RD, MEMPHIS, TN, 
26287, 6700 QUAIL COVEY DR, MEMPHIS, TN, 
26288, 6700 QUAILBROOK, MEMPHIS, TN, 
26289, 6800 BENT TREE AVE, MEMPHIS, TN, 
26290, 6800 CLUB RIDGE CIR, MEMPHIS, TN, 
26291, 6800 MAJESTIC OAK PL, MEMPHIS, TN, 
26292, 6800 NORFIELD DR, MEMPHIS, TN, 
26293, 6800 STARKENBURG, MEMPHIS, TN, 
26294, 6900 CLUB DR, MEMPHIS, TN, 
26295, 6900 CLUB RIDGE CR, MEMPHIS, TN, 
26296, 6900 FOX GAP, MEMPHIS, TN, 
26297, 6900 HONEY LOCUST CV, MEMPHIS, TN, 
26298, 6900 KIRBY MILLS CV, MEMPHIS, TN, 
26299, 6900 STOUT RD, MEMPHIS, TN, 
26300, 6900 WATERGROVE RD, MEMPHIS, TN, 
26301, 700 BARRETT PLACE, MEMPHIS, TN, 
26302, 700 CADRACA DR, MEMPHIS, TN, 
26303, 700 CENTER, MEMPHIS, TN, 
26304, 700 E BROOKS RD, MEMPHIS, TN, 
26305, 700 E DEMPSTER, MEMPHIS, TN, 
26306, 700 E MC LEMORE AVE, MEMPHIS, TN, 
26307, 700 E MCKELLAR AVE, MEMPHIS, TN, 
26308, 700 EAST TRIGG, MEMPHIS, TN, 
26309, 700 GAINSVILLE RD, MEMPHIS, TN, 
26310, 700 GLANKER, MEMPHIS, TN, 
26311, 700 GUTHRIE, MEMPHIS, TN, 
26312, 700 MOSS, MEMPHIS, TN, 
26313, 700 N 7TH, MEMPHIS, TN, 
26314, 700 N AUBURNDALE, MEMPHIS, TN, 
26315, 700 N TULANE CV, MEMPHIS, TN, 
26316, 700 NEPTUNE, MEMPHIS, TN, 
26317, 700 NORTH FIFTH, MEMPHIS, TN, 
26318, 700 NORTH SECOND, MEMPHIS, TN, 
26319, 700 OAK LEAF OFFICE LN, MEMPHIS, TN, 
26320, 700 ORLEANS, MEMPHIS, TN, 
26321, 700 PAWNEE AVE, MEMPHIS, TN, 
26322, 700 PRESCOTT, MEMPHIS, TN, 
26323, 700 RATLIFF LN, MEMPHIS, TN, 
