150145, ENTER # FELTS STATION RD AND CORNELL ST, MEMPHIS, TN, 
150146, ENTER # FERN VALLEY CV, MEMPHIS, TN, 
150147, ENTER # FLETCHER TRACE PKWY AND BERRYHILL RD, MEMPHIS, TN, 
150148, ENTER # FLOWERING PEACH DR AND JASMINE DR, MEMPHIS, TN, 
150149, ENTER # FORSYTH DR, MEMPHIS, TN, 
150150, ENTER # FOXCROFT ST AND BARRON AVE, MEMPHIS, TN, 
150151, ENTER # FRAYSER BLVD AND MOUNTAIN TERRACE ST, MEMPHIS, TN, 
150152, ENTER # FRAYSER-RALEIGH RD AND NEW ALLEN RD, MEMPHIS, TN, 
150153, ENTER # GATEWAY INLET AND WINCROSS DR, MEMPHIS, TN, 
150154, ENTER # GETWELL RD AND ELLISTON RD, MEMPHIS, TN, 
150155, ENTER # GETWELL RD, MEMPHIS, TN, 
150156, ENTER # GIACOSA PLACE, MEMPHIS, TN, 
150157, ENTER # HAMILTON ST AND DEADRICK AVE, MEMPHIS, TN, 
150158, ENTER # HAMMOND RD, MEMPHIS, TN, 
150159, ENTER # HARRELL ST AND MIMOSA AVE, MEMPHIS, TN, 
150160, ENTER # HAWKINS MILL RD AND UNIVERSITY ST, MEMPHIS, TN, 
150161, ENTER # HICKORY HILL RD AND BELLE OAK RD, MEMPHIS, TN, 
150162, ENTER # HICKORY HILL RD AND E SHELBY DR, MEMPHIS, TN, 
150163, ENTER # HICKORY HILL RD AND MT MORIAH RD, MEMPHIS, TN, 
150164, ENTER # HICKORY HILL RD, MEMPHIS, TN, 
150165, ENTER # HOSKINS RD AND HAYNES ST, MEMPHIS, TN, 
150166, ENTER # HOWELL AVE AND SPRINGDALE ST, MEMPHIS, TN, 
150167, ENTER # HOWELL AVE, MEMPHIS, TN, 
150168, ENTER # HYDE PARK BOULEVARD AND GRIGGS AVE, MEMPHIS, TN, 
150169, ENTER # I-240 AND MT MORIAH RD, MEMPHIS, TN, 
150170, ENTER # I-240 AND SUMMER AVE, MEMPHIS, TN, 
150171, ENTER # I-40 AND COVINGTON PIKE, MEMPHIS, TN, 
150172, ENTER # I-40 HWY, MEMPHIS, TN, 
150173, ENTER # I-40 WHITTEN RD, MEMPHIS, TN, 
150174, ENTER # I-55 CRUMP AVE, MEMPHIS, TN, 
150175, ENTER # IVY RD, MEMPHIS, TN, 
150176, ENTER # JACKLYN AVE AND S LAUDERDALE ST, MEMPHIS, TN, 
150177, ENTER # JACKSON AVE AND N BINGHAM ST, MEMPHIS, TN, 
150178, ENTER # JACKSON AVE AND NORTH BELLEVUE BOULEVAR, MEMPHIS, TN, 
150179, ENTER # JACKSON AVE AND NORTH CLAYBROOK ST, MEMPHIS, TN, 
150180, ENTER # JACKSON AVE AND NORTH WATKINS ST, MEMPHIS, TN, 
150181, ENTER # JACKSON AVE AND THOMAS, MEMPHIS, TN, 
150182, ENTER # JACKSON AVE, MEMPHIS, TN, 
150183, ENTER # JAMES ROAD AND E HICKORY BLUFF, MEMPHIS, TN, 
150184, ENTER # JEFFERSON AVE AND NORTH TUCKER ST, MEMPHIS, TN, 
150185, ENTER # JOHNSTON ST, MEMPHIS, TN, 
150186, ENTER # KETCHUM RD, MEMPHIS, TN, 
150187, ENTER # KING RD, MEMPHIS, TN, 
150188, ENTER # KNIGHT ARNOLD RD AND DANVILLE RD, MEMPHIS, TN, 
150189, ENTER # KNIGHT LN, MEMPHIS, TN, 
150190, ENTER # LAFAYETTE ST AND POPLAR AVE, MEMPHIS, TN, 
150191, ENTER # LAMAR AVE AND AIRWAYS BOULEVARD, MEMPHIS, TN, 
150192, ENTER # LEATH ST AND MOSBY AVE, MEMPHIS, TN, 
150193, ENTER # LEON PL AND BREEDLOVE ST, MEMPHIS, TN, 
150194, ENTER # LONGSTREET DR, MEMPHIS, TN, 
150195, ENTER # LOONEY AVE AND AYERS ST, MEMPHIS, TN, 
150196, ENTER # LOONEY AVE AND N DUNLAP ST, MEMPHIS, TN, 
