42184, 3600 WINGOOD DR, MEMPHIS, TN, 
42185, 3600 WOODALE CV, MEMPHIS, TN, 
42186, 3600 YORKLEY, MEMPHIS, TN, 
42187, 3700 AURORA, MEMPHIS, TN, 
42188, 3700 BEECHHOLLOW, MEMPHIS, TN, 
42189, 3700 BELLBRANCH DR, MEMPHIS, TN, 
42190, 3700 BEVERLY TERRANCE, MEMPHIS, TN, 
42191, 3700 BIGELOW, MEMPHIS, TN, 
42192, 3700 BISON RD, MEMPHIS, TN, 
42193, 3700 BROOKEMEADE, MEMPHIS, TN, 
42194, 3700 BROOKMEAD, MEMPHIS, TN, 
42195, 3700 CHATEAU RD, MEMPHIS, TN, 
42196, 3700 CHATEAU, MEMPHIS, TN, 
42197, 3700 CLARK, MEMPHIS, TN, 
42198, 3700 CLASSIC DR, MEMPHIS, TN, 
42199, 3700 CORNING, MEMPHIS, TN, 
42200, 3700 DEMOCRAT RD, MEMPHIS, TN, 
42201, 3700 DOUGLAS, MEMPHIS, TN, 
42202, 3700 DUTCHESS DR, MEMPHIS, TN, 
42203, 3700 EAGLESFIELD, MEMPHIS, TN, 
42204, 3700 ELM PARK DR, MEMPHIS, TN, 
42205, 3700 HAZLEWOOD, MEMPHIS, TN, 
42206, 3700 HENDRICKS AVE, MEMPHIS, TN, 
42207, 3700 HENDRICKS RD, MEMPHIS, TN, 
42208, 3700 HUCKLEBERRY ST, MEMPHIS, TN, 
42209, 3700 HUNTINGDON LN, MEMPHIS, TN, 
42210, 3700 JULIA ST, MEMPHIS, TN, 
42211, 3700 KENWOOD AVE, MEMPHIS, TN, 
42212, 3700 KING GATE DR, MEMPHIS, TN, 
42213, 3700 KING JAMES DR, MEMPHIS, TN, 
42214, 3700 KIPLING ST, MEMPHIS, TN, 
42215, 3700 KIRBY PKWY, MEMPHIS, TN, 
42216, 3700 LAKE PARK DR, MEMPHIS, TN, 
42217, 3700 LONGMONT DR, MEMPHIS, TN, 
42218, 3700 LYNCHBERG, MEMPHIS, TN, 
42219, 3700 MALLORY, MEMPHIS, TN, 
42220, 3700 MCDUFF RD, MEMPHIS, TN, 
42221, 3700 MERRITT CV, MEMPHIS, TN, 
42222, 3700 MILLBRANC PARK DR, MEMPHIS, TN, 
42223, 3700 MIMOSA AVE, MEMPHIS, TN, 
42224, 3700 NEW COVINGTON PIKE, MEMPHIS, TN, 
42225, 3700 NORTH LLOYD, MEMPHIS, TN, 
42226, 3700 NORTH TREZEVANT ST, MEMPHIS, TN, 
42227, 3700 NORTH TREZEVANT, MEMPHIS, TN, 
42228, 3700 NORTHMOOR, MEMPHIS, TN, 
