140263, 8200 ROCKCREEK PLC, MEMPHIS, TN, 
140264, 8200 ROCKCREEK PRKWY, MEMPHIS, TN, 
140265, 8200 ROCKCREEKPKWY, MEMPHIS, TN, 
140266, 8200 S CREEKSIDE CIRCLE, MEMPHIS, TN, 
140267, 8200 S REGIS, MEMPHIS, TN, 
140268, 8200 SEDGWICK WAY, MEMPHIS, TN, 
140269, 8200 SHADOW GLEN TRAIL, MEMPHIS, TN, 
140270, 8200 SHADY FERN CV, MEMPHIS, TN, 
140271, 8200 SHALLOW GLEN DR, MEMPHIS, TN, 
140272, 8200 SHALLOW GLEN TRIAL, MEMPHIS, TN, 
140273, 8200 SHALLOW GLEN TRL, MEMPHIS, TN, 
140274, 8200 SHALLOW GLENN TRAIL, MEMPHIS, TN, 
140275, 8200 SOUTH CREEK SIDE, MEMPHIS, TN, 
140276, 8200 SOUTH REGIS PLACE, MEMPHIS, TN, 
140277, 8200 SOUTH REGIS, MEMPHIS, TN, 
140278, 8200 SPRUCE RD, MEMPHIS, TN, 
140279, 8200 STAGE RD., MEMPHIS, TN, 
140280, 8200 STURBRIDGE, MEMPHIS, TN, 
140281, 8200 SUMMER AVE, MEMPHIS, TN, 
140282, 8200 SUMMER HILLS CV, MEMPHIS, TN, 
140283, 8200 T AND B RD, MEMPHIS, TN, 
140284, 8200 T B BLVD, MEMPHIS, TN, 
140285, 8200 TB BLVD, MEMPHIS, TN, 
140286, 8200 TB, MEMPHIS, TN, 
140287, 8200 TIMBER KNOLL, MEMPHIS, TN, 
140288, 8200 TIMBERHILL TRAIL, MEMPHIS, TN, 
140289, 8200 TIMBERKNOLL LN, MEMPHIS, TN, 
140290, 8200 US 64 HIGWAY AVE, MEMPHIS, TN, 
140291, 8200 US-64 HWY, MEMPHIS, TN, 
140292, 8200 US-64, MEMPHIS, TN, 
140293, 8200 VANAVAS, MEMPHIS, TN, 
140294, 8200 VARANAS, MEMPHIS, TN, 
140295, 8200 VARNABAS DR, MEMPHIS, TN, 
140296, 8200 VARNADAS DR, MEMPHIS, TN, 
140297, 8200 VARNADAS, MEMPHIS, TN, 
140298, 8200 VARNAVAS CR, MEMPHIS, TN, 
140299, 8200 VARNAVAS DR RM 233, MEMPHIS, TN, 
140300, 8200 VARNAVAS DR ROOM 234, MEMPHIS, TN, 
140301, 8200 VARNAVAS ROAD, MEMPHIS, TN, 
140302, 8200 VARNVAS DR, MEMPHIS, TN, 
140303, 8200 WALNUTCREEK, MEMPHIS, TN, 
140304, 8200 WALNUTGROVE, MEMPHIS, TN, 
140305, 8200 WALNUTRUN RD, MEMPHIS, TN, 
140306, 8200 WATERFORD CIR, MEMPHIS, TN, 
140307, 8200 WIND VALLEY CV, MEMPHIS, TN, 
140308, 8200 WINDERSVILLE DR, MEMPHIS, TN, 
140309, 8200 WOOD MOSS, MEMPHIS, TN, 
140310, 8200 YELLOW STONE RD, MEMPHIS, TN, 
140311, 8200 YELLOW STONE, MEMPHIS, TN, 
140312, 82400 CARDINAL LN, MEMPHIS, TN, 
140313, 8251COUNTRY SQUIRE PLACE, MEMPHIS, TN, 
140314, 8275N FLETCHER CR 204, MEMPHIS, TN, 
140315, 828BELLEVE, MEMPHIS, TN, 
140316, 830:BUNTYN, MEMPHIS, TN, 
140317, 8300 AMBER SPRINGS CV, MEMPHIS, TN, 
140318, 8300 AMBER SPRINGS, MEMPHIS, TN, 
140319, 8300 AMER SPRINGS CV, MEMPHIS, TN, 
140320, 8300 BARNAVUS DR, MEMPHIS, TN, 
140321, 8300 BELGRADE PLACE, MEMPHIS, TN, 
140322, 8300 BLUFF VIEW CV, MEMPHIS, TN, 
140323, 8300 BRETT RD, MEMPHIS, TN, 
140324, 8300 BRYE HOLLOW CV, MEMPHIS, TN, 
140325, 8300 CARRIAGE LN, MEMPHIS, TN, 
140326, 8300 CART PATH APT#102, MEMPHIS, TN, 
140327, 8300 CART PATH DR, MEMPHIS, TN, 
140328, 8300 CARTPATH, MEMPHIS, TN, 
140329, 8300 CEDAR CREST, MEMPHIS, TN, 
140330, 8300 CEDAR TRAIL CV, MEMPHIS, TN, 
140331, 8300 CEDAR TRAIL, MEMPHIS, TN, 
140332, 8300 CEDARCHEST, MEMPHIS, TN, 
140333, 8300 CEDER CHESS, MEMPHIS, TN, 
140334, 8300 CHAMPIONSHIP DR #302, MEMPHIS, TN, 
140335, 8300 CHIMMY ROCK, MEMPHIS, TN, 
140336, 8300 CHIMNEYROCK, MEMPHIS, TN, 
140337, 8300 CHIPPINGHAM RD, MEMPHIS, TN, 
140338, 8300 CLEEK CV 201, MEMPHIS, TN, 
140339, 8300 CLEEK CV APT 102, MEMPHIS, TN, 
140340, 8300 CLEEKS CV, MEMPHIS, TN, 
140341, 8300 CLICK CV, MEMPHIS, TN, 
140342, 8300 CORDOVA RD STE 101, MEMPHIS, TN, 
