21160, 5200 HELENE, MEMPHIS, TN, 
21161, 5200 JONETTA ST, MEMPHIS, TN, 
21162, 5200 MASON RD, MEMPHIS, TN, 
21163, 5200 MCPHERSON CV, MEMPHIS, TN, 
21164, 5200 PILGRIM, MEMPHIS, TN, 
21165, 5200 RAVENSWORTH, MEMPHIS, TN, 
21166, 5200 TARRYTOWN, MEMPHIS, TN, 
21167, 5200 THIRD ST, MEMPHIS, TN, 
21168, 5200 TRADEPORT DR, MEMPHIS, TN, 
21169, 5200 TUGGLE, MEMPHIS, TN, 
21170, 5300 BRANTFORD, MEMPHIS, TN, 
21171, 5300 QUINCE RD, MEMPHIS, TN, 
21172, 5300 S 3RD, MEMPHIS, TN, 
21173, 5300 SENECA, MEMPHIS, TN, 
21174, 5300 SHELBORNE CR, MEMPHIS, TN, 
21175, 5300 SHELLBOURNE CIR, MEMPHIS, TN, 
21176, 5400 BRUTON AVE, MEMPHIS, TN, 
21177, 5400 CRESTVIEW DR, MEMPHIS, TN, 
21178, 5400 MEADOW LAKE S, MEMPHIS, TN, 
21179, 5400 MEADOW LAKE SOUTH, MEMPHIS, TN, 
21180, 5400 RAPPAHANNOCK DR, MEMPHIS, TN, 
21181, 5400 WHITWORTH, MEMPHIS, TN, 
21182, 5500 COTTONWOOD RD, MEMPHIS, TN, 
21183, 5500 MINERAL WELLS, MEMPHIS, TN, 
21184, 5500 NEELY, MEMPHIS, TN, 
21185, 5500 RAPPAHANNOCK DR, MEMPHIS, TN, 
21186, 5500 S MEADOWLAKE, MEMPHIS, TN, 
21187, 5600 BARFIELD RD, MEMPHIS, TN, 
21188, 5600 E HOLMES, MEMPHIS, TN, 
21189, 5600 MASSEY STATION, MEMPHIS, TN, 
21190, 5600 OAK BARK, MEMPHIS, TN, 
21191, 5600 PATHWAY CIR, MEMPHIS, TN, 
21192, 5600 PATHWAY CIRCLE, MEMPHIS, TN, 
21193, 5600 RALEIGH LAGRANGE, MEMPHIS, TN, 
