31162, 6700 GOLDENEYE DR, MEMPHIS, TN, 
31163, 6700 GREENBARK DR, MEMPHIS, TN, 
31164, 6700 GROUSE LN, MEMPHIS, TN, 
31165, 6700 KNIGHT ARNOLD EXT, MEMPHIS, TN, 
31166, 6700 LARCH LN, MEMPHIS, TN, 
31167, 6700 MEADOW BEND, MEMPHIS, TN, 
31168, 6700 MONMOUTH DR, MEMPHIS, TN, 
31169, 6700 PONDSIDE CIRCLE, MEMPHIS, TN, 
31170, 6700 WADERS RIDGE, MEMPHIS, TN, 
31171, 6800 CLUB RIDGE CIRCLE, MEMPHIS, TN, 
31172, 6800 ELMORE WOODS LN, MEMPHIS, TN, 
31173, 6800 FLETCHER CREEK CV, MEMPHIS, TN, 
31174, 6800 GARDEN OAKS DR, MEMPHIS, TN, 
31175, 6800 HICKORY JACK AVE, MEMPHIS, TN, 
31176, 6800 LANDING WAY SOUTH, MEMPHIS, TN, 
31177, 6800 MAJESTIC OAK PLACE, MEMPHIS, TN, 
31178, 6800 NESHOBA RD, MEMPHIS, TN, 
31179, 6800 PAPER BIRCH CV, MEMPHIS, TN, 
31180, 6800 POPLAR PIKE, MEMPHIS, TN, 
31181, 6800 RALEIGH LARANGE RD, MEMPHIS, TN, 
31182, 6800 RALIEGH LAGRANGE RD, MEMPHIS, TN, 
31183, 6800 ROSS RIDGE RD, MEMPHIS, TN, 
31184, 6800 SILHOUETTE, MEMPHIS, TN, 
31185, 6800 WATER GROVE DR, MEMPHIS, TN, 
31186, 6800 WATERGROVE RD, MEMPHIS, TN, 
31187, 6800 WILD RIDGE CIRCLE, MEMPHIS, TN, 
31188, 6800 WILDRIDGE CIRCLE, MEMPHIS, TN, 
31189, 6900 COUNTRY MANOR DR, MEMPHIS, TN, 
31190, 6900 DEVENSHIRE, MEMPHIS, TN, 
31191, 6900 HWY 64, MEMPHIS, TN, 
31192, 6900 KIRBY BROOK, MEMPHIS, TN, 
31193, 6900 KIRBY MILLS, MEMPHIS, TN, 
31194, 6900 NORTH LANDING WAY, MEMPHIS, TN, 
31195, 6900 SOMERSET, MEMPHIS, TN, 
31196, 6900 STONE GAP, MEMPHIS, TN, 
31197, 700 ANDERSON, MEMPHIS, TN, 
31198, 700 ATLANTIC ST, MEMPHIS, TN, 
31199, 700 BODLEY, MEMPHIS, TN, 
31200, 700 BUNTYN ST, MEMPHIS, TN, 
31201, 700 CLINTON, MEMPHIS, TN, 
31202, 700 DENMARK, MEMPHIS, TN, 
31203, 700 E BODLEY, MEMPHIS, TN, 
31204, 700 E BRENTWOOD CIR, MEMPHIS, TN, 
31205, 700 E CADRACA DR, MEMPHIS, TN, 
31206, 700 E PARKWAY, MEMPHIS, TN, 
31207, 700 GRANADA RD, MEMPHIS, TN, 
31208, 700 HARBOR EDGE, MEMPHIS, TN, 
31209, 700 HONDURAS RD, MEMPHIS, TN, 
31210, 700 HOTCHKISS LN, MEMPHIS, TN, 
31211, 700 JEANETTE PL, MEMPHIS, TN, 
31212, 700 JEANETTE, MEMPHIS, TN, 
31213, 700 KEEL ST, MEMPHIS, TN, 
31214, 700 LOONEY ST, MEMPHIS, TN, 
31215, 700 MARINA COTTAGE DR, MEMPHIS, TN, 
31216, 700 MOUND, MEMPHIS, TN, 
31217, 700 N 2ND, MEMPHIS, TN, 
31218, 700 N 3RD ST, MEMPHIS, TN, 
31219, 700 N 4TH ST, MEMPHIS, TN, 
31220, 700 N GERMANTOWN PKY, MEMPHIS, TN, 
31221, 700 N MCLEAN BLVD, MEMPHIS, TN, 
31222, 700 N TREZEVANT ST, MEMPHIS, TN, 
31223, 700 N WILLETT ST, MEMPHIS, TN, 
31224, 700 NORTH BINGHAM, MEMPHIS, TN, 
31225, 700 NORTH MAIN ST, MEMPHIS, TN, 
31226, 700 NORTH PERKINS, MEMPHIS, TN, 
31227, 700 NORTH WILLETT, MEMPHIS, TN, 
31228, 700 PARKROSE AVE, MEMPHIS, TN, 
31229, 700 PARKROSE RD, MEMPHIS, TN, 
31230, 700 PERKINS, MEMPHIS, TN, 
31231, 700 QUEEN FAIRWAY, MEMPHIS, TN, 
31232, 700 RAINES, MEMPHIS, TN, 
31233, 700 ROSEMARY LN, MEMPHIS, TN, 
31234, 700 S FRONT, MEMPHIS, TN, 
31235, 700 SEVIER ST, MEMPHIS, TN, 
31236, 700 SHOTWELL ST, MEMPHIS, TN, 
31237, 700 SOUTH AVANT, MEMPHIS, TN, 
31238, 700 SOUTH BELVEDERE, MEMPHIS, TN, 
31239, 700 ST PAUL ST, MEMPHIS, TN, 
31240, 700 STONEWALL ST, MEMPHIS, TN, 
31241, 700 W SHELBY, MEMPHIS, TN, 
31242, 700 WALNUT VALLEY LN, MEMPHIS, TN, 
31243, 700 WEST RAINES, MEMPHIS, TN, 
31244, 700 WHITEROCK AVE, MEMPHIS, TN, 
31245, 700 WOOD STONE CIRCLE, MEMPHIS, TN, 
31246, 7000 APPLING FARMS, MEMPHIS, TN, 
31247, 7000 DASHWOOD, MEMPHIS, TN, 
31248, 7000 FOX HEDGE, MEMPHIS, TN, 
31249, 7000 VALLEY VIEW, MEMPHIS, TN, 
31250, 7000 WATERVIEW CIR, MEMPHIS, TN, 
31251, 7000 WHEAT SPRINGS CV, MEMPHIS, TN, 
31252, 7100 CROSS TIMBER, MEMPHIS, TN, 
31253, 7100 DOKKUM DR, MEMPHIS, TN, 
31254, 7100 MARKIM, MEMPHIS, TN, 
31255, 7100 REESE RD, MEMPHIS, TN, 
31256, 7100 SHADOW OAKS DR, MEMPHIS, TN, 
31257, 7100 TAGEN DR, MEMPHIS, TN, 
31258, 7200 STAGE RD, MEMPHIS, TN, 
31259, 7300 GERMANSHIRE, MEMPHIS, TN, 
31260, 7300 ST LAWRENCE, MEMPHIS, TN, 
31261, 7400 COTTON GROVE CT, MEMPHIS, TN, 
31262, 7400 COUNTRY SIDE RD, MEMPHIS, TN, 
31263, 7400 ISHERWOOD DR, MEMPHIS, TN, 
31264, 7400 RALEIGH LAGRANGE RD, MEMPHIS, TN, 
31265, 7400 STAGE, MEMPHIS, TN, 
31266, 7500 KINGSLAND, MEMPHIS, TN, 
31267, 7500 NONCONNAH VIEW, MEMPHIS, TN, 
31268, 7500 US HIGHWAY 64, MEMPHIS, TN, 
31269, 7600 APPLING ESTATE DR, MEMPHIS, TN, 
31270, 7600 BURNSTOWN LN, MEMPHIS, TN, 
31271, 7600 CAMRY LN, MEMPHIS, TN, 
31272, 7600 DEXTER GROVE, MEMPHIS, TN, 
31273, 7700 CHAPEL RIDGE DR, MEMPHIS, TN, 
31274, 7700 DEXTER RUN CIR, MEMPHIS, TN, 
31275, 7700 MESA, MEMPHIS, TN, 
31276, 7700 POLO CLUB, MEMPHIS, TN, 
31277, 7700 VALLEY GLEN DR, MEMPHIS, TN, 
31278, 7800 FAWN RIDGE CV, MEMPHIS, TN, 
31279, 7800 FISCHER STEELE, MEMPHIS, TN, 
31280, 7800 OCTOBER ROSE, MEMPHIS, TN, 
31281, 7800 REESE, MEMPHIS, TN, 
31282, 7800 WALNUT GROVE RD, MEMPHIS, TN, 
31283, 7900 AUTUMN GLADE, MEMPHIS, TN, 
31284, 7900 RACQUETBALL, MEMPHIS, TN, 
31285, 7900 WINDRUSH, MEMPHIS, TN, 
31286, 7900 WOODLARK CV, MEMPHIS, TN, 
31287, 800 ALASKA ST, MEMPHIS, TN, 
