53147, 900 SPRINGDALE AVE, MEMPHIS, TN, 
53148, 900 SPRINGDALE CREEK, MEMPHIS, TN, 
53149, 900 ST PAUL, MEMPHIS, TN, 
53150, 900 STRATTFORD, MEMPHIS, TN, 
53151, 900 SUMMER SHADE LN, MEMPHIS, TN, 
53152, 900 TIMBER CREEK, MEMPHIS, TN, 
53153, 900 TRANQUIL LN, MEMPHIS, TN, 
53154, 900 TRANQUILL LN, MEMPHIS, TN, 
53155, 900 TREZVANT, MEMPHIS, TN, 
53156, 900 TROPICANA DR EAST, MEMPHIS, TN, 
53157, 900 TROPICANA, MEMPHIS, TN, 
53158, 900 TULLEY, MEMPHIS, TN, 
53159, 900 TWINKLETOWN, MEMPHIS, TN, 
53160, 900 W HOLMES RD, MEMPHIS, TN, 
53161, 900 W HOLMES, MEMPHIS, TN, 
53162, 900 W LEVI RD, MEMPHIS, TN, 
53163, 900 WEST LEVI, MEMPHIS, TN, 
53164, 900 WHITHERS, MEMPHIS, TN, 
53165, 900 WILLOW TREE, MEMPHIS, TN, 
53166, 900 WOODLAND ST, MEMPHIS, TN, 
53167, 900, MEMPHIS, TN, 
53168, 9000 ALANA CV, MEMPHIS, TN, 
53169, 9000 BRENT LN, MEMPHIS, TN, 
53170, 9000 CHIMNEY ROCK BLVD, MEMPHIS, TN, 
53171, 9000 CLAIRE HARBOR CV, MEMPHIS, TN, 
53172, 9000 COUNTRY PECAN, MEMPHIS, TN, 
53173, 9000 E TURNBERRY PLACE, MEMPHIS, TN, 
53174, 9000 EATONWICK DR, MEMPHIS, TN, 
53175, 9000 FLETCHER TRACE PKWY, MEMPHIS, TN, 
53176, 9000 FLETCHER TRACE, MEMPHIS, TN, 
53177, 9000 GATEHEAD LN, MEMPHIS, TN, 
53178, 9000 GLENDALE CV, MEMPHIS, TN, 
53179, 9000 HICKORY TRAIL DR, MEMPHIS, TN, 
53180, 9000 HIDDEN SPRINGS CV, MEMPHIS, TN, 
53181, 9000 HWY, MEMPHIS, TN, 
53182, 9000 JOHNSTON, MEMPHIS, TN, 
53183, 9000 LAKESIDE CV, MEMPHIS, TN, 
53184, 9000 LINDSTROM, MEMPHIS, TN, 
53185, 9000 LINKS DR EAST, MEMPHIS, TN, 
53186, 9000 MACON RD, MEMPHIS, TN, 
53187, 9000 RASPBERRY LN, MEMPHIS, TN, 
53188, 9000 STAGE, MEMPHIS, TN, 
53189, 9000 TIMBER TRAIL CV, MEMPHIS, TN, 
53190, 9000 W HERTFORD PL, MEMPHIS, TN, 
53191, 9000 W TROPHY WAY, MEMPHIS, TN, 
53192, 9000 WALNUT RIDGE LOOP, MEMPHIS, TN, 
53193, 9000 WOODMARK DR, MEMPHIS, TN, 
53194, 9100 BRENT, MEMPHIS, TN, 
53195, 9100 CINDER HILL CV W, MEMPHIS, TN, 
53196, 9100 CINDER HILL CV WEST, MEMPHIS, TN, 
53197, 9100 CINDERHILL CV W, MEMPHIS, TN, 
53198, 9100 COUNTRY PECAN CV, MEMPHIS, TN, 
53199, 9100 DEWBERRY LN, MEMPHIS, TN, 
53200, 9100 DEWBERRY, MEMPHIS, TN, 
53201, 9100 DEXTER RD, MEMPHIS, TN, 
53202, 9100 GRACE LN, MEMPHIS, TN, 
53203, 9100 HERVAY, MEMPHIS, TN, 
53204, 9100 HWY64, MEMPHIS, TN, 
53205, 9100 PARK CREST, MEMPHIS, TN, 
53206, 9100 PEPPER HOLLOW CT, MEMPHIS, TN, 
53207, 9100 RED TULIP CV, MEMPHIS, TN, 
53208, 9100 SPRING GROVE CV, MEMPHIS, TN, 
53209, 9200 BERRY GARDEN CIR S, MEMPHIS, TN, 
53210, 9200 BERRY GARDEN, MEMPHIS, TN, 
53211, 9200 CHIMNEYROCK BLVD, MEMPHIS, TN, 
53212, 9200 CINDER HILL CV W, MEMPHIS, TN, 
53213, 9200 DALRY, MEMPHIS, TN, 
53214, 9200 HERVAY, MEMPHIS, TN, 
53215, 9200 IVY LEAGUE, MEMPHIS, TN, 
53216, 9200 KAREN MILL LN, MEMPHIS, TN, 
53217, 9200 MORNINGWALK, MEMPHIS, TN, 
53218, 9200 SPEERBERRY LN, MEMPHIS, TN, 
53219, 9200 US 64 HWY, MEMPHIS, TN, 
53220, 9200 US HWY 64, MEMPHIS, TN, 
53221, 9300 FLETCHERWOOD DR, MEMPHIS, TN, 
53222, 9300 MORNING RIDGE RD, MEMPHIS, TN, 
53223, 9300 MORNING RIDGE, MEMPHIS, TN, 
53224, 9300 RIVEREDGE, MEMPHIS, TN, 
53225, 9400 GARDEN WOODS, MEMPHIS, TN, 
53226, 9400 MORNING GROVE CV, MEMPHIS, TN, 
53227, 9400 OAK KNOLL CV, MEMPHIS, TN, 
53228, 9500 CEDAR GLADE CV, MEMPHIS, TN, 
53229, 9500 CEDAR GLEN CV, MEMPHIS, TN, 
53230, 9500 GARDEN WOODS DR, MEMPHIS, TN, 
53231, 9500 MORNING WOODS CV, MEMPHIS, TN, 
53232, 9500 RIVEREDGE, MEMPHIS, TN, 
53233, 9500 ROCKY WOODS, MEMPHIS, TN, 
53234, 9600 GROVE RD, MEMPHIS, TN, 
53235, 9600 SHADOW POINT CV E, MEMPHIS, TN, 
53236, 9700 JAVA CV, MEMPHIS, TN, 
53237, 9700 KIWI CV, MEMPHIS, TN, 
53238, 9700 MORNING SHADOW DR, MEMPHIS, TN, 
53239, 9700 TRIBUTARY CV, MEMPHIS, TN, 
53240, 9800 RIGGIN, MEMPHIS, TN, 
53241, 9800 TRIBUTARY LN, MEMPHIS, TN, 
53242, 9800 US HIGHWAY 64, MEMPHIS, TN, 
53243, 9800 WHISPER CV, MEMPHIS, TN, 
53244, 9900 MAGGIE WOODS CIRCLE, MEMPHIS, TN, 
53245, 9900 RIGGIN DR, MEMPHIS, TN, 
53246, 9900 US HIGHWAY 64, MEMPHIS, TN, 
53247, ABEL AND BUTLER, MEMPHIS, TN, 
53248, ABLE AND BUTLER, MEMPHIS, TN, 
53249, ABLE AND VANCE, MEMPHIS, TN, 
53250, ADAMS AND JEFFERSON, MEMPHIS, TN, 
53251, ADAMS AND THIRD ST, MEMPHIS, TN, 
53252, ADDISON AND BURR, MEMPHIS, TN, 
53253, ADELINE AND SCOTTSDALE, MEMPHIS, TN, 
53254, ADEN AND THRIFT, MEMPHIS, TN, 
53255, AIRWAY AND KETCHUM, MEMPHIS, TN, 
53256, AIRWAYS AND DEWIGHT, MEMPHIS, TN, 
53257, AIRWAYS AND DOUGLAS, MEMPHIS, TN, 
53258, AIRWAYS AND KETCHUM CV, MEMPHIS, TN, 
53259, AIRWAYS AND KILARNEY, MEMPHIS, TN, 
53260, AIRWAYS AND LAROSE, MEMPHIS, TN, 
53261, AIRWAYS AND VICTORIA, MEMPHIS, TN, 
53262, AIRWAYS BLVD AND BOYLE AVE, MEMPHIS, TN, 
53263, AIRWAYS BLVD AND PECAN CIR, MEMPHIS, TN, 
53264, AIRWAYS BLVD AND RAINES RD, MEMPHIS, TN, 
53265, ALABAMA AND HIGH, MEMPHIS, TN, 
53266, ALABAMA AND THOMAS, MEMPHIS, TN, 
53267, ALABAMA AVE AND DANNY THOMAS BLVD, MEMPHIS, TN, 
53268, ALABAMA AVE AND JONES ST, MEMPHIS, TN, 
53269, ALAMEDA AND SPRINGDALE, MEMPHIS, TN, 
53270, ALASKA AND KEEL, MEMPHIS, TN, 
53271, ALCY AND E HILLVIEW, MEMPHIS, TN, 
53272, ALCY AND EAST HILLVIEW, MEMPHIS, TN, 
53273, ALCY AND LAPALOMA, MEMPHIS, TN, 
53274, ALCY AND ROZELLE, MEMPHIS, TN, 
53275, ALCY AND SHERRIE, MEMPHIS, TN, 
53276, ALCY AND SPARKS, MEMPHIS, TN, 
53277, ALCY RD AND ELVIS PRESLEY BLVD, MEMPHIS, TN, 
53278, ALCY RD, MEMPHIS, TN, 
53279, ALCY, MEMPHIS, TN, 
53280, ALEX CV AND KERSTON, MEMPHIS, TN, 
53281, ALINE AND SMITH RIDGE, MEMPHIS, TN, 
53282, ALLENCREST COVE AND OLD ALLEN RD, MEMPHIS, TN, 
53283, ALOHA AND PERKINS, MEMPHIS, TN, 
53284, ALSTON AND PORTER, MEMPHIS, TN, 
53285, ALSTON AND THIRD, MEMPHIS, TN, 
53286, ALTA VISTA AND WATKINS, MEMPHIS, TN, 
53287, AMARILLO AND MCCOOL, MEMPHIS, TN, 
53288, AMERICAN WAY AND GOODLETT, MEMPHIS, TN, 
53289, AMERICAN WAY AND MOUNT MORIAH, MEMPHIS, TN, 
53290, AMERICAN WAY AND MTMORIAH, MEMPHIS, TN, 
53291, AMERICAN WAY AND THOUSAND OAK, MEMPHIS, TN, 
