136082, 700 ALAMBA, MEMPHIS, TN, 
136083, 700 ALAMBAMA, MEMPHIS, TN, 
136084, 700 ALDIA, MEMPHIS, TN, 
136085, 700 ALIBI CT, MEMPHIS, TN, 
136086, 700 ALIDA RD, MEMPHIS, TN, 
136087, 700 ARBOR CREEK TRAIL DR, MEMPHIS, TN, 
136088, 700 ARBOR HOLLOW LN, MEMPHIS, TN, 
136089, 700 ARBOUR HOLLOW CIR, MEMPHIS, TN, 
136090, 700 ASATIRE, MEMPHIS, TN, 
136091, 700 ASPIRE LANE, MEMPHIS, TN, 
136092, 700 AUBURNDALE, MEMPHIS, TN, 
136093, 700 AUGGIE, MEMPHIS, TN, 
136094, 700 AVALON ST, MEMPHIS, TN, 
136095, 700 AVANT LN SOUTH, MEMPHIS, TN, 
136096, 700 AVANT ST, MEMPHIS, TN, 
136097, 700 AVANT-FRONT OF, MEMPHIS, TN, 
136098, 700 AVERY AVE, MEMPHIS, TN, 
136099, 700 AVON ST, MEMPHIS, TN, 
136100, 700 AVONRD, MEMPHIS, TN, 
136101, 700 AYRES, MEMPHIS, TN, 
136102, 700 AZALEA TERRACE CIR, MEMPHIS, TN, 
136103, 700 AZALEA TERRACE, MEMPHIS, TN, 
136104, 700 AZALEA TERRION CIR, MEMPHIS, TN, 
136105, 700 BALCKHAWK, MEMPHIS, TN, 
136106, 700 BALL, MEMPHIS, TN, 
136107, 700 BALTIC RD, MEMPHIS, TN, 
136108, 700 BALTIMORE ST AND SPOTTSWOOD AVE, MEMPHIS, TN, 
136109, 700 BARKSDALE ST, MEMPHIS, TN, 
136110, 700 BARRETT PLC, MEMPHIS, TN, 
136111, 700 BARRETT RD, MEMPHIS, TN, 
136112, 700 BEAL ST, MEMPHIS, TN, 
136113, 700 BEAL, MEMPHIS, TN, 
136114, 700 BEALE (250 FT EAST) ST, MEMPHIS, TN, 
136115, 700 BEALE ST AND SORLEANS ST, MEMPHIS, TN, 
136116, 700 BELLEVUE BLV, MEMPHIS, TN, 
136117, 700 BELLEVUE ST, MEMPHIS, TN, 
136118, 700 BELLEVUE, SUITE 102, MEMPHIS, TN, 
136119, 700 BELLGROVE, MEMPHIS, TN, 
136120, 700 BELLVIEW, MEMPHIS, TN, 
136121, 700 BELLVUE, MEMPHIS, TN, 
136122, 700 BELVUE, MEMPHIS, TN, 
136123, 700 BENHALL, MEMPHIS, TN, 
136124, 700 BETHAL AVE, MEMPHIS, TN, 
136125, 700 BETHEL 2, MEMPHIS, TN, 
136126, 700 BETHEL 5, MEMPHIS, TN, 
136127, 700 BETHEL APT 5, MEMPHIS, TN, 
136128, 700 BETHEL RD, MEMPHIS, TN, 
136129, 700 BINGHAM AVE, MEMPHIS, TN, 
136130, 700 BINGHAM ST, MEMPHIS, TN, 
136131, 700 BINGHAMPTON, MEMPHIS, TN, 
136132, 700 BINGHAMTON ST, MEMPHIS, TN, 
136133, 700 BIRTHSTONE RED, MEMPHIS, TN, 
136134, 700 BLACKHAWK DR, MEMPHIS, TN, 
136135, 700 BLACKHAWK ST, MEMPHIS, TN, 
136136, 700 BLACKHHAWK, MEMPHIS, TN, 
136137, 700 BLACKWING DR, MEMPHIS, TN, 
136138, 700 BLK CROCKETT, MEMPHIS, TN, 
136139, 700 BLK GLANKLER, MEMPHIS, TN, 
136140, 700 BLK NEPTUNE, MEMPHIS, TN, 
136141, 700 BLK NORTH EVERGREEN ST, MEMPHIS, TN, 
136142, 700 BLK OF KENT, MEMPHIS, TN, 
136143, 700 BLK OF N MONTGOMERY, MEMPHIS, TN, 
136144, 700 BLK POPLAR AVE, MEMPHIS, TN, 
