10281, 1100 DECATUR, MEMPHIS, TN, 
10282, 1100 HOLLYWOOD, MEMPHIS, TN, 
10283, 1100 N SEVENTH ST, MEMPHIS, TN, 
10284, 1100 OAKVIEW ST, MEMPHIS, TN, 
10285, 1100 TULLY, MEMPHIS, TN, 
10286, 1100 TUPELO, MEMPHIS, TN, 
10287, 1200 ENGLEWOOD, MEMPHIS, TN, 
10288, 1200 FORREST, MEMPHIS, TN, 
10289, 1200 MARCIA, MEMPHIS, TN, 
10290, 1200 MARIA, MEMPHIS, TN, 
10291, 1200 S PKWY E, MEMPHIS, TN, 
10292, 1200 SAXON, MEMPHIS, TN, 
10293, 1200 WRENWOOD, MEMPHIS, TN, 
10294, 12400 HWY 64, MEMPHIS, TN, 
10295, 1300 AZALIA ST, MEMPHIS, TN, 
10296, 1300 BEAUREGARD, MEMPHIS, TN, 
10297, 1300 DELLWOOD, MEMPHIS, TN, 
10298, 1300 DYER, MEMPHIS, TN, 
10299, 1300 EASON, MEMPHIS, TN, 
10300, 1300 ESSEX, MEMPHIS, TN, 
10301, 1300 LATHAM ST, MEMPHIS, TN, 
10302, 1300 PARK CASTLE CV, MEMPHIS, TN, 
10303, 1300 RACE, MEMPHIS, TN, 
10304, 1300 S GREER, MEMPHIS, TN, 
10305, 1300 SLEDGE AVE, MEMPHIS, TN, 
10306, 1300 SWALLOW LN, MEMPHIS, TN, 
10307, 1300 WOODBURY, MEMPHIS, TN, 
10308, 1400 ALAMO, MEMPHIS, TN, 
10309, 1400 BONNIE, MEMPHIS, TN, 
10310, 1400 CARR AVE, MEMPHIS, TN, 
10311, 1400 DEARING, MEMPHIS, TN, 
10312, 1400 EAST RAINES, MEMPHIS, TN, 
10313, 1400 ELKWOOD, MEMPHIS, TN, 
10314, 1400 ESTATE, MEMPHIS, TN, 
10315, 1400 FARMVILLE RD, MEMPHIS, TN, 
10316, 1400 FINLEY RD, MEMPHIS, TN, 
10317, 1400 KENTUCKY ST, MEMPHIS, TN, 
10318, 1400 MARYGENE, MEMPHIS, TN, 
10319, 1400 MICHIGAN ST, MEMPHIS, TN, 
10320, 1400 NORRIS, MEMPHIS, TN, 
10321, 1400 PEACH AVE, MEMPHIS, TN, 
10322, 1400 S HIGHLAND, MEMPHIS, TN, 
10323, 1400 S PKWY, MEMPHIS, TN, 
10324, 1400 VINTON AVE, MEMPHIS, TN, 
10325, 1500 CATALINA, MEMPHIS, TN, 
10326, 1500 CENTURY ARBOR LN, MEMPHIS, TN, 
10327, 1500 FAXON AVE, MEMPHIS, TN, 
10328, 1500 LAMBERT, MEMPHIS, TN, 
10329, 1500 NORTH HOLLYWOOD ST, MEMPHIS, TN, 
10330, 1500 OAKRIDGE, MEMPHIS, TN, 
10331, 1500 PKWY VIEW, MEMPHIS, TN, 
10332, 1500 S PKWY E, MEMPHIS, TN, 
10333, 1500 SEMMES ST, MEMPHIS, TN, 
10334, 1500 TIMOTHY, MEMPHIS, TN, 
10335, 1600 ARKANSAS, MEMPHIS, TN, 
10336, 1600 BAXTER, MEMPHIS, TN, 
10337, 1600 BEAVER TRAIL DR, MEMPHIS, TN, 
10338, 1600 CORNING AVE, MEMPHIS, TN, 
10339, 1600 DEWEES, MEMPHIS, TN, 
10340, 1600 EDMONDSHIRE DR, MEMPHIS, TN, 
10341, 1600 ESTILL, MEMPHIS, TN, 
10342, 1600 FARROW, MEMPHIS, TN, 
10343, 1600 GLENVIEW, MEMPHIS, TN, 
10344, 1600 HESTER, MEMPHIS, TN, 
10345, 1600 MAY ST, MEMPHIS, TN, 
10346, 1600 MT MORIAH, MEMPHIS, TN, 
10347, 1600 ONTARIO, MEMPHIS, TN, 
10348, 1600 S PKWY E, MEMPHIS, TN, 
10349, 1600 SOUTH, MEMPHIS, TN, 
10350, 1600 VICTOR ST, MEMPHIS, TN, 
10351, 1600 WATKINS, MEMPHIS, TN, 
10352, 1700 BALL, MEMPHIS, TN, 
10353, 1700 DEXTER LN, MEMPHIS, TN, 
