35229, S LAUDERDALE AND ROSEWOOD, MEMPHIS, TN, 
35230, S MAIN AND TALBOT, MEMPHIS, TN, 
35231, S PERKINS AND COTTONWOOD, MEMPHIS, TN, 
35232, S PKWY AND I240, MEMPHIS, TN, 
35233, S PKWY AND JAMES, MEMPHIS, TN, 
35234, S PKWY AND PENNSYLVANIA, MEMPHIS, TN, 
35235, S PKWY AND PILLOW, MEMPHIS, TN, 
35236, S PKWY AND S THIRD, MEMPHIS, TN, 
35237, S PKWY AND TEXAS, MEMPHIS, TN, 
35238, S THIRD AND FORD, MEMPHIS, TN, 
35239, S THIRD AND SHELBY DR, MEMPHIS, TN, 
35240, S THIRD AND W HOLMES, MEMPHIS, TN, 
35241, S THIRD AND WEAVER, MEMPHIS, TN, 
35242, SAFARI AND SPOTTSWOOD, MEMPHIS, TN, 
35243, SAFFARANS AND LEATH, MEMPHIS, TN, 
35244, SAFFARANS AND MANASSAS, MEMPHIS, TN, 
35245, SANDERS AND MAPLEWOOD, MEMPHIS, TN, 
35246, SARATOGA AND AIRWAYS, MEMPHIS, TN, 
35247, SCHOOLFIELD AND FRAYSER, MEMPHIS, TN, 
35248, SCHOOLFIELD AND LAKEPARK, MEMPHIS, TN, 
35249, SEATTLE AND LAMAR, MEMPHIS, TN, 
35250, SECOND AND MARBLE, MEMPHIS, TN, 
35251, SECOND AND WASHINGTON, MEMPHIS, TN, 
35252, SEMMES AND CARNES, MEMPHIS, TN, 
35253, SEMMES ST AND LAMAR AVE, MEMPHIS, TN, 
35254, SEVENTH AND HENRY, MEMPHIS, TN, 
35255, SEVIER AND FAXON, MEMPHIS, TN, 
35256, SHEFFIELD AND SHEFFIELD CV, MEMPHIS, TN, 
35257, SHELBY AND ALDRIDGE, MEMPHIS, TN, 
35258, SHELBY AND AUBURN, MEMPHIS, TN, 
35259, SHELBY AND GETWELL, MEMPHIS, TN, 
35260, SHELBY AND HORN LAKE, MEMPHIS, TN, 
35261, SHELBY DR AND ALDRIDGE, MEMPHIS, TN, 
35262, SHELBY DR AND FARONIA RD, MEMPHIS, TN, 
35263, SHELBY DR AND HILLBROOK, MEMPHIS, TN, 
35264, SHELBY DR AND HORN LAKE RD, MEMPHIS, TN, 
35265, SHELBY DR AND HORNLAKE, MEMPHIS, TN, 
35266, SHELBY DR AND MALONE, MEMPHIS, TN, 
35267, SHELBY DR AND THIRD, MEMPHIS, TN, 
35268, SHELBY DRIVE AND TULANE, MEMPHIS, TN, 
35269, SIGNAL AND WHITNEY, MEMPHIS, TN, 
35270, SILVERAGE AND RILE, MEMPHIS, TN, 
35271, SIMPSON AND LATHAM, MEMPHIS, TN, 
35272, SIXTH AND MILL, MEMPHIS, TN, 
35273, SOUTH PKWY AND I-240, MEMPHIS, TN, 
35274, SOUTH PKWY AND KYLE, MEMPHIS, TN, 
35275, SOUTH PKWY AND LATHAM, MEMPHIS, TN, 
35276, SOUTH PKWY AND THIRD, MEMPHIS, TN, 
35277, SOUTH THIRD AND PEEBLES, MEMPHIS, TN, 
35278, SOUTHERN AND BARKSDALE, MEMPHIS, TN, 
35279, SOUTHERN AND HOUSTON, MEMPHIS, TN, 
35280, SOUTHERN AND KYLE, MEMPHIS, TN, 
35281, SOUTHERN AND WILLETT, MEMPHIS, TN, 
35282, SOUTHWALL AND SEMMES, MEMPHIS, TN, 
35283, SPEED AND JACKSON, MEMPHIS, TN, 
35284, SPEED AND VOLLINTINE, MEMPHIS, TN, 
35285, SPOTTSWOOD AND SAFARI, MEMPHIS, TN, 
35286, SPOTTSWOOD AND SEMMES, MEMPHIS, TN, 
35287, ST ELMO AND EDENBURG, MEMPHIS, TN, 
35288, ST PAUL AND WALNUT, MEMPHIS, TN, 
35289, STAGE AND BEVERLY HILLS, MEMPHIS, TN, 
35290, STAGE AND JAMES, MEMPHIS, TN, 
35291, STEELE AND BRIERCREST, MEMPHIS, TN, 
35292, STEELE AND OBERLE, MEMPHIS, TN, 
35293, SUMMER AND E PKWY, MEMPHIS, TN, 
35294, SUMMER AND ELMORE, MEMPHIS, TN, 
35295, SUMMER AND ESTRIDGE, MEMPHIS, TN, 
35296, SUMMER AND GLANKLER, MEMPHIS, TN, 
35297, SUMMER AND I240, MEMPHIS, TN, 
35298, SUMMER AVE AND LESTER ST, MEMPHIS, TN, 
35299, SUMMER AVE AND WARING RD, MEMPHIS, TN, 
35300, SUMMER AVE AND WHITE STATION RD, MEMPHIS, TN, 
35301, SWIFT AND INGLE, MEMPHIS, TN, 
35302, SYCAMORE VIEW RD AND RALEIGH LAGRANGE RD, MEMPHIS, TN, 
35303, SYCAMORE VIEW, MEMPHIS, TN, 
35304, TCHULAHOMA AND HOLMES, MEMPHIS, TN, 
35305, THIRD AND FORD, MEMPHIS, TN, 
35306, THIRD AND GE PATTERSON, MEMPHIS, TN, 
35307, THIRD AND SHELBY DR, MEMPHIS, TN, 
35308, THIRD ST AND SHELBY DR, MEMPHIS, TN, 
35309, THIRD ST AND SOUTH PKWY, MEMPHIS, TN, 
35310, THOMAS AND HURON, MEMPHIS, TN, 
35311, THOMAS AND LINDEN, MEMPHIS, TN, 
35312, THOMAS AND LOONEY, MEMPHIS, TN, 
35313, THOMAS AND MISSISSIPPI, MEMPHIS, TN, 
35314, THOMAS AND VANCE, MEMPHIS, TN, 
35315, TIFFANY AND WOODFIELD PARK, MEMPHIS, TN, 
35316, TILLMAN AND HALE, MEMPHIS, TN, 
35317, TILLMAN ST AND SUMMER AVE, MEMPHIS, TN, 
35318, TOMAHAWK AND LEDBETTER, MEMPHIS, TN, 
35319, TREZEVANT AND ELDRIDGE, MEMPHIS, TN, 
35320, TREZEVANT AND FRAYSER BLVD, MEMPHIS, TN, 
35321, TRIGG AND AZALIA, MEMPHIS, TN, 
