32174, 1200 WHITTEN RD, MEMPHIS, TN, 
32175, 1200 WILL SCARLETT, MEMPHIS, TN, 
32176, 1300 ARDWICK CT, MEMPHIS, TN, 
32177, 1300 BROOKFIELD, MEMPHIS, TN, 
32178, 1300 CANNON AVE, MEMPHIS, TN, 
32179, 1300 CAPITOL, MEMPHIS, TN, 
32180, 1300 CHERRYDALE, MEMPHIS, TN, 
32181, 1300 CLEMENTINE RD, MEMPHIS, TN, 
32182, 1300 DAVIDSON, MEMPHIS, TN, 
32183, 1300 DOROTHY PL, MEMPHIS, TN, 
32184, 1300 DOROTHY, MEMPHIS, TN, 
32185, 1300 FIRENZE LN, MEMPHIS, TN, 
32186, 1300 GERMANTOWN PKY, MEMPHIS, TN, 
32187, 1300 GRAND AVE, MEMPHIS, TN, 
32188, 1300 HAYNE RD, MEMPHIS, TN, 
32189, 1300 HAYNES RD, MEMPHIS, TN, 
32190, 1300 HESTER RD, MEMPHIS, TN, 
32191, 1300 ISLAND HARBOR, MEMPHIS, TN, 
32192, 1300 KIMBALL, MEMPHIS, TN, 
32193, 1300 LOUISVILLE AVE, MEMPHIS, TN, 
32194, 1300 MAYWOOD ST, MEMPHIS, TN, 
32195, 1300 MERCHANT ST, MEMPHIS, TN, 
32196, 1300 MULLINS STATION, MEMPHIS, TN, 
32197, 1300 N GRAHAM AVE, MEMPHIS, TN, 
32198, 1300 N HAVEN CIR, MEMPHIS, TN, 
32199, 1300 N HAVEN CIRCLE, MEMPHIS, TN, 
32200, 1300 N MANASSAS, MEMPHIS, TN, 
32201, 1300 N SECOND, MEMPHIS, TN, 
32202, 1300 NATIONAL, MEMPHIS, TN, 
32203, 1300 NORA RD, MEMPHIS, TN, 
32204, 1300 NORTH GRAHAM ST, MEMPHIS, TN, 
32205, 1300 NORTH WATKINS, MEMPHIS, TN, 
32206, 1300 ORGILL AVE, MEMPHIS, TN, 
32207, 1300 PERA DR, MEMPHIS, TN, 
32208, 1300 PHILADELPHIA, MEMPHIS, TN, 
32209, 1300 POND ST, MEMPHIS, TN, 
32210, 1300 RANDALL DR, MEMPHIS, TN, 
32211, 1300 ROSECREST RD, MEMPHIS, TN, 
32212, 1300 ROXBURY CT, MEMPHIS, TN, 
32213, 1300 RYANWOOD AVE, MEMPHIS, TN, 
32214, 1300 S GREER ST, MEMPHIS, TN, 
