125244, 4900 UNIVERSITY, MEMPHIS, TN, 
125245, 4900 VALLEY, MEMPHIS, TN, 
125246, 4900 VANDERGREEN, MEMPHIS, TN, 
125247, 4900 VAUGHN, MEMPHIS, TN, 
125248, 4900 VIOLET RD, MEMPHIS, TN, 
125249, 4900 VONTERIO, MEMPHIS, TN, 
125250, 4900 W COPPER VALLEY DR, MEMPHIS, TN, 
125251, 4900 W COPPER VALLEY, MEMPHIS, TN, 
125252, 4900 W FARRIS CIRCLE, MEMPHIS, TN, 
125253, 4900 W GADWALL, MEMPHIS, TN, 
125254, 4900 W HEDGEWALL CIR, MEMPHIS, TN, 
125255, 4900 WALDEN GLEN, MEMPHIS, TN, 
125256, 4900 WATER FAWL, MEMPHIS, TN, 
125257, 4900 WATER FOWL DR, MEMPHIS, TN, 
125258, 4900 WATERFOUL, MEMPHIS, TN, 
125259, 4900 WATERFOWL RD, MEMPHIS, TN, 
125260, 4900 WEAVER GLENN RD, MEMPHIS, TN, 
125261, 4900 WEBB UTILITY DR, MEMPHIS, TN, 
125262, 4900 WELCHSHIRE RD, MEMPHIS, TN, 
125263, 4900 WELLS STATION, MEMPHIS, TN, 
125264, 4900 WELSHIRE, MEMPHIS, TN, 
125265, 4900 WEST COPPER VALLEY, MEMPHIS, TN, 
125266, 4900 WEST GADWALL, MEMPHIS, TN, 
125267, 4900 WESTMONT, MEMPHIS, TN, 
125268, 4900 WGADWALL DR, MEMPHIS, TN, 
125269, 4900 WHINCHESTER RD, MEMPHIS, TN, 
125270, 4900 WHITE OAK, MEMPHIS, TN, 
125271, 4900 WICHESTER ROAD, MEMPHIS, TN, 
125272, 4900 WILBURN, MEMPHIS, TN, 
125273, 4900 WINCHERSTER SQ SOUTH, MEMPHIS, TN, 
125274, 4900 WINCHESTER CT N, MEMPHIS, TN, 
125275, 4900 WINCHESTER CT, MEMPHIS, TN, 
125276, 4900 WINCHESTER PL SOUTH, MEMPHIS, TN, 
125277, 4900 WINCHESTER SQ NORTH DR, MEMPHIS, TN, 
125278, 4900 WINCHESTER SQ SOUTH, MEMPHIS, TN, 
125279, 4900 WINCHESTER SQUARE S, MEMPHIS, TN, 
125280, 4900 WINDING BRK, MEMPHIS, TN, 
125281, 4900 WINTER CV, MEMPHIS, TN, 
125282, 4900 WISTERWOOD, MEMPHIS, TN, 
125283, 4900 WITHWORTH, MEMPHIS, TN, 
125284, 4900 WOODALE DR, MEMPHIS, TN, 
125285, 4900 WOODLE, MEMPHIS, TN, 
125286, 4907AUTUMN LEAF, MEMPHIS, TN, 
125287, 4911AUTUMN LEAF DR, MEMPHIS, TN, 
125288, 491N HIGHLAND, MEMPHIS, TN, 
125289, 4926AUTUM LEAF, MEMPHIS, TN, 
125290, 4949E SHELBY DR, MEMPHIS, TN, 
125291, 4949LAMAR AVE, MEMPHIS, TN, 
125292, 4949LAMAR, MEMPHIS, TN, 
125293, 4950FAIRLEY, MEMPHIS, TN, 
125294, 4950V STAGE, MEMPHIS, TN, 
125295, 4951FAIRBROOK, MEMPHIS, TN, 
125296, 4955HIDDEN LAKE DR, MEMPHIS, TN, 
125297, 495PRINCETON FOREST CV, MEMPHIS, TN, 
