52187, 6400 OREGON TRAIL, MEMPHIS, TN, 
52188, 6400 PECAN LAKE DR, MEMPHIS, TN, 
52189, 6400 QUAIL HOLLOW DR, MEMPHIS, TN, 
52190, 6400 RALEIGH LA GRANGE, MEMPHIS, TN, 
52191, 6400 RALEIGH-LAGRANGE, MEMPHIS, TN, 
52192, 6400 SHADY GROVE, MEMPHIS, TN, 
52193, 6400 SHELBYVIEW, MEMPHIS, TN, 
52194, 6400 STAFFORDSHIRE, MEMPHIS, TN, 
52195, 6400 SWAN NEST CV, MEMPHIS, TN, 
52196, 6400 THISTLE BROOK, MEMPHIS, TN, 
52197, 6400 THISTLEBROOK CV, MEMPHIS, TN, 
52198, 6400 TREADWAY TRAILS, MEMPHIS, TN, 
52199, 6400 VILLAGE GROVE EAST, MEMPHIS, TN, 
52200, 6400 VILLAGE GROVE PLACE E, MEMPHIS, TN, 
52201, 6400 WINFREY PLACE, MEMPHIS, TN, 
52202, 6400, MEMPHIS, TN, 
52203, 6500 BIRKENHEAD RD, MEMPHIS, TN, 
52204, 6500 BLACKWING DR, MEMPHIS, TN, 
52205, 6500 CARISSA HOLLY CT, MEMPHIS, TN, 
52206, 6500 COPPER VALLEY DR SOUTH, MEMPHIS, TN, 
52207, 6500 COTTINGHAM PL, MEMPHIS, TN, 
52208, 6500 COUNTRY OAKS CIRCLE SOUTH, MEMPHIS, TN, 
52209, 6500 COUNTRY OAKS DR, MEMPHIS, TN, 
52210, 6500 CROSS BROOK, MEMPHIS, TN, 
52211, 6500 CUMBRIAN, MEMPHIS, TN, 
52212, 6500 E RAINES ROAD, MEMPHIS, TN, 
52213, 6500 ESHELBY DR, MEMPHIS, TN, 
52214, 6500 FALLING MIST, MEMPHIS, TN, 
52215, 6500 FAWN HOLLOW, MEMPHIS, TN, 
52216, 6500 FERRELL DR, MEMPHIS, TN, 
52217, 6500 HALEY RD, MEMPHIS, TN, 
52218, 6500 HIGHWAY 70, MEMPHIS, TN, 
52219, 6500 KIRBY OAKS DR, MEMPHIS, TN, 
52220, 6500 LEBARRETT, MEMPHIS, TN, 
