18112, CHD GRANDSTANDS, LOUISVILLE, KY, 40208
18113, CHRISTIAN WAY, LOUISVILLE, KY, 40222
18114, CHRISTY AVE / EDWARD ST, LOUISVILLE, KY, 40204
18115, CHURCHILL PARK DR / HUNSINGER LN, LOUISVILLE, KY, 40220
18116, CLARLAND DR / OLD SHELBYVILLE RD, LOUISVILLE, KY, 40243
18117, CLEVELAND BLVD / NOB HILL LN, LOUISVILLE, KY, 40206
18118, COCHRAN HILL RD / LEXINGTON RD, LOUISVILLE, KY, 40206
18119, COLORADO AVE / RODMAN ST, LOUISVILLE, KY, 40208
18120, COMMUNITY / LARGE, LOUISVILLE, KY, 40223
18121, CONN ST, LOUISVILLE, KY, 40215
18122, CONSTANCE DR / DEERING RD, LOUISVILLE, KY, 40272
18123, CONSTANCE DR, LOUISVILLE, KY, 40272
18124, COOPER CHAPEL RD / FERN BLUFF LN, LOUISVILLE, KY, 40229
18125, COOPER ST / FERN ST, LOUISVILLE, KY, 40204
18126, CRESCENT AVE / FRANKFORT AVE, LOUISVILLE, KY, 40206
18127, CRUMS LN / DIXIE HWY, LOUISVILLE, KY, NA
18128, CRUMS LN / SUNFLOWER AVE, LOUISVILLE, KY, 40216
18129, DAFFODIL DR / GREENWOOD RD, LOUISVILLE, KY, 40258
18130, DEERING RD / WOODRIDGE DR, LOUISVILLE, KY, 40272
18131, DELAWARE DR / MONTICELLO AVE, LOUISVILLE, KY, 40218
18132, DIANE RD / PENDLETON RD, LOUISVILLE, KY, 40272
18133, DIXIE HWY / HAROLD AVE, LOUISVILLE, KY, 40210
18134, DIXIE HWY / PARK RD, LOUISVILLE, KY, NA
18135, DIXIE HWY / SAPPENFIELD WAY, LOUISVILLE, KY, 40272
18136, DIXIE HWY / STARDUST DR, LOUISVILLE, KY, 40272
18137, DIXIE HWY / STONE VALLEY DR, LOUISVILLE, KY, 40272
18138, DORSEY STATION RD / SHELBYVILLE RD, LOUISVILLE, KY, 40223
18139, DOUGLASS BLVD / ELEANOR AVE, LOUISVILLE, KY, 40205
18140, DOVER RD / ROCKFORD LN, LOUISVILLE, KY, NA
18141, DR W J HODGE ST / EDDY ST, LOUISVILLE, KY, 40203
18142, DRUMMOND WAY / SINCLAIR ST, LOUISVILLE, KY, 40118
18143, DUNKIRK LN / SANDRAY BLVD, LOUISVILLE, KY, 40272
18144, E BLOOM ST / S FLOYD ST, LOUISVILLE, KY, 40208
18145, E BRECKINRIDGE ST / VINE ST, LOUISVILLE, KY, 40204
18146, E BROADWAY / BAXTER AVE, LOUISVILLE, KY, 40204
