13134, GARRISON RD / YORKTOWN RD, LOUISVILLE, KY, 40214
13135, GOVERNOURS WAY / POINDEXTER DR, LOUISVILLE, KY, 40291
13136, GRIFFITHS AVE / SHORT ST, LOUISVILLE, KY, 40212
13137, HESS LN / PRESTON HWY, LOUISVILLE, KY, 40217
13138, HUNTINGTON PARK DR / POPLAR LEVEL RD, LOUISVILLE, KY, 40213
13139, I 264 RAMP / I 64 RAMP, LOUISVILLE, KY, 40222
13140, I264E / AIRPORT, LOUISVILLE, KY, 40209
13141, I264E / RIVER PARK DR, LOUISVILLE, KY, 40211
13142, I264W / TAYLORSVILLE RD, LOUISVILLE, KY, 40205
13143, I265S / OLD HENRY RD, LOUISVILLE, KY, 40245
13144, I64W / GRINSTEAD DR, LOUISVILLE, KY, 40206
13145, I65N / HOSPITAL CURVE, LOUISVILLE, KY, 40202
13146, IMPERIAL TER / ROCKFORD LN, LOUISVILLE, KY, 40216
13147, JAPONICA WAY / WESTPORT RD, LOUISVILLE, KY, 40242
13148, JOHNSONTOWN RD, LOUISVILLE, KY, 40272
13149, KAHLERT AVE / STRADER AVE, LOUISVILLE, KY, 40215
13150, LA GRANGE RD / UPS DR, LOUISVILLE, KY, 40223
13151, LANCE DR / MANSLICK RD, LOUISVILLE, KY, 40216
13152, LAPORTE PARK, LOUISVILLE, KY, 40212
13153, LIBERTY BANK LN / LINN STATION RD, LOUISVILLE, KY, 40222
13154, LINCOLN AVE / MONTANA AVE, LOUISVILLE, KY, 40208
13155, LINDSAY AVE / MOUNT HOLLY AVE, LOUISVILLE, KY, 40206
13156, LOWE RD / TAYLORSVILLE RD, LOUISVILLE, KY, 40220
13157, LOWER HUNTERS TRCE / UPPER HUNTERS TRCE, LOUISVILLE, KY, 40216
13158, MANSLICK CT, LOUISVILLE, KY, 40215
13159, MARENGO DR / MEADOW LN, LOUISVILLE, KY, 40243
13160, MEADOWCREEK DR / NEWBURG RD, LOUISVILLE, KY, 40218
13161, MORGAN ST / S SHELBY ST, LOUISVILLE, KY, 40217
13162, MORNING GLORY LN / TERRY RD, LOUISVILLE, KY, 40258
13163, MOUNT WASHINGTON RD / STANDIFORD PLAZA DR, LOUISVILLE, KY, 40229
13164, MUD LN / SMITH LN, LOUISVILLE, KY, 40229
13165, N 15TH ST / ROWAN ST, LOUISVILLE, KY, 40203
13166, N 17TH ST / W MAIN ST, LOUISVILLE, KY, 40203
13167, N 18TH ST / CROP ST, LOUISVILLE, KY, 40203
13168, N 22ND ST / COLUMBIA ST, LOUISVILLE, KY, 40212
13169, N 22ND ST, LOUISVILLE, KY, 40212
13170, N 25TH ST / CLEVELAND AVE, LOUISVILLE, KY, 40212
13171, N 25TH ST / COLUMBIA ST, LOUISVILLE, KY, 40212
13172, N 26TH ST / COLUMBIA ST, LOUISVILLE, KY, 40212
13173, N 27TH ST / NORTHWESTERN PKY, LOUISVILLE, KY, 40212
13174, N 30TH ST / ALFORD AVE, LOUISVILLE, KY, 40212
13175, N 36TH ST / NORTHWESTERN PKY, LOUISVILLE, KY, 40212
13176, N 38TH ST / ALFORD AVE, LOUISVILLE, KY, 40212
13177, N 38TH ST / JEWELL AVE, LOUISVILLE, KY, 40212
13178, N 39TH ST / BANK ST, LOUISVILLE, KY, 40212
13179, N 3RD ST / W RIVER RD, LOUISVILLE, KY, 40202
13180, N 42ND ST / DUNCAN ST, LOUISVILLE, KY, 40212
13181, N CAMPBELL ST / E WASHINGTON ST, LOUISVILLE, KY, 40206
13182, NEW CUT RD / WILDERNESS RD, LOUISVILLE, KY, 40214
13183, NEWBURG RD / RICHMOND DR, LOUISVILLE, KY, 40205
13184, OBOE DR / SHAGBARK RD, LOUISVILLE, KY, 40216
13185, OLD DIXIE HWY / E ORELL RD, LOUISVILLE, KY, 40272
13186, PARK - RIVERVIEW PARK, LOUISVILLE, KY, 40258
13187, PARTHENIA AVE / STRADER AVE, LOUISVILLE, KY, 40215
13188, PHYLLIS AVE / UTAH AVE, LOUISVILLE, KY, 40215
13189, PIGEON PASS RD / PRESTON DR, LOUISVILLE, KY, 40213
13190, POPLAR LEVEL RD / VALLA RD, LOUISVILLE, KY, 40213
13191, POWELL AVE / STRADER AVE, LOUISVILLE, KY, 40215
13192, PRESTON HWY / SPRINGVIEW DR, LOUISVILLE, KY, 40219
13193, RAGGARD RD / TERRY RD, LOUISVILLE, KY, 40216
13194, RIATA CT / ROBINWOOD RD, LOUISVILLE, KY, 40218
13195, S 17TH ST / MAPLE ST, LOUISVILLE, KY, 40210
13196, S 18TH ST / CONGRESS ST, LOUISVILLE, KY, 40203
13197, S 19TH ST / CONGRESS ST, LOUISVILLE, KY, 40203
13198, S 1ST ST / E AMHERST AVE, LOUISVILLE, KY, 40214
13199, S 1ST ST / E GRAY ST, LOUISVILLE, KY, 40202
13200, S 23RD ST / OSAGE AVE, LOUISVILLE, KY, 40210
13201, S 23RD ST / W MAIN ST, LOUISVILLE, KY, 40212
13202, S 24TH ST / HOWARD ST, LOUISVILLE, KY, 40211
13203, S 25TH ST / GRAND AVE, LOUISVILLE, KY, 40210
13204, S 25TH ST / HALE AVE, LOUISVILLE, KY, 40210
13205, S 25TH ST / W BURNETT AVE, LOUISVILLE, KY, 40210
13206, S 25TH ST / W KENTUCKY ST, LOUISVILLE, KY, 40210
13207, S 26TH ST / DATE ST, LOUISVILLE, KY, 40210
13208, S 26TH ST / GREEN ALY, LOUISVILLE, KY, 40212
13209, S 26TH ST / PLYMOUTH CT, LOUISVILLE, KY, 40211
13210, S 36TH ST / GRAND AVE, LOUISVILLE, KY, 40211
13211, S 36TH ST / VERMONT AVE, LOUISVILLE, KY, 40211
13212, S 36TH ST / W MUHAMMAD ALI BLVD, LOUISVILLE, KY, 40212
13213, S 3RD ST, LOUISVILLE, KY, 40203
13214, S 40TH ST / ALGONQUIN PKY, LOUISVILLE, KY, 40211
13215, S 5TH ST / W ASHLAND AVE, LOUISVILLE, KY, 40214
13216, S 7TH ST / CEDAR ST, LOUISVILLE, KY, 40203
13217, S 7TH ST / COLLEGE CT, LOUISVILLE, KY, 40203
13218, S 7TH ST / ZANE ST, LOUISVILLE, KY, 40203
13219, S 7TH ST, LOUISVILLE, KY, 40203
13220, S 8TH ST / GARLAND AVE, LOUISVILLE, KY, 40203
13221, S CLAY ST / E BROADWAY, LOUISVILLE, KY, 40202
13222, S CLAY ST / E JEFFERSON ST, LOUISVILLE, KY, 40202
13223, S FLOYD ST / E GAULBERT AVE, LOUISVILLE, KY, 40208
13224, S HURSTBOURNE PKY / LISA CT, LOUISVILLE, KY, 40291
13225, S HURSTBOURNE PKY / WHITTINGTON PKY, LOUISVILLE, KY, 40222
13226, S JACKSON ST / MARSHALL ST, LOUISVILLE, KY, 40202
