12285, 7800 KIM DR, LOUISVILLE, KY, 40214
12286, 7800 NOTTOWAY CIR, LOUISVILLE, KY, 40214
12287, 7900 ANNELLA WAY, LOUISVILLE, KY, 40219
12288, 7900 APPLE VALLEY DR, LOUISVILLE, KY, 40228
12289, 7900 BARBOUR MANOR DR, LOUISVILLE, KY, 40241
12290, 7900 BRIDLEWOOD PL, LOUISVILLE, KY, 40228
12291, 7900 GRAND CASCADE DR, LOUISVILLE, KY, 40228
12292, 7900 RIDGEHURST PL, LOUISVILLE, KY, 40299
12293, 800 GILLILAND RD, LOUISVILLE, KY, 40245
12294, 800 NOTTINGHAM PKY, LOUISVILLE, KY, 40222
12295, 800 TEXAS AVE, LOUISVILLE, KY, 40217
12296, 800 W ST CATHERINE ST, LOUISVILLE, KY, 40203
12297, 8000 ADAMS RUN RD, LOUISVILLE, KY, 40228
12298, 8000 ANNELLA WAY, LOUISVILLE, KY, 40219
12299, 8000 BLUEBONNET RD, LOUISVILLE, KY, 40258
12300, 8000 CATHERINE LN, LOUISVILLE, KY, 40222
12301, 8000 PINA WAY, LOUISVILLE, KY, 40219
12302, 8000 ST ANTHONY CHURCH RD, LOUISVILLE, KY, 40214
12303, 8000 TRILLIUM DR, LOUISVILLE, KY, 40258
12304, 8100 CANDLEGLOW LN, LOUISVILLE, KY, 40214
12305, 8100 CARNES DR, LOUISVILLE, KY, 40219
12306, 8100 HUNTSMAN TRL, LOUISVILLE, KY, 40291
12307, 8100 KERRY RD, LOUISVILLE, KY, 40258
12308, 8100 WENDAMOOR DR, LOUISVILLE, KY, 40228
12309, 8200 ARNOLDTOWN RD, LOUISVILLE, KY, 40214
12310, 8200 BEULAH CHURCH RD, LOUISVILLE, KY, 40291
12311, 8200 DORINDA DR, LOUISVILLE, KY, 40258
12312, 8200 FOUR WINDS DR, LOUISVILLE, KY, 40222
12313, 8200 PENNSYLVANIA RUN RD, LOUISVILLE, KY, 40228
12314, 8200 ROCHELLE RD, LOUISVILLE, KY, 40228
12315, 8200 VERMISSA CT, LOUISVILLE, KY, 40222
12316, 8300 ATLANTA PKY, LOUISVILLE, KY, 40214
12317, 8300 POINSETTIA DR, LOUISVILLE, KY, 40258
12318, 8300 ROSEBOWL CT, LOUISVILLE, KY, 40291
12319, 8300 SEAFORTH DR, LOUISVILLE, KY, 40258
12320, 8300 SMITHTON RD, LOUISVILLE, KY, 40219
12321, 8300 SWANCREST CT, LOUISVILLE, KY, 40222
12322, 8500 3RD STREET RD, LOUISVILLE, KY, 40272
12323, 8500 BRAEBURN RIDGE DR, LOUISVILLE, KY, 40228
12324, 8500 OLD BOUNDARY RD, LOUISVILLE, KY, 40291
12325, 8600 EMRICH AVE, LOUISVILLE, KY, 40291
12326, 8600 SOVERIGN WAY, LOUISVILLE, KY, 40258
12327, 8700 CHETWOOD TRACE DR, LOUISVILLE, KY, 40291
12328, 8800 LANTANA DR, LOUISVILLE, KY, 40229
12329, 8800 MAPLE RD, LOUISVILLE, KY, 40229
12330, 8800 PRESTON HWY, LOUISVILLE, KY, 40219
12331, 8800 ROYAL OAK DR, LOUISVILLE, KY, 40272
12332, 8900 FOX CHASE PL, LOUISVILLE, KY, 40228
12333, 8900 WESTPORT RD, LOUISVILLE, KY, 40242
12334, 900 EASTERN STAR CT, LOUISVILLE, KY, 40204
12335, 900 FOUNTAIN AVE, LOUISVILLE, KY, 40222
12336, 900 MASON AVE, LOUISVILLE, KY, 40204
12337, 900 W HILL ST, LOUISVILLE, KY, 40208
12338, 900 WILLOW POINTE DR, LOUISVILLE, KY, 40243
12339, 9000 ARISTIDES DR, LOUISVILLE, KY, 40258
12340, 9000 CROOKED ARROW CT, LOUISVILLE, KY, 40228
12341, 9000 HARVEST GOLD CT, LOUISVILLE, KY, 40291
12342, 9000 LANTANA DR, LOUISVILLE, KY, 40229
12343, 9100 BROOKWOOD PATH, LOUISVILLE, KY, 40241
12344, 9100 DANBY CT, LOUISVILLE, KY, 40291
