1178, 5500 NATIONAL TPKE, LOUISVILLE, KY, 40214
1179, 5600 NEW CUT RD, LOUISVILLE, KY, 40214
1180, 700 LOGAN ST, LOUISVILLE, KY, 40204
1181, 800 S 26TH ST, LOUISVILLE, KY, 40211
1182, 1000 EUCLID AVE, LOUISVILLE, KY, 40208
1183, 1300 WELLER AVE, LOUISVILLE, KY, 40208
1184, 1500 GALLAGHER ST, LOUISVILLE, KY, 40210
1185, 1500 W ST CATHERINE ST, LOUISVILLE, KY, 40210
1186, 1700 WATHEN LN, LOUISVILLE, KY, 40216
1187, 2100 GRIFFITHS AVE, LOUISVILLE, KY, 40212
1188, 2200 LIVERPOOL LN, LOUISVILLE, KY, 40218
1189, 2500 GRIFFITHS AVE, LOUISVILLE, KY, 40212
1190, 2800 CRITTENDEN DR, LOUISVILLE, KY, 40209
1191, 3300 ALGONQUIN PKY, LOUISVILLE, KY, 40211
1192, 5100 NEW CUT RD, LOUISVILLE, KY, 40214
1193, 6900 DIXIE HWY, LOUISVILLE, KY, 40258
1194, 800 MULBERRY ST, LOUISVILLE, KY, 40217
1195, 900 READ ALY, LOUISVILLE, KY, 40203
1196, 9700 HUDSON LN, LOUISVILLE, KY, 40291
1197, 9900 DANIEL DR, LOUISVILLE, KY, 40118
1198, DIXIE HWY / W ORMSBY AVE, LOUISVILLE, KY, 40210
1199, EASTERN PKY / S PRESTON ST, LOUISVILLE, KY, 40217
1200, S 3RD ST / W BROADWAY, LOUISVILLE, KY, 40202
1201, 100 OLDE ENGLISH CT, LOUISVILLE, KY, 40272
1202, 1900 W BROADWAY, LOUISVILLE, KY, 40203
1203, 2100 S PRESTON ST, LOUISVILLE, KY, 40217
1204, 2800 W MAIN ST, LOUISVILLE, KY, 40212
1205, 3100 BANK ST, LOUISVILLE, KY, 40212
1206, 3300 PEACHTREE AVE, LOUISVILLE, KY, 40215
1207, 400 S 26TH ST, LOUISVILLE, KY, 40212
1208, 4000 BUECHEL BANK RD, LOUISVILLE, KY, 40225
1209, 4100 PRESTON HWY, LOUISVILLE, KY, 40213
1210, 5100 KEEGAN WAY, LOUISVILLE, KY, 40291
1211, 700 HAZEL ST, LOUISVILLE, KY, 40211
1212, BISHOP LN / NEWBURG RD, LOUISVILLE, KY, 40218
1213, CHAMBERLAIN LN / WESTPORT RD, LOUISVILLE, KY, 40241
1214, OLEANDA AVE / TAYLOR BLVD, LOUISVILLE, KY, 40215
1215, 1300 ST ANTHONY PL, LOUISVILLE, KY, 40204
1216, 2200 W KENTUCKY ST, LOUISVILLE, KY, 40210
1217, 2300 CEDAR ST, LOUISVILLE, KY, 40212
1218, 2600 WHITEHALL TER, LOUISVILLE, KY, 40220
1219, 3400 PRESTWOOD DR, LOUISVILLE, KY, 40219
1220, 3700 PARTHENIA AVE, LOUISVILLE, KY, 40215
1221, 4700 POPLAR LEVEL RD, LOUISVILLE, KY, 40213
1222, 500 W HILL ST, LOUISVILLE, KY, 40208
1223, 5200 CEDRUS CIR, LOUISVILLE, KY, 40213
1224, 5300 RUSSETT BLVD, LOUISVILLE, KY, 40218
1225, 6900 SOUTHSIDE DR, LOUISVILLE, KY, 40214
1226, 7400 RAINBOW DR, LOUISVILLE, KY, 40272
1227, 900 BEECHER ST, LOUISVILLE, KY, 40215
1228, BARDSTOWN RD, LOUISVILLE, KY, 40218
1229, LOGAN ST / E OAK ST, LOUISVILLE, KY, 40204
1230, 1000 E MARKET ST, LOUISVILLE, KY, 40206
1231, 1000 GOSS AVE, LOUISVILLE, KY, 40217
