4129, 1300 HULL ST, LOUISVILLE, KY, 40204
4130, 1300 HUNTINGTON LN, LOUISVILLE, KY, 40219
4131, 1300 SHINGO AVE, LOUISVILLE, KY, 40215
4132, 13300 FORGE CIR, LOUISVILLE, KY, 40272
4133, 13800 ENGLISH VILLA DR, LOUISVILLE, KY, 40245
4134, 1600 BONNYCASTLE AVE, LOUISVILLE, KY, 40205
4135, 1600 DIXIE HWY, LOUISVILLE, KY, 40210
4136, 1600 W HILL ST, LOUISVILLE, KY, 40210
4137, 1800 OSAGE AVE, LOUISVILLE, KY, 40210
4138, 1800 RUTHERFORD AVE, LOUISVILLE, KY, 40205
4139, 1800 S BROOK ST, LOUISVILLE, KY, 40208
4140, 200 HARLAN AVE, LOUISVILLE, KY, 40214
4141, 200 S 25TH ST, LOUISVILLE, KY, 40212
4142, 2000 HERR LN, LOUISVILLE, KY, 40222
4143, 2000 S SHELBY ST, LOUISVILLE, KY, 40217
4144, 2300 S 36TH ST, LOUISVILLE, KY, 40211
4145, 300 DOWNES LN, LOUISVILLE, KY, 40214
4146, 300 N HITE AVE, LOUISVILLE, KY, 40206
4147, 300 POPLAR LEVEL CT, LOUISVILLE, KY, 40219
4148, 3200 PATRICIA DR, LOUISVILLE, KY, 40216
4149, 3200 W BROADWAY, LOUISVILLE, KY, 40211
4150, 3400 ALLISON WAY, LOUISVILLE, KY, 40220
4151, 3400 ROWENA RD, LOUISVILLE, KY, 40218
4152, 3500 BONAVENTURE BLVD, LOUISVILLE, KY, 40219
4153, 3500 TERRIER LN, LOUISVILLE, KY, 40218
4154, 3700 OBOE DR, LOUISVILLE, KY, 40216
4155, 3800 POWELL AVE, LOUISVILLE, KY, 40215
4156, 3900 JEWELL AVE, LOUISVILLE, KY, 40212
4157, 400 CADBURY CT, LOUISVILLE, KY, 40212
4158, 400 NORTHWESTERN PKY, LOUISVILLE, KY, 40212
4159, 4200 WHEELER AVE, LOUISVILLE, KY, 40215
4160, 4300 STOLTZ CT, LOUISVILLE, KY, 40215
4161, 4500 COD DR, LOUISVILLE, KY, 40272
4162, 4500 DUMESNIL ST, LOUISVILLE, KY, 40211
4163, 4500 NORENE LN, LOUISVILLE, KY, 40219
4164, 4600 BARDSTOWN RD, LOUISVILLE, KY, 40218
4165, 4600 GARDA DR, LOUISVILLE, KY, 40219
4166, 4600 SHASTA TRL, LOUISVILLE, KY, 40213
4167, 4900 APPLEGROVE LN, LOUISVILLE, KY, 40218
4168, 4900 INVICTA DR, LOUISVILLE, KY, 40216
4169, 500 N 39TH ST, LOUISVILLE, KY, 40212
4170, 500 N ENGLISH STATION RD, LOUISVILLE, KY, 40223
4171, 500 W SOUTHLAND BLVD, LOUISVILLE, KY, 40214
4172, 5000 RURAL WAY, LOUISVILLE, KY, 40218
4173, 5200 RURAL WAY, LOUISVILLE, KY, 40218
4174, 5300 RED FERN RD, LOUISVILLE, KY, 40218
4175, 5500 MINOR LN, LOUISVILLE, KY, 40219
4176, 5900 MIDDLEGROUND DR, LOUISVILLE, KY, 40272
4177, 600 CALDWELL ST, LOUISVILLE, KY, 40203
4178, 600 ROSELANE ST, LOUISVILLE, KY, 40203
4179, 6200 FERN VALLEY CIR, LOUISVILLE, KY, 40219
4180, 6600 SIX MILE LN, LOUISVILLE, KY, 40218
4181, 6700 GRADE LN, LOUISVILLE, KY, 40213
4182, 6900 LEISURE LN, LOUISVILLE, KY, 40229
4183, 700 S 22ND ST, LOUISVILLE, KY, 40211
4184, 7000 INTERNATIONAL DR, LOUISVILLE, KY, 40258
4185, 7000 JOHN ADAMS WAY, LOUISVILLE, KY, 40272
4186, 7300 NATHAN HALE WAY, LOUISVILLE, KY, 40272
4187, 7700 COLUMBINE DR, LOUISVILLE, KY, 40258
