17119, 10300 SPRING MEYER RD, LOUISVILLE, KY, 40223
17120, 10300 WHIPPS MILL RD, LOUISVILLE, KY, 40223
17121, 10400 LEDDENTON WAY, LOUISVILLE, KY, 40241
17122, 10400 WEMBERLEY HILL BLVD, LOUISVILLE, KY, 40241
17123, 10500 DOVE CHASE CIR, LOUISVILLE, KY, 40299
17124, 10500 EDGEWATER RD, LOUISVILLE, KY, 40223
17125, 10500 KEYS FERRY RD, LOUISVILLE, KY, 40118
17126, 10600 BAYPORT RD, LOUISVILLE, KY, 40299
17127, 10600 CLAYTON ALLEN BLVD, LOUISVILLE, KY, 40229
17128, 10600 LA GRANGE RD, LOUISVILLE, KY, 40223
17129, 10600 SEATONVILLE RD, LOUISVILLE, KY, 40291
17130, 10600 SPARROW CIR, LOUISVILLE, KY, 40118
17131, 10600 TARRYTOWNE DR, LOUISVILLE, KY, 40272
17132, 10700 BARDSTOWN WOODS BLVD, LOUISVILLE, KY, 40291
17133, 10700 BLACK IRON RD, LOUISVILLE, KY, 40291
17134, 10700 BURNT OAKS CT, LOUISVILLE, KY, 40241
17135, 10700 DESHANE PL, LOUISVILLE, KY, 40272
17136, 10700 HICKORY COVE CT, LOUISVILLE, KY, 40241
17137, 10700 HIGH GROVE PL, LOUISVILLE, KY, 40223
17138, 10700 SEVENOAKS DR, LOUISVILLE, KY, 40241
17139, 10700 STONESTREET RD, LOUISVILLE, KY, 40272
17140, 10700 SUNDERLAND PL, LOUISVILLE, KY, 40243
17141, 10700 TATTENHAM LN, LOUISVILLE, KY, 40243
17142, 10700 WARD AVE, LOUISVILLE, KY, 40223
17143, 10800 ANTON CT, LOUISVILLE, KY, 40229
17144, 10800 BARRICKS RD, LOUISVILLE, KY, 40229
17145, 10800 CAMPION CT, LOUISVILLE, KY, 40229
17146, 10900 ALBION DR, LOUISVILLE, KY, 40272
17147, 10900 ELDA DR, LOUISVILLE, KY, 40229
17148, 10900 EXCELSIOR PL, LOUISVILLE, KY, 40241
17149, 10900 HARRISON LN, LOUISVILLE, KY, 40118
17150, 10900 SPRING RUN CT, LOUISVILLE, KY, 40291
17151, 10900 SWEET WATER DR, LOUISVILLE, KY, 40241
17152, 10900 TOMPKINS RD, LOUISVILLE, KY, 40291
17153, 1100 CENTRAL AVE, LOUISVILLE, KY, 40215
17154, 1100 CHAMBERLAIN HILL RD, LOUISVILLE, KY, 40207
17155, 1100 CROSSINGS COVE CT, LOUISVILLE, KY, 40245
17156, 1100 INNIS CT, LOUISVILLE, KY, 40204
17157, 1100 JUNIPER SPRINGS DR, LOUISVILLE, KY, 40242
17158, 1100 MARKET ST, LOUISVILLE, KY, 40202
17159, 1100 PEACOCK DR, LOUISVILLE, KY, 40222
17160, 1100 RED FOX RD, LOUISVILLE, KY, 40205
17161, 1100 S ENGLISH STATION RD, LOUISVILLE, KY, 40299
17162, 1100 TULIP HILL WAY, LOUISVILLE, KY, 40299
17163, 1100 ULRICH AVE, LOUISVILLE, KY, 40213
17164, 1100 WINDSONG WAY, LOUISVILLE, KY, 40207
17165, 11000 BALLARDSVILLE RD, LOUISVILLE, KY, 40241
17166, 11000 DEZERN AVE, LOUISVILLE, KY, 40118
17167, 11000 EAGLES COVE DR, LOUISVILLE, KY, 40241
17168, 11000 FOX MOORE CT, LOUISVILLE, KY, 40223
17169, 11000 HOLSCLAW HILL RD, LOUISVILLE, KY, 40118
17170, 11000 JEFFERSON TRACE BLVD, LOUISVILLE, KY, 40291
17171, 11000 RADLEIGH LN, LOUISVILLE, KY, 40291
17172, 11000 SUGAR MAPLE CT, LOUISVILLE, KY, 40229
17173, 11000 WOODED LAKE CT, LOUISVILLE, KY, 40299
17174, 11100 KILRENNY CT, LOUISVILLE, KY, 40243
17175, 11100 LEHR RD, LOUISVILLE, KY, 40272
17176, 11100 SEWELL DR, LOUISVILLE, KY, 40291
17177, 11200 ARBOR WOOD DR, LOUISVILLE, KY, 40299
17178, 11200 COVENTRY GREENS DR, LOUISVILLE, KY, 40241
17179, 11200 FOX MEADE RD, LOUISVILLE, KY, 40229
17180, 11300 BROOKLEY DR, LOUISVILLE, KY, 40229
17181, 11300 CASSIDY LN, LOUISVILLE, KY, 40229
17182, 11300 PEBBLE TRCE, LOUISVILLE, KY, 40229
17183, 11300 WOODED BRANCH LN, LOUISVILLE, KY, 40291
17184, 11400 PLEASANT DR, LOUISVILLE, KY, 40272
17185, 11400 TUMBLEWEED RD, LOUISVILLE, KY, 40229
17186, 11500 EXPEDITION TRL, LOUISVILLE, KY, 40291
17187, 11500 SEATONVILLE RD, LOUISVILLE, KY, 40291
17188, 11600 CHENOWETH HILLS PL, LOUISVILLE, KY, 40299
17189, 11600 CHINOOK CT, LOUISVILLE, KY, 40299
17190, 11600 EXPEDITION TRL, LOUISVILLE, KY, 40291
17191, 11600 OAKLAND OVERLOOK TRL, LOUISVILLE, KY, 40291
17192, 11700 DIODE CT, LOUISVILLE, KY, 40299
17193, 11700 OAK BAY DR, LOUISVILLE, KY, 40245
17194, 11700 TAYLOR RAE DR, LOUISVILLE, KY, 40229
17195, 11800 GARDEN GROVE WAY, LOUISVILLE, KY, 40299
17196, 11900 QUEEN ANNES CT, LOUISVILLE, KY, 40245
17197, 1200 AUTUMN SUN CT, LOUISVILLE, KY, 40243
17198, 1200 BRIDGET DR, LOUISVILLE, KY, 40118
17199, 1200 CANTERCHASE DR, LOUISVILLE, KY, 40242
17200, 1200 CASTLEWOOD DELL, LOUISVILLE, KY, 40204
17201, 1200 DALMALLY CT, LOUISVILLE, KY, 40222
17202, 1200 E MAIN ST, LOUISVILLE, KY, 40206
17203, 1200 GALLANT FOX RUN RD, LOUISVILLE, KY, 40242
17204, 1200 HODEL RD, LOUISVILLE, KY, 40213
17205, 1200 KENTUCKY MILLS DR, LOUISVILLE, KY, 40299
17206, 1200 LANCE DR, LOUISVILLE, KY, 40216
17207, 1200 MATHA AVE, LOUISVILLE, KY, 40215
17208, 1200 S HANCOCK ST, LOUISVILLE, KY, 40203
17209, 1200 SWAN ST, LOUISVILLE, KY, 40204
17210, 1200 W MAIN ST, LOUISVILLE, KY, 40203
17211, 1200 WEDGEMERE CT, LOUISVILLE, KY, 40219
17212, 12000 FALLEN OAK CT, LOUISVILLE, KY, 40245
17213, 12000 RUSTBURG CT, LOUISVILLE, KY, 40245
17214, 12100 DIXIE HWY, LOUISVILLE, KY, 40272
17215, 12100 DIXON PARK BLVD, LOUISVILLE, KY, 40299
17216, 12100 FAIRMOUNT RD, LOUISVILLE, KY, 40291
17217, 12200 CROSSWINDS DR, LOUISVILLE, KY, 40243
17218, 12200 REDSPIRE DR, LOUISVILLE, KY, 40299
17219, 12200 ST CLAIR DR, LOUISVILLE, KY, 40243
17220, 12300 WESTPORT RD, LOUISVILLE, KY, 40245
17221, 12400 BERRYTOWN RD, LOUISVILLE, KY, 40223
17222, 12400 EARL JONES WAY, LOUISVILLE, KY, 40299
17223, 12500 NASSAU LN, LOUISVILLE, KY, 40243
17224, 12600 CHESAPEAKE BAY DR, LOUISVILLE, KY, 40245
17225, 12600 SANDERSTEAD TRCE, LOUISVILLE, KY, 40245
17226, 12800 SHELBYVILLE RD, LOUISVILLE, KY, 40243
17227, 12900 PLANTSIDE DR, LOUISVILLE, KY, 40299
17228, 12900 URTON LN, LOUISVILLE, KY, 40243
17229, 1300 BROCKTON CT, LOUISVILLE, KY, 40118
17230, 1300 FARMDALE AVE, LOUISVILLE, KY, 40213
17231, 1300 GLENGARRY DR, LOUISVILLE, KY, 40118
17232, 1300 LEIGHTON CIR, LOUISVILLE, KY, 40222
17233, 1300 S 7TH ST, LOUISVILLE, KY, 40208
17234, 1300 SWAN POINTE BLVD, LOUISVILLE, KY, 40243
17235, 13100 MEDORA RD, LOUISVILLE, KY, 40272
17236, 13200 E ORELL RD, LOUISVILLE, KY, 40272
17237, 13300 EASTGATE VILLAGE DR, LOUISVILLE, KY, 40223
17238, 13400 SHADY CREEK CIR, LOUISVILLE, KY, 40299
17239, 13600 FOREST BEND CIR, LOUISVILLE, KY, 40245
17240, 13700 SADDLECREEK DR, LOUISVILLE, KY, 40245
17241, 13900 FANCY GAP DR, LOUISVILLE, KY, 40299
17242, 1400 BERNHEIM LN, LOUISVILLE, KY, 40210
17243, 1400 LYTLE ST, LOUISVILLE, KY, 40203
17244, 1400 RIVER RD, LOUISVILLE, KY, 40206
17245, 1400 SOUTHWESTERN PKY, LOUISVILLE, KY, 40211
17246, 1400 ST JUDE AVE, LOUISVILLE, KY, 40215
17247, 1400 TIN PAN ALY, LOUISVILLE, KY, 40208
17248, 14000 LANDMARK DR, LOUISVILLE, KY, 40245
17249, 14000 ROLLING SPRINGS CT, LOUISVILLE, KY, 40245
17250, 14200 AIKEN RD, LOUISVILLE, KY, 40245
17251, 14300 LAKE FOREST DR, LOUISVILLE, KY, 40245
17252, 14300 WILLOW GROVE CIR, LOUISVILLE, KY, 40245
17253, 14500 GABLEWOOD PL, LOUISVILLE, KY, 40245
17254, 14500 LANDIS VILLA DR, LOUISVILLE, KY, 40245
17255, 14600 ANDERSON WOODS TRCE, LOUISVILLE, KY, 40245
17256, 14600 PULPIT DR, LOUISVILLE, KY, 40245
17257, 14700 FOREST CREEK WAY, LOUISVILLE, KY, 40245
17258, 14800 FOX BEND CT, LOUISVILLE, KY, 40245
17259, 14800 JAMES MADISON CT, LOUISVILLE, KY, 40272
17260, 14900 SYCAMORE FALLS DR, LOUISVILLE, KY, 40245
17261, 1500 AMBER WAY, LOUISVILLE, KY, 40214
17262, 1500 S PRESTON ST, LOUISVILLE, KY, 40208
17263, 1500 SYLVAN CT, LOUISVILLE, KY, 40205
17264, 15000 PORTICO ESTATE DR, LOUISVILLE, KY, 40245
17265, 15200 CRYSTAL SPRINGS WAY, LOUISVILLE, KY, 40245
17266, 15700 BRUSH RUN RD, LOUISVILLE, KY, 40299
17267, 15900 TAYLORSVILLE RD, LOUISVILLE, KY, 40023
17268, 16 I264W, LOUISVILLE, KY, 40205
17269, 1600 JOHNSON RD, LOUISVILLE, KY, 40245
17270, 1600 MELODY LN, LOUISVILLE, KY, 40214
17271, 1600 ORMSBY LN, LOUISVILLE, KY, 40222
17272, 1600 QUARRY HILL RD, LOUISVILLE, KY, 40213
17273, 1600 UPS DR, LOUISVILLE, KY, 40223
17274, 16100 DRY RIDGE RD, LOUISVILLE, KY, 40299
17275, 16300 EASTWOOD CUT OFF RD, LOUISVILLE, KY, 40245
17276, 16700 SUMMIT VISTA WAY, LOUISVILLE, KY, 40245
17277, 16800 ASH GLEN RD, LOUISVILLE, KY, 40245
17278, 16800 POLO FIELDS LN, LOUISVILLE, KY, 40245
17279, 1700 ARNOLD PALMER BLVD, LOUISVILLE, KY, 40245
17280, 1700 BELAY WAY, LOUISVILLE, KY, 40245
17281, 1700 CHEROKEE TER, LOUISVILLE, KY, 40205
17282, 1700 CHESTER RD, LOUISVILLE, KY, 40216
17283, 1700 TARTAN WAY, LOUISVILLE, KY, 40205
17284, 17000 PITON WAY, LOUISVILLE, KY, 40245
17285, 17300 TAYLORSVILLE RD, LOUISVILLE, KY, 40023
17286, 17500 CURRY BRANCH RD, LOUISVILLE, KY, 40245
17287, 17700 CURRY BRANCH RD, LOUISVILLE, KY, 40245
17288, 1800 ARNOLD PALMER BLVD, LOUISVILLE, KY, 40245
17289, 1800 CEDAR ST, LOUISVILLE, KY, 40203
17290, 1800 CLINTON PL, LOUISVILLE, KY, NA
17291, 1800 CONGRESS ST, LOUISVILLE, KY, 40203
17292, 1800 ELITE DR, LOUISVILLE, KY, 40223
17293, 1800 HAMPDEN CT, LOUISVILLE, KY, 40205
17294, 1800 MILITARY AVE, LOUISVILLE, KY, 40242
17295, 1800 NOBEL PL, LOUISVILLE, KY, 40216
17296, 1800 S 20TH ST, LOUISVILLE, KY, 40210
17297, 1900 BALFOUR DR, LOUISVILLE, KY, 40242
17298, 1900 COLONEL SANDERS LN, LOUISVILLE, KY, 40213
17299, 1900 DOROTHY AVE, LOUISVILLE, KY, 40205
17300, 1900 HIKES LN, LOUISVILLE, KY, 40218
17301, 1900 OVERLOOK TER, LOUISVILLE, KY, 40205
17302, 1900 PENILE RD, LOUISVILLE, KY, 40272
17303, 1900 QUARRY ST, LOUISVILLE, KY, 40206
17304, 1900 ROUND RIDGE RD, LOUISVILLE, KY, 40207
17305, 1900 WILLIAMSON CT, LOUISVILLE, KY, 40223
17306, 200 BILTMORE RD, LOUISVILLE, KY, 40207
17307, 200 CAMBRIDGE DR, LOUISVILLE, KY, 40214
17308, 200 E WHITNEY AVE, LOUISVILLE, KY, 40214
17309, 200 ELK RIVER DR, LOUISVILLE, KY, 40214
17310, 200 GIBSON RD, LOUISVILLE, KY, 40207
17311, 200 HARRISON AVE, LOUISVILLE, KY, 40243
17312, 200 JOHNSON RD, LOUISVILLE, KY, 40245
17313, 200 LOGANBERRY CT, LOUISVILLE, KY, 40207
17314, 200 OLD TOWNE RD, LOUISVILLE, KY, 40214
17315, 200 S SHELBY ST, LOUISVILLE, KY, 40206
17316, 200 W WAMPUM AVE, LOUISVILLE, KY, 40214
17317, 2000 AYARS CT, LOUISVILLE, KY, 40218
17318, 2000 BURNETT AVE, LOUISVILLE, KY, 40210
17319, 2000 FAIRWAY VISTA DR, LOUISVILLE, KY, 40245
17320, 2000 FROG POND WAY, LOUISVILLE, KY, 40245
17321, 2000 GLADSTONE AVE, LOUISVILLE, KY, 40205
17322, 2000 HILLCIRCLE RD, LOUISVILLE, KY, 40214
17323, 2000 LAKELAND RD, LOUISVILLE, KY, 40223
17324, 2000 MARYLAND AVE, LOUISVILLE, KY, 40205
17325, 2100 CHALLEDON WAY, LOUISVILLE, KY, 40223
17326, 2100 CLARK STATION RD, LOUISVILLE, KY, 40023
17327, 2100 CLUB VISTA PL, LOUISVILLE, KY, 40245
17328, 2100 DAHLIA AVE, LOUISVILLE, KY, 40205
17329, 2100 GRANGER RD, LOUISVILLE, KY, 40118
17330, 2100 JAPONICA WAY, LOUISVILLE, KY, 40242
17331, 2100 SMITH RD, LOUISVILLE, KY, 40118
17332, 2100 SOUTH PARK RD, LOUISVILLE, KY, 40219
17333, 2100 W BROADWAY, LOUISVILLE, KY, 40203
17334, 2100 WALNUT PL, LOUISVILLE, KY, 40205
17335, 2100 WEBER AVE, LOUISVILLE, KY, 40205
17336, 2200 BILJANA DR, LOUISVILLE, KY, 40206
17337, 2200 CARABINER WAY, LOUISVILLE, KY, 40245
17338, 2200 RIVER RD, LOUISVILLE, KY, 40206
17339, 2200 WESTRIDGE RD, LOUISVILLE, KY, 40242
17340, 2300 CLAYMORE CIR, LOUISVILLE, KY, 40245
17341, 2300 EDDY ST, LOUISVILLE, KY, 40212
17342, 2300 ELMORE ST, LOUISVILLE, KY, 40216
17343, 2300 HIGH PINE DR, LOUISVILLE, KY, 40214
17344, 2300 LANGDON DR, LOUISVILLE, KY, 40242
17345, 2300 LONESOME HOLLOW RD, LOUISVILLE, KY, 40272
17346, 2300 WINSTON AVE, LOUISVILLE, KY, 40205
17347, 2400 ARNOLD PALMER BLVD, LOUISVILLE, KY, 40245
17348, 2400 BRANNING RD, LOUISVILLE, KY, 40222
17349, 2400 CORNWALL ST, LOUISVILLE, KY, 40212
17350, 2400 DEXTER ST, LOUISVILLE, KY, 40216
17351, 2400 LEXFORD CT, LOUISVILLE, KY, 40241
17352, 2400 MANCHESTER RD, LOUISVILLE, KY, 40205
17353, 2400 MARYMOUNT CT, LOUISVILLE, KY, 40241
17354, 2400 PAGE AVE, LOUISVILLE, KY, 40205
17355, 2400 PRESTON HWY, LOUISVILLE, KY, 40217
17356, 2400 STAYTON WAY, LOUISVILLE, KY, 40241
17357, 2500 BAGBY WAY, LOUISVILLE, KY, 40216
17358, 2500 BLANKENBAKER PKY, LOUISVILLE, KY, 40299
17359, 2500 CHEROSEN RD, LOUISVILLE, KY, 40205
17360, 2500 DIXIE HWY, LOUISVILLE, KY, NA
