address_string,n,coords,Latitude,Longitude,"Accuracy Score","Accuracy Type",Number,Street,City,State,County,Zip,Country,Source
"13200 STATE LINE ROAD, KANSAS CITY, MO, 64145",30,,38.889053,-94.608701,1,rooftop,13200,"State Line Rd","Kansas City",MO,,64145,US,"City of Olathe"
"7100 NW 86 TERRACE, KANSAS CITY, MO, 64152",30,,38.969331,-94.505627,0.3,rooftop,7100,"E 86th St","Kansas City",MO,"Jackson County",64138,US,Jackson
"E 3 STREET and GRAND BOULEVARD, KANSAS CITY, MO, 64106",30,,39.110277,-94.581319,1,intersection,,"E 3rd St","Kansas City",MO,"Jackson County",64106,US,"TIGER/Line® dataset from the US Census Bureau"
"INDEPENDENCE AVENUE and VAN BRUNT BOULEVARD, KANSAS CITY, MO, 64124",30,,39.105463,-94.526135,1,intersection,,"Independence Ave","Kansas City",MO,"Jackson County",64124,US,"TIGER/Line® dataset from the US Census Bureau"
"300 EMANUEL CLEAVER II BOULEVARD, KANSAS CITY, MO, 64112",29,,39.041726,-94.583417,0.7,nearest_rooftop_match,303,"Emanuel Cleaver Ii Blvd","Kansas City",MO,"Jackson County",64112,US,"City of Kansas City"
"BROOKLYN AVENUE and E TRUMAN ROAD, KANSAS CITY, MO, 64108",29,,39.09483,-94.55623,0.9,intersection,,"Brooklyn Ave","Kansas City",MO,"Jackson County",64127,US,"TIGER/Line® dataset from the US Census Bureau"
"E 51 STREET and SWOPE PK, KANSAS CITY, MO, 64130",29,,39.033346,-94.542993,1,intersection,,"E 51st St","Kansas City",MO,"Jackson County",64130,US,"TIGER/Line® dataset from the US Census Bureau"
"INDEPENDENCE AVENUE and MONROE AVENUE, KANSAS CITY, MO, 64123",29,,39.105841,-94.537657,0.9,intersection,,"Independence Ave","Kansas City",MO,"Jackson County",64124,US,"TIGER/Line® dataset from the US Census Bureau"
"INDEPENDENCE AVENUE and SPRUCE AVENUE, KANSAS CITY, MO, 64124",29,,39.105657,-94.531904,1,intersection,,"Independence Ave","Kansas City",MO,"Jackson County",64124,US,"TIGER/Line® dataset from the US Census Bureau"
"W 39 STREET and CENTRAL STREET, KANSAS CITY, MO, 64111",29,,39.055797,-94.589513,0.91,intersection,,"Central St","Kansas City",MO,"Jackson County",64111,US,"TIGER/Line® dataset from the US Census Bureau"
"2400 GILLHAM STREET, KANSAS CITY, MO, 64109",28,,39.083362,-94.578991,0.9,range_interpolation,2400,"Gillham Rd","Kansas City",MO,"Jackson County",64108,US,"TIGER/Line® dataset from the US Census Bureau"
"E 55 STREET and BRUCE R WATKINS DR, KANSAS CITY, MO, 64130",28,,39.026457,-94.553147,0.13,intersection,,"E 55th St","Kansas City",MO,"Jackson County",64130,US,"TIGER/Line® dataset from the US Census Bureau"
"E 75 STREET and TROOST AVENUE, KANSAS CITY, MO, 64130",28,,38.991557,-94.57567,0.9,intersection,,"E 75th St","Kansas City",MO,"Jackson County",64131,US,"TIGER/Line® dataset from the US Census Bureau"
"INDEPENDENCE AVENUE and KENSINGTON AVENUE, KANSAS CITY, MO, 64124",28,,39.105623,-94.530709,1,intersection,,"Independence Ave","Kansas City",MO,"Jackson County",64124,US,"TIGER/Line® dataset from the US Census Bureau"
"100 W 10 STREET, KANSAS CITY, MO, 64106",27,,39.102433,-94.581964,1,range_interpolation,100,"W 10th St","Kansas City",MO,"Jackson County",64106,US,"TIGER/Line® dataset from the US Census Bureau"
"BALES AVENUE and INDEPENDENCE AVENUE, KANSAS CITY, MO, 64123",27,,39.106874,-94.540441,0.8,intersection,,"Bales Ave","Kansas City",MO,"Jackson County",64124,US,"TIGER/Line® dataset from the US Census Bureau"
