address_string,n,coords,google_lat,google_lon,centroid
"11600 E US HIGHWAY 40, KANSAS CITY, MO, 64132",13,"39.0458637,-94.4393389",39.0458637,-94.4393389,FALSE
"1500 EMANUEL CLEAVER II BOULEVARD, KANSAS CITY, MO, 64110",13,"39.0427252,-94.5656448",39.0427252,-94.5656448,FALSE
"2000 BROADWAY BOULEVARD, KANSAS CITY, MO, 64106",13,"39.0891225,-94.5892472",39.0891225,-94.5892472,FALSE
"6400 PASEO, KANSAS CITY, MO, 64130",13,"39.0124639,-94.5701037",39.0124639,-94.5701037,FALSE
"9100 N AMBASSADOR DR, KANSAS CITY, MO, 64153",13,"39.2745288,-94.667853",39.2745288,-94.667853,FALSE
"BENTON BOULEVARD and INDEPENDENCE AVENUE, KANSAS CITY, MO, 64123",13,"39.1060927,-94.5443302",39.1060927,-94.5443302,FALSE
"BRUCE R WATKINS DR and E MEYER BOULEVARD, KANSAS CITY, MO, 64130",13,"39.0367464,-94.5424895",39.0367464,-94.5424895,FALSE
"CLEVELAND AVENUE and E GREGORY BOULEVARD, KANSAS CITY, MO, 64130",13,"38.998336,-94.542896",38.998336,-94.542896,FALSE
"DONNELLY AVENUE and WINNER ROAD, KANSAS CITY, MO, 64123",13,"39.1068422,-94.4844156",39.1068422,-94.4844156,FALSE
"E 51 STREET and SWOPE PK, KANSAS CITY, MO, 64130",13,"39.033358,-94.5432852",39.033358,-94.5432852,FALSE
"E 63 STREET and BRUCE R WATKINS DR, KANSAS CITY, MO, 64130",13,"39.073899,-94.5607174",39.073899,-94.5607174,FALSE
"E 63 STREET and TROOST AVENUE, KANSAS CITY, MO, 64130",13,"39.01325,-94.5745694",39.01325,-94.5745694,FALSE
"INDEPENDENCE AVENUE and SPRUCE AVENUE, KANSAS CITY, MO, 64124",13,"39.1056503,-94.5314668",39.1056503,-94.5314668,FALSE
"INDEPENDENCE AVENUE and VAN BRUNT BOULEVARD, KANSAS CITY, MO, 64124",13,"39.1054512,-94.5257322",39.1054512,-94.5257322,FALSE
"W 14 STREET and BALTIMORE AVENUE, KANSAS CITY, MO, 64108",13,"39.0972766,-94.584454",39.0972766,-94.584454,FALSE
"W 30TH STREET and PENN DR, KANSAS CITY, MO, 64108",13,"39.0729065,-94.5903578",39.0729065,-94.5903578,FALSE
"100 ARROWHEAD DR, KANSAS CITY, MO, 64127",12,"39.0469707,-94.4841774",39.0469707,-94.4841774,FALSE
"300 EMANUEL CLEAVER II BOULEVARD, KANSAS CITY, MO, 64112",12,"39.0420549,-94.5836864",39.0420549,-94.5836864,FALSE
"BALES AVENUE and E TRUMAN ROAD, KANSAS CITY, MO,",12,"39.0943483,-94.5412678",39.0943483,-94.5412678,FALSE
"BROOKLYN AVENUE and INDEPENDENCE AVENUE, KANSAS CITY, MO, 64123",12,"39.1064778,-94.5556723",39.1064778,-94.5556723,FALSE
"BRUCE R WATKINS DR and E LINWOOD BOULEVARD, KANSAS CITY, MO, 64109",12,"39.0367464,-94.5424895",39.0367464,-94.5424895,FALSE
"E 18 STREET and FOREST AVENUE, KANSAS CITY, MO, 64106",12,"39.0913389,-94.5689574",39.0913389,-94.5689574,FALSE
"E 31 STREET and VAN BRUNT BOULEVARD, KANSAS CITY, MO, 64129",12,"39.0688228,-94.5210461",39.0688228,-94.5210461,FALSE
"E 39 STREET and US HIGHWAY 71 S, KANSAS CITY, MO, 64130",12,"38.8898307,-94.525584",38.8898307,-94.525584,FALSE
"E 59 STREET and SWOPE PK, KANSAS CITY, MO, 64130",12,"39.0187984,-94.5416752",39.0187984,-94.5416752,FALSE
"E 60 STREET and JACKSON AVENUE, KANSAS CITY, MO, 64130",12,"39.0167884,-94.5372762",39.0167884,-94.5372762,FALSE
"E 63 STREET and SWOPE PK, KANSAS CITY, MO, 64132",12,"39.0119308,-94.5423223",39.0119308,-94.5423223,FALSE
"E 70 STREET and COLLEGE AVENUE, KANSAS CITY, MO, 64131",12,"38.9994883,-94.5486577",38.9994883,-94.5486577,FALSE
"E BANNISTER ROAD and I 435 HIGHWAY, KANSAS CITY, MO, 64137",12,"38.948329,-94.5333829",38.948329,-94.5333829,FALSE
"E MEYER BOULEVARD and PASEO, KANSAS CITY, MO, 64130",12,"39.0105037,-94.5678395",39.0105037,-94.5678395,FALSE
"NE 67 TERRACE and N CYPRESS AVENUE, KANSAS CITY, MO, 64156",12,"39.2163706,-94.5266002",39.2163706,-94.5266002,FALSE
"NE PARVIN ROAD and NE RUSSELL ROAD, KANSAS CITY, MO, 64119",12,"39.1667183,-94.5568301",39.1667183,-94.5568301,FALSE
"NW 79 TERRACE and N AVALON STREET, KANSAS CITY, MO, 64152",12,"39.2386903,-94.6595182",39.2386903,-94.6595182,FALSE
"W 31 STREET and SOUTHWEST TRAFFICWAY, KANSAS CITY, MO, 64111",12,"39.0714115,-94.5946099",39.0714115,-94.5946099,FALSE
"W 40 TERRACE and PENNSYLVANIA AVENUE, KANSAS CITY, MO, 64119",12,"39.0536504,-94.5920784",39.0536504,-94.5920784,FALSE
"10500 HICKMAN MILLS DR, KANSAS CITY, MO, 64134",11,"38.9362977,-94.5286831",38.9362977,-94.5286831,FALSE
"1600 BROADWAY BOULEVARD, KANSAS CITY, MO, 64106",11,"39.095225,-94.5889246",39.095225,-94.5889246,FALSE
"3800 BROADWAY BOULEVARD, KANSAS CITY, MO, 64110",11,"39.0577223,-94.591001",39.0577223,-94.591001,FALSE
"4700 E BANNISTER ROAD, KANSAS CITY, MO, 64134",11,"38.9545008,-94.5351723",38.9545008,-94.5351723,FALSE
"8TH/DENVER, KANSAS CITY, MO, 64127",11,"39.1036412,-94.5524541",39.1036412,-94.5524541,FALSE
"9500 NE MO 152 HIGHWAY, KANSAS CITY, MO, 64157",11,"39.2448943,-94.4637104",39.2448943,-94.4637104,FALSE
"BENTON BOULEVARD and STREET JOHN AVENUE, KANSAS CITY, MO, 64123",11,"39.110866,-94.5439491",39.110866,-94.5439491,FALSE
