address_string,n,coords
"S 13TH ST / W BROADWAY, LOUISVILLE, KY, 40203",154,
"6600 SYLVANIA RD, LOUISVILLE, KY, 40258",152,
"BICKNELL AVE / TAYLOR BLVD, LOUISVILLE, KY, 40215",152,
"E INDIAN TRL / PRESTON HWY, LOUISVILLE, KY, 40219",152,
"N 2ND ST / W MAIN ST, LOUISVILLE, KY, 40202",152,
"S 27TH ST / W BROADWAY, LOUISVILLE, KY, 40211",152,
"S 4TH ST / W LIBERTY ST, LOUISVILLE, KY, 40202",152,
"6500 PARAMOUNT PARK DR, LOUISVILLE, KY, 40213",151,
"S 11TH ST / W BROADWAY, LOUISVILLE, KY, 40203",151,
"S 13TH ST / W MUHAMMAD ALI BLVD, LOUISVILLE, KY, 40203",151,
"DIXIE HWY / PENDLETON RD, LOUISVILLE, KY, 40272",150,
"BARDSTOWN RD / S HURSTBOURNE PKY, LOUISVILLE, KY, 40291",149,
"N 35TH ST / BANK ST, LOUISVILLE, KY, 40212",149,
"N 22ND ST / BANK ST, LOUISVILLE, KY, 40203",148,
"S 13TH ST / W JEFFERSON ST, LOUISVILLE, KY, 40203",146,
"500 PHILLIPS LN, LOUISVILLE, KY, 40209",144,
"S 5TH ST / W CHESTNUT ST, LOUISVILLE, KY, 40202",144,
"S 5TH ST / W LIBERTY ST, LOUISVILLE, KY, 40202",144,
"WF - GREAT LAWN, LOUISVILLE, KY, 40202",144,
"2600 PENNACOOK RD, LOUISVILLE, KY, 40214",141,
"4400 TOWNE CENTER DR, LOUISVILLE, KY, 40241",140,
"4300 TIM TAM TRL, LOUISVILLE, KY, 40272",139,
"NATIONAL TPKE / OUTER LOOP, LOUISVILLE, KY, 40214",139,
"100 POPE ST, LOUISVILLE, KY, 40206",137,
"GRADE LN / PRESTON HWY, LOUISVILLE, KY, 40213",137,
"400 LOUIS COLEMAN JR DR, LOUISVILLE, KY, 40212",136,
"S 26TH ST / W MADISON ST, LOUISVILLE, KY, 40211",136,
"S 4TH ST / W JEFFERSON ST, LOUISVILLE, KY, 40202",136,
"700 S 3RD ST, LOUISVILLE, KY, 40202",135,
"CAMP ST / S PRESTON ST, LOUISVILLE, KY, 40203",135,
"S 1ST ST / E JEFFERSON ST, LOUISVILLE, KY, 40202",135,
"5300 VALKYRIE WAY, LOUISVILLE, KY, 40272",134,
"2700 BROWNSBORO RD, LOUISVILLE, KY, 40206",133,
"4900 CAWOOD DR, LOUISVILLE, KY, 40218",133,
"N HURSTBOURNE PKY / WESTPORT RD, LOUISVILLE, KY, 40241",133,
"S 12TH ST / W MUHAMMAD ALI BLVD, LOUISVILLE, KY, 40203",133,
"S 41ST ST / W MARKET ST, LOUISVILLE, KY, 40212",133,
"W BROADWAY / CECIL AVE, LOUISVILLE, KY, 40211",133,
"1200 SOUTHWESTERN PKY, LOUISVILLE, KY, 40211",132,
"2900 HIKES LN, LOUISVILLE, KY, 40218",132,
"4200 SUMMIT PLAZA DR, LOUISVILLE, KY, 40241",132,
"E BROADWAY / S PRESTON ST, LOUISVILLE, KY, 40202",132,
"3000 CHAMBERLAIN LN, LOUISVILLE, KY, 40241",131,
"S 3RD ST / CENTRAL AVE, LOUISVILLE, KY, 40214",130,
"W BROADWAY / DIXIE HWY, LOUISVILLE, KY, 40203",130,
"3400 COVENTRY COMMONS DR, LOUISVILLE, KY, 40216",129,
"GREENWOOD BOAT RAMP, LOUISVILLE, KY, 40258",128,
"S 28TH ST / W KENTUCKY ST, LOUISVILLE, KY, 40211",128,
"4100 BLUE LICK CT, LOUISVILLE, KY, 40229",127,
"300 E BROADWAY, LOUISVILLE, KY, 40202",126,
"BARDSTOWN RD / EASTERN PKY, LOUISVILLE, KY, 40204",126,
"S 12TH ST / W JEFFERSON ST, LOUISVILLE, KY, 40203",126,
"S 6TH ST / W JEFFERSON ST, LOUISVILLE, KY, 40202",125,
"4300 POPLAR LEVEL RD, LOUISVILLE, KY, 40213",124,
"4600 TIPSY CIR, LOUISVILLE, KY, 40216",124,
"5100 NORTON HEALTHCARE BLVD, LOUISVILLE, KY, 40241",124,
"S CLAY ST / E JACOB ST, LOUISVILLE, KY, 40203",124,
"ALGONQUIN PKY / DIXIE HWY, LOUISVILLE, KY, 40210",123,
"S 4TH ST / CENTRAL AVE, LOUISVILLE, KY, 40208",123,
"S 4TH ST / IOWA AVE, LOUISVILLE, KY, 40208",122,
"900 ESQUIRE ALY, LOUISVILLE, KY, 40203",121,
"3600 BARDSTOWN RD, LOUISVILLE, KY, 40218",120,
"CANE RUN RD / CRUMS LN, LOUISVILLE, KY, 40216",120,
"E BROADWAY / S JACKSON ST, LOUISVILLE, KY, 40202",120,
"N PRESTON ST / E WITHERSPOON ST, LOUISVILLE, KY, 40202",120,
"S 4TH ST, LOUISVILLE, KY, 40208",120,
"2800 FERN VALLEY RD, LOUISVILLE, KY, 40213",119,
"N 26TH ST / BANK ST, LOUISVILLE, KY, 40212",119,
"S 15TH ST / W OAK ST, LOUISVILLE, KY, 40210",119,
"2000 W BROADWAY, LOUISVILLE, KY, 40203",118,
"2400 MCKENDREE CT, LOUISVILLE, KY, 40211",118,
"3600 7TH STREET RD, LOUISVILLE, KY, 40216",118,
"DIXIE HWY / DUMESNIL ST, LOUISVILLE, KY, 40210",118,
"S 18TH ST / W MARKET ST, LOUISVILLE, KY, 40203",118,
"S 22ND ST / W MARKET ST, LOUISVILLE, KY, 40212",118,
"S 32ND ST / GREENWOOD AVE, LOUISVILLE, KY, 40211",118,
"S 38TH ST / W MARKET ST, LOUISVILLE, KY, 40212",118,
"500 LOUIS COLEMAN JR DR, LOUISVILLE, KY, 40211",117,
"DIXIE HWY / W ORMSBY AVE, LOUISVILLE, KY, 40210",116,
"EASTERN PKY / S PRESTON ST, LOUISVILLE, KY, 40217",116,
"S 3RD ST / W BROADWAY, LOUISVILLE, KY, 40202",116,
"1900 W BROADWAY, LOUISVILLE, KY, 40203",115,
"4000 BUECHEL BANK RD, LOUISVILLE, KY, 40225",115,
"BISHOP LN / NEWBURG RD, LOUISVILLE, KY, 40218",115,
"CHAMBERLAIN LN / WESTPORT RD, LOUISVILLE, KY, 40241",115,
"OLEANDA AVE / TAYLOR BLVD, LOUISVILLE, KY, 40215",115,
"1300 ST ANTHONY PL, LOUISVILLE, KY, 40204",114,
"BARDSTOWN RD, LOUISVILLE, KY, 40218",114,
"LOGAN ST / E OAK ST, LOUISVILLE, KY, 40204",114,
"2400 MELLWOOD AVE, LOUISVILLE, KY, 40206",113,
"MCNEELY LAKE PARK, LOUISVILLE, KY, 40229",113,
"4000 CHURCHMAN AVE, LOUISVILLE, KY, 40215",112,
"S 3RD ST / W SOUTHERN HEIGHTS AVE, LOUISVILLE, KY, 40214",112,
"TAYLOR BLVD / WALTER AVE, LOUISVILLE, KY, 40215",112,
"100 SPRING CREEK CT, LOUISVILLE, KY, 40218",111,
"1800 GRAND AVE, LOUISVILLE, KY, 40210",111,
"CLARA AVE / TAYLOR BLVD, LOUISVILLE, KY, 40215",111,
"DIXIE HWY / STANDARD AVE, LOUISVILLE, KY, 40210",111,
"E BROADWAY, LOUISVILLE, KY, 40202",111,
"S 26TH ST / CEDAR ST, LOUISVILLE, KY, 40212",111,
"S 26TH ST / GARLAND AVE, LOUISVILLE, KY, 40211",111,
"N FLOYD ST / E WITHERSPOON ST, LOUISVILLE, KY, 40202",110,
"RIVER RD / E WITHERSPOON ST, LOUISVILLE, KY, 40206",110,
"S 26TH ST / ELLIOTT AVE, LOUISVILLE, KY, 40211",110,
"S FLOYD ST / E OAK ST, LOUISVILLE, KY, 40203",110,
"3600 GREEN MEADOWS DR, LOUISVILLE, KY, 40218",109,
"3800 RIVER PARK DR, LOUISVILLE, KY, 40211",109,
"GAGEL AVE / MANSLICK RD, LOUISVILLE, KY, 40216",109,
"S 2ND ST / W MARKET ST, LOUISVILLE, KY, 40202",109,
"S 4TH ST / W CHESTNUT ST, LOUISVILLE, KY, 40202",109,
"S 9TH ST / W BROADWAY, LOUISVILLE, KY, 40203",109,
"SALE AVE / TAYLOR BLVD, LOUISVILLE, KY, 40215",109,
"1100 S 15TH ST, LOUISVILLE, KY, 40210",108,
"400 E BROADWAY, LOUISVILLE, KY, 40202",108,
"E LIBERTY ST / S PRESTON ST, LOUISVILLE, KY, 40202",108,
"S 3RD ST / W FLORENCE AVE, LOUISVILLE, KY, 40214",108,
"600 BELLAMY CIR, LOUISVILLE, KY, 40208",107,
"S 1ST ST, LOUISVILLE, KY, 40202",107,
"S 4TH ST / W ORMSBY AVE, LOUISVILLE, KY, 40203",107,
"LOUIS COLEMAN JR DR / VERMONT AVE, LOUISVILLE, KY, 40211",106,
"S PRESTON ST / E ST CATHERINE ST, LOUISVILLE, KY, 40203",106,
"1400 BARDSTOWN RD, LOUISVILLE, KY, 40204",105,
"1700 HARROD CT, LOUISVILLE, KY, 40210",105,
"S 19TH ST / W BROADWAY, LOUISVILLE, KY, 40203",105,
"200 RESERVOIR AVE, LOUISVILLE, KY, 40206",104,
"N 26TH ST / SLEVIN ST, LOUISVILLE, KY, 40212",104,
"TAYLOR BLVD / I264, LOUISVILLE, KY, 40215",104,
"9700 DIXIE HWY, LOUISVILLE, KY, 40272",103,
"BARRETT LN / DIXIE HWY, LOUISVILLE, KY, 40272",102,
"W JEFFERSON ST / ROY WILKINS AVE, LOUISVILLE, KY, 40203",102,
"500 W BROADWAY, LOUISVILLE, KY, 40202",101,
"S 2ND ST / W MAGNOLIA AVE, LOUISVILLE, KY, 40208",101,
"S 3RD ST / W MUHAMMAD ALI BLVD, LOUISVILLE, KY, 40202",101,
"BERRY BLVD / GEORGETOWN PL, LOUISVILLE, KY, 40215",100,
"N HURSTBOURNE PKY / SHELBYVILLE RD, LOUISVILLE, KY, 40222",100,
"S 3RD ST / W WHITNEY AVE, LOUISVILLE, KY, 40214",100,
"11300 PRESTON HWY, LOUISVILLE, KY, 40229",99,
"BLUE LICK RD / PRESTON HWY, LOUISVILLE, KY, 40219",99,
"S 11TH ST / W CHESTNUT ST, LOUISVILLE, KY, 40203",99,
"S 22ND ST / W KENTUCKY ST, LOUISVILLE, KY, 40210",99,
"1800 W BROADWAY, LOUISVILLE, KY, 40203",98,
"S 16TH ST / W BROADWAY, LOUISVILLE, KY, 40203",98,
"S 5TH ST / W EVELYN AVE, LOUISVILLE, KY, 40214",98,
"500 E BROADWAY, LOUISVILLE, KY, 40202",97,
"BARDSTOWN RD / FEGENBUSH LN, LOUISVILLE, KY, 40218",97,
"BARRET AVE / E BROADWAY, LOUISVILLE, KY, 40204",97,
"S 13TH ST / PATTON CT, LOUISVILLE, KY, 40210",97,
"1500 W BROADWAY, LOUISVILLE, KY, 40203",96,
"800 W BROADWAY, LOUISVILLE, KY, 40202",96,
"BLUE LICK RD / FREEDOM WAY, LOUISVILLE, KY, 40229",96,
"CECIL AVE / GREENWOOD AVE, LOUISVILLE, KY, 40211",96,
"PRESTON HWY / TRIO AVE, LOUISVILLE, KY, 40219",96,
"S 24TH ST / W MARKET ST, LOUISVILLE, KY, 40212",96,
"S 28TH ST / DUMESNIL ST, LOUISVILLE, KY, 40211",96,
"S 2ND ST / W JEFFERSON ST, LOUISVILLE, KY, 40202",96,
"S 6TH ST / W BROADWAY, LOUISVILLE, KY, 40202",96,
"S FLOYD ST / E ORMSBY AVE, LOUISVILLE, KY, 40203",96,
"1 BRECKINRIDGE SQ, LOUISVILLE, KY, 40220",95,
"1600 PATTON CT, LOUISVILLE, KY, 40210",95,
"N 26TH ST / DUNCAN ST, LOUISVILLE, KY, 40212",95,
"S 26TH ST / W JEFFERSON ST, LOUISVILLE, KY, 40212",95,
"S 2ND ST / W CHESTNUT ST, LOUISVILLE, KY, 40202",95,
"S 32ND ST / W KENTUCKY ST, LOUISVILLE, KY, 40211",95,
"DIXIE HWY / ST LOUIS AVE, LOUISVILLE, KY, 40210",94,
"LOUIS COLEMAN JR DR / RIVER PARK DR, LOUISVILLE, KY, 40211",94,
"S 11TH ST / W JEFFERSON ST, LOUISVILLE, KY, 40203",94,
"1100 MINOR LN, LOUISVILLE, KY, 40219",93,
"E BROADWAY / S FLOYD ST, LOUISVILLE, KY, 40202",93,
"NEW CUT RD / PALATKA RD, LOUISVILLE, KY, 40214",93,
"S 28TH ST / GREENWOOD AVE, LOUISVILLE, KY, 40211",93,
"S 41ST ST / W BROADWAY, LOUISVILLE, KY, 40211",93,
"GILMORE LN / PRESTON HWY, LOUISVILLE, KY, 40213",92,
"N 29TH ST / BANK ST, LOUISVILLE, KY, 40212",92,
"OAKWOOD AVE / TAYLOR BLVD, LOUISVILLE, KY, 40215",92,
"S 10TH ST / W BROADWAY, LOUISVILLE, KY, 40203",92,
"S 7TH ST / W OAK ST, LOUISVILLE, KY, 40203",92,
"3100 S CRUMS LN, LOUISVILLE, KY, 40216",91,
"4300 SUMMIT PLAZA DR, LOUISVILLE, KY, 40241",91,
"5000 SHADY VILLA CT, LOUISVILLE, KY, 40219",91,
"ARCADE AVE / TAYLOR BLVD, LOUISVILLE, KY, 40215",91,
"DIXIE HWY / JOHNSONTOWN RD, LOUISVILLE, KY, 40272",90,
"S 12TH ST / FISK CT, LOUISVILLE, KY, 40203",90,
"S JACKSON ST / E LIBERTY ST, LOUISVILLE, KY, 40202",90,
"9700 BUCKINGHAM DR, LOUISVILLE, KY, 40219",89,
"N 26TH ST / W MAIN ST, LOUISVILLE, KY, 40212",89,
"POPLAR LEVEL RD / RANGELAND RD, LOUISVILLE, KY, 40219",89,
"S 13TH ST / BRASHEAR DR, LOUISVILLE, KY, 40210",89,
"S 1ST ST / E OAK ST, LOUISVILLE, KY, 40203",89,
"S 28TH ST / GARLAND AVE, LOUISVILLE, KY, 40211",89,
"S 7TH ST / INDUSTRY RD, LOUISVILLE, KY, 40208",89,
"2900 DR WILLIAM G WEATHERS DR, LOUISVILLE, KY, 40211",88,
"5300 PLANK DR, LOUISVILLE, KY, 40219",88,
"ACCOMACK DR / WESTPORT RD, LOUISVILLE, KY, 40241",88,
"BARDSTOWN RD / HIKES LN, LOUISVILLE, KY, 40218",88,
"LEXINGTON RD / PAYNE ST, LOUISVILLE, KY, 40206",88,
"S 22ND ST / W CHESTNUT ST, LOUISVILLE, KY, 40211",88,
"S 23RD ST / W BROADWAY, LOUISVILLE, KY, 40211",88,
"S 8TH ST / W BROADWAY, LOUISVILLE, KY, 40202",88,
"BLANKENBAKER PKY / SHELBYVILLE RD, LOUISVILLE, KY, 40243",87,
"BRECKENRIDGE LN / HIKES LN, LOUISVILLE, KY, 40220",87,
"CANE RUN RD / FARNSLEY RD, LOUISVILLE, KY, 40216",87,
"S 22ND ST / STANDARD AVE, LOUISVILLE, KY, 40210",87,
"S 7TH ST / W MUHAMMAD ALI BLVD, LOUISVILLE, KY, 40203",87,
"2100 CARDINAL WOODS DR, LOUISVILLE, KY, 40214",86,
"DRESDEN AVE / TAYLOR BLVD, LOUISVILLE, KY, 40215",86,
"S 10TH ST / W JEFFERSON ST, LOUISVILLE, KY, 40203",86,
"BERRY BLVD / POWELL AVE, LOUISVILLE, KY, 40215",85,
"S 2ND ST / CENTRAL AVE, LOUISVILLE, KY, 40208",85,
"S 32ND ST / W BROADWAY, LOUISVILLE, KY, 40211",85,
"S JACKSON ST / E ST CATHERINE ST, LOUISVILLE, KY, 40203",85,
"11700 GATEWORTH WAY, LOUISVILLE, KY, 40299",84,
"500 S 15TH ST, LOUISVILLE, KY, 40203",84,
"CANE RUN RD / ROCKFORD LN, LOUISVILLE, KY, 40216",84,
"DIXIE HWY / FLOWERVALE LN, LOUISVILLE, KY, 40272",84,
"N 1ST ST / E MAIN ST, LOUISVILLE, KY, 40202",84,
"POPLAR LEVEL RD / SHEPHERDSVILLE RD, LOUISVILLE, KY, 40228",84,
"S 29TH ST / W BROADWAY, LOUISVILLE, KY, 40211",84,
"S 2ND ST / W OAK ST, LOUISVILLE, KY, 40203",84,
"S 4TH ST / M ST, LOUISVILLE, KY, 40208",84,
"S 4TH ST / W MAGNOLIA AVE, LOUISVILLE, KY, 40208",84,
"WF - ORANGE LOT, LOUISVILLE, KY, 40202",84,
"1400 W BROADWAY, LOUISVILLE, KY, 40203",83,
"800 FETTER AVE, LOUISVILLE, KY, 40217",83,
"BLANTON LN / ST ANDREWS CHURCH RD, LOUISVILLE, KY, 40214",83,
"N 21ST ST / DUNCAN ST, LOUISVILLE, KY, 40203",83,
"N 22ND ST / DUNCAN ST, LOUISVILLE, KY, 40212",83,
"S 11TH ST / CEDAR CT, LOUISVILLE, KY, 40203",83,
"S 38TH ST / W BROADWAY, LOUISVILLE, KY, 40211",83,
"300 S 10TH ST, LOUISVILLE, KY, 40203",82,
"E JEFFERSON ST / S PRESTON ST, LOUISVILLE, KY, 40202",82,
"FREYS HILL RD / WESTPORT RD, LOUISVILLE, KY, 40241",82,
"S 5TH ST / W BROADWAY, LOUISVILLE, KY, 40202",82,
"S 7TH ST / W BROADWAY, LOUISVILLE, KY, 40202",82,
"STRADER AVE / TAYLOR BLVD, LOUISVILLE, KY, 40215",82,
"W MARKET ST / ROY WILKINS AVE, LOUISVILLE, KY, 40202",82,
"1100 BERRY BLVD, LOUISVILLE, KY, 40215",81,
"2500 BROWNSBORO RD, LOUISVILLE, KY, 40206",81,
"5200 RANGELAND RD, LOUISVILLE, KY, 40219",81,
"LYNNHURST AVE / TAYLOR BLVD, LOUISVILLE, KY, 40215",81,
"WF - BIG FOUR BRIDGE, LOUISVILLE, KY, 40206",81,
"BRECKENRIDGE LN / TAYLORSVILLE RD, LOUISVILLE, KY, 40220",80,
"N 22ND ST / NORTHWESTERN PKY, LOUISVILLE, KY, 40212",80,
"S 22ND ST / W JEFFERSON ST, LOUISVILLE, KY, 40212",80,
"S 26TH ST / MAPLE ST, LOUISVILLE, KY, 40211",80,
