address_string,n,coords
"3800 PARK AVENUE, KANSAS CITY, MO, 64124",4,
"3800 STATE LINE ROAD, KANSAS CITY, MO, 64111",4,
"3900 N RANDOLPH ROAD, KANSAS CITY, MO, 64161",4,
"3900 SOUTH BENTON AVENUE, KANSAS CITY, MO, 64128",4,
"400 NE BARRY ROAD, KANSAS CITY, MO, 64118",4,
"4000 BLUE RIDGE COURT, KANSAS CITY, MO, 64130",4,
"4000 N OAK TRAFFICWAY, KANSAS CITY, MO, 64118",4,
"4100 NW 79 TERRACE, KANSAS CITY, MO, 64118",4,
"4200 N LOCUST STREET, KANSAS CITY, MO, 64118",4,
"4200 N NEWTON AVENUE, KANSAS CITY, MO, 64119",4,
"4200 N OAK TRAFFICWAY, KANSAS CITY, MO, 64118",4,
"4400 N INDIANA AVENUE, KANSAS CITY, MO, 64119",4,
"4400 RAYTOWN ROAD, KANSAS CITY, MO, 64133",4,
"4500 BLUE RIDGE COURT, KANSAS CITY, MO, 64133",4,
"4500 COLONIAL TERRACE, KANSAS CITY, MO, 64133",4,
"4800 BLUE RIDGE COURT, KANSAS CITY, MO, 64130",4,
"500 MAPLE STREET, LEAVENWORTH, MO, 64106",4,
"500 NE BARRY ROAD, KANSAS CITY, MO, 64119",4,
"5100 BLUE RIDGE COURT, KANSAS CITY, MO, 64133",4,
"5300 BUDD PARK ESPLANADE, KANSAS CITY, MO, 64123",4,
"5400 E TRUMAN ROAD, KANSAS CITY, MO, 64126",4,
"5500 E 19TH TER, KANSAS CITY, MO, 64127",4,
"5500 E BANNISTER ROAD, KANSAS CITY, MO, 64131",4,
"5500 E BANNISTER ROAD, KANSAS CITY, MO, 64134",4,
"5500 E BANNISTER ROAD, KANSAS CITY, MO, 64138",4,
"5600 E TRUMAN ROAD, KANSAS CITY, MO, 64126",4,
"5800 BLUE PK, KANSAS CITY, MO, 64130",4,
"6 and CYPRESS AVENUE, KANSAS CITY, MO, 64124",4,
"600 BROADWAY, KANSAS CITY, MO, 64106",4,
