address_string,n,coords,google_lat,google_lon,centroid
"5400 INDIAN OAKS CIR, LOUISVILLE, KY, 40213",195,"38.1697479,-85.6869228",38.1697479,-85.6869228,FALSE
"BLUE LICK RD / SOUTH PARK RD, LOUISVILLE, KY, 40219",193,"38.1163797,-85.6895342",38.1163797,-85.6895342,FALSE
"S 17TH ST / W BROADWAY, LOUISVILLE, KY, 40203",192,"38.2487088,-85.779855",38.2487088,-85.779855,FALSE
"1000 W BROADWAY, LOUISVILLE, KY, 40203",190,"38.2466991,-85.7688272",38.2466991,-85.7688272,FALSE
"E BROADWAY / S BROOK ST, LOUISVILLE, KY, 40202",190,"38.245591,-85.7517217",38.245591,-85.7517217,FALSE
"600 LOUIS COLEMAN JR DR, LOUISVILLE, KY, 40211",188,"38.2544524,-85.8075682",38.2544524,-85.8075682,FALSE
"E OAK ST / S PRESTON ST, LOUISVILLE, KY, 40203",184,"38.2340582,-85.7494816",38.2340582,-85.7494816,FALSE
"S 26TH ST / W MUHAMMAD ALI BLVD, LOUISVILLE, KY, 40212",183,"38.2551991,-85.7942607",38.2551991,-85.7942607,FALSE
"ALGONQUIN PKY / CANE RUN RD, LOUISVILLE, KY, 40211",180,"38.2243644,-85.8093631",38.2243644,-85.8093631,FALSE
"S 11TH ST / W MUHAMMAD ALI BLVD, LOUISVILLE, KY, 40203",179,"38.252407,-85.7690679",38.252407,-85.7690679,FALSE
"3500 W BROADWAY, LOUISVILLE, KY, 40211",178,"38.2495819,-85.809989",38.2495819,-85.809989,FALSE
"9600 WHIPPS MILL RD, LOUISVILLE, KY, 40242",178,"38.2708276,-85.57395",38.2708276,-85.57395,FALSE
"S 12TH ST / W HILL ST, LOUISVILLE, KY, 40210",178,"38.2274261,-85.7751628",38.2274261,-85.7751628,FALSE
"S 4TH ST / W MUHAMMAD ALI BLVD, LOUISVILLE, KY, 40202",178,"38.2511292,-85.7574816",38.2511292,-85.7574816,FALSE
"1 ARENA PLZ, LOUISVILLE, KY, 40202",176,"38.2577834,-85.7538323",38.2577834,-85.7538323,FALSE
"100 RIVER RD, LOUISVILLE, KY, 40202",176,"38.258708,-85.752716",38.258708,-85.752716,FALSE
"S 15TH ST / W JEFFERSON ST, LOUISVILLE, KY, 40203",176,"38.255837,-85.7752341",38.255837,-85.7752341,FALSE
"400 WEST CT, LOUISVILLE, KY, 40203",175,"38.2542241,-85.7680321",38.2542241,-85.7680321,FALSE
"9800 VIEUX CARRE DR, LOUISVILLE, KY, 40223",173,"38.2416825,-85.575257",38.2416825,-85.575257,FALSE
"BLUEGRASS AVE / TAYLOR BLVD, LOUISVILLE, KY, 40215",171,"38.1796132,-85.7832782",38.1796132,-85.7832782,FALSE
