id,o_address,o_city,o_state,o_zip,status,quality,m_address,m_city,m_state,m_zip,long,lat,not_sure,L_R
25098,200 WESTWOOD DR,LOUISVILLE,KY,40243,Match,Exact,200 Westwood Dr,LOUISVILLE,KY,40243,-85.53212,38.24142,96865818,R
25091,200 S BROOK ST,LOUISVILLE,KY,40202,No_Match,,,,,,,,,
25090,200 S 22ND ST,LOUISVILLE,KY,40212,Match,Non_Exact,200 S 22nd St,LOUISVILLE,KY,40211,-85.786835,38.257107,96841745,R
25093,200 SMITHFIELD RD,LOUISVILLE,KY,40207,Match,Exact,200 Smithfield Rd,LOUISVILLE,KY,40207,-85.65,38.2802,96854391,L
25092,200 S SHERRIN AVE,LOUISVILLE,KY,40207,Match,Exact,200 S Sherrin Ave,LOUISVILLE,KY,40207,-85.64795,38.25058,96854896,R
25507,3800 GREENHURST DR,LOUISVILLE,KY,40299,Match,Exact,3800 Greenhurst Dr,LOUISVILLE,KY,40299,-85.60807,38.19299,96890157,R
25749,4800 FLUSHING WAY,LOUISVILLE,KY,40272,Match,Exact,4800 Flushing Way,LOUISVILLE,KY,40272,-85.85115,38.09989,96881845,L
25506,3800 GARWOOD PL,LOUISVILLE,KY,40241,Match,Exact,3800 Garwood Pl,LOUISVILLE,KY,40241,-85.5762,38.30211,96897967,R
25748,4800 FAWN MEADOW CT,LOUISVILLE,KY,40241,Match,Exact,4800 Fawn Meadow Ct,LOUISVILLE,KY,40241,-85.59991,38.3168,96892948,L
25509,3800 KARMA WAY,LOUISVILLE,KY,40241,Match,Exact,3800 Karma Way,LOUISVILLE,KY,40241,-85.60396,38.304928,96862312,L
25508,3800 HUNSINGER LN,LOUISVILLE,KY,40220,Match,Exact,3800 Hunsinger Ln,LOUISVILLE,KY,40220,-85.622116,38.20711,96857409,R
25741,4700 WOLFCREEK PKY,LOUISVILLE,KY,40241,Match,Exact,4700 Wolfcreek Pkwy,LOUISVILLE,KY,40241,-85.60358,38.315063,96914488,R
25983,6300 FARIS WAY,LOUISVILLE,KY,40272,Match,Exact,6300 Faris Way,LOUISVILLE,KY,40272,-85.88024,38.097748,96891930,L
25740,4700 WALNUT HILLS DR,LOUISVILLE,KY,40299,Match,Exact,4700 Walnut Hills Dr,LOUISVILLE,KY,40299,-85.609505,38.18083,96880568,R
25982,6300 DREAM LAKE DR,LOUISVILLE,KY,40216,Match,Exact,6300 Dream Lake Dr,LOUISVILLE,KY,40216,-85.8663,38.204155,96835831,R
25501,3707 GREENWOOD AVE,LOUISVILLE,KY,NA,No_Match,,,,,,,,,
25743,4800 BRENDA DR,LOUISVILLE,KY,40213,Match,Non_Exact,4800 Brenda Dr,LOUISVILLE,KY,40219,-85.672424,38.174374,612533424,L
