id,o_address,o_city,o_state,o_zip,status,quality,m_address,m_city,m_state,m_zip,long,lat,not_sure,L_R
1700,2600 NE 43 STREET,KANSAS CITY,MO,64116,Match,Non_Exact,2600 NE 43rd St,KANSAS CITY,MO,64117,-94.54887,39.17152,89758064,L
1701,2900 NE 102 TERRACE,KANSAS CITY,MO,64155,Match,Non_Exact,2900 NE 102nd Ter,KANSAS CITY,MO,64156,-94.54281,39.279995,627810160,R
1307,5500 HIGHLAND AVENUE,KANSAS CITY,MO,64131,Match,Non_Exact,5500 Highland Ave,KANSAS CITY,MO,64110,-94.56568,39.026814,91452471,R
1306,5500 E TRUMAN ROAD,KANSAS CITY,MO,64126,No_Match,,,,,,,,,
1309,5600 E 101 TERRACE,KANSAS CITY,MO,64137,Match,Exact,5600 E 101 Ter,KANSAS CITY,MO,64137,-94.52497,38.941135,91458102,L
1308,5500 OAK STREET,KANSAS CITY,MO,64110,Match,Non_Exact,5500 Oak St,KANSAS CITY,MO,64113,-94.58309,39.027466,91448220,R
1301,5200 WORNALL ROAD,KANSAS CITY,MO,64114,Match,Non_Exact,5200 Wornall Rd,KANSAS CITY,MO,64113,-94.59213,39.032246,91447141,R
1300,5200 E 40 TERRACE,KANSAS CITY,MO,64128,Match,Non_Exact,5200 E 40 Ter,KANSAS CITY,MO,64130,-94.52366,39.0521,91453198,L
1303,5300 N CHOUTEAU TRAFFICWAY,KANSAS CITY,MO,64117,Match,Non_Exact,5300 N Chouteau Trfy,KANSAS CITY,MO,64119,-94.545456,39.189236,89785801,L
1302,5200 WORNALL ROAD,KANSAS CITY,MO,64131,Match,Non_Exact,5200 Wornall Rd,KANSAS CITY,MO,64113,-94.59213,39.032246,91447141,R
1305,5500 BONITA AVENUE,KANSAS CITY,MO,64127,Match,Non_Exact,5500 Bonita Ave,KANSAS CITY,MO,64128,-94.5192,39.07385,91451646,L
1304,5400 N ANTIOCH ROAD,KANSAS CITY,MO,64118,Match,Non_Exact,5400 N Antioch Rd,KANSAS CITY,MO,64119,-94.54873,39.192085,89757609,L
2000,1100 E 81 STREET,KANSAS CITY,MO,64132,Match,Non_Exact,1100 E 81 St,KANSAS CITY,MO,64131,-94.57615,38.981544,91495916,L
1523,E 58 STREET and WABASH AVENUE,KANSAS CITY,MO,64130,Match,Exact,E 58th St & Wabash Ave,KANSAS CITY,MO,64130,-94.5567,39.021168,"",""
1522,E 58 STREET and SWOPE PK,KANSAS CITY,MO,64130,No_Match,,,,,,,,,
