id,o_address,o_city,o_state,o_zip,status,quality,m_address,m_city,m_state,m_zip,long,lat,not_sure,L_R
2016,HARDESTY AVENUE and STREET JOHN AVENUE,KANSAS CITY,MO,64124,No_Match,,,,,,,,,
2258,E 18 STREET and GRAND BOULEVARD,KANSAS CITY,MO,64105,No_Match,,,,,,,,,
2015,GRAND BOULEVARD and E TRUMAN ROAD,KANSAS CITY,MO,64111,No_Match,,,,,,,,,
2257,E 18 STREET and BENTON BOULEVARD,KANSAS CITY,MO,64124,No_Match,,,,,,,,,
2499,2300 E 85 STREET,KANSAS CITY,MO,64131,Match,Non_Exact,2300 E 85 St,KANSAS CITY,MO,64132,-94.56157,38.972836,91457164,L
2014,GLADSTONE BOULEVARD and STREET JOHN AVENUE,KANSAS CITY,MO,64124,No_Match,,,,,,,,,
2256,E 13 STREET and PASEO,KANSAS CITY,MO,64106,Tie,,,,,,,,,
2498,2300 E 28 STREET,KANSAS CITY,MO,64127,Match,Non_Exact,2300 E 28 St,KANSAS CITY,MO,64109,-94.55597,39.07544,91449854,L
2013,GLADSTONE BOULEVARD and INDEPENDENCE AVENUE,KANSAS CITY,MO,64106,No_Match,,,,,,,,,
2255,E 13 STREET and BENTON BOULEVARD,KANSAS CITY,MO,64127,Match,Exact,E 13th St & Benton Blvd,KANSAS CITY,MO,64127,-94.54454,39.09725,"",""
2497,2200 NW BARRY ROAD,KANSAS CITY,MO,64155,Match,Non_Exact,2200 NW Barry Rd,KANSAS CITY,MO,64154,-94.60588,39.2464,39714374,R
2034,INDEPENDENCE AVENUE and WHITE AVENUE,KANSAS CITY,MO,64128,No_Match,,,,,,,,,
2276,E 28 STREET and PROSPECT AVENUE,KANSAS CITY,MO,64128,Tie,,,,,,,,,
2033,INDEPENDENCE AVENUE and WHITE AVENUE,KANSAS CITY,MO,64124,No_Match,,,,,,,,,
2275,E 27 STREET and VAN BRUNT BOULEVARD,KANSAS CITY,MO,64128,Match,Non_Exact,E 27 Ter & Van Brunt Blvd,KANSAS CITY,MO,64128,-94.520294,39.075325,"",""
2032,INDEPENDENCE AVENUE and VIRGINIA AVENUE,KANSAS CITY,MO,64106,Match,Exact,Independence Ave & Virginia Ave,KANSAS CITY,MO,64106,-94.56588,39.10687,"",""
2274,E 27 STREET and PROSPECT AVENUE,KANSAS CITY,MO,64110,No_Match,,,,,,,,,
2031,INDEPENDENCE AVENUE and VAN BRUNT BOULEVARD,KANSAS CITY,MO,64123,Tie,,,,,,,,,
2273,E 27 STREET and PASEO,KANSAS CITY,MO,64109,Match,Non_Exact,E 27th Ter & The Paseo,KANSAS CITY,MO,64109,-94.56518,39.076797,"",""
2030,INDEPENDENCE AVENUE and SPRUCE AVENUE,KANSAS CITY,MO,64127,Tie,,,,,,,,,
2272,E 27 STREET and INDIANA AVENUE,KANSAS CITY,MO,64130,No_Match,,,,,,,,,
2271,E 27 STREET and DRURY AVENUE,KANSAS CITY,MO,64127,Match,Exact,E 27 St & Drury Ave,KANSAS CITY,MO,64127,-94.5191,39.07603,"",""
2270,E 27 STREET and BALES AVENUE,KANSAS CITY,MO,64127,Match,Exact,E 27 St & Bales Ave,KANSAS CITY,MO,64127,-94.54213,39.076736,"",""
2029,INDEPENDENCE AVENUE and OLIVE STREET,KANSAS CITY,MO,64127,Tie,,,,,,,,,
2028,INDEPENDENCE AVENUE and OLIVE STREET,KANSAS CITY,MO,64106,Tie,,,,,,,,,
2027,INDEPENDENCE AVENUE and LAWNDALE AVENUE,KANSAS CITY,MO,64124,Match,Non_Exact,Independence Ave & Lawndale Ave,KANSAS CITY,MO,64124,-94.51559,39.105076,"",""
2269,E 26 STREET and DENVER AVENUE,KANSAS CITY,MO,64127,Match,Exact,E 26 St & Denver Ave,KANSAS CITY,MO,64127,-94.52253,39.077927,"",""
2026,INDEPENDENCE AVENUE and INDIANA AVENUE,KANSAS CITY,MO,64127,Tie,,,,,,,,,
2268,E 26 STREET and BRIGHTON AVENUE,KANSAS CITY,MO,64127,Match,Exact,E 26th St & Brighton Ave,KANSAS CITY,MO,64127,-94.524765,39.078,"",""
2025,I 70 HIGHWAY ON RA and PASEO,KANSAS CITY,MO,64106,No_Match,,,,,,,,,
2267,E 22 STREET and PASEO,KANSAS CITY,MO,64109,No_Match,,,,,,,,,
2024,I 70 HIGHWAY and STERLING AVENUE,KANSAS CITY,MO,64130,No_Match,,,,,,,,,
2266,E 22 STREET and HOLMES STREET,KANSAS CITY,MO,64108,Match,Exact,E 22 St & Holmes St,KANSAS CITY,MO,64108,-94.57573,39.086365,"",""
2045,N BRIGHTON AVENUE and NE PLEASANT VALLEY ROAD,KANSAS CITY,MO,64119,Match,Exact,N Brighton Ave & NE Pleasant Valley Rd,KANSAS CITY,MO,64119,-94.52095,39.213936,"",""
2287,E 35 STREET and JACKSON AVENUE,KANSAS CITY,MO,64128,Match,Exact,E 35 St & Jackson Ave,KANSAS CITY,MO,64128,-94.53478,39.062065,"",""
2044,N ARLINGTON AVENUE and NE PARVIN ROAD,KANSAS CITY,MO,64161,No_Match,,,,,,,,,
2286,E 35 STREET and BROOKLYN AVENUE,KANSAS CITY,MO,64109,Match,Exact,E 35th St & Brooklyn Ave,KANSAS CITY,MO,64109,-94.55784,39.06277,"",""
2043,MONROE AVENUE and STREET JOHN AVENUE,KANSAS CITY,MO,64123,No_Match,,,,,,,,,
2285,E 34 STREET and TRACY AVENUE,KANSAS CITY,MO,64109,Match,Exact,E 34 St & Tracy Ave,KANSAS CITY,MO,64109,-94.56941,39.064964,"",""
2042,MILL STREET and WESTPORT ROAD,KANSAS CITY,MO,64116,No_Match,,,,,,,,,
2284,E 34 STREET and PASEO,KANSAS CITY,MO,64111,No_Match,,,,,,,,,
2041,MANHEIM ROAD and TROOST AVENUE,KANSAS CITY,MO,64113,Tie,,,,,,,,,
2283,E 34 STREET and HARRISON STREET,KANSAS CITY,MO,64109,Tie,,,,,,,,,
2040,MANCHESTER AVENUE and WINNER ROAD,KANSAS CITY,MO,64123,No_Match,,,,,,,,,
2282,E 34 STREET and AGNES AVENUE,KANSAS CITY,MO,64128,Match,Exact,E 34 St & Agnes Ave,KANSAS CITY,MO,64128,-94.5485,39.06429,"",""
2281,E 31 STREET and E LINWOOD BOULEVARD,KANSAS CITY,MO,64127,No_Match,,,,,,,,,
2280,E 3 STREET and HOLMES STREET,KANSAS CITY,MO,64106,Match,Exact,E 3 St & Holmes St,KANSAS CITY,MO,64106,-94.57632,39.11128,"",""
2039,MAIN STREET and E PERSHING ROAD,KANSAS CITY,MO,"",Tie,,,,,,,,,
2038,LONGVIEW ROAD and US HIGHWAY 71,KANSAS CITY,MO,64134,Tie,,,,,,,,,
2037,LAWNDALE AVENUE and SMART AVENUE,KANSAS CITY,MO,64124,No_Match,,,,,,,,,
2279,E 3 STREET and GRAND BOULEVARD,KANSAS CITY,MO,64105,Tie,,,,,,,,,
2036,LAWNDALE AVENUE and E TRUMAN ROAD,KANSAS CITY,MO,64126,No_Match,,,,,,,,,
2278,E 29 STREET and WALROND AVENUE,KANSAS CITY,MO,64128,Match,Exact,E 29 St & Walrond Ave,KANSAS CITY,MO,64128,-94.54616,39.07247,"",""
2035,INDIANA AVENUE and E MEYER BOULEVARD,KANSAS CITY,MO,64132,Tie,,,,,,,,,
2277,E 29 STREET and INDIANA AVENUE,KANSAS CITY,MO,64128,Tie,,,,,,,,,
2290,E 36 STREET and ELMWOOD AVENUE,KANSAS CITY,MO,64128,Match,Exact,E 36 St & Elmwood Ave,KANSAS CITY,MO,64128,-94.53026,39.060116,"",""
2056,NE 91 TERRACE and N GLENWOOD AVENUE,KANSAS CITY,MO,64156,No_Match,,,,,,,,,
2298,E 43 STREET and CHESTNUT AVENUE,KANSAS CITY,MO,64130,Match,Exact,E 43rd St & Chestnut Ave,KANSAS CITY,MO,64130,-94.55167,39.04815,"",""
2055,NE 79 STREET and N FLINTLOCK ROAD,KANSAS CITY,MO,64158,No_Match,,,,,,,,,
2297,E 43 STREET and CARLISLE,KANSAS CITY,MO,64133,Match,Non_Exact,E 43 St & Carlisle St,KANSAS CITY,MO,64133,-94.44486,39.044014,"",""
2054,NE 49 STREET and N DENVER AVENUE,KANSAS CITY,MO,64119,Match,Exact,NE 49th St & N Denver Ave,KANSAS CITY,MO,64119,-94.51894,39.18254,"",""
2296,E 43 STREET and BENTON BOULEVARD,KANSAS CITY,MO,64130,Match,Exact,E 43 St & Benton Blvd,KANSAS CITY,MO,64130,-94.54709,39.04797,"",""
2053,NE 48 STREET and N OAKLEY AVENUE,KANSAS CITY,MO,64119,Match,Exact,NE 48th St & N Oakley Ave,KANSAS CITY,MO,64119,-94.513954,39.18058,"",""
2295,E 39 STREET and GARFIELD AVENUE,KANSAS CITY,MO,64130,Match,Non_Exact,E 39 St & Garfield Ave,KANSAS CITY,MO,64109,-94.55936,39.055634,"",""
2052,NE 47 STREET and N ANTIOCH ROAD,KANSAS CITY,MO,64119,Tie,,,,,,,,,
2294,E 39 STREET and CHARLOTTE STREET,KANSAS CITY,MO,64110,Match,Non_Exact,E 39 St & Charlotte St,KANSAS CITY,MO,64109,-94.57564,39.05621,"",""
2051,NE 42 STREET and N OAK TRAFFICWAY,KANSAS CITY,MO,64116,Match,Non_Exact,NE 42nd St & N Oak Fwy,KANSAS CITY,MO,64116,-94.57675,39.170345,"",""
2293,E 39 STREET and CAMPBELL STREET,KANSAS CITY,MO,64110,Match,Non_Exact,E 39th St & Campbell St,KANSAS CITY,MO,64109,-94.57447,39.056168,"",""
2050,N NORTON AVENUE and NE VIVION ROAD,KANSAS CITY,MO,64119,Match,Exact,N Norton Ave & NE Vivion Rd,KANSAS CITY,MO,64119,-94.531845,39.188015,"",""
2292,E 37 STREET and SOUTH BENTON AVENUE,KANSAS CITY,MO,64127,No_Match,,,,,,,,,
2291,E 36 STREET and MAIN STREET,KANSAS CITY,MO,64111,Match,Exact,E 36 St & Main St,KANSAS CITY,MO,64111,-94.585785,39.061985,"",""
