BLOCK_ADDRESS,2009,2010,2011,2012,2013,2014,2015,2016,2017,Total
W HILL ST/25TH,,,,,,,,,2,2
W INDIAN TRL / KRASHEY WAY,,1,1,,,,,,,2
W JEFFERSON ST / S 15TH ST,,2,,,,,,,,2
W KENTUCKY ST / DR W J HODGE ST,,,2,,,,,,,2
W KENWOOD DR / LAUGHLIN AVE,,,2,,,,,,,2
W KENWOOD WAY / W WOODLAWN AVE,,,,2,,,,,,2
W LIBERTY ST / S 4TH ST,,,1,1,,,,,,2
W MADISON ST,1,,,,,,,,1,2
W MAIN ST / CLARK MEMORIAL BRG,,,2,,,,,,,2
W MAIN ST / N 2ND ST,,1,1,,,,,,,2
W MARKET ST / S 18TH ST,,,2,,,,,,,2
W MARKET ST / S 2ND ST,1,1,,,,,,,,2
W MARKET ST / S 38TH ST,,,2,,,,,,,2
W MARKET ST / S 43RD ST,2,,,,,,,,,2
W MARKET ST / S 46TH ST,,1,1,,,,,,,2
W MUHAMMAD ALI BLVD / S 10TH ST,2,,,,,,,,,2
W MUHAMMAD ALI BLVD / S 32ND ST,,2,,,,,,,,2
W MUHAMMAD ALI BLVD / S 35TH ST,,2,,,,,,,,2
W MUHAMMAD ALI BLVD / S 4TH ST,1,1,,,,,,,,2
W ORMSBY AVE / DIXIE HWY,2,,,,,,,,,2
W ORMSBY AVE / S 22ND ST,,1,1,,,,,,,2
W PAGES LN / THOMPSON LN,1,,1,,,,,,,2
W PAGES LN / WALKER RD,,2,,,,,,,,2
W RIVER RD / RIVER RD,1,,1,,,,,,,2
W ST CATHERINE ST / DIXIE HWY,,,2,,,,,,,2
W ST CATHERINE ST/ DIXIE HWY,,2,,,,,,,,2
W WHITNEY AVE / S 1ST ST,2,,,,,,,,,2
WALTER AVE / TAYLOR BLVD,2,,,,,,,,,2
WESTPORT RD / HERR LN,,1,1,,,,,,,2
WETHERBY AVE / N MADISON AVE,,,2,,,,,,,2
WF - BELVEDERE CONNECTOR,,,,,,,1,,1,2
WF - BLUE LOT,,,,,2,,,,,2
WF - DOCK AMPHITHEATER,,,,,,,,,2,2
WF - LINCOLN AMPHITHEATER,,1,,,,,,1,,2
WICKFIELD CT / WICKFIELD DR,,2,,,,,,,,2
WILSON AVE / OLIVE ST,2,,,,,,,,,2
WILSON AVE / TEMPLE ST,2,,,,,,,,,2
WINN AVE / SOUTHERN PKY,2,,,,,,,,,2
WINTER AVE / GRINSTEAD DR,2,,,,,,,,,2
WINTERLEAF DR / PEPPERBUSH RD,,2,,,,,,,,2
WOOD HOLLOW RD / WOODSEND RD,,1,,,,,,,1,2
WOODFORD PL / SPRING DR,,,2,,,,,,,2
ZORN AVE / I 71 RAMP,1,1,,,,,,,,2
ZORN AVE / JARVIS LN,,2,,,,,,,,2
ZORN AVE / RIEDLING DR,1,,1,,,,,,,2
.2 I71S,1,,,,,,,,,1
1 / I64,,1,,,,,,,,1
1 ARENA PLAZA,,,,,,,,,1,1
1 BAYSIDE VILLAGE PLACE,,,,,1,,,,,1
1 BERSHEBA LN,,,,,,,,,1,1
1 CALEDONIA AVE,1,,,,,,,,,1
1 COLONIAL OAKS,,,,,,,,,1,1
1 CREEKSIDE CT,,1,,,,,,,,1
1 GALT STREET,,,,,,1,,,,1
1 GLEN ARDEN RD,,,1,,,,,,,1
1 HENRY AVE,,,,,,,,,1,1
1 HOLIDAY PARK,,,,1,,,,,,1
1 HOLLY TREE LN,,,,,,,,1,,1
1 I 64 RAMP,1,,,,,,,,,1
1 MUIRFIELD PL,,,,,,,,,1,1
1 PIN OAK LN,,,,1,,,,,,1
1.8 I71N,,,,,,,,,1,1
10.6 I71S,,,,,,,1,,,1
100 28TH ST,,,,,,,,,1,1
100 ANNA DR,,,,1,,,,,,1
100 BECKLEY WOODS DR,,,,1,,,,,,1
100 BRIARWOOD LN,,,,,,,,,1,1
100 BROADWAY #802,,,,,,,,,1,1
100 CAMBRIDGE STATION RD,,,,,,,,,1,1
100 CANAL ST,1,,,,,,,,,1
100 CHAPEL ST,1,,,,,,,,,1
100 CLARLAND DR,1,,,,,,,,,1
100 COLLEGE ST,,,,,,,,,1,1
100 CORAL AVE #1 AVE,,,1,,,,,,,1
100 CREEKVIEW,,,,1,,,,,,1
100 DISTILLERY COMMONS,,,,,,,,,1,1
100 E CARDINAL BLVD,1,,,,,,,,,1
100 E GAULBERT AVE,,,,1,,,,,,1
100 E MUHAMMAD ALI BLVD,,1,,,,,,,,1
100 EASTOVER CT,,1,,,,,,,,1
100 FAIRLAWN RD,,,1,,,,,,,1
100 HARRISON AVE,,,,,,,,,1,1
100 HERITAGE HILL CT,,,,,,,,,1,1
100 HILLSIDE WAY,,,1,,,,,,,1
100 HOLLEY RD,,,1,,,,,,,1
100 I 264 WEST,1,,,,,,,,,1
100 I 65 NORTH,,,,,,,,,1,1
100 KINGSTON AVE,,1,,,,,,,,1
100 LAURIE VALLEE DR,,,,,,,,,1,1
100 LAURIE VALLEE RD,,,,,,,,,1,1
100 N WHITTINGTON PKY,,,1,,,,,,,1
100 OMICRON CT,,,,,,,,,1,1
100 OXFORD PL,,,,1,,,,,,1
100 PEMBRIDGE CT,,,,,,,,,1,1
100 ROCKCREST WAY,,,,,,1,,,,1
100 S BECKLEY STATION RD,,,1,,,,,,,1
100 S HANCOCK ST,,,,1,,,,,,1
100 S HUBBARDS LN,,,1,,,,,,,1
100 S JOHNSON ST,1,,,,,,,,,1
100 S PRESTON ST,,,1,,,,,,,1
100 SEARS AVE,,,1,,,,,,,1
100 SOUTHLAND BLV,,1,,,,,,,,1
100 TRAVOIS RD,1,,,,,,,,,1
100 W BRANDEIS AVE,,,1,,,,,,,1
100 WILCHAR BLVD,,,,1,,,,,,1
100 WILLIS,,,,1,,,,,,1
1000 6TH ST,,,,,,,,,1,1
1000 AMBRIDGE DR,1,,,,,,,,,1
1000 AUTUMN CREST LN,,,,,,,,,1,1
1000 CANTERCHASE DR,,,1,,,,,,,1
1000 CONGRESS ST,1,,,,,,,,,1
1000 DEZERN CT,,,,1,,,,,,1
1000 ENVOY CIR,,,1,,,,,,,1
1000 EUCLID,1,,,,,,,,,1
1000 GATESHEAD CT,1,,,,,,,,,1
1000 GIRARD DR,,1,,,,,,,,1
1000 HOMEVIEW DR,,1,,,,,,,,1
1000 HOWARD ST,,,,,,,,1,,1
1000 HUMBOLDT PL,,,,,,,,,1,1
1000 I 264 EAST,1,,,,,,,,,1
1000 I 265 SOUTH,1,,,,,,,,,1
1000 I 64 EAST,1,,,,,,,,,1
1000 I 64 WEST,1,,,,,,,,,1
1000 I 71 NORTH,1,,,,,,,,,1
1000 I75 N,,,1,,,,,,,1
1000 JOHNSON FARM RD,,,,1,,,,,,1
1000 LINCOLN AVENUE AVE,,,,,,,,,1,1
1000 LINN STATION,,1,,,,,,,,1
1000 LONG RUN RD,,,1,,,,,,,1
1000 LYNDON LN,,,1,,,,,,,1
1000 MALLARD CREEK RD,,,,1,,,,,,1
1000 MUHAMMAD ALI BLVD,,,,,,,,,1,1
1000 PARKWAY DR/BURNNETT,1,,,,,,,,,1
1000 S FLOYD/ WOODBINE ST,,,,,,,,,1,1
1000 SPRING ST,,,,,,1,,,,1
1000 SPRINGSIDE WAY,,,,1,,,,,,1
1000 ST CATHERINE ST,,,,,,,,,1,1
10000 BROAD RUN PKY,,,,,,,,,1,1
10000 BROWNSBORO GARDENS CIR,1,,,,,,,,,1
10000 BROWNSBORO ROAD,,,1,,,,,,,1
10000 FAIRMOUNT RD,,,1,,,,,,,1
10000 GLASGOW BLVD,,,,,,,,,1,1
10000 HORNBEAM BLVD,,1,,,,,,,,1
10000 IVYBRIDGE CIR,,,1,,,,,,,1
10000 LINN STATION RD,,,,,,,,,1,1
10000 MOON BEAM CT,,1,,,,,,,,1
10000 OAK GROVE RD,,,,1,,,,,,1
10000 PLUM HOLLOW CT,,,1,,,,,,,1
10000 PRESTON HWY,1,,,,,,,,,1
10000 ROBSION RD,1,,,,,,,,,1
10000 SHINING WILLOW DR,,,,,,,,,1,1
10000 SNIVELY AVE,,,,1,,,,,,1
10000 VALLEY FARMS BLVD,,,1,,,,,,,1
10100 BAYPORT RD,,1,,,,,,,,1
10100 CALDWELL DR,,,,1,,,,,,1
10100 CHESTNUT ST,,,,,,,,,1,1
10100 FIRESTONE CT,1,,,,,,,,,1
10100 GLEN ABBEY DR,1,,,,,,,,,1
10100 HORSESHOE TRCE,1,,,,,,,,,1
10100 LONG HOME RD,,,,,,,,,1,1
10100 SEA PINES CT,,,,1,,,,,,1
10100 TULIP TREE DR,,,,,,,,,1,1
10100 WATTERSON TRL,,,1,,,,,,,1
1016 REEVES RD,,,,,,,,,1,1
10200 BALLARDSVILLE RD,,,1,,,,,,,1
10200 BAYPORT RD,,,1,,,,,,,1
10200 BROOKRIDGE VILLAGE BLVD,,,,,,,,,1,1
10200 CAMBRIE CT,,,1,,,,,,,1
10200 CARTER LN,,,,1,,,,,,1
10200 GARLAN REID,1,,,,,,,,,1
10200 LAFON DR,,,,,,,1,,,1
10200 LOST TREE CT,,,,1,,,,,,1
10200 MEADOW GLEN WAY,,,1,,,,,,,1
10200 OAK GROVE RD,,,1,,,,,,,1
10200 ROLLING STONE DR,,,,1,,,,,,1
10200 ST RENE RD,1,,,,,,,,,1
10200 WATTERSON TRL,,1,,,,,,,,1
10200 WIEGLEIB AVE,,,1,,,,,,,1
10300 BRENTLINGER LN,,,,1,,,,,,1
10300 BROWNSBORO RD,,,,1,,,,,,1
10300 CEDAR CREEK RD,1,,,,,,,,,1
10300 CYPRESSWOOD DR,1,,,,,,,,,1
10300 DIXIE HWY / VALLEY STATION RD,,,1,,,,,,,1
10300 PARK LAKE DR,,,,,,,,,1,1
10300 PERWINKLE CT,1,,,,,,,,,1
10300 ROYCE CT,,1,,,,,,,,1
10300 STERLING SPRINGS RD,1,,,,,,,,,1
10300 U S HIGHWAY 22,,,1,,,,,,,1
10300 WATTERSON TRL,,,,,,,,,1,1
10400 BARDSTOWN BLUFF RD,,,,1,,,,,,1
10400 BROAD RUN RD,,,,,,,,,1,1
10400 DOVE CHASE CIR,,,1,,,,,,,1
10400 HITE CREEK RD,,,,1,,,,,,1
10400 JEFFERSON HILL RD,,,,1,,,,,,1
10400 MITCHELL HILL RD,,1,,,,,,,,1
10400 MOONLIGHT WAY,,,,1,,,,,,1
10400 STARLIGHT WAY,,,,,,,,,1,1
10400 STERLING SPRINGS RD,,1,,,,,,,,1
10400 THIXTON LN,,,,,,,,,1,1
10445 DIXIE HWY,,,,1,,,,,,1
10500 ALLEN DR,,,,,,,,,1,1
10500 APPLECROSS WAY,1,,,,,,,,,1
10500 BARRICKS RD,,,,,,,,,1,1
10500 BROADWOOD DR,,,1,,,,,,,1
10500 FAIRVIEW AVE,,,,1,,,,,,1
10500 MEETING ST,,1,,,,,,,,1
10500 PAVILION WAY,,,,1,,,,,,1
10500 SABLE WING CT,,1,,,,,,,,1
10500 SOUTHERN MEADOWS DR,,,,,,,,,1,1
10500 STONEBREAKER RD,1,,,,,,,,,1
10500 WATERMARK PL,,,,,,1,,,,1
10508 MONTERAY PLACE CIR #10,,,,1,,,,,,1
10600 ALLEN DR,,,,,,,,,1,1
10600 KINROSS CT,,,,,,,,,1,1
10600 MONTAQUE WAY,,,1,,,,,,,1
1063 MARY ST,,,,,,,,,1,1
10700 HELMSDALE LN,,,1,,,,,,,1
10700 JIMSON ST,,,,,,,,,1,1
1075 BARDSTOWN RD,,,,,,,,,1,1
10800 BRENTLINGER LN,1,,,,,,,,,1
10800 BRIAR TURN DR,,,1,,,,,,,1
10800 CEDAR CREEK RD,,,,,,,,,1,1
10800 COD CT,,1,,,,,,,,1
10800 FALKIRK RD,,,1,,,,,,,1
10800 GOLDEN MAPLE PL,,,1,,,,,,,1
10800 HELMSDALE LN,,,1,,,,,,,1
10800 HOLSCLAW HILL RD,1,,,,,,,,,1
10800 KINGS CROWN DR,,,,,,,,,1,1
10800 MITCHELL HILL RD,,1,,,,,,,,1
10800 OAK HARBOR DR,,,,,,,,,1,1
10800 WESTPORT RD,,,,1,,,,,,1
10900 BARDSTOWN RD,1,,,,,,,,,1
10900 BIER DR,1,,,,,,,,,1
10900 BLAZE WAY,,1,,,,,,,,1
10900 OXFORD COMMONS CT,,,1,,,,,,,1
10900 SABLE WING PL,,,1,,,,,,,1
10900 STONESTREET RD,,1,,,,,,,,1
11.2 I265N,,,,,,,,1,,1
11.4 I264W,,,,,,,,,1,1
1100 4TH #311 ST,,,,,,,,1,,1
1100 ALTA VISTA RD,1,,,,,,,,,1
1100 BELMONT PARK WAY,,1,,,,,,,,1
1100 BLANKENBAKER PKY,1,,,,,,,,,1
1100 BLUE HERON RD,,,,1,,,,,,1
1100 CHESTER AVE,,,1,,,,,,,1
1100 ETLEY AVE,,,,1,,,,,,1
1100 FERN VALLEY RD,1,,,,,,,,,1
1100 FISK BUILDING 28 CT,,,,,,,1,,,1
1100 HERR LN,,1,,,,,,,,1
1100 I 264 EAST,1,,,,,,,,,1
1100 I 264 WEST,1,,,,,,,,,1
1100 I 265 SOUTH,1,,,,,,,,,1
1100 I 71 SOUTH,1,,,,,,,,,1
1100 I264 W,,,,,,,,1,,1
1100 KENTUCKY ST,,,,,,,,,1,1
1100 KFEC GATE6 DR,,,,,,,,1,,1
1100 N HURSTBOURNE PKY,,1,,,,,,,,1
1100 RACHELWOOD CT,1,,,,,,,,,1
1100 S 45TH ST,,,,,,,1,,,1
1100 S. 2ND ST,,,1,,,,,,,1
1100 STANDIFORD CT,,,,,,,,,1,1
1100 SUNDEW AVE,,,1,,,,,,,1
1100 WEST NEW HOPE RD,,,,,,,1,,,1
1100 WHETSTONE WAY,,,1,,,,,,,1
11000 BROAD RUN RD,,,1,,,,,,,1
11000 DECIMAL DR,1,,,,,,,,,1
11000 FAIRMOUNT RD,,,,1,,,,,,1
11000 KAUFMAN FARM DR,,,,1,,,,,,1
11000 KEENE RD,1,,,,,,,,,1
11000 KESTREL CT,,,,,,,,,1,1
11000 LITTLE SPRING BLVD,,1,,,,,,,,1
11000 WESTPORT RD,1,,,,,,,,,1
1101 BARDSTOWN RD,,,,,,,,,1,1
11100 ALBION DR,1,,,,,,,,,1
11100 BARDSTOWN RD,,,,,,,,,1,1
11100 CAMBRIDGE COMMONS DR,,,1,,,,,,,1
11100 ELDA DR,,,,1,,,,,,1
11100 FANTASY TRL,,,1,,,,,,,1
11100 JEFFERSON TRACE BLVD,1,,,,,,,,,1
11100 LITTLE BRIDGE DR,,,1,,,,,,,1
11100 PEPPERMINT ST,,,,,,,,1,,1
11100 TAYLORSVILLE RD,1,,,,,,,,,1
11200 BLUEGRASS PARKWAY,1,,,,,,,,,1
11200 CEDAR CREEK RD,,,1,,,,,,,1
11200 DEERING RD,,,1,,,,,,,1
11200 DEZERN AVE,,,1,,,,,,,1
11200 MEADOW BREEZE LN,,,1,,,,,,,1
11200 PROFESSIONAL PARK DR,,,,1,,,,,,1
11200 REMEMBRANCE LN,,,,,,,,,1,1
11200 WATERVIEW PL,,,,,,,,,1,1
11200 WESTPORT RD,,,1,,,,,,,1
1127 GALLAGHER ST,,,,,,,,,1,1
11300 BARDSTOWN CREEK RD,,,1,,,,,,,1
11300 BENSON CT,,,,,,,,,1,1
11300 HILLVIEW WOODS PKY,,1,,,,,,,,1
11300 NUTWOOD RD,,,,,,,,,1,1
11300 SEATONVILLE RD,,,1,,,,,,,1
11300 TAYLORSVILLE RD,,,,1,,,,,,1
11400 PLANTSIDE DR,,,,,,,,,1,1
11400 SARATOGA RIDGE DR,,,1,,,,,,,1
114000 WINDING CREEK CT,,,1,,,,,,,1
11425 TAZWELL DR,,1,,,,,,,,1
11500 BOLLING HILL CT,1,,,,,,,,,1
11500 BRAGG AVE,1,,,,,,,,,1
11500 COMMONWEALTH DR,,,1,,,,,,,1
11500 ELECTRON DR,,,,,,,,,1,1
11500 FALLING BROOK DR,1,,,,,,,,,1
11500 PARK RD,1,,,,,,,,,1
11500 PRESTON HWY,,,1,,,,,,,1
11500 SCHLATTER RD,,,1,,,,,,,1
11500 WESTPORT RD,,,1,,,,,,,1
1154 S 6TH ST,,,,,,,,,1,1
1157 S 17TH ST,,,1,,,,,,,1
11600 EASUM RD,1,,,,,,,,,1
11600 SEATONVILLE RD,1,,,,,,,,,1
11700 BLAIR CREEK CT,,,,1,,,,,,1
11700 BLUEGRASS PKY,,,,1,,,,,,1
11700 CHANDLER CT,,,,,,,,1,,1
11700 COMMONWEALTH DR,,,,,,,,,1,1
11700 COVENTRY HILL RD,,,1,,,,,,,1
11700 EASUM RD,,1,,,,,,,,1
11700 ELECTRON DR,,1,,,,,,,,1
11700 GOLDEN LIGHT CT,1,,,,,,,,,1
11700 LONGVIEW FARM DR,,,1,,,,,,,1
11700 LOWER RIVER ROAD,,,1,,,,,,,1
11700 VISTA VALLEY LN,,,,,,,,,1,1
11700 WAYSIDE AVE,,,1,,,,,,,1
11800 CAPITAL WAY,,,,,,,,,1,1
11800 CEDARDALE RD,1,,,,,,,,,1
11800 DIODE CT,,1,,,,,,,,1
11800 GARR AVE,1,,,,,,,,,1
11800 LOCUST RD,,,1,,,,,,,1
11800 LONG VIEW FARM DR,,,,1,,,,,,1
11800 RUNNING CREEK RD,,,,,,,,,1,1
11800 SLATE RUN DR,1,,,,,,,,,1
11900 MEMORY RUN PL,,,,,,,,,1,1
11900 PIERCE WAY,,,,1,,,,,,1
11900 SEATONVILLE RD,,,,1,,,,,,1
11909 DIXIE HWY,,,,,,,,,1,1
12 I264W,,,,,,,,1,,1
12 I265N,,,,,,,,1,,1
1200 3RD ST,,,,,,,,,1,1
1200 ABBEYWOOD RD,,,,,,,,,1,1
1200 ARCADE AVE / TAYLOR BLVD,,,1,,,,,,,1
1200 AUDUBON PKY,1,,,,,,,,,1
1200 BARDSTOWN RD.,1,,,,,,,,,1
1200 BECKLEY HILLS CT,,,,1,,,,,,1
1200 BLANKENBAKER RD,1,,,,,,,,,1
1200 BRASHEAR AVE BLDG 15,,,,,,,,,1,1
1200 BRIARLY CT,1,,,,,,,,,1
1200 CLEAR MEADOW PL,,1,,,,,,,,1
1200 CLUB HOUSE DR,,,,1,,,,,,1
1200 FERN VALLEY RD,,,,,,,,,1,1
1200 FETTER,,,1,,,,,,,1
1200 FOX POINTE DR,,,1,,,,,,,1
1200 LONG RIDGE TRCE,,,1,,,,,,,1
1200 N HURSTBOURNE PKY,,,,1,,,,,,1
1200 RAY AVE,1,,,,,,,,,1
1200 S 34TH ST,,1,,,,,,,,1
1200 SHELBY ST,,,,,,,,,1,1
1200 SIX MILE LN,,,,,,,,,1,1
1200 STONEWALL WAY,,1,,,,,,,,1
1200 SUGAR PINE TER,,,,,,,,,1,1
1200 W BRECKINRIDGE ST,1,,,,,,,,,1
1200 W ORMSBY AVE,,1,,,,,,,,1
1200 WATTERSON TRL,,,,1,,,,,,1
12000 AIKEN RD,1,,,,,,,,,1
12000 CHARLOCK CT,,1,,,,,,,,1
12000 DOE RIDGE PL,,,1,,,,,,,1
12100 ORELL RD,,,,,,,,,1,1
12100 PLEASURE LANE,,,,,,,,,1,1
1214 MOORE CT APT#A,,1,,,,,,,,1
1216 W HILL ST,,1,,,,,,,,1
12200 GARRETT PARK LN,,,,,,,,,1,1
12200 LA GRANGE RD,,,,,,,,,1,1
12200 PLANTSIDE DR,,,,1,,,,,,1
12200 TAYLORSVILLE RD,,,1,,,,,,,1
123 I65S,,,,,,,,1,,1
12300 I 65 NORTH,1,,,,,,,,,1
12300 I 65 SOUTH,1,,,,,,,,,1
12300 OLD HENRY RD,,,,,,,,,1,1
12300 PARK FIELD RD,,1,,,,,,,,1
124.2 I65N,,,,,,,,1,,1
12400 COMMONS LAKE CT,,,,,,,,,1,1
12400 E ORELL RD,,,,1,,,,,,1
12400 GREENBELT HWY,1,,,,,,,,,1
12400 HWY 22/HURSTBOURNE PKWY,1,,,,,,,,,1
12400 I 65 SOUTH,1,,,,,,,,,1
12400 OLD HENRY RD,,,1,,,,,,,1
12400 WYNMEADE PL,,,1,,,,,,,1
125.2 I65S,,,,,,,,,1,1
12500 AIKEN RD,,,1,,,,,,,1
12500 I 65 NORTH,1,,,,,,,,,1
12500 ORELL STATION PL,,,1,,,,,,,1
12500 WESTPORT,,1,,,,,,,,1
126 I65N,,,,,,,,1,,1
12600 AVOCA RD,,,,1,,,,,,1
12600 I 65 NORTH,1,,,,,,,,,1
12600 I265N @ TAYLORSVILLE RD,,,,,,,,1,,1
12600 ORELL RD,,,,,,,,1,,1
12600 SUMMER SPRING CT,,,,,,,,,1,1
1265 GOSS AVE,,,,,,,,,1,1
127 I65N,,,,,,,,1,,1
12700 LOWER RIVER RD,,1,,,,,,,,1
12711 E ORELL RD,,,,1,,,,,,1
128 I65N,,,,,,,,1,,1
12800 SCOTTS GAP RD,1,,,,,,,,,1
12800 SHERINGHAM LN,,1,,,,,,,,1
12800 WILLOW TREE LN,,,,1,,,,,,1
129 I65S,,,,,,,,1,,1
129.2 I65N,,,,,,,,1,,1
129.4 I65N,,,,,,,,1,,1
129.6 I65N,,,,,,,,1,,1
12900 LA GRANGE RD,1,,,,,,,,,1
12900 REHL RD,,,,1,,,,,,1
12900 SAW MILL RD,,,1,,,,,,,1
13.4 I264E,,,,,,,,,1,1
13.4 I64W,,,,,,,,1,,1
13.8 I64E,,,,,,,,1,,1
1300 264 W/BOUND @ TAYLOR BLVD,,1,,,,,,,,1
1300 28TH ST,,,,,,,,,1,1
1300 43RD ST,,,,,,,,,1,1
1300 AMBRIDGE DR,,1,,,,,,,,1
1300 ASHBY FARM DR,,,,,,1,,,,1
1300 BRASSLIN AVE,,1,,,,,,,,1
1300 COLMAR CIR,,1,,,,,,,,1
1300 CONN ST,,,,1,,,,,,1
1300 DEBARR ST,1,,,,,,,,,1
1300 DIXIE HWY / STONESTREET RD HWY,,,,,,,,,1,1
1300 DUMESNIL ST,,,1,,,,,,,1
1300 EASTBRIDGE CT,,,,1,,,,,,1
1300 EVANS ST,,,1,,,,,,,1
1300 GILLILAND RD,,,1,,,,,,,1
1300 HAGEN RD,1,,,,,,,,,1
1300 I 264 EAST,1,,,,,,,,,1
1300 I 265 NORTH,1,,,,,,,,,1
1300 I 265 SOUTH,1,,,,,,,,,1
1300 KILLINEY PL,,,,1,,,,,,1
1300 LANDRUM LN,,,1,,,,,,,1
1300 LUCY DR,,,,,,,,,1,1
1300 LYNDON LN,,1,,,,,,,,1
1300 MCKINLEY AVE,,,,,,,,,1,1
1300 OLD TAYLOR TRL,,,1,,,,,,,1
1300 OLEANDA AVE / TAYLOR BLVD,1,,,,,,,,,1
1300 PROVIDENT CREEK CT,,,,1,,,,,,1
1300 S DATE,,1,,,,,,,,1
1300 VILLA PARK DRIVE,1,,,,,,,,,1
1300 W BLUELICK RD,,,,1,,,,,,1
13000 MAGISTERIAL DR,1,,,,,,,,,1
13000 ORELL RD,,,,,,,1,,,1
13000 REAMERS RD,,,,1,,,,,,1
13000 S POPE LICK RD,,,1,,,,,,,1
13000 SCOTTS GAP RD,,,1,,,,,,,1
13000 URTON LN,,,,1,,,,,,1
13000 WINDSOR CIR,,,,,,,,1,,1
131 I65N,,,,,,,,,1,1
131.8 I65N,,,,,,,,,1,1
1310 OLIVE ST,,,,,,,,,1,1
13100 OLD HENRY RD,1,,,,,,,,,1
1315 BRIDGET DR,,,,1,,,,,,1
132.6 I65S,,,,,,,,,1,1
13200 AVOCA RD,,,,,,,,,1,1
133 I65S,,,,,,,,,1,1
13314 SHELBYVILLE RD,,,,1,,,,,,1
134 I65S,,,,,,,,1,,1
134.4 I65S,,,,,,,,1,,1
13400 E ORELL RD,1,,,,,,,,,1
13400 LIBERTY ST,,,,,,,,,1,1
13400 OLD HENRY RD,,1,,,,,,,,1
13400 SPRINGS STATION RD,,,,1,,,,,,1
13400 TAYLORSVILLE RD,,,,,,,,,1,1
135.4 I65N,,,,,,,,1,,1
13500 POINTVIEW CT,,,,1,,,,,,1
136 I65S,,,,,,,,,1,1
13600 I 65 NORTH,1,,,,,,,,,1
13600 STONERIDGE MANOR DR,,,,,,,,,1,1
13600 TERRA VIEW TRL,,1,,,,,,,,1
13700 I 65 NORTH,1,,,,,,,,,1
13700 I 65 SOUTH,1,,,,,,,,,1
13700 SCOTTS GAP RD,,1,,,,,,,,1
13800 BUTTERMILK RIDGE RD,,,,1,,,,,,1
13800 OLD TAYLORSVILLE RD,1,,,,,,,,,1
13800 ROUND TOP PL,1,,,,,,,,,1
13900 BLAKELY LN,,,1,,,,,,,1
13900 BUTTERMILK RIDGE RD,,1,,,,,,,,1
13900 LYONS AVE,,,1,,,,,,,1
14 I264E,,,,,,,,,1,1
14 I64W,,,,,,,,,1,1
14.6 I64E,,,,,,,,1,,1
14.8 I265S,,,,,,,,1,,1
1400 41ST ST,,,,,,,,,1,1
1400 9TH ST,,,,,,,,,1,1
1400 AARON CREEK DR,,,,,,,,1,,1
1400 ALGONQUIN PKWY,,,,,,,,,1,1
1400 ASHBY FARM DR,,,,,,1,,,,1
1400 BEECH,1,,,,,,,,,1
1400 BOSTWICK LN,,,1,,,,,,,1
1400 CARLISLE AVE,,1,,,,,,,,1
1400 EASTBRIDGE CT,,,,,,,,,1,1
1400 FAYETTE DR,,,,1,,,,,,1
1400 FLOYD (REAR APT) ST,,,,,,,,,1,1
1400 I 265 NORTH,1,,,,,,,,,1
1400 I 64 EAST,1,,,,,,,,,1
1400 ISABELLA VIEW CT,,,,,,,,,1,1
1400 JEFFERSON ST,,,,,,,,,1,1
1400 KENNESAW WAY,,,1,,,,,,,1
1400 LA FONTENAY DR,,,,,,,,,1,1
1400 MARIE ST,,,1,,,,,,,1
1400 MARINAS EDGE WAY,,,,,,,,1,,1
1400 MCCLOSKEY AVE,1,,,,,,,,,1
1400 MOCKINGBIRD TERRACE DR,1,,,,,,,,,1
1400 OLDHAM ST,,,,1,,,,,,1
1400 OUTER LOOP,,,1,,,,,,,1
1400 POPLAR LEVEL RD/ EASTERN PARKWAY,1,,,,,,,,,1
1400 QUADRANT AVE,,,1,,,,,,,1
1400 R CHIN ALY,,1,,,,,,,,1
1400 S 28TH,,1,,,,,,,,1
1400 S ENGLISH STATION RD,,,,1,,,,,,1
1400 S. 1ST ST,1,,,,,,,,,1
1400 SAND DR,,,,1,,,,,,1
1400 SLATE ST,,,,1,,,,,,1
1400 TOP HILL RD,,,,1,,,,,,1
1400 VALLEY DR,1,,,,,,,,,1
1400 W KENTUCKY ST,,,,1,,,,,,1
1400 WHISPERWOOD TRCE,,,,1,,,,,,1
14000 DIXIE - 14000 AREA HWY,,,,,,,,1,,1
14000 MARY JANE DR,,,,1,,,,,,1
14100 WILLOW GROVE WAY,1,,,,,,,,,1
14200 BROADDUS ST,,,,,,,,,1,1
14200 DOC HAWLEY ST,,,,,,,,1,,1
14200 JAMES REES WAY,,,,,,,,1,,1
14200 OAK BRANCH CT,,1,,,,,,,,1
14300 ACADEMY RIDGE BLVD,,,,,,,,,1,1
14300 BROADDUS ST,,,,,,,,,1,1
14300 BRUSH RUN RD,,,1,,,,,,,1
14300 OAK BLUFF CT,,,1,,,,,,,1
14300 PORT CAPTAIN WAY,,,,,,,1,,,1
14300 TAYLORSVILLE RD,,1,,,,,,,,1
14400 BROAD OAK TRCE,,,,,,,,,1,1
14400 CEDAR FALLS CT,,,,,,,,,1,1
14500 ASHGROVE PL,,,1,,,,,,,1
14500 MCKINLEY RIDGE DR,,,,,,,,,1,1
14500 VALRICO CT,,,,,,,,1,,1
14600 BUSH FARM RD,,,,1,,,,,,1
14700 POTTER RD,,,,,,1,,,,1
1475 DIXIE HWY,,,,1,,,,,,1
14800 BURLEIGH PL,1,,,,,,,,,1
