BLOCK_ADDRESS,2009,2010,2011,2012,2013,2014,2015,2016,2017,Total
I264E / CRITTENDEN DR,20,9,5,3,4,1,1,2,3,48
I264E / I65,13,11,6,3,4,1,7,2,1,48
I265N / I65,12,1,8,3,6,1,,2,15,48
I265N / NEW CUT RD,5,7,6,5,4,1,4,2,14,48
I64W / I65,26,10,1,6,,1,4,,,48
I65N / I265,20,7,5,5,3,3,,4,1,48
WF - LINCOLN LOT,,2,5,11,2,6,7,14,1,48
600 ROSELANE ST,36,10,1,,,,,,,47
I265S / I65,22,9,7,2,,,1,4,2,47
I64E / 22ND ST,15,8,4,6,10,2,,2,,47
100 DR W J HODGE ST,3,1,4,5,2,12,5,2,12,46
1500 SQUIRES DR,27,17,2,,,,,,,46
I64W / GRINSTEAD DR,19,9,5,4,2,3,,4,,46
I65S / CRITTENDEN DR,23,5,4,8,3,2,1,,,46
100 ST FRANCIS CT,6,4,8,7,4,5,4,,7,45
400 GEORGE UNSELD TER,,,1,10,7,3,16,5,3,45
DR W J HODGE ST / W JEFFERSON ST,18,4,1,6,4,6,2,4,,45
2000 ST XAVIER ST,5,4,6,3,6,11,4,4,1,44
I64E / 9TH ST,16,7,4,5,,4,4,2,2,44
WF - SILVER LOT,,4,1,3,9,7,5,7,8,44
400 S 34TH ST,21,19,2,,,,,,,42
BERRY BLVD,18,8,16,,,,,,,42
I 265 RAMP / I 71 RAMP,7,9,8,6,3,2,4,3,,42
I265N / WESTPORT RD,16,10,5,7,2,1,,1,,42
I64W / HURSTBOURNE PKY WEST SIDE IN LMPD,17,8,4,3,3,5,,2,,42
I65S / ARTHUR ST,18,,7,6,1,1,3,2,4,42
S 34TH ST / VERMONT AVE,28,12,2,,,,,,,42
1000 LOUIS COLEMAN JR DR,,,6,2,4,10,7,8,4,41
1100 ST MICHAEL ST,3,3,2,,3,5,7,8,10,41
7300 ST ANDREWS WOODS CIR,3,6,7,4,1,5,9,2,4,41
DR W J HODGE ST / GARLAND AVE,1,1,10,4,3,4,10,3,5,41
DR W J HODGE ST / GREENWOOD AVE,5,4,6,5,4,1,7,3,6,41
I264E / TAYLORSVILLE RD,6,6,8,3,2,7,1,5,3,41
I264W / BRECKENRIDGE LN,20,9,5,3,2,,,2,,41
WF - GREEN LOT,,2,8,13,6,4,3,5,,41
600 S 34TH ST,19,12,9,,,,,,,40
I 265 RAMP / I 64 RAMP,10,6,5,4,6,1,6,2,,40
I265N / STONESTREET RD,16,1,3,6,2,2,3,3,4,40
I64W / 3RD ST,10,5,15,4,1,,2,1,2,40
LA GRANGE RD,22,18,,,,,,,,40
1000 PLACE JANUE,12,27,,,,,,,,39
1100 LOUIS COLEMAN JR DR,,,3,2,,12,3,9,10,39
1500 RIVER SHORE DR,,,,,5,15,10,7,2,39
2300 ST LOUIS AVE,1,11,7,4,3,3,3,5,2,39
I265N / BEULAH CHURCH RD,10,5,3,9,1,1,5,5,,39
I64E / I71,19,5,5,3,2,5,,,,39
N HURSTBOURNE PKY,32,2,5,,,,,,,39
3000 ST DENNIS AVE,,7,7,4,3,3,4,2,8,38
7400 ST ANTHONY CHURCH RD,2,1,3,3,5,13,5,3,3,38
8100 LA GRANGE RD,11,4,1,2,,5,5,6,4,38
EXTREME PARK,,8,12,8,8,2,,,,38
I265N / BILLTOWN RD,16,4,5,5,2,,3,,3,38
I265N / SMYRNA PKY,10,1,6,6,1,3,1,4,6,38
I265S / BARDSTOWN RD,13,5,10,1,7,1,,1,,38
LOUIS COLEMAN JR DR / W MUHAMMAD ALI BLVD,,,3,4,2,3,5,8,13,38
NEW CUT RD,38,,,,,,,,,38
I 264 RAMP / I 71 RAMP,2,8,7,2,8,7,2,1,,37
I64E / I65,13,4,5,7,6,1,,1,,37
I65S / GRADE LN,15,2,1,3,5,3,4,2,2,37
S 34TH ST / RIVER PARK DR,18,14,5,,,,,,,37
1600 LOUIS COLEMAN JR DR,,,,9,3,6,6,8,4,36
4500 ST RITA DR,,5,4,8,,3,8,7,1,36
DR W J HODGE ST / MAGAZINE ST,3,5,,5,4,7,2,2,8,36
E CHESTNUT ST,28,6,,,,,,,2,36
I264E / SOUTHERN PKY,3,3,5,2,4,1,1,3,14,36
I265N / BROWNSBORO RD,6,4,5,1,2,4,7,4,3,36
I265S / WESTPORT RD,12,5,2,,4,1,10,,2,36
I65N / HOSPITAL CURVE,17,7,1,6,1,,1,3,,36
I65N / OUTER LOOP,12,1,5,4,1,2,5,1,5,36
I65S / HOSPITAL CURVE,17,2,6,8,,,,3,,36
4200 ST FRANCIS LN,1,3,,11,2,6,1,3,8,35
7500 ST ANDREWS CHURCH RD,3,9,4,3,5,2,4,3,2,35
I264W / SOUTHERN PKY,11,4,6,4,1,6,1,,2,35
I64W / 22ND ST,6,8,6,3,4,,2,2,4,35
1 THEATRE SQ,6,3,15,2,7,1,,,,34
2200 ST LOUIS AVE,,2,10,3,5,1,3,5,5,34
5600 GREENBLUFF RD,,,,,,2,5,16,11,34
7400 ST ANDREWS CHURCH RD,5,6,6,4,1,1,3,1,7,34
I64W / MELLWOOD AVE,12,3,6,2,,4,5,2,,34
W FERN VALLEY RD / PRESTON HWY,16,12,6,,,,,,,34
2100 ST XAVIER ST,,5,6,6,2,5,5,1,3,33
5500 FERNFIELD DR,,,,,4,6,6,9,8,33
8000 ST ANDREWS CHURCH RD,2,1,10,1,,5,4,2,8,33
BRIDGE - I65N / KENNEDY,7,6,9,4,,4,2,,1,33
DR W J HODGE ST / W MAIN ST,2,6,4,3,6,3,5,1,3,33
I 264 RAMP / NEWBURG RD,14,6,2,1,5,,1,2,2,33
I264W / I65S,18,4,4,2,,1,3,1,,33
I265N / I71,17,8,2,4,1,,1,,,33
I265S / BEULAH CHURCH RD,7,3,8,3,3,,3,4,2,33
I265S / SHELBYVILLE RD,11,7,6,,2,1,3,1,2,33
I64W / I264 EE EAST SIDE IN LMPD/MCMAHAN,33,,,,,,,,,33
LOWER HUNTERS TRCE,23,10,,,,,,,,33
8500 TALLAHATCHIE ST,,,1,,5,3,9,7,7,32
DES PRES PARK,1,6,1,6,1,2,2,9,4,32
I 264 WEST / I 71 RAMP,10,7,7,2,1,1,4,,,32
I264W / CRITTENDEN DR,7,2,8,,2,4,4,4,1,32
I264W / TAYLORSVILLE RD,8,3,7,2,2,3,1,2,4,32
I265N / NATIONAL TPKE,6,6,1,7,3,2,2,1,4,32
I265S / I64,8,2,11,3,1,2,1,1,3,32
I64W / CANNONS LN,12,6,5,,,4,3,2,,32
S DORSEY LN / SHELBYVILLE RD,23,8,1,,,,,,,32
200 SNOW GOOSE CT,,,,6,1,14,1,4,5,31
3000 JESSIE RD,1,2,5,4,6,,7,5,1,31
7300 JAN PLACE ST,4,1,2,3,6,3,4,5,3,31
I 264 EAST / I 71 RAMP,8,,5,6,9,1,,2,,31
I265S / DIXIE HWY,7,4,5,1,1,2,1,9,1,31
I64E / BLANKENBAKER PKY EAST SIDE IN LMPD,8,3,2,8,6,,,1,3,31
I64W / 9TH ST,8,9,3,2,1,2,1,5,,31
3100 POND STATION RD,1,2,1,3,4,4,6,6,3,30
4100 TUSCARORA WAY,29,1,,,,,,,,30
6200 CASPER DR,6,7,7,8,,,,,2,30
CHRISTIAN WAY,21,9,,,,,,,,30
FRANKFORT AVE,16,13,,1,,,,,,30
I264W / DUMESNIL ST,5,7,1,5,2,2,2,1,5,30
I65N / CRITTENDEN DR,13,2,4,5,2,,1,,3,30
I65N / HORSEBARNS,19,4,4,2,,1,,,,30
LOUIS COLEMAN JR DR / VIRGINIA AVE,,,6,11,3,3,3,1,3,30
4200 ST CHARLES LN,1,1,1,7,4,8,2,4,1,29
E INDIAN TRL,29,,,,,,,,,29
I 265 RAMP / PRESTON HWY,15,3,,5,,2,,3,1,29
I 265 RAMP / SHELBYVILLE RD,13,11,,1,1,,1,1,1,29
PARK - WYANDOTTE PARK,,7,7,3,4,8,,,,29
WF - KIDS WATER PARK,,1,12,2,,,1,12,1,29
8200 ST ANTHONY CHURCH RD,5,2,3,,3,3,6,5,1,28
BRIDGE - I64E / SHERMAN MINTON BRIDGE,,1,5,,3,1,7,6,5,28
DR W J HODGE ST / W KENTUCKY ST,5,2,1,2,5,1,2,5,5,28
200 ST JOSEPH ST,1,2,2,4,2,6,4,3,3,27
600 ROSELANE CT,1,17,9,,,,,,,27
I264W / BROWNSBORO RD,11,5,4,2,3,,2,,,27
I265N / TAYLORSVILLE RD,13,6,2,2,,,2,2,,27
I64W / I265,12,7,4,1,,1,2,,,27
I65N / GRADE LN,6,8,2,3,4,,1,2,1,27
N 3RD ST / W RIVER RD,7,9,7,4,,,,,,27
700 SPRADLING CT,8,5,13,,,,,,,26
BROWNSBORO RD / TEN BROECK WAY,17,7,1,1,,,,,,26
DR W J HODGE ST / HALE AVE,7,3,2,3,4,3,2,,2,26
GLENGARRY DR,12,14,,,,,,,,26
I265S / OLD HENRY RD,11,2,4,3,1,,1,,4,26
I265S / TAYLORSVILLE RD,8,4,2,4,2,3,1,,2,26
I64E / HURSTBOURNE PKY WEST SIDE IN LMPD,6,2,10,2,2,2,1,1,,26
I65N / I64E,10,4,,3,2,6,1,,,26
S 22ND ST,19,7,,,,,,,,26
SHELBYVILLE RD / S WHIPPS MILL RD,16,10,,,,,,,,26
3700 ST MICHAEL CHURCH DR,,4,2,2,2,2,9,2,2,25
8300 ST ANDREWS CHURCH RD,2,1,4,2,2,10,1,3,,25
HAYS KENNEDY PARK,2,1,3,3,1,2,1,3,9,25
I264W / SHELBYVILLE RD,14,5,2,,2,1,,,1,25
I265N / I64W,9,5,3,4,1,,,3,,25
I64W / I65S,21,1,1,2,,,,,,25
I65N / BROADWAY,10,4,3,4,1,,1,,2,25
I65N / PRESTON HWY,10,2,2,2,2,3,2,2,,25
I71N / I64,10,2,3,5,,,1,1,3,25
LEXINGTON RD / COOPER ST,,15,10,,,,,,,25
12500 SAXONY PARK CIR,,,,,,,3,12,9,24
200 DR W J HODGE ST,1,7,3,5,4,2,2,,,24
2700 ST XAVIER ST,7,5,2,1,1,3,1,2,2,24
700 CAMP EDWARDS WAY,,,,,,,1,10,13,24
8200 ST ANDREWS CHURCH RD,1,,5,2,,2,4,7,3,24
CAMP TAYLOR PARK,1,3,9,1,,3,5,1,1,24
CRUMS LN,13,11,,,,,,,,24
I264E / CANE RUN RD (LAKE DREAMLAND SIDE),7,3,4,2,,6,,1,1,24
I265N / DIXIE HWY,8,2,1,1,3,2,5,2,,24
I265S / I65S,12,,1,2,6,1,2,,,24
I64E / COCHRAN HILL RD,2,7,5,5,,3,,2,,24
I65S / EASTERN PKY,16,2,3,,2,,,1,,24
I65S / KENNEDY BRIDGE,9,4,1,7,,,3,,,24
LORETTA ST,9,10,5,,,,,,,24
WF - RED LOT,,,3,2,4,4,2,3,6,24
3500 BASHFORD AVE,3,6,10,4,,,,,,23
3500 MOYERS CIR,,,1,,10,1,1,8,2,23
4000 ST FRANCIS LN,2,,1,4,5,2,1,4,4,23
7100 SUN VALLEY DR,3,9,11,,,,,,,23
DR W J HODGE ST / GRAND AVE,3,4,1,,,2,3,9,1,23
E BRECKINRIDGE ST,18,5,,,,,,,,23
EASTERN PKY,22,1,,,,,,,,23
I 264 RAMP / SOUTHERN PKY,6,5,2,6,,2,,,2,23
I65S / HORSEBARNS,9,2,6,3,,,1,1,1,23
I65S / I64E,7,6,5,3,1,,,1,,23
I65S / JEFFERSON ST,8,1,4,2,1,2,2,2,1,23
I65S / ST CATHERINE ST,12,6,,1,2,1,1,,,23
N 22ND ST,19,4,,,,,,,,23
OLEANDA AVE,8,10,5,,,,,,,23
PENNACOOK RD,11,4,8,,,,,,,23
S 34TH ST / VIRGINIA AVE,18,2,3,,,,,,,23
WF - BIG FOUR WALKING RAMP,,1,,,6,8,2,3,3,23
1500 CAYUGA ST,12,8,2,,,,,,,22
400 ECHAPPE LN,1,4,2,4,3,2,3,3,,22
400 ST BONIFACE PL,,5,2,,,,3,12,,22
700 MERCHANT CT,12,6,4,,,,,,,22
CHAMBERLAIN LN,22,,,,,,,,,22
I 265 RAMP / WESTPORT RD,14,6,1,,,,1,,,22
I264W / PRESTON HWY,10,1,7,,,1,1,2,,22
I264W / RIVER PARK DR,7,7,2,1,1,1,1,,2,22
I265S / BROWNSBORO RD,9,1,3,3,1,4,,1,,22
LOUIS COLEMAN JR DR / SOUTHERN AVE,,,1,5,3,1,4,5,3,22
N 1ST ST,5,10,7,,,,,,,22
N FLOYD ST,14,8,,,,,,,,22
PARK - THURMAN HUTCHINS PARK,2,4,2,2,3,9,,,,22
RIVERSIDE GARDENS PARK,,1,,,2,2,5,7,5,22
S 34TH ST / W MUHAMMAD ALI BLVD,11,9,2,,,,,,,22
SHELBYVILLE RD,9,6,7,,,,,,,22
SOUTHERN PKY,8,6,8,,,,,,,22
W KENWOOD DR,6,,16,,,,,,,22
11800 INTERCHANGE DR,6,1,3,,1,4,3,,3,21
1500 LOUIS COLEMAN JR DR,,,2,6,2,3,1,2,5,21
4600 ST RITA DR,4,2,2,,,3,4,3,3,21
6800 BUSHNELL ST,,,,,,2,5,10,4,21
7500 ST ANTHONY CHURCH RD,2,4,1,1,4,,2,2,5,21
CAMP ST,9,8,4,,,,,,,21
I265N / OLD HENRY RD,6,,,1,2,2,7,3,,21
MILES PARK,,5,3,7,6,,,,,21
MURPHY LN / TAZWELL DR,10,1,4,5,,,,,1,21
S 34TH ST / GARLAND AVE,8,8,5,,,,,,,21
S JACKSON ST,14,2,5,,,,,,,21
4300 PETERSBURG RD,3,4,9,4,,,,,,20
BLUEGRASS AVE,13,7,,,,,,,,20
CLARA AVE,15,5,,,,,,,,20
DR W J HODGE ST / HOWARD ST,,1,8,1,,3,1,3,3,20
I 71 RAMP / I 71 RAMP,5,1,8,,,2,4,,,20
I264E / BELLS LN (LAKE DREAMLAND SIDE),2,6,1,3,2,1,3,2,,20
I264E / SHELBYVILLE RD,16,3,,,1,,,,,20
I265N / LA GRANGE RD,7,2,5,1,,4,,,1,20
I65N / I264W,16,1,1,1,,1,,,,20
I65S / I265N,5,2,3,,1,,2,7,,20
2800 DANZIG PL,,,,,,1,6,6,6,19
4200 TUSCARORA WAY,19,,,,,,,,,19
700 DR W J HODGE ST,1,4,5,1,7,,1,,,19
800 FLORHAM PL,2,1,8,,3,,,1,4,19
8500 MISTY LN,,,,,1,2,8,3,5,19
CATHEDRAL WAY / W MUHAMMAD ALI BLVD,,2,3,,5,2,3,2,2,19
DR W J HODGE ST / OSAGE AVE,2,1,2,2,4,2,1,1,4,19
I 264 RAMP / RIVER PARK DR,6,4,4,3,1,,1,,,19
I264E / I64,12,2,5,,,,,,,19
I264W / 3RD ST,1,1,2,,4,1,3,7,,19
I265N / SHELBYVILLE RD,7,2,2,3,,3,,2,,19
I65N / JACKSON ST,14,1,2,1,,1,,,,19
I65S / I264E,9,,1,2,,5,,2,,19
I71S / I64,6,1,2,5,1,2,1,1,,19
MOSER RD,1,2,16,,,,,,,19
S LYNDON LN / SHELBYVILLE RD,7,10,2,,,,,,,19
WF - BELVEDERE,,,2,5,,5,,6,1,19
1100 DR W J HODGE ST,6,2,1,3,,6,,,,18
1100 S 34TH ST,6,10,2,,,,,,,18
11800 PEAK PL,,,,,,,3,6,9,18
2200 BOULEVARD NAPOLEON,2,2,2,,2,4,1,3,2,18
5000 ROAMING PLAINS CT,4,1,,4,1,3,3,,2,18
6800 TWIN DR,1,2,8,7,,,,,,18
700 S 34TH ST,5,8,5,,,,,,,18
BLUE LICK RD / MAYNARD AVE,4,1,10,1,,,,,2,18
GREAT LAWN,2,16,,,,,,,,18
I264E / AIRPORT,3,4,3,,1,1,3,1,2,18
